index,syst,chain,tm1,tm2,min,max,pdb
   0,4ba3_B_A-B_0,A,0.304,0.225,0.225,0.304,4ba3
   1,1wcy_C_A-B-C-D_0,A,0.426,0.200,0.200,0.426,1wcy
   2,2foj_B_A-B_0,A,0.202,0.342,0.202,0.342,2foj
   3,5nqv_G_A-C-E-G_0,C,0.225,0.307,0.225,0.307,5nqv
   4,4xal_B_A-B_0,A,0.158,0.369,0.158,0.369,4xal
   5,2orz_B_A-B_0,A,0.293,0.273,0.273,0.293,2orz
   6,4v3i_B_A-B_0,A,0.259,0.412,0.259,0.412,4v3i
   7,3f7o_X_A-X_0,A,1.000,1.000,1.000,1.000,3f7o
   8,1b9j_B_A-B_0,A,0.315,0.203,0.203,0.315,1b9j
   9,4iim_E_A-B-C-D-E_0,B,0.111,0.394,0.111,0.394,4iim
  10,4b3b_C_A-C_0,A,0.386,0.470,0.386,0.470,4b3b
  11,3nih_B_A-B_0,A,0.125,0.323,0.125,0.323,3nih
  12,4k72_C_A-C_0,A,0.174,0.410,0.174,0.410,4k72
  13,3nil_X_D-X_2,D,0.124,0.292,0.124,0.292,3nil
  14,3rc4_B_A-B_0,A,0.260,0.340,0.260,0.340,3rc4
  15,5elq_P_A-P_0,A,0.156,0.356,0.156,0.356,5elq
  16,1a7c_B_A-B-C_0,A,0.297,0.252,0.252,0.297,1a7c
  17,6cd9_B_A-B_0,A,0.240,0.353,0.240,0.353,6cd9
  18,3thk_C_A-C_0,A,0.121,0.407,0.121,0.407,3thk
  19,4k3q_E_A-B-E_0,A,0.223,0.190,0.190,0.223,4k3q
  20,2nph_S_A-B-S-T_0,A,0.173,0.357,0.173,0.357,2nph
  21,2nph_S_A-B-S-T_0,B,0.170,0.377,0.170,0.377,2nph
  22,4ojf_A_A-H-L_0,L,0.195,0.234,0.195,0.234,4ojf
  23,4ojf_A_A-H-L_0,H,0.242,0.291,0.242,0.291,4ojf
  24,3srj_D_A-C-D_0,A,0.284,0.275,0.275,0.284,3srj
  25,4joh_D_A-D_0,A,0.171,0.405,0.171,0.405,4joh
  26,5uw3_E_A-E_0,A,0.445,0.217,0.217,0.445,5uw3
  27,4cic_Q_A-B-Q_0,A,0.205,0.337,0.205,0.337,4cic
  28,4cic_Q_A-B-Q_0,B,0.203,0.337,0.203,0.337,4cic
  29,4j77_D_B-D_1,B,0.324,0.313,0.313,0.324,4j77
  30,4q6f_H_C-H_2,C,0.129,0.401,0.129,0.401,4q6f
  31,5sxm_D_B-D_1,B,0.329,0.315,0.315,0.329,5sxm
  32,5ovc_B_A-B_0,A,0.171,0.366,0.171,0.366,5ovc
  33,1str_M_B-D-M-P_0,C,0.196,0.356,0.196,0.356,1str
  34,1str_M_B-D-M-P_0,B,0.186,0.332,0.186,0.332,1str
  35,3hds_E_A-D-E_0,D,0.197,0.401,0.197,0.401,3hds
  36,3hds_E_A-D-E_0,A,0.193,0.371,0.193,0.371,3hds
  37,4j46_B_A-B_0,A,0.163,0.389,0.163,0.389,4j46
  38,3sxu_C_A-B-C_0,A,0.264,0.435,0.264,0.435,3sxu
  39,4gne_B_A-B_0,A,0.165,0.353,0.165,0.353,4gne
  40,1s2k_B_A-B_0,A,0.242,0.310,0.242,0.310,1s2k
  41,3drh_B_A-B_0,A,0.272,0.168,0.168,0.272,3drh
  42,3rte_B_A-B_0,G,0.446,0.285,0.285,0.446,3rte
  43,3rte_B_A-B_0,A,0.446,0.285,0.285,0.446,3rte
  44,1b5i_B_A-B_0,A,0.311,0.201,0.201,0.311,1b5i
  45,6fqc_E_A-B-D-E_0,A,0.283,0.254,0.254,0.283,6fqc
  46,2v3s_C_B-C_1,B,0.185,0.406,0.185,0.406,2v3s
  47,5m5u_G_A-E-G_0,A,0.318,0.271,0.271,0.318,5m5u
  48,4ouc_B_A-B_0,A,0.273,0.246,0.246,0.273,4ouc
  49,2ce9_X_A-B-X_0,A,0.331,0.293,0.293,0.331,2ce9
  50,5huw_B_A-B-C_0,C,0.314,0.233,0.233,0.314,5huw
  51,3shb_B_A-B_0,A,0.149,0.398,0.149,0.398,3shb
  52,3rc5_B_A-B_0,A,0.257,0.335,0.257,0.335,3rc5
  53,3fwv_C_A-C_0,A,0.227,0.416,0.227,0.416,3fwv
  54,4ikn_B_A-B_0,A,0.225,0.246,0.225,0.246,4ikn
  55,3tcg_I_A-I_0,A,0.319,0.206,0.206,0.319,3tcg
  56,3ifo_P_H-L-P_0,L,0.192,0.230,0.192,0.230,3ifo
  57,3ifo_P_H-L-P_0,H,0.228,0.277,0.228,0.277,3ifo
  58,5fpk_C_A-C_0,A,0.397,0.479,0.397,0.479,5fpk
  59,1uoq_B_A-B_0,A,0.452,0.214,0.214,0.452,1uoq
  60,5m5r_D_A-C-D_0,A,0.309,0.263,0.263,0.309,5m5r
  61,3l81_B_A-B_0,A,0.241,0.265,0.241,0.265,3l81
  62,4gyo_C_A-B-C-D_0,B,0.302,0.256,0.256,0.302,4gyo
  63,4wnn_T_C-D-T_3,D,0.182,0.411,0.182,0.411,4wnn
  64,4wnn_T_C-D-T_3,C,0.170,0.452,0.170,0.452,4wnn
  65,5e6o_E_B-E_1,B,0.192,0.332,0.192,0.332,5e6o
  66,3nim_X_F-X_3,F,0.131,0.308,0.131,0.308,3nim
  67,4j81_C_B-C_1,B,0.329,0.318,0.318,0.329,4j81
  68,5fox_C_A-C_0,A,0.385,0.470,0.385,0.470,5fox
  69,3emh_B_A-B_0,A,0.330,0.319,0.319,0.330,3emh
  70,4mz6_A_A-C-E_0,E,0.307,0.229,0.229,0.307,4mz6
  71,4od7_E_C-E_2,C,0.242,0.333,0.242,0.333,4od7
  72,1hsb_C_A-B-C_0,A,0.234,0.242,0.234,0.242,1hsb
  73,4jor_D_B-D_1,B,0.173,0.404,0.173,0.404,4jor
  74,1oby_Q_A-B-P-Q_0,A,0.153,0.414,0.153,0.414,1oby
  75,1oby_Q_A-B-P-Q_0,B,0.152,0.409,0.152,0.409,1oby
  76,5zw6_C_A-B-C-D_0,A,0.315,0.250,0.250,0.315,5zw6
  77,3nfl_G_B-C-F-G_5,C,0.184,0.435,0.184,0.435,3nfl
  78,3t70_F_A-B-C-F_0,A,0.187,0.298,0.187,0.298,3t70
  79,3t70_F_A-B-C-F_0,B,0.185,0.308,0.185,0.308,3t70
  80,3uoa_L_B-C-L-M_0,B,0.390,0.321,0.321,0.390,3uoa
  81,1sem_C_A-B-C-D_0,A,0.119,0.394,0.119,0.394,1sem
  82,2v5w_G_B-G-L_1,B,0.374,0.313,0.313,0.374,2v5w
  83,4jok_D_B-D_1,B,0.175,0.414,0.175,0.414,4jok
  84,4c2c_B_A-B-C_0,A,0.347,0.247,0.247,0.347,4c2c
  85,6fkp_G_C-G_2,C,0.129,0.401,0.129,0.401,6fkp
  86,4c2g_B_A-B-C_0,A,0.349,0.248,0.248,0.349,4c2g
  87,3nii_B_A-B_0,A,0.125,0.318,0.125,0.318,3nii
  88,5k4f_C_A-C_0,A,0.174,0.411,0.174,0.411,5k4f
  89,1evh_B_A-B_0,A,0.162,0.325,0.162,0.325,1evh
  90,5fch_C_A-B-C_0,A,0.297,0.234,0.234,0.297,5fch
  91,5fch_C_A-B-C_0,B,0.289,0.229,0.229,0.289,5fch
  92,4ezy_B_A-B_2,A,0.199,0.242,0.199,0.242,4ezy
  93,5iza_B_A-B_0,A,0.284,0.248,0.248,0.284,5iza
  94,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.180,0.412,0.180,0.412,2y1l
  95,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.293,0.501,0.293,0.501,2y1l
  96,2fib_B_A-B_0,A,0.284,0.310,0.284,0.310,2fib
  97,4z0u_D_A-D_0,A,0.235,0.373,0.235,0.373,4z0u
  98,4zhb_B_A-B_0,A,0.220,0.471,0.220,0.471,4zhb
  99,3mmg_C_A-C_0,A,0.244,0.295,0.244,0.295,3mmg
 100,1qka_B_A-B_0,A,0.314,0.202,0.202,0.314,1qka
 101,5azf_C_A-C_0,A,0.207,0.367,0.207,0.367,5azf
 102,2v5f_X_A-X_0,A,0.189,0.416,0.189,0.416,2v5f
 103,3sjk_B_A-B_0,A,0.222,0.301,0.222,0.301,3sjk
 104,4rxh_A_A-B-C_0,B,0.297,0.227,0.227,0.297,4rxh
 105,5ovv_B_A-B_0,A,0.176,0.388,0.176,0.388,5ovv
 106,3d9t_D_B-D_1,B,0.179,0.394,0.179,0.394,3d9t
 107,4k76_G_C-G_2,C,0.177,0.419,0.177,0.419,4k76
 108,1oxn_F_E-F_7,E,0.199,0.429,0.199,0.429,1oxn
 109,1uop_B_A-B_0,A,0.453,0.214,0.214,0.453,1uop
 110,1b46_B_A-B_0,A,0.312,0.202,0.202,0.312,1b46
 111,1b05_B_A-B_0,A,0.311,0.201,0.201,0.311,1b05
 112,3m5o_C_A-C_0,A,0.258,0.335,0.258,0.335,3m5o
 113,3fp4_Q_A-Q_0,A,0.315,0.211,0.211,0.315,3fp4
 114,5m5t_E_A-E-G-I_0,A,0.316,0.268,0.268,0.316,5m5t
 115,1w9e_S_A-B-R-S-T_0,B,0.213,0.310,0.213,0.310,1w9e
 116,3s9c_B_A-B_0,A,0.261,0.298,0.261,0.298,3s9c
 117,1czy_D_A-B-C-D-E_0,A,0.227,0.332,0.227,0.332,1czy
 118,1kyf_P_A-P_0,A,0.243,0.268,0.243,0.268,1kyf
 119,4sga_P_E-P_0,E,0.223,0.297,0.223,0.297,4sga
 120,1sts_P_B-D-M-P_0,D,0.195,0.351,0.195,0.351,1sts
 121,1sts_P_B-D-M-P_0,A,0.185,0.322,0.185,0.322,1sts
 122,3upv_B_A-B_0,A,0.235,0.419,0.235,0.419,3upv
 123,1yth_I_A-B-I_0,A,0.179,0.376,0.179,0.376,1yth
 124,1yth_I_A-B-I_0,B,0.175,0.361,0.175,0.361,1yth
 125,4k75_B_A-B_0,A,0.172,0.416,0.172,0.416,4k75
 126,3zin_C_A-B-C_0,A,0.296,0.219,0.219,0.296,3zin
 127,3dri_B_A-B_0,A,0.272,0.168,0.168,0.272,3dri
 128,3wor_C_A-B-C-D_0,A,0.287,0.148,0.148,0.287,3wor
 129,1lvm_C_A-C-E_0,A,0.260,0.303,0.260,0.303,1lvm
 130,4m38_E_A-B-E-F_0,A,0.314,0.278,0.278,0.314,4m38
 131,4j45_B_A-B_0,A,0.163,0.387,0.163,0.387,4j45
 132,1obz_P_A-B-P_0,A,0.209,0.308,0.209,0.308,1obz
 133,2h9m_D_C-D_1,C,0.332,0.318,0.318,0.332,2h9m
 134,3gq1_C_A-C_0,A,0.169,0.399,0.169,0.399,3gq1
 135,3nik_X_D-X_2,D,0.147,0.340,0.147,0.340,3nik
 136,4ny3_C_A-C_0,A,0.282,0.272,0.272,0.282,4ny3
 137,4bjt_E_B-E_2,B,0.255,0.408,0.255,0.408,4bjt
 138,3ou3_C_A-B-C_0,A,0.175,0.371,0.175,0.371,3ou3
 139,3ou3_C_A-B-C_0,B,0.176,0.372,0.176,0.372,3ou3
 140,3nin_E_B-E_1,B,0.129,0.292,0.129,0.292,3nin
 141,1yti_I_A-I_0,A,0.179,0.375,0.179,0.375,1yti
 142,1yti_I_A-I_0,B,0.179,0.375,0.179,0.375,1yti
 143,4j09_B_A-B_0,A,0.245,0.260,0.245,0.260,4j09
 144,4j09_B_A-B_0,C,0.245,0.260,0.245,0.260,4j09
 145,3fp2_Q_A-Q_0,A,0.310,0.209,0.209,0.310,3fp2
 146,3rt9_B_A-B_0,F,0.448,0.286,0.286,0.448,3rt9
 147,3rt9_B_A-B_0,A,0.448,0.286,0.286,0.448,3rt9
 148,3nij_B_A-B_0,A,0.128,0.325,0.128,0.325,3nij
 149,1b40_B_A-B_0,A,0.317,0.205,0.205,0.317,1b40
 150,2ql9_G_A-B-C-D-E-F-G_0,D,0.172,0.379,0.172,0.379,2ql9
 151,2ql9_G_A-B-C-D-E-F-G_0,A,0.284,0.507,0.284,0.507,2ql9
 152,2ql9_G_A-B-C-D-E-F-G_0,C,0.283,0.505,0.283,0.505,2ql9
 153,2ql9_G_A-B-C-D-E-F-G_0,B,0.172,0.377,0.172,0.377,2ql9
 154,3f6k_N_A-N_0,A,0.329,0.173,0.173,0.329,3f6k
 155,1b5j_B_A-B_0,A,0.314,0.203,0.203,0.314,1b5j
 156,4ztd_F_A-B-C-D-E-F_0,C,0.254,0.277,0.254,0.277,4ztd
 157,3ebb_F_A-B-E-F_0,B,0.328,0.349,0.328,0.349,3ebb
 158,5xup_D_A-B-C-D_0,B,0.242,0.319,0.242,0.319,5xup
 159,1d00_I_A-I_0,A,0.227,0.331,0.227,0.331,1d00
 160,6cwp_F_A-B-F_0,A,0.289,0.279,0.279,0.289,6cwp
 161,6cwp_F_A-B-F_0,B,0.289,0.274,0.274,0.289,6cwp
 162,1sdz_B_A-B_0,A,0.185,0.398,0.185,0.398,1sdz
 163,1h27_E_A-B-E_0,B,0.286,0.309,0.286,0.309,1h27
 164,3cww_E_A-B-D-E_0,A,0.310,0.119,0.119,0.310,3cww
 165,4b8o_C_A-B-C_0,A,0.293,0.223,0.223,0.293,4b8o
 166,3agy_C_A-B-C-D-F_0,A,0.159,0.229,0.159,0.229,3agy
 167,4j86_C_A-C_0,A,0.321,0.309,0.309,0.321,4j86
 168,5huy_B_A-B-C_0,C,0.305,0.226,0.226,0.305,5huy
 169,5tu5_B_A-B_0,A,0.374,0.363,0.363,0.374,5tu5
 170,3m5m_C_B-C_1,B,0.258,0.334,0.258,0.334,3m5m
 171,1b32_B_A-B_0,A,0.313,0.202,0.202,0.313,1b32
 172,3oqs_B_A-B_0,A,0.303,0.225,0.225,0.303,3oqs
 173,4f74_C_A-B-C_0,A,0.175,0.355,0.175,0.355,4f74
 174,4f74_C_A-B-C_0,B,0.172,0.354,0.172,0.354,4f74
 175,4hxj_C_A-C_0,A,0.107,0.320,0.107,0.320,4hxj
 176,4r5i_B_A-B_0,A,0.216,0.258,0.216,0.258,4r5i
 177,2v1r_R_A-Q-R_0,A,0.119,0.306,0.119,0.306,2v1r
 178,4z88_V_J-V_1,J,0.121,0.364,0.121,0.364,4z88
 179,3ivq_D_B-D_1,B,0.220,0.364,0.220,0.364,3ivq
 180,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.296,0.297,0.296,0.297,2z9i
 181,6cdg_B_A-B_0,A,0.239,0.355,0.239,0.355,6cdg
 182,1a30_C_A-B-C_0,A,0.175,0.362,0.175,0.362,1a30
 183,1a30_C_A-B-C_0,B,0.177,0.364,0.177,0.364,1a30
 184,2g30_S_A-P-S_0,A,0.235,0.268,0.235,0.268,2g30
 185,3cvl_B_A-B_0,A,0.332,0.325,0.325,0.332,3cvl
 186,3lca_Q_A-Q_0,A,0.317,0.215,0.215,0.317,3lca
 187,4ezn_C_A-B-C-D_0,A,0.227,0.282,0.227,0.282,4ezn
 188,1nvs_B_A-B_0,A,0.261,0.275,0.261,0.275,1nvs
 189,3drk_B_A-B_0,A,0.266,0.164,0.164,0.266,3drk
 190,3drj_B_A-B_0,A,0.283,0.171,0.171,0.283,3drj
 191,3t64_F_A-B-C-F_0,A,0.179,0.278,0.179,0.278,3t64
 192,3t64_F_A-B-C-F_0,B,0.189,0.322,0.189,0.322,3t64
 193,4o4y_A_A-H-L_0,L,0.206,0.246,0.206,0.246,4o4y
 194,4o4y_A_A-H-L_0,H,0.242,0.292,0.242,0.292,4o4y
 195,3o2b_D_C-D_1,C,0.129,0.292,0.129,0.292,3o2b
 196,5wir_D_A-B-C-D_0,B,0.252,0.319,0.252,0.319,5wir
 197,3psl_D_B-D_1,B,0.337,0.327,0.327,0.337,3psl
 198,5y53_F_C-E-F_1,C,0.188,0.332,0.188,0.332,5y53
 199,5y53_F_C-E-F_1,E,0.190,0.333,0.190,0.333,5y53
 200,1kyd_P_A-P_0,A,0.239,0.263,0.239,0.263,1kyd
 201,5kzt_C_A-C_0,A,0.317,0.210,0.210,0.317,5kzt
 202,4pz3_C_A-B-C_0,B,0.209,0.339,0.209,0.339,4pz3
 203,3q49_C_B-C_0,B,0.231,0.405,0.231,0.405,3q49
 204,4g69_B_A-B_0,A,0.185,0.412,0.185,0.412,4g69
 205,2i3h_C_A-C_0,A,0.161,0.360,0.161,0.360,2i3h
 206,1vwa_M_B-D-M-P_0,C,0.188,0.333,0.188,0.333,1vwa
 207,1vwa_M_B-D-M-P_0,B,0.184,0.334,0.184,0.334,1vwa
 208,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.407,0.348,0.348,0.407,2ot0
 209,6cd8_C_A-C_0,A,0.246,0.363,0.246,0.363,6cd8
 210,4j79_B_A-B_0,A,0.325,0.314,0.314,0.325,4j79
 211,4mvk_B_A-B_0,A,0.238,0.339,0.238,0.339,4mvk
 212,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.408,0.351,0.351,0.408,4tr9
 213,5oj5_B_A-B_0,A,0.320,0.302,0.302,0.320,5oj5
 214,3uf7_B_A-B-C_0,A,0.296,0.356,0.296,0.356,3uf7
 215,4xi7_C_A-C_0,A,0.273,0.231,0.231,0.273,4xi7
 216,1d0a_G_A-B-C-G-H-I_0,A,0.228,0.333,0.228,0.333,1d0a
 217,2v17_A_A-H-L_0,L,0.210,0.255,0.210,0.255,2v17
 218,2v17_A_A-H-L_0,H,0.233,0.278,0.233,0.278,2v17
 219,2hl3_C_A-B-C_0,A,0.140,0.341,0.140,0.341,2hl3
 220,2hl3_C_A-B-C_0,B,0.133,0.335,0.133,0.335,2hl3
 221,3q47_C_B-C_0,B,0.233,0.407,0.233,0.407,3q47
 222,1rzx_B_A-B_0,A,0.185,0.414,0.185,0.414,1rzx
 223,2b6n_B_A-B_0,A,0.933,0.956,0.933,0.956,2b6n
 224,4jjq_B_A-B_0,A,0.202,0.341,0.202,0.341,4jjq
 225,2h2f_B_A-B_0,A,0.310,0.361,0.310,0.361,2h2f
 226,4faf_D_A-B-D_0,A,0.174,0.362,0.174,0.362,4faf
 227,4faf_D_A-B-D_0,B,0.174,0.356,0.174,0.356,4faf
 228,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.187,0.336,0.187,0.336,1kl3
 229,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.185,0.334,0.185,0.334,1kl3
 230,4que_E_A-C-D-E-H-J_0,A,0.390,0.454,0.390,0.454,4que
 231,4jmy_E_A-C-E_0,A,0.257,0.362,0.257,0.362,4jmy
 232,3ziq_B_A-B-C_0,A,0.295,0.219,0.219,0.295,3ziq
 233,4j78_B_A-B_0,A,0.324,0.314,0.314,0.324,4j78
 234,1b4z_B_A-B_0,A,0.317,0.205,0.205,0.317,1b4z
 235,4ezq_B_A-B_1,A,0.220,0.269,0.220,0.269,4ezq
 236,4ynl_C_A-B-C-D_0,A,0.156,0.417,0.156,0.417,4ynl
 237,4ynl_C_A-B-C-D_0,B,0.155,0.415,0.155,0.415,4ynl
 238,4pxm_D_A-B-C-D_0,B,0.285,0.335,0.285,0.335,4pxm
 239,3m5n_F_B-F_1,B,0.256,0.333,0.256,0.333,3m5n
 240,4apo_D_B-D_1,B,0.236,0.359,0.236,0.359,4apo
 241,3woq_C_A-B-C-D_0,A,0.291,0.148,0.148,0.291,3woq
 242,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.161,0.350,0.161,0.350,1xb0
 243,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.162,0.358,0.162,0.358,1xb0
 244,1elr_B_A-B_0,A,0.224,0.412,0.224,0.412,1elr
 245,3njj_B_A-B_0,A,0.193,0.363,0.193,0.363,3njj
 246,4es0_C_A-C_0,A,0.329,0.315,0.315,0.329,4es0
 247,3hda_Z_P-Z_0,P,0.311,0.247,0.247,0.311,3hda
 248,5fgb_G_B-E-G_1,E,0.244,0.299,0.244,0.299,5fgb
 249,5fgb_G_B-E-G_1,B,0.189,0.234,0.189,0.234,5fgb
 250,5grg_D_A-B-C-D_0,A,0.248,0.255,0.248,0.255,5grg
 251,1gyb_E_A-B-E-F_0,A,0.185,0.349,0.185,0.349,1gyb
 252,1gyb_E_A-B-E-F_0,B,0.184,0.340,0.184,0.340,1gyb
 253,4qbr_P_A-P_0,A,0.220,0.370,0.220,0.370,4qbr
 254,2zjd_D_C-D_5,C,0.214,0.384,0.214,0.384,2zjd
 255,5lb7_C_A-B-C_0,A,0.238,0.351,0.238,0.351,5lb7
 256,5lb7_C_A-B-C_0,B,0.148,0.418,0.148,0.418,5lb7
 257,5wun_C_A-B-C_0,A,0.304,0.228,0.228,0.304,5wun
 258,5v5p_A_A-B-C_0,C,0.299,0.225,0.225,0.299,5v5p
 259,5fou_C_A-C_0,A,0.390,0.473,0.390,0.473,5fou
 260,4nnm_C_A-C_0,A,0.175,0.330,0.175,0.330,4nnm
 261,5d9g_C_A-C_0,A,0.240,0.265,0.240,0.265,5d9g
 262,3lny_B_A-B_0,A,0.182,0.424,0.182,0.424,3lny
 263,6ew9_P_A-B-C-P-Q-R_0,A,0.272,0.259,0.259,0.272,6ew9
 264,5gu4_C_A-C_0,A,0.275,0.296,0.275,0.296,5gu4
 265,5eyz_E_A-E_0,A,0.183,0.413,0.183,0.413,5eyz
 266,3zvy_D_B-D_0,B,0.151,0.401,0.151,0.401,3zvy
 267,3woo_C_A-B-C-D_0,A,0.288,0.149,0.149,0.288,3woo
 268,2y7l_B_A-B_0,A,0.266,0.250,0.250,0.266,2y7l
 269,3zs6_B_A-B_0,A,0.317,0.206,0.206,0.317,3zs6
 270,4o51_N_A-B-N_1,A,0.189,0.231,0.189,0.231,4o51
 271,4o51_N_A-B-N_1,B,0.232,0.284,0.232,0.284,4o51
 272,6hpg_c_C-c_2,C,0.225,0.426,0.225,0.426,6hpg
