index,syst,chain,tm1,tm2,min,max,pdb
   0,4z88_V_J-V_1,J,0.103,0.337,0.103,0.337,4z88
   1,2bgr_Y_A-B-Y-Z_0,A,0.261,0.155,0.155,0.261,2bgr
   2,1hsb_C_A-B-C_0,A,0.199,0.241,0.199,0.241,1hsb
   3,3zvy_D_B-D_0,B,0.087,0.288,0.087,0.288,3zvy
   4,4jjq_B_A-B_0,A,0.141,0.272,0.141,0.272,4jjq
   5,1d00_I_A-I_0,A,0.150,0.259,0.150,0.259,1d00
   6,6hpg_c_C-c_2,C,0.125,0.278,0.125,0.278,6hpg
   7,2zjd_D_C-D_5,C,0.149,0.361,0.149,0.361,2zjd
   8,6cdg_B_A-B_0,A,0.159,0.294,0.159,0.294,6cdg
   9,1b51_B_A-B_0,A,0.240,0.184,0.184,0.240,1b51
  10,1str_M_B-D-M-P_0,C,0.141,0.320,0.141,0.320,1str
  11,1str_M_B-D-M-P_0,B,0.142,0.319,0.142,0.319,1str
  12,4xal_B_A-B_0,A,0.100,0.274,0.100,0.274,4xal
  13,1h27_E_A-B-E_0,B,0.209,0.265,0.209,0.265,1h27
  14,5fov_E_A-E_0,A,0.164,0.225,0.164,0.225,5fov
  15,2b6n_B_A-B_0,A,0.198,0.239,0.198,0.239,2b6n
  16,5lyn_C_A-B-C-D_0,A,0.136,0.285,0.136,0.285,5lyn
  17,5lyn_C_A-B-C-D_0,B,0.137,0.271,0.137,0.271,5lyn
  18,3nfl_G_B-C-F-G_5,C,0.141,0.424,0.141,0.424,3nfl
  19,3uoa_L_B-C-L-M_0,B,0.249,0.246,0.246,0.249,3uoa
  20,1kyf_P_A-P_0,A,0.214,0.279,0.214,0.279,1kyf
  21,2v5w_G_B-G-L_1,B,0.245,0.241,0.241,0.245,2v5w
  22,3nim_X_F-X_3,F,0.118,0.350,0.118,0.350,3nim
  23,5lb7_C_A-B-C_0,A,0.168,0.291,0.168,0.291,5lb7
  24,5lb7_C_A-B-C_0,B,0.103,0.388,0.103,0.388,5lb7
  25,2foj_B_A-B_0,A,0.136,0.267,0.136,0.267,2foj
  26,1u9l_C_B-C_1,B,0.104,0.409,0.104,0.409,1u9l
  27,3hds_E_A-D-E_0,D,0.136,0.321,0.136,0.321,3hds
  28,3hds_E_A-D-E_0,A,0.134,0.324,0.134,0.324,3hds
  29,4k3o_E_A-B-E_0,A,0.999,0.993,0.993,0.999,4k3o
  30,1b9j_B_A-B_0,A,0.258,0.198,0.198,0.258,1b9j
  31,5zw6_C_A-B-C-D_0,A,0.276,0.259,0.259,0.276,5zw6
  32,5wun_C_A-B-C_0,A,0.218,0.194,0.194,0.218,5wun
  33,4v3i_B_A-B_0,A,0.143,0.277,0.143,0.277,4v3i
  34,2wa8_D_C-D_1,C,0.112,0.292,0.112,0.292,2wa8
  35,4qbr_P_A-P_0,A,0.165,0.320,0.165,0.320,4qbr
  36,1a30_C_A-B-C_0,A,0.125,0.305,0.125,0.305,1a30
  37,1a30_C_A-B-C_0,B,0.114,0.283,0.114,0.283,1a30
  38,4j46_B_A-B_0,A,0.110,0.312,0.110,0.312,4j46
  39,4j78_B_A-B_0,A,0.213,0.243,0.213,0.243,4j78
  40,2fib_B_A-B_0,A,0.223,0.292,0.223,0.292,2fib
  41,4que_E_A-C-D-E-H-J_0,A,0.194,0.268,0.194,0.268,4que
  42,5huy_B_A-B-C_0,C,0.219,0.194,0.194,0.219,5huy
  43,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.254,0.300,0.254,0.300,2z9i
  44,3cww_E_A-B-D-E_0,A,0.323,0.157,0.157,0.323,3cww
  45,4od7_E_C-E_2,C,0.209,0.332,0.209,0.332,4od7
  46,2dze_X_A-B-X_0,A,0.153,0.272,0.153,0.272,2dze
  47,2dze_X_A-B-X_0,B,0.152,0.271,0.152,0.271,2dze
  48,3fp4_Q_A-Q_0,A,0.205,0.164,0.164,0.205,3fp4
  49,4j44_B_A-B_0,A,0.114,0.321,0.114,0.321,4j44
  50,5eyz_E_A-E_0,A,0.147,0.408,0.147,0.408,5eyz
  51,4z0u_D_A-D_0,A,0.171,0.300,0.171,0.300,4z0u
  52,3cvl_B_A-B_0,A,0.213,0.246,0.213,0.246,3cvl
  53,3t70_F_A-B-C-F_0,A,0.151,0.277,0.151,0.277,3t70
  54,3t70_F_A-B-C-F_0,B,0.123,0.237,0.123,0.237,3t70
  55,2foo_B_A-B_0,A,0.137,0.267,0.137,0.267,2foo
  56,1b3g_B_A-B_0,A,0.260,0.200,0.200,0.260,1b3g
