index,syst,chain,tm1,tm2,min,max,pdb
   0,4jor_D_B-D_1,B,0.190,0.306,0.190,0.306,4jor
   1,2h59_D_A-B-D-E_0,A,0.318,0.248,0.248,0.318,2h59
   2,2h59_D_A-B-D-E_0,B,0.326,0.253,0.253,0.326,2h59
   3,3q49_C_B-C_0,B,0.257,0.310,0.257,0.310,3q49
   4,1uop_B_A-B_0,A,0.324,0.103,0.103,0.324,1uop
   5,3agy_C_A-B-C-D-F_0,A,0.226,0.222,0.222,0.226,3agy
   6,4j09_B_A-B_0,A,0.315,0.230,0.230,0.315,4j09
   7,4j09_B_A-B_0,C,0.315,0.230,0.230,0.315,4j09
   8,1v1t_S_A-B-S-T_0,B,0.222,0.230,0.222,0.230,1v1t
   9,4j84_D_B-D_1,B,0.335,0.226,0.226,0.335,4j84
  10,3f7o_X_A-X_0,A,0.339,0.238,0.238,0.339,3f7o
  11,4pxm_D_A-B-C-D_0,B,0.268,0.222,0.222,0.268,4pxm
  12,3m5n_F_B-F_1,B,0.272,0.247,0.247,0.272,3m5n
  13,3g19_C_A-C_0,A,0.247,0.392,0.247,0.392,3g19
  14,3mqr_B_A-B_0,A,0.250,0.287,0.250,0.287,3mqr
  15,4o4y_A_A-H-L_0,L,0.260,0.219,0.219,0.260,4o4y
  16,4o4y_A_A-H-L_0,H,0.316,0.271,0.271,0.316,4o4y
  17,5y53_F_C-E-F_1,C,0.263,0.310,0.263,0.310,5y53
  18,5y53_F_C-E-F_1,E,0.268,0.321,0.268,0.321,5y53
  19,2f5b_P_H-L-P_0,L,0.296,0.256,0.256,0.296,2f5b
  20,2f5b_P_H-L-P_0,H,0.256,0.209,0.209,0.256,2f5b
  21,3drk_B_A-B_0,A,0.316,0.142,0.142,0.316,3drk
  22,5b74_D_A-B-D_0,B,0.244,0.290,0.244,0.290,5b74
  23,5sxm_D_B-D_1,B,0.327,0.220,0.220,0.327,5sxm
  24,3ou3_C_A-B-C_0,A,0.218,0.310,0.218,0.310,3ou3
  25,3ou3_C_A-B-C_0,B,0.217,0.312,0.217,0.312,3ou3
  26,5oav_B_A-B_0,A,0.189,0.409,0.189,0.409,5oav
  27,5e6o_E_B-E_1,B,0.257,0.328,0.257,0.328,5e6o
  28,3hds_E_A-D-E_0,D,0.290,0.399,0.290,0.399,3hds
  29,3hds_E_A-D-E_0,A,0.306,0.403,0.306,0.403,3hds
  30,1b05_B_A-B_0,A,0.375,0.165,0.165,0.375,1b05
  31,4sga_P_E-P_0,E,0.295,0.285,0.285,0.295,4sga
  32,5v5p_A_A-B-C_0,C,0.293,0.150,0.150,0.293,5v5p
  33,1tw6_C_A-B-C-D_2,F,0.244,0.346,0.244,0.346,1tw6
  34,1tw6_C_A-B-C-D_2,A,0.217,0.320,0.217,0.320,1tw6
  35,1awr_J_D-J_5,D,0.293,0.302,0.293,0.302,1awr
  36,2h2f_B_A-B_0,A,0.289,0.233,0.233,0.289,2h2f
  37,4que_E_A-C-D-E-H-J_0,A,0.312,0.251,0.251,0.312,4que
  38,4rxh_A_A-B-C_0,B,0.300,0.151,0.151,0.300,4rxh
  39,6cdc_C_A-C_0,A,0.421,0.438,0.421,0.438,6cdc
  40,1b51_B_A-B_0,A,0.370,0.165,0.165,0.370,1b51
  41,4k3o_E_A-B-E_0,A,0.335,0.182,0.182,0.335,4k3o
  42,4gne_B_A-B_0,A,0.248,0.341,0.248,0.341,4gne
  43,1sdz_B_A-B_0,A,0.245,0.347,0.245,0.347,1sdz
  44,4j47_B_A-B_0,A,0.210,0.340,0.210,0.340,4j47
  45,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.201,0.311,0.201,0.311,2y1l
  46,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.305,0.334,0.305,0.334,2y1l
  47,1yti_I_A-I_0,A,0.217,0.306,0.217,0.306,1yti
  48,1yti_I_A-I_0,B,0.217,0.306,0.217,0.306,1yti
  49,2v5w_G_B-G-L_1,B,0.359,0.208,0.208,0.359,2v5w
