index,syst,chain,tm1,tm2,min,max,pdb
   0,4ikn_B_A-B_0,A,0.320,0.161,0.161,0.320,4ikn
   1,4xi7_C_A-C_0,A,0.289,0.094,0.094,0.289,4xi7
   2,6fkp_G_C-G_2,C,0.218,0.286,0.218,0.286,6fkp
   3,4ynl_C_A-B-C-D_0,A,0.243,0.269,0.243,0.269,4ynl
   4,4ynl_C_A-B-C-D_0,B,0.231,0.269,0.231,0.269,4ynl
   5,3nfk_D_A-B-C-D_2,B,0.820,0.844,0.820,0.844,3nfk
   6,3nil_X_D-X_2,D,0.319,0.348,0.319,0.348,3nil
   7,1d0a_G_A-B-C-G-H-I_0,A,0.374,0.248,0.248,0.374,1d0a
   8,4gyo_C_A-B-C-D_0,B,0.270,0.103,0.103,0.270,4gyo
   9,3t70_F_A-B-C-F_0,A,0.331,0.251,0.251,0.331,3t70
  10,3t70_F_A-B-C-F_0,B,0.337,0.269,0.269,0.337,3t70
  11,1b05_B_A-B_0,A,0.349,0.100,0.100,0.349,1b05
  12,2orz_B_A-B_0,A,0.360,0.149,0.149,0.360,2orz
  13,5m5t_E_A-E-G-I_0,A,0.367,0.132,0.132,0.367,5m5t
  14,3gq1_C_A-C_0,A,0.304,0.322,0.304,0.322,3gq1
  15,4j81_C_B-C_1,B,0.325,0.148,0.148,0.325,4j81
  16,1e4x_P_H-L-P_0,L,0.315,0.184,0.184,0.315,1e4x
  17,1e4x_P_H-L-P_0,H,0.327,0.183,0.183,0.327,1e4x
  18,4j46_B_A-B_0,A,0.294,0.317,0.294,0.317,4j46
  19,4mvk_B_A-B_0,A,0.316,0.203,0.203,0.316,4mvk
  20,3drh_B_A-B_0,A,0.335,0.093,0.093,0.335,3drh
  21,4od7_E_C-E_2,C,0.339,0.215,0.215,0.339,4od7
  22,1b32_B_A-B_0,A,0.352,0.102,0.102,0.352,1b32
  23,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.316,0.272,0.272,0.316,1kl3
  24,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.298,0.257,0.257,0.298,1kl3
  25,6hpg_c_C-c_2,C,0.250,0.219,0.219,0.250,6hpg
  26,2nph_S_A-B-S-T_0,A,0.295,0.286,0.286,0.295,2nph
  27,2nph_S_A-B-S-T_0,B,0.294,0.285,0.285,0.294,2nph
  28,5y53_F_C-E-F_1,C,0.348,0.282,0.282,0.348,5y53
  29,5y53_F_C-E-F_1,E,0.364,0.290,0.290,0.364,5y53
  30,4c2c_B_A-B-C_0,A,0.671,0.160,0.160,0.671,4c2c
  31,1hsb_C_A-B-C_0,A,0.315,0.151,0.151,0.315,1hsb
  32,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.334,0.132,0.132,0.334,4tr9
  33,4f75_C_A-B-C-D_0,A,0.288,0.279,0.279,0.288,4f75
  34,4f75_C_A-B-C-D_0,B,0.281,0.274,0.274,0.281,4f75
  35,5k4f_C_A-C_0,A,0.831,0.891,0.831,0.891,5k4f
  36,4que_E_A-C-D-E-H-J_0,A,0.349,0.184,0.184,0.349,4que
  37,4k3o_E_A-B-E_0,A,0.383,0.143,0.143,0.383,4k3o
  38,2v3s_C_B-C_1,B,0.297,0.294,0.294,0.297,2v3s
  39,2v1r_R_A-Q-R_0,A,0.303,0.373,0.303,0.373,2v1r
  40,4jok_D_B-D_1,B,0.829,0.889,0.829,0.889,4jok
  41,4j8b_B_A-B_0,A,0.286,0.128,0.128,0.286,4j8b
  42,4ny3_C_A-C_0,A,0.348,0.151,0.151,0.348,4ny3
  43,1kyd_P_A-P_0,A,0.314,0.159,0.159,0.314,1kyd
  44,1gyb_E_A-B-E-F_0,A,0.336,0.283,0.283,0.336,1gyb
  45,1gyb_E_A-B-E-F_0,B,0.328,0.274,0.274,0.328,1gyb
  46,1fch_C_A-B-C-D_2,F,0.290,0.124,0.124,0.290,1fch
  47,1fch_C_A-B-C-D_2,A,0.285,0.128,0.128,0.285,1fch
  48,1b3g_B_A-B_0,A,0.359,0.100,0.100,0.359,1b3g
  49,1qka_B_A-B_0,A,0.351,0.101,0.101,0.351,1qka
  50,2x6m_B_A-B_0,A,0.349,0.292,0.292,0.349,2x6m
  51,2bgr_Y_A-B-Y-Z_0,A,0.337,0.068,0.068,0.337,2bgr
  52,1kyf_P_A-P_0,A,0.315,0.158,0.158,0.315,1kyf
  53,3ny3_B_A-B_0,A,0.288,0.339,0.288,0.339,3ny3
  54,3s9c_B_A-B_0,A,0.336,0.183,0.183,0.336,3s9c
  55,4jjq_B_A-B_0,A,0.402,0.310,0.310,0.402,4jjq
  56,1sdz_B_A-B_0,A,0.277,0.272,0.272,0.277,1sdz
  57,4es0_C_A-C_0,A,0.309,0.135,0.135,0.309,4es0
  58,1czy_D_A-B-C-D-E_0,A,0.400,0.266,0.266,0.400,1czy
  59,4ezz_B_A-B_1,A,0.302,0.162,0.162,0.302,4ezz
  60,5fox_C_A-C_0,A,0.343,0.176,0.176,0.343,5fox
  61,5iza_B_A-B_0,A,0.292,0.110,0.110,0.292,5iza
  62,4j45_B_A-B_0,A,0.293,0.315,0.293,0.315,4j45
  63,5lyn_C_A-B-C-D_0,A,0.271,0.214,0.214,0.271,5lyn
  64,5lyn_C_A-B-C-D_0,B,0.270,0.213,0.213,0.270,5lyn
  65,1rzx_B_A-B_0,A,0.815,0.784,0.784,0.815,1rzx
  66,5iz2_Z_A-B-Z_0,B,0.299,0.248,0.248,0.299,5iz2
  67,3thk_C_A-C_0,A,0.257,0.354,0.257,0.354,3thk
  68,3srj_D_A-C-D_0,A,0.344,0.153,0.153,0.344,3srj
  69,3drj_B_A-B_0,A,0.337,0.093,0.093,0.337,3drj
  70,4b3b_C_A-C_0,A,0.331,0.172,0.172,0.331,4b3b
  71,4rxh_A_A-B-C_0,B,0.279,0.093,0.093,0.279,4rxh
  72,1awr_J_D-J_5,D,0.375,0.266,0.266,0.375,1awr
  73,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.264,0.269,0.264,0.269,1xb0
  74,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.275,0.280,0.275,0.280,1xb0
  75,4fys_C_A-C_0,A,0.326,0.059,0.059,0.326,4fys
  76,1evh_B_A-B_0,A,0.374,0.336,0.336,0.374,1evh
  77,4cic_Q_A-B-Q_0,A,0.338,0.267,0.267,0.338,4cic
  78,4cic_Q_A-B-Q_0,B,0.326,0.254,0.254,0.326,4cic
  79,2h59_D_A-B-D-E_0,A,0.316,0.156,0.156,0.316,2h59
  80,2h59_D_A-B-D-E_0,B,0.327,0.162,0.162,0.327,2h59
  81,5jjm_G_A-G-M_0,A,0.336,0.178,0.178,0.336,5jjm
  82,3rc5_B_A-B_0,A,0.346,0.211,0.211,0.346,3rc5
  83,1mfl_B_A-B_0,A,0.846,0.837,0.837,0.846,1mfl
  84,5ovc_B_A-B_0,A,0.732,0.719,0.719,0.732,5ovc
  85,3njj_B_A-B_0,A,0.293,0.264,0.264,0.293,3njj
  86,3ifo_P_H-L-P_0,L,0.313,0.171,0.171,0.313,3ifo
  87,3ifo_P_H-L-P_0,H,0.305,0.173,0.173,0.305,3ifo
  88,3rta_B_A-B_0,F,0.425,0.123,0.123,0.425,3rta
  89,3rta_B_A-B_0,A,0.425,0.123,0.123,0.425,3rta
  90,3zvy_D_B-D_0,B,0.241,0.293,0.241,0.293,3zvy
  91,1a7c_B_A-B-C_0,A,0.336,0.121,0.121,0.336,1a7c
  92,2wa8_D_C-D_1,C,0.305,0.288,0.288,0.305,2wa8
  93,3zin_C_A-B-C_0,A,0.276,0.090,0.090,0.276,3zin
  94,4wnn_T_C-D-T_3,D,0.225,0.222,0.222,0.225,4wnn
  95,4wnn_T_C-D-T_3,C,0.249,0.271,0.249,0.271,4wnn
  96,3rte_B_A-B_0,G,0.424,0.125,0.125,0.424,3rte
  97,3rte_B_A-B_0,A,0.424,0.125,0.125,0.424,3rte
  98,3ufm_B_A-B_0,A,0.312,0.171,0.171,0.312,3ufm
  99,3agy_C_A-B-C-D-F_0,A,0.302,0.198,0.198,0.302,3agy
 100,5e6o_E_B-E_1,B,0.359,0.314,0.314,0.359,5e6o
 101,3jrv_D_B-D_1,B,0.309,0.242,0.242,0.309,3jrv
 102,2fop_B_A-B_0,A,0.402,0.310,0.310,0.402,2fop
 103,2hpl_B_A-B_0,A,0.331,0.318,0.318,0.331,2hpl
 104,3vqg_B_A-B_0,A,0.754,0.823,0.754,0.823,3vqg
 105,5m5r_D_A-C-D_0,A,0.362,0.131,0.131,0.362,5m5r
 106,2v17_A_A-H-L_0,L,0.331,0.176,0.176,0.331,2v17
 107,2v17_A_A-H-L_0,H,0.339,0.185,0.185,0.339,2v17
 108,5yba_B_A-B-C-D_0,A,0.327,0.214,0.214,0.327,5yba
 109,4m38_E_A-B-E-F_0,A,0.367,0.152,0.152,0.367,4m38
 110,4mz6_A_A-C-E_0,E,0.280,0.090,0.090,0.280,4mz6
 111,4f74_C_A-B-C_0,A,0.288,0.279,0.279,0.288,4f74
 112,4f74_C_A-B-C_0,B,0.283,0.275,0.275,0.283,4f74
 113,4ezy_B_A-B_2,A,0.283,0.157,0.157,0.283,4ezy
 114,4k75_B_A-B_0,A,0.828,0.888,0.828,0.888,4k75
 115,5grg_D_A-B-C-D_0,A,0.333,0.150,0.150,0.333,5grg
 116,3d9t_D_B-D_1,B,0.282,0.280,0.280,0.282,3d9t
 117,3gv4_H_A-H_0,A,0.264,0.256,0.256,0.264,3gv4
 118,6fqc_E_A-B-D-E_0,A,0.342,0.148,0.148,0.342,6fqc
 119,2b6n_B_A-B_0,A,0.433,0.188,0.188,0.433,2b6n
 120,4ezq_B_A-B_1,A,0.329,0.168,0.168,0.329,4ezq
 121,3l81_B_A-B_0,A,0.343,0.177,0.177,0.343,3l81
 122,1b58_B_A-B_0,A,0.348,0.100,0.100,0.348,1b58
 123,5v5p_A_A-B-C_0,C,0.270,0.085,0.085,0.270,5v5p
 124,1b5j_B_A-B_0,A,0.341,0.096,0.096,0.341,1b5j
