index,syst,chain,tm1,tm2,min,max,pdb
   0,4k3p_E_A-B-E_0,A,0.293,0.140,0.140,0.293,4k3p
   1,3l81_B_A-B_0,A,0.286,0.182,0.182,0.286,3l81
   2,4wvh_C_A-C_0,A,0.344,0.129,0.129,0.344,4wvh
   3,4zhb_B_A-B_0,A,0.363,0.415,0.363,0.415,4zhb
   4,6fkp_G_C-G_2,C,0.165,0.266,0.165,0.266,6fkp
   5,6hpg_c_C-c_2,C,0.733,0.789,0.733,0.789,6hpg
   6,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.303,0.184,0.184,0.303,5fjz
   7,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.288,0.175,0.175,0.288,5fjz
   8,4pyw_B_A-B-C_0,A,0.369,0.164,0.164,0.369,4pyw
   9,1obz_P_A-B-P_0,A,0.276,0.234,0.234,0.276,1obz
  10,3jrv_D_B-D_1,B,0.319,0.293,0.293,0.319,3jrv
  11,5yba_B_A-B-C-D_0,A,0.320,0.261,0.261,0.320,5yba
  12,1ddv_B_A-B_0,A,0.289,0.336,0.289,0.336,1ddv
  13,6cwp_F_A-B-F_0,A,0.411,0.220,0.220,0.411,6cwp
  14,6cwp_F_A-B-F_0,B,0.404,0.218,0.218,0.404,6cwp
  15,3nik_X_D-X_2,D,0.189,0.248,0.189,0.248,3nik
  16,5m5v_G_A-E-G-I_0,A,0.327,0.159,0.159,0.327,5m5v
  17,3m5o_C_A-C_0,A,0.316,0.236,0.236,0.316,3m5o
  18,3nin_E_B-E_1,B,0.186,0.250,0.186,0.250,3nin
  19,4ouc_B_A-B_0,A,0.394,0.197,0.197,0.394,4ouc
  20,5fou_C_A-C_0,A,0.388,0.260,0.260,0.388,5fou
  21,6cdg_B_A-B_0,A,0.286,0.245,0.245,0.286,6cdg
  22,2orz_B_A-B_0,A,0.286,0.153,0.153,0.286,2orz
  23,4j77_D_B-D_1,B,0.330,0.183,0.183,0.330,4j77
  24,5iza_B_A-B_0,A,0.565,0.272,0.272,0.565,5iza
  25,4ynl_C_A-B-C-D_0,A,0.220,0.335,0.220,0.335,4ynl
  26,4ynl_C_A-B-C-D_0,B,0.216,0.327,0.216,0.327,4ynl
  27,1b3g_B_A-B_0,A,0.347,0.120,0.120,0.347,1b3g
  28,4j09_B_A-B_0,A,0.347,0.215,0.215,0.347,4j09
  29,4j09_B_A-B_0,C,0.347,0.215,0.215,0.347,4j09
  30,5sxm_D_B-D_1,B,0.335,0.187,0.187,0.335,5sxm
