index,syst,chain,tm1,tm2,min,max,pdb
   0,4k3r_E_A-B-E_0,A,0.216,0.272,0.216,0.272,4k3r
   1,3mqr_B_A-B_0,A,0.125,0.324,0.125,0.324,3mqr
   2,5m5r_D_A-C-D_0,A,0.256,0.322,0.256,0.322,5m5r
   3,1b58_B_A-B_0,A,0.239,0.231,0.231,0.239,1b58
   4,5grg_D_A-B-C-D_0,A,0.205,0.315,0.205,0.315,5grg
   5,1uop_B_A-B_0,A,0.313,0.233,0.233,0.313,1uop
   6,1gyb_E_A-B-E-F_0,A,0.116,0.323,0.116,0.323,1gyb
   7,1gyb_E_A-B-E-F_0,B,0.114,0.328,0.114,0.328,1gyb
   8,4j77_D_B-D_1,B,0.255,0.364,0.255,0.364,4j77
   9,2foj_B_A-B_0,A,0.123,0.324,0.123,0.324,2foj
  10,4f75_C_A-B-C-D_0,A,0.108,0.325,0.108,0.325,4f75
  11,4f75_C_A-B-C-D_0,B,0.108,0.331,0.108,0.331,4f75
  12,4j86_C_A-C_0,A,0.255,0.363,0.255,0.363,4j86
  13,6hpg_c_C-c_2,C,0.141,0.400,0.141,0.400,6hpg
  14,1b3g_B_A-B_0,A,0.242,0.233,0.233,0.242,1b3g
  15,5jiu_C_A-B-C-D_0,A,0.193,0.364,0.193,0.364,5jiu
  16,4bjt_E_B-E_2,B,0.166,0.398,0.166,0.398,4bjt
  17,1nvs_B_A-B_0,A,0.180,0.287,0.180,0.287,1nvs
  18,4joh_D_A-D_0,A,0.119,0.430,0.119,0.430,4joh
  19,1oby_Q_A-B-P-Q_0,A,0.107,0.432,0.107,0.432,1oby
  20,1oby_Q_A-B-P-Q_0,B,0.106,0.431,0.106,0.431,1oby
  21,5fou_C_A-C_0,A,0.237,0.430,0.237,0.430,5fou
  22,3rt9_B_A-B_0,F,1.000,1.000,1.000,1.000,3rt9
  23,3rt9_B_A-B_0,A,1.000,1.000,1.000,1.000,3rt9
  24,5eyz_E_A-E_0,A,0.117,0.405,0.117,0.405,5eyz
  25,3uf7_B_A-B-C_0,A,0.191,0.353,0.191,0.353,3uf7
  26,5ovc_B_A-B_0,A,0.117,0.388,0.117,0.388,5ovc
  27,5zw6_C_A-B-C-D_0,A,0.241,0.286,0.241,0.286,5zw6
  28,4sga_P_E-P_0,E,0.169,0.347,0.169,0.347,4sga
  29,4j44_B_A-B_0,A,0.110,0.429,0.110,0.429,4j44
  30,5wir_D_A-B-C-D_0,B,0.173,0.329,0.173,0.329,5wir
  31,4j78_B_A-B_0,A,0.252,0.360,0.252,0.360,4j78
  32,1fch_C_A-B-C-D_2,F,0.239,0.346,0.239,0.346,1fch
  33,1fch_C_A-B-C-D_2,A,0.240,0.344,0.240,0.344,1fch
  34,4mvk_B_A-B_0,A,0.155,0.331,0.155,0.331,4mvk
  35,4c2g_B_A-B-C_0,A,0.272,0.297,0.272,0.297,4c2g
  36,3ivq_D_B-D_1,B,0.125,0.323,0.125,0.323,3ivq
  37,1ghb_P_E-F-G-P_0,F,0.127,0.337,0.127,0.337,1ghb
  38,1ghb_P_E-F-G-P_0,G,0.103,0.334,0.103,0.334,1ghb
  39,1ghb_P_E-F-G-P_0,C,0.103,0.334,0.103,0.334,1ghb
  40,1ghb_P_E-F-G-P_0,B,0.127,0.337,0.127,0.337,1ghb
  41,4que_E_A-C-D-E-H-J_0,A,0.245,0.444,0.245,0.444,4que
  42,3drh_B_A-B_0,A,0.278,0.253,0.253,0.278,3drh
  43,4j81_C_B-C_1,B,0.251,0.359,0.251,0.359,4j81
  44,3agy_C_A-B-C-D-F_0,A,0.126,0.263,0.126,0.263,3agy
  45,2zjd_D_C-D_5,C,0.123,0.331,0.123,0.331,2zjd
  46,5v5p_A_A-B-C_0,C,0.251,0.279,0.251,0.279,5v5p
  47,1b46_B_A-B_0,A,0.259,0.249,0.249,0.259,1b46
  48,3sjk_B_A-B_0,A,0.148,0.301,0.148,0.301,3sjk
  49,3fwv_C_A-C_0,A,0.151,0.411,0.151,0.411,3fwv
  50,2nph_S_A-B-S-T_0,A,0.107,0.332,0.107,0.332,2nph
  51,2nph_S_A-B-S-T_0,B,0.109,0.334,0.109,0.334,2nph
  52,5fch_C_A-B-C_0,A,0.277,0.323,0.277,0.323,5fch
  53,5fch_C_A-B-C_0,B,0.275,0.322,0.275,0.322,5fch
  54,3ziq_B_A-B-C_0,A,0.251,0.278,0.251,0.278,3ziq
  55,1sua_C_A-C_0,A,0.277,0.454,0.277,0.454,1sua
  56,3cvl_B_A-B_0,A,0.246,0.359,0.246,0.359,3cvl
  57,1ok7_C_A-B-C_0,B,0.230,0.283,0.230,0.283,1ok7
  58,5fow_E_A-E_0,A,0.229,0.435,0.229,0.435,5fow
  59,4pz3_C_A-B-C_0,B,0.135,0.311,0.135,0.311,4pz3
  60,2ql9_G_A-B-C-D-E-F-G_0,D,0.104,0.437,0.104,0.437,2ql9
  61,2ql9_G_A-B-C-D-E-F-G_0,A,0.181,0.512,0.181,0.512,2ql9
  62,2ql9_G_A-B-C-D-E-F-G_0,C,0.180,0.512,0.180,0.512,2ql9
  63,2ql9_G_A-B-C-D-E-F-G_0,B,0.104,0.436,0.104,0.436,2ql9
  64,2foo_B_A-B_0,A,0.125,0.326,0.125,0.326,2foo
  65,3m5m_C_B-C_1,B,0.179,0.350,0.179,0.350,3m5m
  66,4ikn_B_A-B_0,A,0.181,0.298,0.181,0.298,4ikn
  67,4v3i_B_A-B_0,A,0.163,0.397,0.163,0.397,4v3i
  68,2f5b_P_H-L-P_0,L,0.183,0.341,0.183,0.341,2f5b
  69,2f5b_P_H-L-P_0,H,0.174,0.305,0.174,0.305,2f5b
  70,3rte_B_A-B_0,G,1.000,1.000,1.000,1.000,3rte
  71,3rte_B_A-B_0,A,1.000,1.000,1.000,1.000,3rte
  72,3uoa_L_B-C-L-M_0,B,0.245,0.307,0.245,0.307,3uoa
  73,6cdc_C_A-C_0,A,0.151,0.341,0.151,0.341,6cdc
  74,1b5i_B_A-B_0,A,0.259,0.249,0.249,0.259,1b5i
  75,2h59_D_A-B-D-E_0,A,0.232,0.410,0.232,0.410,2h59
  76,2h59_D_A-B-D-E_0,B,0.202,0.345,0.202,0.345,2h59
  77,1s2k_B_A-B_0,A,0.152,0.284,0.152,0.284,1s2k
  78,1uoq_B_A-B_0,A,0.311,0.231,0.231,0.311,1uoq
  79,3njj_B_A-B_0,A,0.115,0.356,0.115,0.356,3njj
  80,3cww_E_A-B-D-E_0,A,0.277,0.169,0.169,0.277,3cww
  81,4j79_B_A-B_0,A,0.252,0.360,0.252,0.360,4j79
  82,2v3s_C_B-C_1,B,0.115,0.372,0.115,0.372,2v3s
  83,1b51_B_A-B_0,A,0.242,0.233,0.233,0.242,1b51
  84,4c2c_B_A-B-C_0,A,0.272,0.298,0.272,0.298,4c2c
  85,3psl_D_B-D_1,B,0.269,0.387,0.269,0.387,3psl
  86,2wa8_D_C-D_1,C,0.124,0.401,0.124,0.401,2wa8
  87,3lny_B_A-B_0,A,0.123,0.425,0.123,0.425,3lny
  88,5m5u_G_A-E-G_0,A,0.257,0.321,0.257,0.321,5m5u
  89,1a7c_B_A-B-C_0,A,0.213,0.264,0.213,0.264,1a7c
  90,4ojf_A_A-H-L_0,L,0.172,0.306,0.172,0.306,4ojf
  91,4ojf_A_A-H-L_0,H,0.177,0.310,0.177,0.310,4ojf
  92,3drj_B_A-B_0,A,0.268,0.244,0.244,0.268,3drj
  93,4ba3_B_A-B_0,A,0.251,0.277,0.251,0.277,4ba3
  94,4jwd_C_B-C_1,B,0.149,0.273,0.149,0.273,4jwd
  95,4j09_B_A-B_0,A,0.210,0.330,0.210,0.330,4j09
  96,4j09_B_A-B_0,C,0.210,0.330,0.210,0.330,4j09
  97,2fop_B_A-B_0,A,0.125,0.325,0.125,0.325,2fop
  98,3nik_X_D-X_2,D,0.096,0.357,0.096,0.357,3nik
  99,4ztd_F_A-B-C-D-E-F_0,C,0.179,0.295,0.179,0.295,4ztd
 100,4xal_B_A-B_0,A,0.094,0.336,0.094,0.336,4xal
 101,3woq_C_A-B-C-D_0,A,0.216,0.168,0.168,0.216,3woq
 102,1czy_D_A-B-C-D-E_0,A,0.145,0.298,0.145,0.298,1czy
 103,5jjm_G_A-G-M_0,A,0.174,0.284,0.174,0.284,5jjm
 104,5fpk_C_A-C_0,A,0.236,0.436,0.236,0.436,5fpk
 105,4kg9_B_A-B_0,A,0.120,0.307,0.120,0.307,4kg9
 106,1str_M_B-D-M-P_0,C,0.114,0.320,0.114,0.320,1str
 107,1str_M_B-D-M-P_0,B,0.125,0.335,0.125,0.335,1str
 108,2i3h_C_A-C_0,A,0.108,0.378,0.108,0.378,2i3h
 109,1ddv_B_A-B_0,A,0.095,0.298,0.095,0.298,1ddv
 110,3jrv_D_B-D_1,B,0.141,0.342,0.141,0.342,3jrv
 111,3nih_B_A-B_0,A,0.090,0.344,0.090,0.344,3nih
 112,1evh_B_A-B_0,A,0.112,0.340,0.112,0.340,1evh
 113,2x6m_B_A-B_0,A,0.122,0.316,0.122,0.316,2x6m
 114,5lb7_C_A-B-C_0,A,0.157,0.368,0.157,0.368,5lb7
 115,5lb7_C_A-B-C_0,B,0.076,0.367,0.076,0.367,5lb7
 116,2hpl_B_A-B_0,A,0.112,0.378,0.112,0.378,2hpl
 117,3drk_B_A-B_0,A,0.277,0.252,0.252,0.277,3drk
 118,4pxm_D_A-B-C-D_0,B,0.174,0.307,0.174,0.307,4pxm
 119,3f7o_X_A-X_0,A,0.285,0.451,0.285,0.451,3f7o
 120,5fgb_G_B-E-G_1,E,0.188,0.348,0.188,0.348,5fgb
 121,5fgb_G_B-E-G_1,B,0.164,0.297,0.164,0.297,5fgb
 122,2h2f_B_A-B_0,A,0.234,0.428,0.234,0.428,2h2f
 123,4mz6_A_A-C-E_0,E,0.252,0.278,0.252,0.278,4mz6
 124,6cdg_B_A-B_0,A,0.157,0.355,0.157,0.355,6cdg
 125,5iag_D_A-B-D_0,A,0.246,0.441,0.246,0.441,5iag
 126,2d5w_C_A-C_0,A,0.285,0.245,0.245,0.285,2d5w
 127,5xup_D_A-B-C-D_0,B,0.168,0.337,0.168,0.337,5xup
 128,5yba_B_A-B-C-D_0,A,0.172,0.363,0.172,0.363,5yba
 129,6fqc_E_A-B-D-E_0,A,0.206,0.271,0.206,0.271,6fqc
 130,4cic_Q_A-B-Q_0,A,0.137,0.352,0.137,0.352,4cic
 131,4cic_Q_A-B-Q_0,B,0.142,0.351,0.142,0.351,4cic
 132,2y7l_B_A-B_0,A,0.183,0.252,0.183,0.252,2y7l
 133,1u9l_C_B-C_1,B,0.093,0.470,0.093,0.470,1u9l
 134,3s9c_B_A-B_0,A,0.175,0.296,0.175,0.296,3s9c
 135,1obz_P_A-B-P_0,A,0.161,0.364,0.161,0.364,1obz
 136,6eja_B_A-B_0,A,0.292,0.223,0.223,0.292,6eja
 137,3zvy_D_B-D_0,B,0.089,0.358,0.089,0.358,3zvy
 138,1b05_B_A-B_0,A,0.259,0.249,0.249,0.259,1b05
 139,2v17_A_A-H-L_0,L,0.184,0.335,0.184,0.335,2v17
 140,2v17_A_A-H-L_0,H,0.178,0.318,0.178,0.318,2v17
 141,3ny3_B_A-B_0,A,0.080,0.312,0.080,0.312,3ny3
 142,1qka_B_A-B_0,A,0.241,0.232,0.232,0.241,1qka
 143,5k4f_C_A-C_0,A,0.120,0.428,0.120,0.428,5k4f
 144,4ezy_B_A-B_2,A,0.137,0.236,0.137,0.236,4ezy
 145,5tu5_B_A-B_0,A,0.226,0.326,0.226,0.326,5tu5
 146,4wnn_T_C-D-T_3,D,0.127,0.427,0.127,0.427,4wnn
 147,4wnn_T_C-D-T_3,C,0.094,0.403,0.094,0.403,4wnn
 148,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.108,0.382,0.108,0.382,1xb0
 149,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.107,0.370,0.107,0.370,1xb0
 150,3mmg_C_A-C_0,A,0.174,0.318,0.174,0.318,3mmg
 151,4ouc_B_A-B_0,A,0.212,0.286,0.212,0.286,4ouc
 152,1elr_B_A-B_0,A,0.155,0.416,0.155,0.416,1elr
 153,5m5v_G_A-E-G-I_0,A,0.259,0.325,0.259,0.325,5m5v
 154,1hsb_C_A-B-C_0,A,0.205,0.319,0.205,0.319,1hsb
 155,3rc5_B_A-B_0,A,0.180,0.352,0.180,0.352,3rc5
 156,3nii_B_A-B_0,A,0.094,0.350,0.094,0.350,3nii
 157,1kyf_P_A-P_0,A,0.172,0.281,0.172,0.281,1kyf
 158,3nij_B_A-B_0,A,0.091,0.345,0.091,0.345,3nij
 159,5azf_C_A-C_0,A,0.119,0.345,0.119,0.345,5azf
 160,3cbl_B_A-B_0,A,0.240,0.303,0.240,0.303,3cbl
 161,6cd8_C_A-C_0,A,0.167,0.372,0.167,0.372,6cd8
 162,4iim_E_A-B-C-D-E_0,B,0.072,0.376,0.072,0.376,4iim
 163,5huy_B_A-B-C_0,C,0.252,0.280,0.252,0.280,5huy
 164,4hxj_C_A-C_0,A,0.064,0.294,0.064,0.294,4hxj
 165,4j84_D_B-D_1,B,0.250,0.360,0.250,0.360,4j84
 166,3zs6_B_A-B_0,A,0.260,0.254,0.254,0.260,3zs6
 167,2r9q_X_A-C-X_1,C,0.247,0.326,0.247,0.326,2r9q
 168,4r5i_B_A-B_0,A,0.136,0.246,0.136,0.246,4r5i
 169,4b8o_C_A-B-C_0,A,0.252,0.281,0.252,0.281,4b8o
 170,3sxu_C_A-B-C_0,A,0.185,0.483,0.185,0.483,3sxu
 171,4jok_D_B-D_1,B,0.119,0.430,0.119,0.430,4jok
 172,4ynl_C_A-B-C-D_0,A,0.094,0.425,0.094,0.425,4ynl
 173,4ynl_C_A-B-C-D_0,B,0.093,0.429,0.093,0.429,4ynl
 174,3nfk_D_A-B-C-D_2,B,0.121,0.422,0.121,0.422,3nfk
 175,5d9g_C_A-C_0,A,0.186,0.312,0.186,0.312,5d9g
 176,3oqs_B_A-B_0,A,0.245,0.271,0.245,0.271,3oqs
 177,5huw_B_A-B-C_0,C,0.250,0.277,0.250,0.277,5huw
 178,5wun_C_A-B-C_0,A,0.248,0.274,0.248,0.274,5wun
 179,3nfl_G_B-C-F-G_5,C,0.121,0.428,0.121,0.428,3nfl
 180,5kzt_C_A-C_0,A,0.246,0.239,0.239,0.246,5kzt
 181,3nim_X_F-X_3,F,0.095,0.352,0.095,0.352,3nim
 182,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.179,0.279,0.179,0.279,5fjz
 183,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.175,0.274,0.175,0.274,5fjz
 184,3rc4_B_A-B_0,A,0.179,0.349,0.179,0.349,3rc4
 185,3thk_C_A-C_0,A,0.072,0.373,0.072,0.373,3thk
 186,4z8j_B_A-B_0,A,0.108,0.366,0.108,0.366,4z8j
 187,5t6p_E_C-D-E_1,D,0.184,0.348,0.184,0.348,5t6p
 188,5t6p_E_C-D-E_1,C,0.162,0.293,0.162,0.293,5t6p
 189,3m5o_C_A-C_0,A,0.181,0.354,0.181,0.354,3m5o
 190,1mfl_B_A-B_0,A,0.111,0.399,0.111,0.399,1mfl
 191,3v43_Q_A-Q_0,A,0.115,0.340,0.115,0.340,3v43
 192,3shb_B_A-B_0,A,0.088,0.374,0.088,0.374,3shb
 193,2zgh_B_A-B_0,A,0.168,0.290,0.168,0.290,2zgh
 194,1tw6_C_A-B-C-D_2,F,0.106,0.357,0.106,0.357,1tw6
 195,1tw6_C_A-B-C-D_2,A,0.102,0.375,0.102,0.375,1tw6
 196,4fys_C_A-C_0,A,0.352,0.222,0.222,0.352,4fys
 197,3o2b_D_C-D_1,C,0.128,0.399,0.128,0.399,3o2b
 198,4jor_D_B-D_1,B,0.121,0.436,0.121,0.436,4jor
 199,3vqg_B_A-B_0,A,0.108,0.386,0.108,0.386,3vqg
 200,4k75_B_A-B_0,A,0.119,0.431,0.119,0.431,4k75
 201,3dri_B_A-B_0,A,0.266,0.242,0.242,0.266,3dri
 202,3fp2_Q_A-Q_0,A,0.316,0.319,0.316,0.319,3fp2
 203,3lca_Q_A-Q_0,A,0.315,0.318,0.315,0.318,3lca
 204,2v5w_G_B-G-L_1,B,0.279,0.350,0.279,0.350,2v5w
 205,1b40_B_A-B_0,A,0.259,0.249,0.249,0.259,1b40
 206,3d9t_D_B-D_1,B,0.109,0.377,0.109,0.377,3d9t
 207,3hda_Z_P-Z_0,P,0.256,0.306,0.256,0.306,3hda
 208,4jmy_E_A-C-E_0,A,0.174,0.366,0.174,0.366,4jmy
 209,1w9e_S_A-B-R-S-T_0,B,0.160,0.361,0.160,0.361,1w9e
 210,4rxh_A_A-B-C_0,B,0.256,0.286,0.256,0.286,4rxh
 211,4quh_D_A-C-D-I-J_0,A,0.246,0.446,0.246,0.446,4quh
 212,4f74_C_A-B-C_0,A,0.108,0.339,0.108,0.339,4f74
 213,4f74_C_A-B-C_0,B,0.105,0.345,0.105,0.345,4f74
 214,2v5f_X_A-X_0,A,0.119,0.392,0.119,0.392,2v5f
 215,1sdz_B_A-B_0,A,0.097,0.333,0.097,0.333,1sdz
 216,1b32_B_A-B_0,A,0.259,0.249,0.249,0.259,1b32
 217,5ovv_B_A-B_0,A,0.106,0.345,0.106,0.345,5ovv
 218,4gne_B_A-B_0,A,0.103,0.327,0.103,0.327,4gne
 219,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.216,0.315,0.216,0.315,2z9i
 220,4z88_V_J-V_1,J,0.074,0.344,0.074,0.344,4z88
 221,4m38_E_A-B-E-F_0,A,0.285,0.384,0.285,0.384,4m38
 222,5iza_B_A-B_0,A,0.246,0.323,0.246,0.323,5iza
 223,6cd9_B_A-B_0,A,0.162,0.368,0.162,0.368,6cd9
 224,4xi7_C_A-C_0,A,0.221,0.276,0.221,0.276,4xi7
