index,syst,chain,tm1,tm2,min,max,pdb
   0,3m5o_C_A-C_0,A,0.284,0.252,0.252,0.284,3m5o
   1,5fox_C_A-C_0,A,0.318,0.262,0.262,0.318,5fox
   2,4k3p_E_A-B-E_0,A,0.297,0.160,0.160,0.297,4k3p
   3,5wir_D_A-B-C-D_0,B,0.348,0.296,0.296,0.348,5wir
   4,2v1r_R_A-Q-R_0,A,0.196,0.375,0.196,0.375,2v1r
   5,1a30_C_A-B-C_0,A,0.240,0.337,0.240,0.337,1a30
   6,1a30_C_A-B-C_0,B,0.247,0.356,0.247,0.356,1a30
   7,4ezq_B_A-B_1,A,0.298,0.239,0.239,0.298,4ezq
   8,4dgb_B_A-B_0,A,0.333,0.334,0.333,0.334,4dgb
   9,1sem_C_A-B-C-D_0,A,0.201,0.427,0.201,0.427,1sem
  10,6cd9_B_A-B_0,A,0.977,0.965,0.965,0.977,6cd9
  11,4mvk_B_A-B_0,A,0.434,0.420,0.420,0.434,4mvk
  12,6fkp_G_C-G_2,C,0.166,0.321,0.166,0.321,6fkp
  13,2ql9_G_A-B-C-D-E-F-G_0,D,0.213,0.313,0.213,0.313,2ql9
  14,2ql9_G_A-B-C-D-E-F-G_0,A,0.249,0.274,0.249,0.274,2ql9
  15,2ql9_G_A-B-C-D-E-F-G_0,C,0.243,0.269,0.243,0.269,2ql9
  16,2ql9_G_A-B-C-D-E-F-G_0,B,0.217,0.308,0.217,0.308,2ql9
  17,5fch_C_A-B-C_0,A,0.350,0.178,0.178,0.350,5fch
  18,5fch_C_A-B-C_0,B,0.349,0.181,0.181,0.349,5fch
  19,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.349,0.203,0.203,0.349,4tr9
  20,5t6p_E_C-D-E_1,D,0.276,0.238,0.238,0.276,5t6p
  21,5t6p_E_C-D-E_1,C,0.276,0.231,0.231,0.276,5t6p
  22,3rta_B_A-B_0,F,0.355,0.157,0.157,0.355,3rta
  23,3rta_B_A-B_0,A,0.355,0.157,0.157,0.355,3rta
