index,syst,chain,tm1,tm2,min,max,pdb
   0,6cdc_C_A-C_0,A,0.120,0.241,0.120,0.241,6cdc
   1,5d9g_C_A-C_0,A,0.157,0.235,0.157,0.235,5d9g
   2,4o51_N_A-B-N_1,A,0.148,0.244,0.148,0.244,4o51
   3,4o51_N_A-B-N_1,B,0.152,0.252,0.152,0.252,4o51
   4,4fys_C_A-C_0,A,0.432,0.233,0.233,0.432,4fys
   5,4ezq_B_A-B_1,A,0.154,0.265,0.154,0.265,4ezq
   6,3cww_E_A-B-D-E_0,A,0.285,0.153,0.153,0.285,3cww
   7,1czy_D_A-B-C-D-E_0,A,0.155,0.301,0.155,0.301,1czy
   8,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.091,0.304,0.091,0.304,2y1l
   9,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.148,0.330,0.148,0.330,2y1l
  10,1w9e_S_A-B-R-S-T_0,B,0.139,0.277,0.139,0.277,1w9e
  11,5xup_D_A-B-C-D_0,B,0.263,0.495,0.263,0.495,5xup
  12,2nph_S_A-B-S-T_0,A,0.090,0.259,0.090,0.259,2nph
  13,2nph_S_A-B-S-T_0,B,0.098,0.290,0.098,0.290,2nph
  14,4k3m_E_A-B-E_0,A,0.196,0.220,0.196,0.220,4k3m
  15,4g69_B_A-B_0,A,0.093,0.265,0.093,0.265,4g69
  16,4ikn_B_A-B_0,A,0.169,0.248,0.169,0.248,4ikn
  17,4k75_B_A-B_0,A,0.082,0.243,0.082,0.243,4k75
  18,5fch_C_A-B-C_0,A,0.194,0.203,0.194,0.203,5fch
  19,5fch_C_A-B-C_0,B,0.193,0.203,0.193,0.203,5fch
  20,3emh_B_A-B_0,A,0.203,0.262,0.203,0.262,3emh
  21,4pyw_B_A-B-C_0,A,0.171,0.191,0.171,0.191,4pyw
  22,1kyf_P_A-P_0,A,0.180,0.262,0.180,0.262,1kyf
  23,3nik_X_D-X_2,D,0.085,0.283,0.085,0.283,3nik
  24,3srj_D_A-C-D_0,A,0.181,0.230,0.181,0.230,3srj
  25,4pxm_D_A-B-C-D_0,B,0.180,0.293,0.180,0.293,4pxm
  26,6cdg_B_A-B_0,A,0.128,0.252,0.128,0.252,6cdg
  27,1obz_P_A-B-P_0,A,0.139,0.280,0.139,0.280,1obz
  28,5m5v_G_A-E-G-I_0,A,0.240,0.268,0.240,0.268,5m5v
  29,1b40_B_A-B_0,A,0.258,0.222,0.222,0.258,1b40
  30,4sga_P_E-P_0,E,0.135,0.244,0.135,0.244,4sga
  31,3sjk_B_A-B_0,A,0.132,0.250,0.132,0.250,3sjk
  32,4b3b_C_A-C_0,A,0.194,0.317,0.194,0.317,4b3b
  33,3lny_B_A-B_0,A,0.085,0.270,0.085,0.270,3lny
  34,4j79_B_A-B_0,A,0.214,0.274,0.214,0.274,4j79
  35,4j46_B_A-B_0,A,0.099,0.342,0.099,0.342,4j46
  36,1h27_E_A-B-E_0,B,0.180,0.259,0.180,0.259,1h27
  37,1tw6_C_A-B-C-D_2,F,0.123,0.358,0.123,0.358,1tw6
  38,1tw6_C_A-B-C-D_2,A,0.112,0.365,0.112,0.365,1tw6
  39,2x6m_B_A-B_0,A,0.108,0.267,0.108,0.267,2x6m
  40,5ovc_B_A-B_0,A,0.088,0.259,0.088,0.259,5ovc
  41,3s9c_B_A-B_0,A,0.146,0.231,0.146,0.231,3s9c
  42,3d9t_D_B-D_1,B,0.113,0.356,0.113,0.356,3d9t
  43,3g19_C_A-C_0,A,0.096,0.373,0.096,0.373,3g19
  44,4jor_D_B-D_1,B,0.066,0.264,0.066,0.264,4jor
  45,6exj_B_A-B_0,A,0.076,0.253,0.076,0.253,6exj
  46,3nfk_D_A-B-C-D_2,B,0.085,0.248,0.085,0.248,3nfk
  47,4o4y_A_A-H-L_0,L,0.149,0.237,0.149,0.237,4o4y
  48,4o4y_A_A-H-L_0,H,0.158,0.256,0.158,0.256,4o4y
  49,3nij_B_A-B_0,A,0.083,0.292,0.083,0.292,3nij
  50,3m5m_C_B-C_1,B,0.181,0.311,0.181,0.311,3m5m
  51,4k3q_E_A-B-E_0,A,0.198,0.222,0.198,0.222,4k3q
  52,5fox_C_A-C_0,A,0.183,0.302,0.183,0.302,5fox
  53,1sem_C_A-B-C-D_0,A,0.072,0.295,0.072,0.295,1sem
  54,4fii_B_A-B_0,A,0.218,0.283,0.218,0.283,4fii
  55,1str_M_B-D-M-P_0,C,0.115,0.264,0.115,0.264,1str
  56,1str_M_B-D-M-P_0,B,0.118,0.270,0.118,0.270,1str
  57,4x2h_C_A-B-C_0,A,0.128,0.234,0.128,0.234,4x2h
  58,2h59_D_A-B-D-E_0,A,0.157,0.234,0.157,0.234,2h59
  59,2h59_D_A-B-D-E_0,B,0.168,0.257,0.168,0.257,2h59
  60,3mmg_C_A-C_0,A,0.155,0.252,0.155,0.252,3mmg
  61,3sxu_C_A-B-C_0,A,0.146,0.335,0.146,0.335,3sxu
  62,3cbl_B_A-B_0,A,0.268,0.304,0.268,0.304,3cbl
  63,1uop_B_A-B_0,A,0.330,0.223,0.223,0.330,1uop
  64,1uoq_B_A-B_0,A,0.329,0.222,0.222,0.329,1uoq
  65,3lca_Q_A-Q_0,A,0.371,0.336,0.336,0.371,3lca
  66,5elq_P_A-P_0,A,0.079,0.243,0.079,0.243,5elq
  67,1vwa_M_B-D-M-P_0,C,0.110,0.261,0.110,0.261,1vwa
  68,1vwa_M_B-D-M-P_0,B,0.114,0.266,0.114,0.266,1vwa
  69,5zw6_C_A-B-C-D_0,A,0.327,0.346,0.327,0.346,5zw6
  70,3gv4_H_A-H_0,A,0.107,0.318,0.107,0.318,3gv4
  71,1b3g_B_A-B_0,A,0.258,0.222,0.222,0.258,1b3g
  72,4ba3_B_A-B_0,A,0.996,0.987,0.987,0.996,4ba3
  73,3nin_E_B-E_1,B,0.077,0.272,0.077,0.272,3nin
  74,1b9j_B_A-B_0,A,0.258,0.222,0.222,0.258,1b9j
  75,3f7o_X_A-X_0,A,0.225,0.299,0.225,0.299,3f7o
  76,4k72_C_A-C_0,A,0.075,0.250,0.075,0.250,4k72
  77,2wa8_D_C-D_1,C,0.096,0.317,0.096,0.317,2wa8
  78,4m38_E_A-B-E-F_0,A,0.204,0.240,0.204,0.240,4m38
  79,4jjq_B_A-B_0,A,0.126,0.288,0.126,0.288,4jjq
  80,1b51_B_A-B_0,A,0.260,0.224,0.224,0.260,1b51
  81,2hpl_B_A-B_0,A,0.120,0.374,0.120,0.374,2hpl
  82,1e4x_P_H-L-P_0,L,0.155,0.258,0.155,0.258,1e4x
  83,1e4x_P_H-L-P_0,H,0.160,0.253,0.160,0.253,1e4x
  84,4j09_B_A-B_0,A,0.226,0.317,0.226,0.317,4j09
  85,4j09_B_A-B_0,C,0.226,0.317,0.226,0.317,4j09
  86,3cvl_B_A-B_0,A,0.306,0.405,0.306,0.405,3cvl
  87,1evh_B_A-B_0,A,0.122,0.353,0.122,0.353,1evh
  88,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.264,0.304,0.264,0.304,2ot0
  89,5huy_B_A-B-C_0,C,0.997,0.997,0.997,0.997,5huy
  90,3uf7_B_A-B-C_0,A,0.181,0.282,0.181,0.282,3uf7
  91,3fp4_Q_A-Q_0,A,0.362,0.327,0.327,0.362,3fp4
  92,2v17_A_A-H-L_0,L,0.144,0.240,0.144,0.240,2v17
  93,2v17_A_A-H-L_0,H,0.154,0.246,0.154,0.246,2v17
  94,3mqr_B_A-B_0,A,0.125,0.288,0.125,0.288,3mqr
  95,4nnm_C_A-C_0,A,0.101,0.246,0.101,0.246,4nnm
  96,4k3p_E_A-B-E_0,A,0.195,0.218,0.195,0.218,4k3p
  97,2h2f_B_A-B_0,A,0.169,0.269,0.169,0.269,2h2f
  98,3woo_C_A-B-C-D_0,A,0.242,0.169,0.169,0.242,3woo
  99,3nih_B_A-B_0,A,0.082,0.289,0.082,0.289,3nih
 100,4j47_B_A-B_0,A,0.099,0.341,0.099,0.341,4j47
 101,1nvs_B_A-B_0,A,0.220,0.307,0.220,0.307,1nvs
 102,3ebb_F_A-B-E-F_0,B,0.454,0.692,0.454,0.692,3ebb
 103,4ynl_C_A-B-C-D_0,A,0.086,0.360,0.086,0.360,4ynl
 104,4ynl_C_A-B-C-D_0,B,0.087,0.365,0.087,0.365,4ynl
 105,4odk_C_A-B-C_0,A,0.116,0.253,0.116,0.253,4odk
 106,6ew9_P_A-B-C-P-Q-R_0,A,0.217,0.272,0.217,0.272,6ew9
 107,3rc4_B_A-B_0,A,0.183,0.309,0.183,0.309,3rc4
 108,2v1r_R_A-Q-R_0,A,0.082,0.339,0.082,0.339,2v1r
 109,4f75_C_A-B-C-D_0,A,0.096,0.281,0.096,0.281,4f75
 110,4f75_C_A-B-C-D_0,B,0.099,0.290,0.099,0.290,4f75
 111,5nqv_G_A-C-E-G_0,C,0.232,0.444,0.232,0.444,5nqv
 112,6eja_B_A-B_0,A,0.293,0.205,0.205,0.293,6eja
 113,5azf_C_A-C_0,A,0.118,0.302,0.118,0.302,5azf
 114,3m5o_C_A-C_0,A,0.184,0.311,0.184,0.311,3m5o
 115,4faf_D_A-B-D_0,A,0.102,0.296,0.102,0.296,4faf
 116,4faf_D_A-B-D_0,B,0.093,0.280,0.093,0.280,4faf
 117,1svz_C_A-B-C-D_0,A,0.183,0.279,0.183,0.279,1svz
 118,4kg9_B_A-B_0,A,0.124,0.291,0.124,0.291,4kg9
 119,3rta_B_A-B_0,F,0.279,0.251,0.251,0.279,3rta
 120,3rta_B_A-B_0,A,0.279,0.251,0.251,0.279,3rta
 121,1olc_B_A-B_0,A,0.260,0.224,0.224,0.260,1olc
 122,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.115,0.287,0.115,0.287,1kl5
 123,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.115,0.288,0.115,0.288,1kl5
 124,4j45_B_A-B_0,A,0.099,0.343,0.099,0.343,4j45
 125,4ezn_C_A-B-C-D_0,A,0.150,0.257,0.150,0.257,4ezn
 126,1s2k_B_A-B_0,A,0.141,0.238,0.141,0.238,1s2k
 127,3fwv_C_A-C_0,A,0.234,0.594,0.234,0.594,3fwv
 128,1qka_B_A-B_0,A,0.256,0.221,0.221,0.256,1qka
 129,5gu4_C_A-C_0,A,0.161,0.235,0.161,0.235,5gu4
 130,2zgh_B_A-B_0,A,0.145,0.214,0.145,0.214,2zgh
 131,3hds_E_A-D-E_0,D,0.117,0.339,0.117,0.339,3hds
 132,3hds_E_A-D-E_0,A,0.113,0.337,0.113,0.337,3hds
 133,4ztd_F_A-B-C-D-E-F_0,C,0.146,0.215,0.146,0.215,4ztd
 134,1awr_J_D-J_5,D,0.148,0.307,0.148,0.307,1awr
 135,3rte_B_A-B_0,G,0.283,0.255,0.255,0.283,3rte
 136,3rte_B_A-B_0,A,0.283,0.255,0.255,0.283,3rte
 137,5iag_D_A-B-D_0,A,0.189,0.291,0.189,0.291,5iag
 138,3l81_B_A-B_0,A,0.178,0.264,0.178,0.264,3l81
 139,4f74_C_A-B-C_0,A,0.098,0.290,0.098,0.290,4f74
 140,4f74_C_A-B-C_0,B,0.096,0.283,0.096,0.283,4f74
 141,4zhb_B_A-B_0,A,0.181,0.539,0.181,0.539,4zhb
 142,1jwg_D_B-D_1,B,0.249,0.615,0.249,0.615,1jwg
 143,3ifo_P_H-L-P_0,L,0.168,0.276,0.168,0.276,3ifo
 144,3ifo_P_H-L-P_0,H,0.149,0.241,0.149,0.241,3ifo
 145,3qhw_L_A-B-J-L_0,B,0.180,0.257,0.180,0.257,3qhw
 146,3f6k_N_A-N_0,A,0.300,0.217,0.217,0.300,3f6k
 147,6fkp_G_C-G_2,C,0.065,0.303,0.065,0.303,6fkp
 148,4xal_B_A-B_0,A,0.090,0.337,0.090,0.337,4xal
 149,5ovv_B_A-B_0,A,0.089,0.250,0.089,0.250,5ovv
 150,5v5p_A_A-B-C_0,C,1.000,1.000,1.000,1.000,5v5p
 151,2fib_B_A-B_0,A,0.209,0.308,0.209,0.308,2fib
 152,5lyn_C_A-B-C-D_0,A,0.240,0.591,0.240,0.591,5lyn
 153,5lyn_C_A-B-C-D_0,B,0.239,0.581,0.239,0.581,5lyn
 154,1sts_P_B-D-M-P_0,D,0.104,0.261,0.104,0.261,1sts
 155,1sts_P_B-D-M-P_0,A,0.109,0.271,0.109,0.271,1sts
 156,5sxm_D_B-D_1,B,0.208,0.267,0.208,0.267,5sxm
 157,4jmy_E_A-C-E_0,A,0.166,0.305,0.166,0.305,4jmy
 158,3nil_X_D-X_2,D,0.084,0.283,0.084,0.283,3nil
 159,3rt9_B_A-B_0,F,0.283,0.255,0.255,0.283,3rt9
 160,3rt9_B_A-B_0,A,0.283,0.255,0.255,0.283,3rt9
 161,3hda_Z_P-Z_0,P,0.340,0.366,0.340,0.366,3hda
 162,1ddv_B_A-B_0,A,0.108,0.332,0.108,0.332,1ddv
 163,3dri_B_A-B_0,A,0.268,0.218,0.218,0.268,3dri
 164,4j86_C_A-C_0,A,0.215,0.276,0.215,0.276,4j86
 165,5y53_F_C-E-F_1,C,0.129,0.330,0.129,0.330,5y53
 166,5y53_F_C-E-F_1,E,0.132,0.337,0.132,0.337,5y53
 167,5m5u_G_A-E-G_0,A,0.243,0.273,0.243,0.273,5m5u
 168,1b32_B_A-B_0,A,0.258,0.222,0.222,0.258,1b32
 169,4j77_D_B-D_1,B,0.214,0.276,0.214,0.276,4j77
 170,3agy_C_A-B-C-D-F_0,A,0.146,0.284,0.146,0.284,3agy
 171,6cd9_B_A-B_0,A,0.122,0.242,0.122,0.242,6cd9
 172,4gyo_C_A-B-C-D_0,B,0.375,0.424,0.375,0.424,4gyo
 173,2i3h_C_A-C_0,A,0.113,0.357,0.113,0.357,2i3h
 174,2ce9_X_A-B-X_0,A,0.208,0.245,0.208,0.245,2ce9
 175,5oav_B_A-B_0,A,0.072,0.291,0.072,0.291,5oav
 176,2hl3_C_A-B-C_0,A,0.104,0.384,0.104,0.384,2hl3
 177,2hl3_C_A-B-C_0,B,0.092,0.343,0.092,0.343,2hl3
 178,5yba_B_A-B-C-D_0,A,0.153,0.296,0.153,0.296,5yba
 179,4dgb_B_A-B_0,A,0.147,0.308,0.147,0.308,4dgb
 180,4es0_C_A-C_0,A,0.205,0.262,0.205,0.262,4es0
 181,4rxh_A_A-B-C_0,B,0.931,0.935,0.931,0.935,4rxh
 182,3nim_X_F-X_3,F,0.084,0.286,0.084,0.286,3nim
 183,5uw3_E_A-E_0,A,0.341,0.235,0.235,0.341,5uw3
 184,3rc5_B_A-B_0,A,0.167,0.288,0.167,0.288,3rc5
 185,3ziq_B_A-B-C_0,A,0.999,0.992,0.992,0.999,3ziq
 186,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.181,0.258,0.181,0.258,5fjz
 187,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.179,0.254,0.179,0.254,5fjz
 188,1b3l_B_A-B_0,A,0.249,0.216,0.216,0.249,1b3l
 189,3t70_F_A-B-C-F_0,A,0.118,0.245,0.118,0.245,3t70
 190,3t70_F_A-B-C-F_0,B,0.119,0.268,0.119,0.268,3t70
 191,5jiu_C_A-B-C-D_0,A,0.178,0.299,0.178,0.299,5jiu
 192,3jrv_D_B-D_1,B,0.152,0.362,0.152,0.362,3jrv
 193,5m5r_D_A-C-D_0,A,0.238,0.266,0.238,0.266,5m5r
 194,5t6p_E_C-D-E_1,D,0.168,0.283,0.168,0.283,5t6p
 195,5t6p_E_C-D-E_1,C,0.169,0.268,0.169,0.268,5t6p
 196,2b6n_B_A-B_0,A,0.226,0.310,0.226,0.310,2b6n
 197,4mz6_A_A-C-E_0,E,0.996,0.989,0.989,0.996,4mz6
 198,1b58_B_A-B_0,A,0.257,0.222,0.222,0.257,1b58
 199,3fp2_Q_A-Q_0,A,0.358,0.324,0.324,0.358,3fp2
