index,syst,chain,tm1,tm2,min,max,pdb
   0,1u9l_C_B-C_1,B,0.259,0.251,0.251,0.259,1u9l
   1,4z0u_D_A-D_0,A,0.259,0.159,0.159,0.259,4z0u
   2,3rc5_B_A-B_0,A,0.362,0.180,0.180,0.362,3rc5
   3,3g19_C_A-C_0,A,0.260,0.228,0.228,0.260,3g19
   4,5xup_D_A-B-C-D_0,B,0.317,0.154,0.154,0.317,5xup
   5,5eyz_E_A-E_0,A,0.282,0.235,0.235,0.282,5eyz
   6,2h2f_B_A-B_0,A,0.299,0.124,0.124,0.299,2h2f
   7,4o4y_A_A-H-L_0,L,0.281,0.105,0.105,0.281,4o4y
   8,4o4y_A_A-H-L_0,H,0.329,0.148,0.148,0.329,4o4y
   9,6cdc_C_A-C_0,A,0.296,0.176,0.176,0.296,6cdc
  10,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.379,0.111,0.111,0.379,4tr9
  11,4j82_C_A-C_0,A,0.383,0.138,0.138,0.383,4j82
  12,2zgh_B_A-B_0,A,0.314,0.140,0.140,0.314,2zgh
  13,5ovc_B_A-B_0,A,0.266,0.219,0.219,0.266,5ovc
  14,3q49_C_B-C_0,B,0.307,0.197,0.197,0.307,3q49
  15,3vqg_B_A-B_0,A,0.260,0.227,0.227,0.260,3vqg
  16,2bgr_Y_A-B-Y-Z_0,A,0.423,0.063,0.063,0.423,2bgr
  17,3oqs_B_A-B_0,A,0.306,0.082,0.082,0.306,3oqs
  18,5fox_C_A-C_0,A,0.300,0.139,0.139,0.300,5fox
  19,4k3q_E_A-B-E_0,A,0.283,0.096,0.096,0.283,4k3q
  20,3psl_D_B-D_1,B,0.367,0.141,0.141,0.367,3psl
  21,1b46_B_A-B_0,A,0.302,0.078,0.078,0.302,1b46
  22,5m5u_G_A-E-G_0,A,0.420,0.124,0.124,0.420,5m5u
  23,3rte_B_A-B_0,G,0.379,0.089,0.089,0.379,3rte
  24,3rte_B_A-B_0,A,0.379,0.089,0.089,0.379,3rte
  25,1a30_C_A-B-C_0,A,0.324,0.260,0.260,0.324,1a30
  26,1a30_C_A-B-C_0,B,0.326,0.261,0.261,0.326,1a30
  27,5m5v_G_A-E-G-I_0,A,0.426,0.123,0.123,0.426,5m5v
  28,2fib_B_A-B_0,A,0.354,0.155,0.155,0.354,2fib
  29,4jjq_B_A-B_0,A,0.290,0.182,0.182,0.290,4jjq
  30,3cww_E_A-B-D-E_0,A,0.301,0.038,0.038,0.301,3cww
  31,4b8o_C_A-B-C_0,A,0.305,0.085,0.085,0.305,4b8o
  32,5fou_C_A-C_0,A,0.300,0.137,0.137,0.300,5fou
  33,3nfk_D_A-B-C-D_2,B,0.279,0.234,0.234,0.279,3nfk
  34,1evh_B_A-B_0,A,0.287,0.223,0.223,0.287,1evh
  35,3agy_C_A-B-C-D-F_0,A,0.244,0.137,0.137,0.244,3agy
  36,3ziq_B_A-B-C_0,A,0.336,0.084,0.084,0.336,3ziq
  37,5m5t_E_A-E-G-I_0,A,0.415,0.124,0.124,0.415,5m5t
  38,5y53_F_C-E-F_1,C,0.299,0.199,0.199,0.299,5y53
  39,5y53_F_C-E-F_1,E,0.278,0.187,0.187,0.278,5y53
  40,6eja_B_A-B_0,A,0.330,0.062,0.062,0.330,6eja
  41,1b5j_B_A-B_0,A,0.320,0.077,0.077,0.320,1b5j
  42,3l81_B_A-B_0,A,0.308,0.133,0.133,0.308,3l81
  43,1jwg_D_B-D_1,B,0.273,0.179,0.179,0.273,1jwg
  44,4mvk_B_A-B_0,A,0.305,0.178,0.178,0.305,4mvk
  45,5wun_C_A-B-C_0,A,0.318,0.084,0.084,0.318,5wun
  46,2h9m_D_C-D_1,C,0.395,0.138,0.138,0.395,2h9m
  47,1b40_B_A-B_0,A,0.315,0.076,0.076,0.315,1b40
  48,2orz_B_A-B_0,A,0.321,0.109,0.109,0.321,2orz
  49,2g30_S_A-P-S_0,A,0.305,0.129,0.129,0.305,2g30
  50,4ouc_B_A-B_0,A,0.296,0.101,0.101,0.296,4ouc
  51,6fkp_G_C-G_2,C,0.619,0.744,0.619,0.744,6fkp
  52,3nii_B_A-B_0,A,0.338,0.302,0.302,0.338,3nii
  53,5d9g_C_A-C_0,A,0.390,0.167,0.167,0.390,5d9g
  54,4jwd_C_B-C_1,B,0.324,0.145,0.145,0.324,4jwd
  55,1uoq_B_A-B_0,A,0.361,0.062,0.062,0.361,1uoq
  56,3ifo_P_H-L-P_0,L,0.279,0.106,0.106,0.279,3ifo
  57,3ifo_P_H-L-P_0,H,0.277,0.134,0.134,0.277,3ifo
  58,6hpg_c_C-c_2,C,0.320,0.233,0.233,0.320,6hpg
  59,5yba_B_A-B-C-D_0,A,0.282,0.161,0.161,0.282,5yba
  60,1b32_B_A-B_0,A,0.367,0.083,0.083,0.367,1b32
  61,3nfl_G_B-C-F-G_5,C,0.273,0.230,0.230,0.273,3nfl
  62,2ce9_X_A-B-X_0,A,0.353,0.119,0.119,0.353,2ce9
  63,5grg_D_A-B-C-D_0,A,0.280,0.109,0.109,0.280,5grg
  64,1yti_I_A-I_0,A,0.316,0.254,0.254,0.316,1yti
  65,1yti_I_A-I_0,B,0.316,0.254,0.254,0.316,1yti
