index,syst,chain,tm1,tm2,min,max,pdb
   0,1evh_B_A-B_0,A,0.152,0.362,0.152,0.362,1evh
   1,5wir_D_A-B-C-D_0,B,0.235,0.356,0.235,0.356,5wir
   2,1s2k_B_A-B_0,A,0.216,0.336,0.216,0.336,1s2k
   3,3t70_F_A-B-C-F_0,A,0.168,0.299,0.168,0.299,3t70
   4,3t70_F_A-B-C-F_0,B,0.162,0.326,0.162,0.326,3t70
   5,1sdz_B_A-B_0,A,0.157,0.388,0.157,0.388,1sdz
   6,2d5w_C_A-C_0,A,0.320,0.221,0.221,0.320,2d5w
   7,3t64_F_A-B-C-F_0,A,0.178,0.318,0.178,0.318,3t64
   8,3t64_F_A-B-C-F_0,B,0.165,0.347,0.165,0.347,3t64
   9,6hpg_c_C-c_2,C,0.198,0.451,0.198,0.451,6hpg
  10,6cdc_C_A-C_0,A,0.181,0.328,0.181,0.328,6cdc
  11,1h27_E_A-B-E_0,B,0.231,0.298,0.231,0.298,1h27
  12,4ikn_B_A-B_0,A,0.208,0.278,0.208,0.278,4ikn
  13,4k3m_E_A-B-E_0,A,0.241,0.245,0.241,0.245,4k3m
  14,4r5i_B_A-B_0,A,0.184,0.267,0.184,0.267,4r5i
  15,3ivq_D_B-D_1,B,0.188,0.370,0.188,0.370,3ivq
  16,4qbr_P_A-P_0,A,0.179,0.355,0.179,0.355,4qbr
  17,3m5o_C_A-C_0,A,0.193,0.296,0.193,0.296,3m5o
  18,5fpk_C_A-C_0,A,0.335,0.484,0.335,0.484,5fpk
  19,3upv_B_A-B_0,A,0.172,0.396,0.172,0.396,3upv
  20,1b46_B_A-B_0,A,0.298,0.234,0.234,0.298,1b46
  21,3lca_Q_A-Q_0,A,0.295,0.242,0.242,0.295,3lca
  22,4pxm_D_A-B-C-D_0,B,0.242,0.337,0.242,0.337,4pxm
  23,1w9e_S_A-B-R-S-T_0,B,0.179,0.320,0.179,0.320,1w9e
  24,5m5u_G_A-E-G_0,A,0.301,0.305,0.301,0.305,5m5u
  25,3qhw_L_A-B-J-L_0,B,0.227,0.291,0.227,0.291,3qhw
  26,5grg_D_A-B-C-D_0,A,0.216,0.266,0.216,0.266,5grg
  27,1yti_I_A-I_0,A,0.119,0.281,0.119,0.281,1yti
  28,1yti_I_A-I_0,B,0.119,0.281,0.119,0.281,1yti
  29,2hpl_B_A-B_0,A,0.159,0.445,0.159,0.445,2hpl
  30,6exj_B_A-B_0,A,0.130,0.347,0.130,0.347,6exj
  31,5fov_E_A-E_0,A,0.333,0.488,0.333,0.488,5fov
  32,2zjd_D_C-D_5,C,0.166,0.350,0.166,0.350,2zjd
  33,1oby_Q_A-B-P-Q_0,A,0.107,0.336,0.107,0.336,1oby
  34,1oby_Q_A-B-P-Q_0,B,0.101,0.314,0.101,0.314,1oby
  35,5fow_E_A-E_0,A,0.328,0.482,0.328,0.482,5fow
  36,4o51_N_A-B-N_1,A,0.183,0.261,0.183,0.261,4o51
  37,4o51_N_A-B-N_1,B,0.193,0.282,0.193,0.282,4o51
  38,1hsb_C_A-B-C_0,A,0.208,0.259,0.208,0.259,1hsb
  39,1elr_B_A-B_0,A,0.196,0.434,0.196,0.434,1elr
  40,3nil_X_D-X_2,D,0.126,0.374,0.126,0.374,3nil
  41,5iz2_Z_A-B-Z_0,B,0.182,0.410,0.182,0.410,5iz2
  42,6cd9_B_A-B_0,A,0.179,0.325,0.179,0.325,6cd9
  43,4fys_C_A-C_0,A,0.365,0.183,0.183,0.365,4fys
  44,2r9q_X_A-C-X_1,C,0.268,0.288,0.268,0.288,2r9q
  45,4bjt_E_B-E_2,B,0.202,0.388,0.202,0.388,4bjt
  46,5fou_C_A-C_0,A,0.331,0.481,0.331,0.481,5fou
  47,1a7c_B_A-B-C_0,A,0.267,0.268,0.267,0.268,1a7c
  48,5t6p_E_C-D-E_1,D,0.220,0.339,0.220,0.339,5t6p
  49,5t6p_E_C-D-E_1,C,0.190,0.268,0.190,0.268,5t6p
