index,syst,chain,tm1,tm2,min,max,pdb
   0,4g69_B_A-B_0,A,0.184,0.306,0.184,0.306,4g69
   1,1a7c_B_A-B-C_0,A,0.347,0.224,0.224,0.347,1a7c
   2,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.190,0.256,0.190,0.256,1kl5
   3,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.185,0.256,0.185,0.256,1kl5
   4,2v5f_X_A-X_0,A,0.363,0.612,0.363,0.612,2v5f
   5,1czy_D_A-B-C-D-E_0,A,0.272,0.300,0.272,0.300,1czy
   6,5lyn_C_A-B-C-D_0,A,0.419,0.567,0.419,0.567,5lyn
   7,5lyn_C_A-B-C-D_0,B,0.418,0.563,0.418,0.563,5lyn
   8,4z88_V_J-V_1,J,0.146,0.297,0.146,0.297,4z88
   9,5v5p_A_A-B-C_0,C,0.495,0.263,0.263,0.495,5v5p
  10,3nin_E_B-E_1,B,0.147,0.265,0.147,0.265,3nin
  11,1e4x_P_H-L-P_0,L,0.255,0.240,0.240,0.255,1e4x
  12,1e4x_P_H-L-P_0,H,0.262,0.246,0.246,0.262,1e4x
  13,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.187,0.343,0.187,0.343,2y1l
  14,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.233,0.283,0.233,0.283,2y1l
  15,5b74_D_A-B-D_0,B,0.236,0.313,0.236,0.313,5b74
  16,2ce9_X_A-B-X_0,A,0.287,0.195,0.195,0.287,2ce9
  17,5grg_D_A-B-C-D_0,A,0.297,0.228,0.228,0.297,5grg
  18,4j78_B_A-B_0,A,0.324,0.241,0.241,0.324,4j78
  19,1ok7_C_A-B-C_0,B,0.289,0.184,0.184,0.289,1ok7
  20,3woo_C_A-B-C-D_0,A,0.384,0.145,0.145,0.384,3woo
  21,4apo_D_B-D_1,B,0.443,0.532,0.443,0.532,4apo
  22,5huw_B_A-B-C_0,C,0.498,0.264,0.264,0.498,5huw
  23,3ifo_P_H-L-P_0,L,0.242,0.225,0.225,0.242,3ifo
  24,3ifo_P_H-L-P_0,H,0.243,0.227,0.227,0.243,3ifo
  25,1nvs_B_A-B_0,A,0.333,0.271,0.271,0.333,1nvs
  26,4nnm_C_A-C_0,A,0.199,0.292,0.199,0.292,4nnm
  27,4j45_B_A-B_0,A,0.196,0.343,0.196,0.343,4j45
  28,3gq1_C_A-C_0,A,0.177,0.333,0.177,0.333,3gq1
  29,5zw6_C_A-B-C-D_0,A,0.437,0.253,0.253,0.437,5zw6
  30,1sdz_B_A-B_0,A,0.199,0.331,0.199,0.331,1sdz
  31,3q47_C_B-C_0,B,0.377,0.514,0.377,0.514,3q47
  32,1uoq_B_A-B_0,A,0.337,0.127,0.127,0.337,1uoq
  33,3t70_F_A-B-C-F_0,A,0.252,0.305,0.252,0.305,3t70
  34,3t70_F_A-B-C-F_0,B,0.237,0.299,0.237,0.299,3t70
  35,4z8j_B_A-B_0,A,0.180,0.281,0.180,0.281,4z8j
  36,3g19_C_A-C_0,A,0.180,0.346,0.180,0.346,3g19
