index,syst,chain,tm1,tm2,min,max,pdb
   0,3oqs_B_A-B_0,A,0.489,0.268,0.268,0.489,3oqs
   1,2h9m_D_C-D_1,C,0.313,0.238,0.238,0.313,2h9m
   2,4ynl_C_A-B-C-D_0,A,0.238,0.493,0.238,0.493,4ynl
   3,4ynl_C_A-B-C-D_0,B,0.240,0.500,0.240,0.500,4ynl
   4,4z88_V_J-V_1,J,0.133,0.269,0.133,0.269,4z88
   5,1e4x_P_H-L-P_0,L,0.205,0.199,0.199,0.205,1e4x
   6,1e4x_P_H-L-P_0,H,0.259,0.250,0.250,0.259,1e4x
   7,4f75_C_A-B-C-D_0,A,0.197,0.314,0.197,0.314,4f75
   8,4f75_C_A-B-C-D_0,B,0.181,0.299,0.181,0.299,4f75
   9,3rc4_B_A-B_0,A,0.268,0.273,0.268,0.273,3rc4
  10,5m5t_E_A-E-G-I_0,A,0.301,0.202,0.202,0.301,5m5t
  11,4jjq_B_A-B_0,A,0.226,0.299,0.226,0.299,4jjq
  12,2v5w_G_B-G-L_1,B,0.356,0.235,0.235,0.356,2v5w
  13,1b40_B_A-B_0,A,0.323,0.165,0.165,0.323,1b40
  14,1awr_J_D-J_5,D,0.284,0.331,0.284,0.331,1awr
  15,2orz_B_A-B_0,A,0.269,0.197,0.197,0.269,2orz
  16,3woo_C_A-B-C-D_0,A,0.420,0.162,0.162,0.420,3woo
  17,3m5o_C_A-C_0,A,0.261,0.267,0.261,0.267,3m5o
  18,1b05_B_A-B_0,A,0.316,0.159,0.159,0.316,1b05
  19,1nvs_B_A-B_0,A,0.351,0.288,0.288,0.351,1nvs
  20,2v17_A_A-H-L_0,L,0.206,0.201,0.201,0.206,2v17
  21,2v17_A_A-H-L_0,H,0.255,0.241,0.241,0.255,2v17
  22,4jok_D_B-D_1,B,0.178,0.324,0.178,0.324,4jok
  23,1v1t_S_A-B-S-T_0,B,0.210,0.246,0.210,0.246,1v1t
  24,3t70_F_A-B-C-F_0,A,0.228,0.281,0.228,0.281,3t70
  25,3t70_F_A-B-C-F_0,B,0.232,0.303,0.232,0.303,3t70
  26,2hl3_C_A-B-C_0,A,0.150,0.299,0.150,0.299,2hl3
  27,2hl3_C_A-B-C_0,B,0.164,0.321,0.164,0.321,2hl3
  28,3rt9_B_A-B_0,F,0.320,0.166,0.166,0.320,3rt9
  29,3rt9_B_A-B_0,A,0.320,0.166,0.166,0.320,3rt9
  30,5wun_C_A-B-C_0,A,0.488,0.267,0.267,0.488,5wun
  31,1oby_Q_A-B-P-Q_0,A,0.160,0.325,0.160,0.325,1oby
  32,1oby_Q_A-B-P-Q_0,B,0.184,0.374,0.184,0.374,1oby
  33,5huy_B_A-B-C_0,C,0.487,0.268,0.268,0.487,5huy
  34,3lca_Q_A-Q_0,A,0.445,0.216,0.216,0.445,3lca
  35,6fkp_G_C-G_2,C,0.117,0.247,0.117,0.247,6fkp
  36,3rte_B_A-B_0,G,0.326,0.173,0.173,0.326,3rte
  37,3rte_B_A-B_0,A,0.326,0.173,0.173,0.326,3rte
  38,3qhw_L_A-B-J-L_0,B,0.302,0.251,0.251,0.302,3qhw
  39,1b5i_B_A-B_0,A,0.316,0.158,0.158,0.316,1b5i
  40,4k3m_E_A-B-E_0,A,0.266,0.177,0.177,0.266,4k3m
  41,3m5m_C_B-C_1,B,0.252,0.259,0.252,0.259,3m5m
  42,4hxj_C_A-C_0,A,0.127,0.275,0.127,0.275,4hxj
  43,3srj_D_A-C-D_0,A,0.275,0.216,0.216,0.275,3srj
  44,4ezz_B_A-B_1,A,0.263,0.253,0.253,0.263,4ezz
  45,5azf_C_A-C_0,A,0.207,0.300,0.207,0.300,5azf
  46,3o2b_D_C-D_1,C,0.189,0.311,0.189,0.311,3o2b
  47,4dgb_B_A-B_0,A,0.286,0.335,0.286,0.335,4dgb
  48,6fqc_E_A-B-D-E_0,A,0.291,0.207,0.207,0.291,6fqc
  49,3cww_E_A-B-D-E_0,A,0.381,0.117,0.117,0.381,3cww
  50,4joh_D_A-D_0,A,0.197,0.350,0.197,0.350,4joh
  51,4ojf_A_A-H-L_0,L,0.211,0.203,0.203,0.211,4ojf
  52,4ojf_A_A-H-L_0,H,0.234,0.224,0.224,0.234,4ojf
  53,1a7c_B_A-B-C_0,A,0.338,0.226,0.226,0.338,1a7c
  54,3f7o_X_A-X_0,A,0.319,0.252,0.252,0.319,3f7o
  55,3jrv_D_B-D_1,B,0.277,0.358,0.277,0.358,3jrv
  56,5oav_B_A-B_0,A,0.129,0.299,0.129,0.299,5oav
  57,3fp2_Q_A-Q_0,A,0.426,0.214,0.214,0.426,3fp2
  58,3mqr_B_A-B_0,A,0.226,0.297,0.226,0.297,3mqr
  59,4apo_D_B-D_1,B,0.439,0.547,0.439,0.547,4apo
  60,2zjd_D_C-D_5,C,0.227,0.316,0.227,0.316,2zjd
  61,4bjt_E_B-E_2,B,0.247,0.307,0.247,0.307,4bjt
  62,5fpk_C_A-C_0,A,0.301,0.280,0.280,0.301,5fpk
  63,1ddv_B_A-B_0,A,0.179,0.292,0.179,0.292,1ddv
  64,4pyw_B_A-B-C_0,A,0.338,0.225,0.225,0.338,4pyw
  65,3ebb_F_A-B-E-F_0,B,0.428,0.357,0.357,0.428,3ebb
  66,4ztd_F_A-B-C-D-E-F_0,C,0.280,0.242,0.242,0.280,4ztd
  67,3nfl_G_B-C-F-G_5,C,0.172,0.307,0.172,0.307,3nfl
  68,4ezq_B_A-B_1,A,0.261,0.252,0.252,0.261,4ezq
  69,5tu5_B_A-B_0,A,0.327,0.254,0.254,0.327,5tu5
  70,4ikn_B_A-B_0,A,0.262,0.228,0.228,0.262,4ikn
  71,2h59_D_A-B-D-E_0,A,0.312,0.276,0.276,0.312,2h59
  72,2h59_D_A-B-D-E_0,B,0.314,0.278,0.278,0.314,2h59
  73,1u9l_C_B-C_1,B,0.185,0.409,0.185,0.409,1u9l
  74,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.185,0.262,0.185,0.262,1kl5
  75,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.187,0.258,0.187,0.258,1kl5
  76,5iza_B_A-B_0,A,0.446,0.310,0.310,0.446,5iza
  77,4j46_B_A-B_0,A,0.164,0.312,0.164,0.312,4j46
  78,5v5p_A_A-B-C_0,C,0.486,0.268,0.268,0.486,5v5p
  79,1d0a_G_A-B-C-G-H-I_0,A,0.257,0.295,0.257,0.295,1d0a
  80,1qka_B_A-B_0,A,0.313,0.161,0.161,0.313,1qka
  81,3cbl_B_A-B_0,A,0.318,0.215,0.215,0.318,3cbl
  82,5fgb_G_B-E-G_1,E,0.207,0.201,0.201,0.207,5fgb
  83,5fgb_G_B-E-G_1,B,0.205,0.201,0.201,0.205,5fgb
  84,1h27_E_A-B-E_0,B,0.304,0.259,0.259,0.304,1h27
  85,1yti_I_A-I_0,A,0.180,0.288,0.180,0.288,1yti
  86,1yti_I_A-I_0,B,0.180,0.288,0.180,0.288,1yti
  87,2foj_B_A-B_0,A,0.228,0.298,0.228,0.298,2foj
  88,1oxn_F_E-F_7,E,0.215,0.369,0.215,0.369,1oxn
  89,4pz3_C_A-B-C_0,B,0.227,0.277,0.227,0.277,4pz3
  90,4k3p_E_A-B-E_0,A,0.265,0.177,0.177,0.265,4k3p
  91,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.185,0.262,0.185,0.262,1kl3
  92,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.186,0.264,0.186,0.264,1kl3
