index,syst,chain,tm1,tm2,min,max,pdb
   0,4gyo_C_A-B-C-D_0,B,0.296,0.212,0.212,0.296,4gyo
   1,3cww_E_A-B-D-E_0,A,0.332,0.101,0.101,0.332,3cww
   2,4k3m_E_A-B-E_0,A,0.260,0.186,0.186,0.260,4k3m
   3,3d9t_D_B-D_1,B,0.205,0.363,0.205,0.363,3d9t
   4,1s2k_B_A-B_0,A,0.250,0.271,0.250,0.271,1s2k
   5,3zin_C_A-B-C_0,A,0.269,0.167,0.167,0.269,3zin
   6,6eja_B_A-B_0,A,0.347,0.148,0.148,0.347,6eja
   7,4iim_E_A-B-C-D-E_0,B,0.122,0.321,0.122,0.321,4iim
   8,4j86_C_A-C_0,A,0.261,0.212,0.212,0.261,4j86
   9,1uop_B_A-B_0,A,0.340,0.141,0.141,0.340,1uop
  10,5yba_B_A-B-C-D_0,A,0.258,0.310,0.258,0.310,5yba
  11,5v5p_A_A-B-C_0,C,0.293,0.180,0.180,0.293,5v5p
  12,3ou3_C_A-B-C_0,A,0.197,0.353,0.197,0.353,3ou3
  13,3ou3_C_A-B-C_0,B,0.202,0.358,0.202,0.358,3ou3
  14,4wnn_T_C-D-T_3,D,0.211,0.409,0.211,0.409,4wnn
  15,4wnn_T_C-D-T_3,C,0.189,0.427,0.189,0.427,4wnn
  16,1b9j_B_A-B_0,A,0.365,0.195,0.195,0.365,1b9j
  17,1str_M_B-D-M-P_0,C,0.200,0.311,0.200,0.311,1str
  18,1str_M_B-D-M-P_0,B,0.201,0.307,0.201,0.307,1str
  19,3rt9_B_A-B_0,F,0.306,0.173,0.173,0.306,3rt9
  20,3rt9_B_A-B_0,A,0.306,0.173,0.173,0.306,3rt9
  21,2zgh_B_A-B_0,A,0.287,0.283,0.283,0.287,2zgh
  22,1b40_B_A-B_0,A,0.362,0.194,0.194,0.362,1b40
  23,3lny_B_A-B_0,A,0.208,0.365,0.208,0.365,3lny
  24,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.311,0.226,0.226,0.311,4tr9
  25,4m38_E_A-B-E-F_0,A,0.295,0.221,0.221,0.295,4m38
  26,4q6f_H_C-H_2,C,0.102,0.327,0.102,0.327,4q6f
  27,1b46_B_A-B_0,A,0.354,0.191,0.191,0.354,1b46
  28,1u9l_C_B-C_1,B,0.231,0.576,0.231,0.576,1u9l
  29,3fwv_C_A-C_0,A,0.223,0.328,0.223,0.328,3fwv
  30,5lyn_C_A-B-C-D_0,A,0.218,0.326,0.218,0.326,5lyn
  31,5lyn_C_A-B-C-D_0,B,0.225,0.332,0.225,0.332,5lyn
  32,3rte_B_A-B_0,G,0.306,0.172,0.172,0.306,3rte
  33,3rte_B_A-B_0,A,0.306,0.172,0.172,0.306,3rte
  34,4fys_C_A-C_0,A,0.410,0.136,0.136,0.410,4fys
  35,4xi7_C_A-C_0,A,0.273,0.198,0.198,0.273,4xi7
  36,2h2f_B_A-B_0,A,0.288,0.281,0.281,0.288,2h2f
  37,1hsb_C_A-B-C_0,A,0.356,0.310,0.310,0.356,1hsb
  38,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.195,0.392,0.195,0.392,2y1l
  39,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.222,0.295,0.222,0.295,2y1l
  40,4que_E_A-C-D-E-H-J_0,A,0.342,0.333,0.333,0.342,4que
  41,5xcr_F_D-E-F_1,D,0.231,0.299,0.231,0.299,5xcr
  42,5xcr_F_D-E-F_1,E,0.229,0.294,0.229,0.294,5xcr
  43,2hl3_C_A-B-C_0,A,0.152,0.327,0.152,0.327,2hl3
  44,2hl3_C_A-B-C_0,B,0.153,0.343,0.153,0.343,2hl3
  45,4quh_D_A-C-D-I-J_0,A,0.339,0.332,0.332,0.339,4quh
  46,2dze_X_A-B-X_0,A,0.211,0.265,0.211,0.265,2dze
  47,2dze_X_A-B-X_0,B,0.220,0.276,0.220,0.276,2dze
  48,2d5w_C_A-C_0,A,0.332,0.162,0.162,0.332,2d5w
  49,5fou_C_A-C_0,A,0.264,0.264,0.264,0.264,5fou
  50,3ifo_P_H-L-P_0,L,0.202,0.207,0.202,0.207,3ifo
  51,3ifo_P_H-L-P_0,H,0.215,0.222,0.215,0.222,3ifo
  52,4r5i_B_A-B_0,A,0.250,0.253,0.250,0.253,4r5i
  53,1b32_B_A-B_0,A,0.364,0.194,0.194,0.364,1b32
  54,4es0_C_A-C_0,A,0.269,0.218,0.218,0.269,4es0
  55,1obz_P_A-B-P_0,A,0.211,0.263,0.211,0.263,1obz
  56,5m5u_G_A-E-G_0,A,0.280,0.200,0.200,0.280,5m5u
  57,2i3h_C_A-C_0,A,0.207,0.380,0.207,0.380,2i3h
  58,4ezw_E_A-E_0,A,0.276,0.288,0.276,0.288,4ezw
  59,4j82_C_A-C_0,A,0.241,0.195,0.195,0.241,4j82
  60,5d9g_C_A-C_0,A,0.300,0.283,0.283,0.300,5d9g
  61,4k3p_E_A-B-E_0,A,0.255,0.186,0.186,0.255,4k3p
  62,2foo_B_A-B_0,A,0.215,0.304,0.215,0.304,2foo
  63,4f75_C_A-B-C-D_0,A,0.201,0.362,0.201,0.362,4f75
  64,4f75_C_A-B-C-D_0,B,0.205,0.372,0.205,0.372,4f75
  65,5iz2_Z_A-B-Z_0,B,0.270,0.410,0.270,0.410,5iz2
  66,4b8o_C_A-B-C_0,A,0.284,0.176,0.176,0.284,4b8o
  67,1czy_D_A-B-C-D-E_0,A,0.279,0.348,0.279,0.348,1czy
  68,4j78_B_A-B_0,A,0.248,0.203,0.203,0.248,4j78
  69,6cwp_F_A-B-F_0,A,0.379,0.309,0.309,0.379,6cwp
  70,6cwp_F_A-B-F_0,B,0.375,0.300,0.300,0.375,6cwp
  71,5gu4_C_A-C_0,A,0.299,0.274,0.274,0.299,5gu4
  72,2ipu_P_G-K-P_1,G,0.212,0.217,0.212,0.217,2ipu
  73,2ipu_P_G-K-P_1,K,0.202,0.206,0.202,0.206,2ipu
  74,5tu5_B_A-B_0,A,0.300,0.242,0.242,0.300,5tu5
  75,3nij_B_A-B_0,A,0.156,0.300,0.156,0.300,3nij
  76,3nin_E_B-E_1,B,0.161,0.301,0.161,0.301,3nin
  77,6fqc_E_A-B-D-E_0,A,0.328,0.250,0.250,0.328,6fqc
  78,3agy_C_A-B-C-D-F_0,A,0.226,0.268,0.226,0.268,3agy
  79,4k76_G_C-G_2,C,0.210,0.404,0.210,0.404,4k76
  80,5oj5_B_A-B_0,A,0.267,0.216,0.216,0.267,5oj5
