index,syst,chain,tm1,tm2,min,max,pdb
   0,3zin_C_A-B-C_0,A,0.233,0.144,0.144,0.233,3zin
   1,5ovc_B_A-B_0,A,0.174,0.307,0.174,0.307,5ovc
   2,2zgh_B_A-B_0,A,0.248,0.240,0.240,0.248,2zgh
   3,3t70_F_A-B-C-F_0,A,0.268,0.349,0.268,0.349,3t70
   4,3t70_F_A-B-C-F_0,B,0.268,0.380,0.268,0.380,3t70
   5,1rzx_B_A-B_0,A,0.198,0.351,0.198,0.351,1rzx
   6,4b8o_C_A-B-C_0,A,0.264,0.162,0.162,0.264,4b8o
   7,4f75_C_A-B-C-D_0,A,0.161,0.292,0.161,0.292,4f75
   8,4f75_C_A-B-C-D_0,B,0.163,0.296,0.163,0.296,4f75
   9,6cwp_F_A-B-F_0,A,0.237,0.188,0.188,0.237,6cwp
  10,6cwp_F_A-B-F_0,B,0.237,0.185,0.185,0.237,6cwp
  11,3nfl_G_B-C-F-G_5,C,0.165,0.306,0.165,0.306,3nfl
  12,4pxm_D_A-B-C-D_0,B,0.221,0.216,0.216,0.221,4pxm
  13,5xup_D_A-B-C-D_0,B,0.219,0.237,0.219,0.237,5xup
  14,4joh_D_A-D_0,A,0.185,0.353,0.185,0.353,4joh
  15,4j45_B_A-B_0,A,0.157,0.313,0.157,0.313,4j45
  16,1qka_B_A-B_0,A,0.346,0.182,0.182,0.346,1qka
  17,1b51_B_A-B_0,A,0.349,0.186,0.186,0.349,1b51
  18,2hpl_B_A-B_0,A,0.186,0.307,0.186,0.307,2hpl
  19,3nfk_D_A-B-C-D_2,B,0.183,0.323,0.183,0.323,3nfk
  20,4nnm_C_A-C_0,A,0.213,0.339,0.213,0.339,4nnm
  21,3l81_B_A-B_0,A,0.323,0.294,0.294,0.323,3l81
  22,2foo_B_A-B_0,A,0.277,0.394,0.277,0.394,2foo
  23,2zjd_D_C-D_5,C,0.211,0.323,0.211,0.323,2zjd
  24,1wcy_C_A-B-C-D_0,A,0.316,0.127,0.127,0.316,1wcy
  25,1b46_B_A-B_0,A,0.346,0.183,0.183,0.346,1b46
  26,4j77_D_B-D_1,B,0.245,0.197,0.197,0.245,4j77
  27,5lyn_C_A-B-C-D_0,A,0.198,0.283,0.198,0.283,5lyn
  28,5lyn_C_A-B-C-D_0,B,0.194,0.275,0.194,0.275,5lyn
  29,4wnn_T_C-D-T_3,D,0.143,0.240,0.143,0.240,4wnn
  30,4wnn_T_C-D-T_3,C,0.135,0.262,0.135,0.262,4wnn
  31,5eyz_E_A-E_0,A,0.181,0.334,0.181,0.334,5eyz
  32,2v5f_X_A-X_0,A,0.153,0.260,0.153,0.260,2v5f
  33,4v3i_B_A-B_0,A,0.179,0.227,0.179,0.227,4v3i
  34,3rt9_B_A-B_0,F,0.298,0.167,0.167,0.298,3rt9
  35,3rt9_B_A-B_0,A,0.298,0.167,0.167,0.298,3rt9
  36,4j44_B_A-B_0,A,0.157,0.313,0.157,0.313,4j44
  37,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.272,0.227,0.227,0.272,2z9i
  38,3oqs_B_A-B_0,A,0.241,0.155,0.155,0.241,3oqs
  39,4apo_D_B-D_1,B,0.229,0.295,0.229,0.295,4apo
  40,4mvk_B_A-B_0,A,0.218,0.257,0.218,0.257,4mvk
  41,5m5u_G_A-E-G_0,A,0.293,0.206,0.206,0.293,5m5u
  42,3woo_C_A-B-C-D_0,A,0.362,0.150,0.150,0.362,3woo
  43,3lca_Q_A-Q_0,A,0.302,0.168,0.168,0.302,3lca
  44,5fpk_C_A-C_0,A,0.254,0.248,0.248,0.254,5fpk
  45,4x2h_C_A-B-C_0,A,0.241,0.263,0.241,0.263,4x2h
  46,3shb_B_A-B_0,A,0.103,0.276,0.103,0.276,3shb
  47,2v5w_G_B-G-L_1,B,0.254,0.183,0.183,0.254,2v5w
  48,2dze_X_A-B-X_0,A,0.358,0.452,0.358,0.452,2dze
  49,2dze_X_A-B-X_0,B,0.359,0.454,0.359,0.454,2dze
  50,6cd9_B_A-B_0,A,0.233,0.281,0.233,0.281,6cd9
  51,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.248,0.177,0.177,0.248,2ot0
  52,5iza_B_A-B_0,A,0.267,0.197,0.197,0.267,5iza
  53,4k3q_E_A-B-E_0,A,0.274,0.196,0.196,0.274,4k3q
  54,5wun_C_A-B-C_0,A,0.266,0.164,0.164,0.266,5wun
  55,4ny3_C_A-C_0,A,0.287,0.229,0.229,0.287,4ny3
  56,4c2c_B_A-B-C_0,A,0.316,0.190,0.190,0.316,4c2c
  57,5yba_B_A-B-C-D_0,A,0.203,0.239,0.203,0.239,5yba
  58,1b40_B_A-B_0,A,0.348,0.184,0.184,0.348,1b40
  59,1b58_B_A-B_0,A,0.346,0.183,0.183,0.346,1b58
  60,4que_E_A-C-D-E-H-J_0,A,0.258,0.246,0.246,0.258,4que
  61,1oby_Q_A-B-P-Q_0,A,0.156,0.333,0.156,0.333,1oby
  62,1oby_Q_A-B-P-Q_0,B,0.165,0.353,0.165,0.353,1oby
  63,4wvh_C_A-C_0,A,0.350,0.183,0.183,0.350,4wvh
  64,3mqr_B_A-B_0,A,0.276,0.393,0.276,0.393,3mqr
  65,1lvm_C_A-C-E_0,A,0.214,0.207,0.207,0.214,1lvm
  66,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.255,0.389,0.255,0.389,1kl5
  67,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.255,0.387,0.255,0.387,1kl5
  68,4ezn_C_A-B-C-D_0,A,0.235,0.240,0.235,0.240,4ezn
  69,5oav_B_A-B_0,A,0.123,0.318,0.123,0.318,5oav
  70,5fgb_G_B-E-G_1,E,0.488,0.497,0.488,0.497,5fgb
  71,5fgb_G_B-E-G_1,B,0.922,0.951,0.922,0.951,5fgb
  72,3cbl_B_A-B_0,A,0.309,0.222,0.222,0.309,3cbl
  73,4jok_D_B-D_1,B,0.185,0.353,0.185,0.353,4jok
  74,2wa8_D_C-D_1,C,0.206,0.347,0.206,0.347,2wa8
  75,5fov_E_A-E_0,A,0.255,0.249,0.249,0.255,5fov
  76,3fp4_Q_A-Q_0,A,0.269,0.148,0.148,0.269,3fp4
  77,3v43_Q_A-Q_0,A,0.167,0.268,0.167,0.268,3v43
  78,4g69_B_A-B_0,A,0.161,0.279,0.161,0.279,4g69
  79,3zvy_D_B-D_0,B,0.140,0.304,0.140,0.304,3zvy
  80,1w9e_S_A-B-R-S-T_0,B,0.242,0.298,0.242,0.298,1w9e
  81,3drk_B_A-B_0,A,0.378,0.186,0.186,0.378,3drk
  82,3q47_C_B-C_0,B,0.181,0.249,0.181,0.249,3q47
  83,3fwv_C_A-C_0,A,0.191,0.282,0.191,0.282,3fwv
