index,syst,chain,tm1,tm2,min,max,pdb
   0,3nih_B_A-B_0,A,0.288,0.304,0.288,0.304,3nih
   1,1nvs_B_A-B_0,A,0.327,0.160,0.160,0.327,1nvs
   2,5ovv_B_A-B_0,A,0.826,0.739,0.739,0.826,5ovv
   3,4quh_D_A-C-D-I-J_0,A,0.347,0.163,0.163,0.347,4quh
   4,5iza_B_A-B_0,A,0.265,0.097,0.097,0.265,5iza
   5,4jwd_C_B-C_1,B,0.347,0.184,0.184,0.347,4jwd
   6,1b5j_B_A-B_0,A,0.349,0.093,0.093,0.349,1b5j
   7,4ezy_B_A-B_2,A,0.346,0.181,0.181,0.346,4ezy
   8,5fgb_G_B-E-G_1,E,0.346,0.186,0.186,0.346,5fgb
   9,5fgb_G_B-E-G_1,B,0.350,0.191,0.191,0.350,5fgb
  10,1v1t_S_A-B-S-T_0,B,0.791,0.457,0.457,0.791,1v1t
  11,5jiu_C_A-B-C-D_0,A,0.334,0.190,0.190,0.334,5jiu
  12,3qhw_L_A-B-J-L_0,B,0.360,0.169,0.169,0.360,3qhw
  13,5yba_B_A-B-C-D_0,A,0.408,0.259,0.259,0.408,5yba
  14,4hxj_C_A-C_0,A,0.297,0.385,0.297,0.385,4hxj
  15,1a7c_B_A-B-C_0,A,0.350,0.127,0.127,0.350,1a7c
  16,3drh_B_A-B_0,A,0.391,0.091,0.091,0.391,3drh
  17,5sxm_D_B-D_1,B,0.335,0.144,0.144,0.335,5sxm
  18,3cww_E_A-B-D-E_0,A,0.318,0.055,0.055,0.318,3cww
  19,1h27_E_A-B-E_0,B,0.348,0.166,0.166,0.348,1h27
  20,5huw_B_A-B-C_0,C,0.263,0.080,0.080,0.263,5huw
  21,4zhb_B_A-B_0,A,0.277,0.248,0.248,0.277,4zhb
  22,5y53_F_C-E-F_1,C,0.343,0.269,0.269,0.343,5y53
  23,5y53_F_C-E-F_1,E,0.347,0.256,0.256,0.347,5y53
  24,1oby_Q_A-B-P-Q_0,A,0.760,0.864,0.760,0.864,1oby
  25,1oby_Q_A-B-P-Q_0,B,0.751,0.865,0.751,0.865,1oby
  26,3cbl_B_A-B_0,A,0.389,0.139,0.139,0.389,3cbl
  27,4c2g_B_A-B-C_0,A,0.683,0.154,0.154,0.683,4c2g
  28,4ztd_F_A-B-C-D-E-F_0,C,0.356,0.178,0.178,0.356,4ztd
  29,1olc_B_A-B_0,A,0.376,0.100,0.100,0.376,1olc
  30,4wvh_C_A-C_0,A,0.337,0.094,0.094,0.337,4wvh
  31,2f5b_P_H-L-P_0,L,0.349,0.186,0.186,0.349,2f5b
  32,2f5b_P_H-L-P_0,H,0.357,0.178,0.178,0.357,2f5b
  33,5oav_B_A-B_0,A,0.300,0.387,0.300,0.387,5oav
  34,4j79_B_A-B_0,A,0.359,0.135,0.135,0.359,4j79
  35,5b74_D_A-B-D_0,B,0.355,0.271,0.271,0.355,5b74
  36,4f74_C_A-B-C_0,A,0.280,0.261,0.261,0.280,4f74
  37,4f74_C_A-B-C_0,B,0.295,0.273,0.273,0.295,4f74
  38,2v5w_G_B-G-L_1,B,0.355,0.126,0.126,0.355,2v5w
  39,1evh_B_A-B_0,A,0.350,0.301,0.301,0.350,1evh
  40,1b3g_B_A-B_0,A,0.348,0.093,0.093,0.348,1b3g
  41,4xi7_C_A-C_0,A,0.300,0.109,0.109,0.300,4xi7
  42,4r5i_B_A-B_0,A,0.347,0.180,0.180,0.347,4r5i
  43,2b6n_B_A-B_0,A,0.426,0.179,0.179,0.426,2b6n
  44,3vqg_B_A-B_0,A,0.817,0.833,0.817,0.833,3vqg
  45,3zin_C_A-B-C_0,A,0.250,0.078,0.078,0.250,3zin
  46,3cvl_B_A-B_0,A,0.301,0.121,0.121,0.301,3cvl
  47,4b8o_C_A-B-C_0,A,0.244,0.067,0.067,0.244,4b8o
  48,1elr_B_A-B_0,A,0.274,0.213,0.213,0.274,1elr
  49,4odk_C_A-B-C_0,A,0.301,0.211,0.211,0.301,4odk
  50,5k4f_C_A-C_0,A,0.984,0.984,0.984,0.984,5k4f
  51,5fpk_C_A-C_0,A,0.299,0.153,0.153,0.299,5fpk
  52,6cd9_B_A-B_0,A,0.371,0.231,0.231,0.371,6cd9
  53,5wir_D_A-B-C-D_0,B,0.350,0.197,0.197,0.350,5wir
  54,1b51_B_A-B_0,A,0.376,0.100,0.100,0.376,1b51
  55,3m5o_C_A-C_0,A,0.339,0.195,0.195,0.339,3m5o
  56,4z0u_D_A-D_0,A,0.324,0.226,0.226,0.324,4z0u
  57,1u9l_C_B-C_1,B,0.259,0.294,0.259,0.294,1u9l
  58,1w9e_S_A-B-R-S-T_0,B,0.798,0.457,0.457,0.798,1w9e
  59,1ddv_B_A-B_0,A,0.397,0.354,0.354,0.397,1ddv
  60,4rxh_A_A-B-C_0,B,0.274,0.080,0.080,0.274,4rxh
  61,2wa8_D_C-D_1,C,0.294,0.262,0.262,0.294,2wa8
  62,4m38_E_A-B-E-F_0,A,0.335,0.129,0.129,0.335,4m38
  63,4j8b_B_A-B_0,A,0.335,0.133,0.133,0.335,4j8b
  64,6fkp_G_C-G_2,C,0.221,0.281,0.221,0.281,6fkp
  65,4j45_B_A-B_0,A,0.285,0.292,0.285,0.292,4j45
  66,3gv4_H_A-H_0,A,0.282,0.261,0.261,0.282,3gv4
  67,5fov_E_A-E_0,A,0.292,0.151,0.151,0.292,5fov
  68,1fch_C_A-B-C-D_2,F,0.310,0.121,0.121,0.310,1fch
  69,1fch_C_A-B-C-D_2,A,0.291,0.119,0.119,0.291,1fch
  70,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.323,0.263,0.263,0.323,1kl5
  71,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.318,0.259,0.259,0.318,1kl5
  72,3oqs_B_A-B_0,A,0.276,0.085,0.085,0.276,3oqs
  73,1kyd_P_A-P_0,A,0.331,0.154,0.154,0.331,1kyd
  74,3dri_B_A-B_0,A,0.389,0.091,0.091,0.389,3dri
  75,1qka_B_A-B_0,A,0.377,0.100,0.100,0.377,1qka
  76,1czy_D_A-B-C-D-E_0,A,0.424,0.268,0.268,0.424,1czy
  77,1sdz_B_A-B_0,A,0.294,0.276,0.276,0.294,1sdz
  78,3nfl_G_B-C-F-G_5,C,0.850,0.833,0.833,0.850,3nfl
  79,3drj_B_A-B_0,A,0.381,0.091,0.091,0.381,3drj
  80,1sua_C_A-C_0,A,0.419,0.178,0.178,0.419,1sua
  81,3ou3_C_A-B-C_0,A,0.297,0.275,0.275,0.297,3ou3
  82,3ou3_C_A-B-C_0,B,0.297,0.275,0.275,0.297,3ou3
  83,4gne_B_A-B_0,A,0.269,0.252,0.252,0.269,4gne
  84,3t64_F_A-B-C-F_0,A,0.365,0.248,0.248,0.365,3t64
  85,3t64_F_A-B-C-F_0,B,0.328,0.248,0.248,0.328,3t64
  86,6cd8_C_A-C_0,A,0.362,0.226,0.226,0.362,6cd8
  87,2dze_X_A-B-X_0,A,0.390,0.255,0.255,0.390,2dze
  88,2dze_X_A-B-X_0,B,0.359,0.242,0.242,0.359,2dze
  89,5huy_B_A-B-C_0,C,0.273,0.084,0.084,0.273,5huy
  90,4ny3_C_A-C_0,A,0.361,0.151,0.151,0.361,4ny3
  91,4nnm_C_A-C_0,A,0.873,0.700,0.700,0.873,4nnm
  92,5t6p_E_C-D-E_1,D,0.356,0.192,0.192,0.356,5t6p
  93,5t6p_E_C-D-E_1,C,0.355,0.188,0.188,0.355,5t6p
  94,4k3r_E_A-B-E_0,A,0.410,0.142,0.142,0.410,4k3r
