index,syst,chain,tm1,tm2,min,max,pdb
   0,4j79_B_A-B_0,A,0.279,0.273,0.273,0.279,4j79
   1,3ivq_D_B-D_1,B,0.209,0.372,0.209,0.372,3ivq
   2,3nim_X_F-X_3,F,0.122,0.325,0.122,0.325,3nim
   3,4ezq_B_A-B_1,A,0.221,0.273,0.221,0.273,4ezq
   4,1b3l_B_A-B_0,A,0.387,0.247,0.247,0.387,1b3l
   5,2r9q_X_A-C-X_1,C,0.296,0.271,0.271,0.296,2r9q
   6,5uw3_E_A-E_0,A,0.329,0.176,0.176,0.329,5uw3
   7,6exj_B_A-B_0,A,0.132,0.298,0.132,0.298,6exj
   8,3thk_C_A-C_0,A,0.123,0.366,0.123,0.366,3thk
   9,1b5i_B_A-B_0,A,0.383,0.243,0.243,0.383,1b5i
  10,1a7c_B_A-B-C_0,A,0.265,0.228,0.228,0.265,1a7c
  11,3ou3_C_A-B-C_0,A,0.151,0.326,0.151,0.326,3ou3
  12,3ou3_C_A-B-C_0,B,0.151,0.326,0.151,0.326,3ou3
  13,3cbl_B_A-B_0,A,0.806,0.672,0.672,0.806,3cbl
  14,3t64_F_A-B-C-F_0,A,0.197,0.311,0.197,0.311,3t64
  15,3t64_F_A-B-C-F_0,B,0.185,0.317,0.185,0.317,3t64
  16,5ovc_B_A-B_0,A,0.172,0.364,0.172,0.364,5ovc
  17,1yti_I_A-I_0,A,0.144,0.293,0.144,0.293,1yti
  18,1yti_I_A-I_0,B,0.144,0.293,0.144,0.293,1yti
  19,3drj_B_A-B_0,A,0.378,0.224,0.224,0.378,3drj
  20,4wvh_C_A-C_0,A,0.288,0.186,0.186,0.288,4wvh
  21,4jok_D_B-D_1,B,0.132,0.333,0.132,0.333,4jok
  22,5wir_D_A-B-C-D_0,B,0.276,0.359,0.276,0.359,5wir
  23,2fib_B_A-B_0,A,0.291,0.324,0.291,0.324,2fib
  24,2h2f_B_A-B_0,A,0.259,0.306,0.259,0.306,2h2f
  25,3f7o_X_A-X_0,A,0.266,0.271,0.266,0.271,3f7o
  26,5wun_C_A-B-C_0,A,0.278,0.215,0.215,0.278,5wun
  27,3v43_Q_A-Q_0,A,0.168,0.318,0.168,0.318,3v43
  28,1d0a_G_A-B-C-G-H-I_0,A,0.247,0.364,0.247,0.364,1d0a
  29,2d5w_C_A-C_0,A,0.398,0.223,0.223,0.398,2d5w
  30,3hds_E_A-D-E_0,D,0.186,0.402,0.186,0.402,3hds
  31,3hds_E_A-D-E_0,A,0.195,0.400,0.195,0.400,3hds
  32,5lyn_C_A-B-C-D_0,A,0.206,0.356,0.206,0.356,5lyn
  33,5lyn_C_A-B-C-D_0,B,0.196,0.333,0.196,0.333,5lyn
  34,4gyo_C_A-B-C-D_0,B,0.294,0.253,0.253,0.294,4gyo
  35,3m5o_C_A-C_0,A,0.232,0.303,0.232,0.303,3m5o
  36,4o4y_A_A-H-L_0,L,0.208,0.256,0.208,0.256,4o4y
  37,4o4y_A_A-H-L_0,H,0.237,0.290,0.237,0.290,4o4y
  38,5b74_D_A-B-D_0,B,0.208,0.371,0.208,0.371,5b74
  39,5oj5_B_A-B_0,A,0.268,0.257,0.257,0.268,5oj5
  40,2hpl_B_A-B_0,A,0.170,0.398,0.170,0.398,2hpl
  41,2hl3_C_A-B-C_0,A,0.120,0.328,0.120,0.328,2hl3
  42,2hl3_C_A-B-C_0,B,0.118,0.333,0.118,0.333,2hl3
  43,4k3q_E_A-B-E_0,A,0.276,0.237,0.237,0.276,4k3q
  44,1a30_C_A-B-C_0,A,0.155,0.326,0.155,0.326,1a30
  45,1a30_C_A-B-C_0,B,0.151,0.319,0.151,0.319,1a30
  46,5ovv_B_A-B_0,A,0.168,0.348,0.168,0.348,5ovv
  47,4odk_C_A-B-C_0,A,0.187,0.289,0.187,0.289,4odk
  48,1se0_B_A-B_0,A,0.167,0.350,0.167,0.350,1se0
  49,4b8o_C_A-B-C_0,A,0.285,0.220,0.220,0.285,4b8o
  50,1b4z_B_A-B_0,A,0.387,0.246,0.246,0.387,1b4z
  51,3rta_B_A-B_0,F,0.328,0.226,0.226,0.328,3rta
  52,3rta_B_A-B_0,A,0.328,0.226,0.226,0.328,3rta
  53,3nik_X_D-X_2,D,0.127,0.322,0.127,0.322,3nik
  54,4jop_C_A-C_0,A,0.133,0.330,0.133,0.330,4jop
  55,6ew9_P_A-B-C-P-Q-R_0,A,0.287,0.279,0.279,0.287,6ew9
  56,2foj_B_A-B_0,A,0.197,0.357,0.197,0.357,2foj
  57,4j84_D_B-D_1,B,0.276,0.274,0.274,0.276,4j84
  58,4pxm_D_A-B-C-D_0,B,0.258,0.307,0.258,0.307,4pxm
  59,3s9c_B_A-B_0,A,0.248,0.289,0.248,0.289,3s9c
  60,3ufm_B_A-B_0,A,0.301,0.355,0.301,0.355,3ufm
  61,5eyz_E_A-E_0,A,0.141,0.364,0.141,0.364,5eyz
  62,4fii_B_A-B_0,A,1.000,1.000,1.000,1.000,4fii
  63,4k3p_E_A-B-E_0,A,0.277,0.238,0.238,0.277,4k3p
  64,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.179,0.333,0.179,0.333,1kl5
  65,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.179,0.325,0.179,0.325,1kl5
  66,4mz6_A_A-C-E_0,E,0.276,0.214,0.214,0.276,4mz6
  67,1e4x_P_H-L-P_0,L,0.203,0.252,0.203,0.252,1e4x
  68,1e4x_P_H-L-P_0,H,0.218,0.267,0.218,0.267,1e4x
  69,4pz3_C_A-B-C_0,B,0.202,0.321,0.202,0.321,4pz3
  70,6cd9_B_A-B_0,A,0.233,0.359,0.233,0.359,6cd9
  71,4x2h_C_A-B-C_0,A,0.196,0.264,0.196,0.264,4x2h
  72,3jrv_D_B-D_1,B,0.219,0.367,0.219,0.367,3jrv
  73,1hsb_C_A-B-C_0,A,0.243,0.256,0.243,0.256,1hsb
  74,4joh_D_A-D_0,A,0.161,0.384,0.161,0.384,4joh
  75,1uoq_B_A-B_0,A,0.319,0.166,0.166,0.319,1uoq
  76,3fwv_C_A-C_0,A,0.220,0.416,0.220,0.416,3fwv
  77,6fkp_G_C-G_2,C,0.120,0.370,0.120,0.370,6fkp
  78,1b9j_B_A-B_0,A,0.384,0.244,0.244,0.384,1b9j
  79,4iim_E_A-B-C-D-E_0,B,0.099,0.405,0.099,0.405,4iim
  80,4g69_B_A-B_0,A,0.141,0.323,0.141,0.323,4g69
  81,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.183,0.343,0.183,0.343,1kl3
  82,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.177,0.325,0.177,0.325,1kl3
  83,4c2c_B_A-B-C_0,A,0.277,0.210,0.210,0.277,4c2c
  84,4cic_Q_A-B-Q_0,A,0.192,0.328,0.192,0.328,4cic
  85,4cic_Q_A-B-Q_0,B,0.196,0.337,0.196,0.337,4cic
  86,3d9t_D_B-D_1,B,0.180,0.400,0.180,0.400,3d9t
  87,3cvl_B_A-B_0,A,0.266,0.265,0.265,0.266,3cvl
  88,5d9g_C_A-C_0,A,0.268,0.301,0.268,0.301,5d9g
  89,4j81_C_B-C_1,B,0.276,0.271,0.271,0.276,4j81
  90,5m5t_E_A-E-G-I_0,A,0.316,0.271,0.271,0.316,5m5t
  91,3agy_C_A-B-C-D-F_0,A,0.192,0.279,0.192,0.279,3agy
  92,1qka_B_A-B_0,A,0.383,0.245,0.245,0.383,1qka
  93,5gu4_C_A-C_0,A,0.265,0.293,0.265,0.293,5gu4
  94,5y53_F_C-E-F_1,C,0.261,0.502,0.261,0.502,5y53
  95,5y53_F_C-E-F_1,E,0.261,0.499,0.261,0.499,5y53
  96,3tcg_I_A-I_0,A,0.377,0.240,0.240,0.377,3tcg
  97,4rxh_A_A-B-C_0,B,0.285,0.219,0.219,0.285,4rxh
  98,3sxu_C_A-B-C_0,A,0.194,0.316,0.194,0.316,3sxu
  99,5e6o_E_B-E_1,B,0.202,0.386,0.202,0.386,5e6o
 100,4j45_B_A-B_0,A,0.176,0.413,0.176,0.413,4j45
 101,3l81_B_A-B_0,A,0.225,0.252,0.225,0.252,3l81
 102,4mvk_B_A-B_0,A,0.215,0.305,0.215,0.305,4mvk
 103,4quh_D_A-C-D-I-J_0,A,0.239,0.281,0.239,0.281,4quh
 104,1w9e_S_A-B-R-S-T_0,B,0.221,0.333,0.221,0.333,1w9e
 105,1gyb_E_A-B-E-F_0,A,0.179,0.329,0.179,0.329,1gyb
 106,1gyb_E_A-B-E-F_0,B,0.178,0.328,0.178,0.328,1gyb
 107,4pyw_B_A-B-C_0,A,0.253,0.217,0.217,0.253,4pyw
 108,2b6n_B_A-B_0,A,0.259,0.267,0.259,0.267,2b6n
 109,4apo_D_B-D_1,B,0.204,0.333,0.204,0.333,4apo
 110,2i3h_C_A-C_0,A,0.180,0.405,0.180,0.405,2i3h
 111,3vqg_B_A-B_0,A,0.149,0.342,0.149,0.342,3vqg
 112,2h59_D_A-B-D-E_0,A,0.281,0.320,0.281,0.320,2h59
 113,2h59_D_A-B-D-E_0,B,0.284,0.323,0.284,0.323,2h59
 114,4j44_B_A-B_0,A,0.176,0.414,0.176,0.414,4j44
 115,4ynl_C_A-B-C-D_0,A,0.148,0.442,0.148,0.442,4ynl
 116,4ynl_C_A-B-C-D_0,B,0.148,0.444,0.148,0.444,4ynl
 117,2x6m_B_A-B_0,A,0.205,0.391,0.205,0.391,2x6m
 118,4xal_B_A-B_0,A,0.140,0.373,0.140,0.373,4xal
 119,3m5m_C_B-C_1,B,0.226,0.298,0.226,0.298,3m5m
 120,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.158,0.385,0.158,0.385,2y1l
 121,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.214,0.355,0.214,0.355,2y1l
 122,4j09_B_A-B_0,A,0.280,0.302,0.280,0.302,4j09
 123,4j09_B_A-B_0,C,0.280,0.302,0.280,0.302,4j09
 124,5xcr_F_D-E-F_1,D,0.213,0.328,0.213,0.328,5xcr
 125,5xcr_F_D-E-F_1,E,0.197,0.290,0.197,0.290,5xcr
 126,2fop_B_A-B_0,A,0.197,0.357,0.197,0.357,2fop
 127,3nin_E_B-E_1,B,0.125,0.330,0.125,0.330,3nin
 128,5yba_B_A-B-C-D_0,A,0.235,0.339,0.235,0.339,5yba
 129,3oqs_B_A-B_0,A,0.282,0.217,0.217,0.282,3oqs
 130,2v1r_R_A-Q-R_0,A,0.129,0.328,0.129,0.328,2v1r
 131,2y7l_B_A-B_0,A,0.265,0.254,0.254,0.265,2y7l
 132,3zs6_B_A-B_0,A,0.383,0.248,0.248,0.383,3zs6
 133,5jiu_C_A-B-C-D_0,A,0.235,0.293,0.235,0.293,5jiu
 134,5oav_B_A-B_0,A,0.104,0.354,0.104,0.354,5oav
 135,5m5v_G_A-E-G-I_0,A,0.307,0.264,0.264,0.307,5m5v
 136,3psl_D_B-D_1,B,0.267,0.264,0.264,0.267,3psl
 137,2dze_X_A-B-X_0,A,0.218,0.330,0.218,0.330,2dze
 138,2dze_X_A-B-X_0,B,0.216,0.327,0.216,0.327,2dze
 139,3ifo_P_H-L-P_0,L,0.198,0.244,0.198,0.244,3ifo
 140,3ifo_P_H-L-P_0,H,0.231,0.288,0.231,0.288,3ifo
 141,5m5u_G_A-E-G_0,A,0.317,0.272,0.272,0.317,5m5u
 142,4wnn_T_C-D-T_3,D,0.169,0.356,0.169,0.356,4wnn
 143,4wnn_T_C-D-T_3,C,0.150,0.405,0.150,0.405,4wnn
 144,4ezn_C_A-B-C-D_0,A,0.227,0.278,0.227,0.278,4ezn
 145,5fpk_C_A-C_0,A,0.250,0.306,0.250,0.306,5fpk
 146,4k72_C_A-C_0,A,0.133,0.328,0.133,0.328,4k72
 147,5elq_P_A-P_0,A,0.144,0.293,0.144,0.293,5elq
 148,1jwg_D_B-D_1,B,0.228,0.407,0.228,0.407,1jwg
 149,5jjm_G_A-G-M_0,A,0.251,0.279,0.251,0.279,5jjm
 150,4gne_B_A-B_0,A,0.176,0.386,0.176,0.386,4gne
 151,5fou_C_A-C_0,A,0.235,0.283,0.235,0.283,5fou
 152,4j46_B_A-B_0,A,0.175,0.416,0.175,0.416,4j46
 153,4z88_V_J-V_1,J,0.127,0.354,0.127,0.354,4z88
 154,3woq_C_A-B-C-D_0,A,0.299,0.155,0.155,0.299,3woq
 155,3q47_C_B-C_0,B,0.188,0.316,0.188,0.316,3q47
 156,6fqc_E_A-B-D-E_0,A,0.310,0.281,0.281,0.310,6fqc
 157,3drh_B_A-B_0,A,0.379,0.224,0.224,0.379,3drh
 158,3cww_E_A-B-D-E_0,A,0.324,0.131,0.131,0.324,3cww
 159,3zvy_D_B-D_0,B,0.130,0.353,0.130,0.353,3zvy
 160,4ny3_C_A-C_0,A,0.283,0.279,0.279,0.283,4ny3
 161,1fch_C_A-B-C-D_2,F,0.296,0.293,0.293,0.296,1fch
 162,1fch_C_A-B-C-D_2,A,0.303,0.296,0.296,0.303,1fch
 163,5nqv_G_A-C-E-G_0,C,0.266,0.366,0.266,0.366,5nqv
 164,3shb_B_A-B_0,A,0.137,0.368,0.137,0.368,3shb
 165,4j77_D_B-D_1,B,0.276,0.272,0.272,0.276,4j77
 166,5iag_D_A-B-D_0,A,0.248,0.286,0.248,0.286,5iag
 167,1b3g_B_A-B_0,A,0.383,0.244,0.244,0.383,1b3g
 168,5fov_E_A-E_0,A,0.232,0.277,0.232,0.277,5fov
 169,4q6f_H_C-H_2,C,0.097,0.313,0.097,0.313,4q6f
 170,4m38_E_A-B-E-F_0,A,0.276,0.250,0.250,0.276,4m38
 171,1h27_E_A-B-E_0,B,0.321,0.352,0.321,0.352,1h27
 172,4ojf_A_A-H-L_0,L,0.215,0.268,0.215,0.268,4ojf
 173,4ojf_A_A-H-L_0,H,0.242,0.292,0.242,0.292,4ojf
 174,5fch_C_A-B-C_0,A,0.265,0.210,0.210,0.265,5fch
 175,5fch_C_A-B-C_0,B,0.278,0.224,0.224,0.278,5fch
 176,3rt9_B_A-B_0,F,0.334,0.228,0.228,0.334,3rt9
 177,3rt9_B_A-B_0,A,0.334,0.228,0.228,0.334,3rt9
 178,4z8j_B_A-B_0,A,0.142,0.340,0.142,0.340,4z8j
 179,4jjq_B_A-B_0,A,0.198,0.359,0.198,0.359,4jjq
 180,3nfk_D_A-B-C-D_2,B,0.139,0.359,0.139,0.359,3nfk
 181,1ghb_P_E-F-G-P_0,F,0.181,0.313,0.181,0.313,1ghb
 182,1ghb_P_E-F-G-P_0,G,0.151,0.311,0.151,0.311,1ghb
 183,1ghb_P_E-F-G-P_0,C,0.151,0.311,0.151,0.311,1ghb
 184,1ghb_P_E-F-G-P_0,B,0.181,0.313,0.181,0.313,1ghb
 185,3hda_Z_P-Z_0,P,0.291,0.240,0.240,0.291,3hda
