index,syst,chain,tm1,tm2,min,max,pdb
   0,4j77_D_B-D_1,B,0.301,0.195,0.195,0.301,4j77
   1,4jmy_E_A-C-E_0,A,0.264,0.243,0.243,0.264,4jmy
   2,6cdc_C_A-C_0,A,0.281,0.280,0.280,0.281,6cdc
   3,3hds_E_A-D-E_0,D,0.292,0.380,0.292,0.380,3hds
   4,3hds_E_A-D-E_0,A,0.292,0.364,0.292,0.364,3hds
   5,5fox_C_A-C_0,A,0.278,0.220,0.220,0.278,5fox
   6,3rta_B_A-B_0,F,0.292,0.130,0.130,0.292,3rta
   7,3rta_B_A-B_0,A,0.292,0.130,0.130,0.292,3rta
   8,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.245,0.346,0.245,0.346,2y1l
   9,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.265,0.281,0.265,0.281,2y1l
  10,1b4z_B_A-B_0,A,0.407,0.171,0.171,0.407,1b4z
  11,3nij_B_A-B_0,A,0.218,0.361,0.218,0.361,3nij
  12,5huw_B_A-B-C_0,C,0.278,0.132,0.132,0.278,5huw
  13,5sxm_D_B-D_1,B,0.328,0.211,0.211,0.328,5sxm
  14,4ikn_B_A-B_0,A,0.378,0.272,0.272,0.378,4ikn
  15,5fou_C_A-C_0,A,0.276,0.221,0.221,0.276,5fou
  16,5azf_C_A-C_0,A,0.274,0.345,0.274,0.345,5azf
  17,1ok7_C_A-B-C_0,B,0.296,0.167,0.167,0.296,1ok7
  18,3fp4_Q_A-Q_0,A,0.350,0.149,0.149,0.350,3fp4
  19,3nim_X_F-X_3,F,0.218,0.360,0.218,0.360,3nim
  20,3m5o_C_A-C_0,A,0.269,0.234,0.234,0.269,3m5o
  21,3cbl_B_A-B_0,A,0.324,0.183,0.183,0.324,3cbl
  22,3shb_B_A-B_0,A,0.170,0.285,0.170,0.285,3shb
  23,5e6o_E_B-E_1,B,0.254,0.317,0.254,0.317,5e6o
  24,4joh_D_A-D_0,A,0.230,0.340,0.230,0.340,4joh
  25,4b8o_C_A-B-C_0,A,0.319,0.156,0.156,0.319,4b8o
  26,3agy_C_A-B-C-D-F_0,A,0.286,0.268,0.268,0.286,3agy
  27,3hda_Z_P-Z_0,P,0.304,0.169,0.169,0.304,3hda
  28,2ipu_P_G-K-P_1,G,0.588,0.449,0.449,0.588,2ipu
  29,2ipu_P_G-K-P_1,K,0.605,0.458,0.458,0.605,2ipu
  30,2fop_B_A-B_0,A,0.356,0.405,0.356,0.405,2fop
  31,3jrv_D_B-D_1,B,0.256,0.278,0.256,0.278,3jrv
  32,4j82_C_A-C_0,A,0.300,0.199,0.199,0.300,4j82
  33,6cdg_B_A-B_0,A,0.279,0.277,0.277,0.279,6cdg
  34,5jiu_C_A-B-C-D_0,A,0.290,0.245,0.245,0.290,5jiu
  35,1s2k_B_A-B_0,A,0.299,0.260,0.260,0.299,1s2k
  36,5gu4_C_A-C_0,A,0.278,0.202,0.202,0.278,5gu4
  37,4apo_D_B-D_1,B,0.300,0.312,0.300,0.312,4apo
  38,4o51_N_A-B-N_1,A,0.620,0.476,0.476,0.620,4o51
  39,4o51_N_A-B-N_1,B,0.595,0.460,0.460,0.595,4o51
  40,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.233,0.334,0.233,0.334,1xb0
  41,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.229,0.326,0.229,0.326,1xb0
  42,3cvl_B_A-B_0,A,0.272,0.178,0.178,0.272,3cvl
  43,4mvk_B_A-B_0,A,0.325,0.313,0.313,0.325,4mvk
  44,5uw3_E_A-E_0,A,0.322,0.112,0.112,0.322,5uw3
  45,3rc4_B_A-B_0,A,0.275,0.238,0.238,0.275,3rc4
  46,4ouc_B_A-B_0,A,0.367,0.218,0.218,0.367,4ouc
  47,4j79_B_A-B_0,A,0.305,0.195,0.195,0.305,4j79
  48,1sdz_B_A-B_0,A,0.241,0.334,0.241,0.334,1sdz
  49,3nfk_D_A-B-C-D_2,B,0.227,0.325,0.227,0.325,3nfk
  50,5kzt_C_A-C_0,A,0.417,0.173,0.173,0.417,5kzt
  51,1vwa_M_B-D-M-P_0,C,0.299,0.362,0.299,0.362,1vwa
  52,1vwa_M_B-D-M-P_0,B,0.295,0.353,0.295,0.353,1vwa
  53,4ezq_B_A-B_1,A,0.277,0.225,0.225,0.277,4ezq
  54,4mz6_A_A-C-E_0,E,0.310,0.152,0.152,0.310,4mz6
  55,1d00_I_A-I_0,A,0.357,0.348,0.348,0.357,1d00
  56,4z0u_D_A-D_0,A,0.299,0.310,0.299,0.310,4z0u
  57,1b5j_B_A-B_0,A,0.408,0.171,0.171,0.408,1b5j
  58,4ezy_B_A-B_2,A,0.305,0.246,0.246,0.305,4ezy
  59,4dgb_B_A-B_0,A,0.263,0.262,0.262,0.263,4dgb
  60,5m5v_G_A-E-G-I_0,A,0.334,0.186,0.186,0.334,5m5v
  61,4q6f_H_C-H_2,C,0.141,0.281,0.141,0.281,4q6f
  62,6fkp_G_C-G_2,C,0.128,0.271,0.128,0.271,6fkp
  63,4c2c_B_A-B-C_0,A,0.281,0.134,0.134,0.281,4c2c
  64,4jwd_C_B-C_1,B,0.298,0.242,0.242,0.298,4jwd
  65,3drj_B_A-B_0,A,0.358,0.139,0.139,0.358,3drj
  66,3rte_B_A-B_0,G,0.299,0.134,0.134,0.299,3rte
  67,3rte_B_A-B_0,A,0.299,0.134,0.134,0.299,3rte
  68,4j8b_B_A-B_0,A,0.303,0.199,0.199,0.303,4j8b
  69,2h9m_D_C-D_1,C,0.314,0.206,0.206,0.314,2h9m
  70,1evh_B_A-B_0,A,0.229,0.304,0.229,0.304,1evh
  71,1yth_I_A-B-I_0,A,0.205,0.275,0.205,0.275,1yth
  72,1yth_I_A-B-I_0,B,0.212,0.291,0.212,0.291,1yth
  73,1oby_Q_A-B-P-Q_0,A,0.210,0.333,0.210,0.333,1oby
