index,syst,chain,tm1,tm2,min,max,pdb
   0,1rzx_B_A-B_0,A,0.110,0.377,0.110,0.377,1rzx
   1,4ezy_B_A-B_2,A,0.142,0.254,0.142,0.254,4ezy
   2,4q6f_H_C-H_2,C,0.063,0.329,0.063,0.329,4q6f
   3,5fch_C_A-B-C_0,A,0.278,0.323,0.278,0.323,5fch
   4,5fch_C_A-B-C_0,B,0.275,0.322,0.275,0.322,5fch
   5,5v5p_A_A-B-C_0,C,0.255,0.283,0.255,0.283,5v5p
   6,2v3s_C_B-C_1,B,0.112,0.373,0.112,0.373,2v3s
   7,3nij_B_A-B_0,A,0.091,0.341,0.091,0.341,3nij
   8,3l81_B_A-B_0,A,0.176,0.290,0.176,0.290,3l81
   9,5wun_C_A-B-C_0,A,0.252,0.279,0.252,0.279,5wun
  10,1d0a_G_A-B-C-G-H-I_0,A,0.143,0.297,0.143,0.297,1d0a
  11,2v5f_X_A-X_0,A,0.123,0.415,0.123,0.415,2v5f
  12,3upv_B_A-B_0,A,0.150,0.415,0.150,0.415,3upv
  13,3njj_B_A-B_0,A,0.115,0.354,0.115,0.354,3njj
  14,4j45_B_A-B_0,A,0.105,0.423,0.105,0.423,4j45
  15,3fwv_C_A-C_0,A,0.152,0.409,0.152,0.409,3fwv
  16,2h9m_D_C-D_1,C,0.270,0.384,0.270,0.384,2h9m
  17,4b3b_C_A-C_0,A,0.237,0.436,0.237,0.436,4b3b
  18,1lvm_C_A-C-E_0,A,0.181,0.314,0.181,0.314,1lvm
  19,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.105,0.431,0.105,0.431,2y1l
  20,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.184,0.500,0.184,0.500,2y1l
  21,5m5t_E_A-E-G-I_0,A,0.255,0.318,0.255,0.318,5m5t
  22,2ipu_P_G-K-P_1,G,0.177,0.310,0.177,0.310,2ipu
  23,2ipu_P_G-K-P_1,K,0.172,0.309,0.172,0.309,2ipu
  24,6exj_B_A-B_0,A,0.113,0.397,0.113,0.397,6exj
  25,3mmg_C_A-C_0,A,0.172,0.317,0.172,0.317,3mmg
  26,1a30_C_A-B-C_0,A,0.108,0.329,0.108,0.329,1a30
  27,1a30_C_A-B-C_0,B,0.106,0.326,0.106,0.326,1a30
  28,3emh_B_A-B_0,A,0.265,0.380,0.265,0.380,3emh
  29,4ezz_B_A-B_1,A,0.141,0.261,0.141,0.261,4ezz
  30,5kzt_C_A-C_0,A,0.246,0.239,0.239,0.246,5kzt
  31,3nfk_D_A-B-C-D_2,B,0.117,0.424,0.117,0.424,3nfk
  32,5jjm_G_A-G-M_0,A,0.173,0.283,0.173,0.283,5jjm
  33,3drj_B_A-B_0,A,0.270,0.246,0.246,0.270,3drj
  34,1sem_C_A-B-C-D_0,A,0.071,0.366,0.071,0.366,1sem
  35,3nii_B_A-B_0,A,0.090,0.333,0.090,0.333,3nii
  36,1v1t_S_A-B-S-T_0,B,0.162,0.366,0.162,0.366,1v1t
  37,4apo_D_B-D_1,B,0.163,0.391,0.163,0.391,4apo
  38,3f7o_X_A-X_0,A,0.286,0.448,0.286,0.448,3f7o
  39,1b3g_B_A-B_0,A,0.258,0.248,0.248,0.258,1b3g
  40,4zhb_B_A-B_0,A,0.138,0.470,0.138,0.470,4zhb
  41,5iza_B_A-B_0,A,0.260,0.340,0.260,0.340,5iza
  42,4j44_B_A-B_0,A,0.108,0.422,0.108,0.422,4j44
  43,5azf_C_A-C_0,A,0.122,0.353,0.122,0.353,5azf
  44,3drh_B_A-B_0,A,0.267,0.243,0.243,0.267,3drh
  45,3rte_B_A-B_0,G,0.999,0.999,0.999,0.999,3rte
  46,3rte_B_A-B_0,A,0.999,0.999,0.999,0.999,3rte
  47,4jor_D_B-D_1,B,0.120,0.434,0.120,0.434,4jor
  48,3gq1_C_A-C_0,A,0.101,0.392,0.101,0.392,3gq1
  49,1wcy_C_A-B-C-D_0,A,0.280,0.210,0.210,0.280,1wcy
  50,3zs6_B_A-B_0,A,0.260,0.253,0.253,0.260,3zs6
  51,4j79_B_A-B_0,A,0.252,0.360,0.252,0.360,4j79
  52,3ny3_B_A-B_0,A,0.075,0.293,0.075,0.293,3ny3
  53,5huw_B_A-B-C_0,C,0.245,0.273,0.245,0.273,5huw
  54,1kyf_P_A-P_0,A,0.170,0.280,0.170,0.280,1kyf
  55,1u9l_C_B-C_1,B,0.099,0.420,0.099,0.420,1u9l
  56,3sxu_C_A-B-C_0,A,0.185,0.482,0.185,0.482,3sxu
  57,3uoa_L_B-C-L-M_0,B,0.248,0.309,0.248,0.309,3uoa
  58,4jjq_B_A-B_0,A,0.125,0.326,0.125,0.326,4jjq
  59,1czy_D_A-B-C-D-E_0,A,0.148,0.312,0.148,0.312,1czy
  60,3lny_B_A-B_0,A,0.123,0.425,0.123,0.425,3lny
  61,6cdc_C_A-C_0,A,0.147,0.330,0.147,0.330,6cdc
  62,4ny3_C_A-C_0,A,0.200,0.288,0.200,0.288,4ny3
  63,4c2g_B_A-B-C_0,A,0.272,0.298,0.272,0.298,4c2g
  64,4rxh_A_A-B-C_0,B,0.255,0.285,0.255,0.285,4rxh
  65,5oj5_B_A-B_0,A,0.271,0.378,0.271,0.378,5oj5
  66,2hpl_B_A-B_0,A,0.112,0.378,0.112,0.378,2hpl
  67,4pz3_C_A-B-C_0,B,0.135,0.319,0.135,0.319,4pz3
  68,5grg_D_A-B-C-D_0,A,0.204,0.315,0.204,0.315,5grg
  69,5fgb_G_B-E-G_1,E,0.189,0.358,0.189,0.358,5fgb
  70,5fgb_G_B-E-G_1,B,0.164,0.298,0.164,0.298,5fgb
  71,6fqc_E_A-B-D-E_0,A,0.201,0.266,0.201,0.266,6fqc
  72,1mfl_B_A-B_0,A,0.112,0.392,0.112,0.392,1mfl
  73,4fys_C_A-C_0,A,0.325,0.209,0.209,0.325,4fys
  74,4ojf_A_A-H-L_0,L,0.167,0.298,0.167,0.298,4ojf
  75,4ojf_A_A-H-L_0,H,0.195,0.359,0.195,0.359,4ojf
  76,1b46_B_A-B_0,A,0.260,0.250,0.250,0.260,1b46
  77,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.218,0.324,0.218,0.324,2z9i
  78,1b5i_B_A-B_0,A,0.260,0.249,0.249,0.260,1b5i
  79,3wor_C_A-B-C-D_0,A,0.231,0.177,0.177,0.231,3wor
  80,4jmy_E_A-C-E_0,A,0.173,0.365,0.173,0.365,4jmy
  81,4c2c_B_A-B-C_0,A,0.272,0.298,0.272,0.298,4c2c
  82,3fp4_Q_A-Q_0,A,0.322,0.325,0.322,0.325,3fp4
  83,5m5r_D_A-C-D_0,A,0.254,0.316,0.254,0.316,5m5r
  84,3rta_B_A-B_0,F,1.000,1.000,1.000,1.000,3rta
  85,3rta_B_A-B_0,A,1.000,1.000,1.000,1.000,3rta
  86,4quh_D_A-C-D-I-J_0,A,0.246,0.445,0.246,0.445,4quh
  87,4r5i_B_A-B_0,A,0.137,0.248,0.137,0.248,4r5i
  88,3q47_C_B-C_0,B,0.150,0.398,0.150,0.398,3q47
  89,4k76_G_C-G_2,C,0.122,0.442,0.122,0.442,4k76
  90,5jiu_C_A-B-C-D_0,A,0.194,0.359,0.194,0.359,5jiu
  91,2i3h_C_A-C_0,A,0.103,0.380,0.103,0.380,2i3h
  92,3oqs_B_A-B_0,A,0.251,0.278,0.251,0.278,3oqs
  93,3dri_B_A-B_0,A,0.267,0.243,0.243,0.267,3dri
  94,3f6k_N_A-N_0,A,0.281,0.226,0.226,0.281,3f6k
  95,4k75_B_A-B_0,A,0.119,0.431,0.119,0.431,4k75
  96,4ezn_C_A-B-C-D_0,A,0.147,0.278,0.147,0.278,4ezn
  97,2zgh_B_A-B_0,A,0.168,0.289,0.168,0.289,2zgh
  98,3hds_E_A-D-E_0,D,0.118,0.369,0.118,0.369,3hds
  99,3hds_E_A-D-E_0,A,0.110,0.319,0.110,0.319,3hds
 100,2zjd_D_C-D_5,C,0.116,0.325,0.116,0.325,2zjd
 101,4f75_C_A-B-C-D_0,A,0.107,0.325,0.107,0.325,4f75
 102,4f75_C_A-B-C-D_0,B,0.108,0.333,0.108,0.333,4f75
 103,3rc5_B_A-B_0,A,0.180,0.353,0.180,0.353,3rc5
 104,1awr_J_D-J_5,D,0.140,0.321,0.140,0.321,1awr
 105,1uoq_B_A-B_0,A,0.281,0.214,0.214,0.281,1uoq
 106,2wa8_D_C-D_1,C,0.125,0.397,0.125,0.397,2wa8
 107,1gyb_E_A-B-E-F_0,A,0.109,0.305,0.109,0.305,1gyb
 108,1gyb_E_A-B-E-F_0,B,0.114,0.326,0.114,0.326,1gyb
 109,5sxm_D_B-D_1,B,0.269,0.384,0.269,0.384,5sxm
 110,4joh_D_A-D_0,A,0.120,0.432,0.120,0.432,4joh
 111,1yth_I_A-B-I_0,A,0.108,0.344,0.108,0.344,1yth
 112,1yth_I_A-B-I_0,B,0.108,0.328,0.108,0.328,1yth
