index,syst,chain,tm1,tm2,min,max,pdb
   0,3njj_B_A-B_0,A,0.114,0.341,0.114,0.341,3njj
   1,4ezw_E_A-E_0,A,0.142,0.259,0.142,0.259,4ezw
   2,4quh_D_A-C-D-I-J_0,A,0.246,0.448,0.246,0.448,4quh
   3,4z88_V_J-V_1,J,0.073,0.344,0.073,0.344,4z88
   4,1fch_C_A-B-C-D_2,F,0.246,0.352,0.246,0.352,1fch
   5,1fch_C_A-B-C-D_2,A,0.241,0.344,0.241,0.344,1fch
   6,5y53_F_C-E-F_1,C,0.118,0.310,0.118,0.310,5y53
   7,5y53_F_C-E-F_1,E,0.117,0.311,0.117,0.311,5y53
   8,5iza_B_A-B_0,A,0.261,0.342,0.261,0.342,5iza
   9,5v5p_A_A-B-C_0,C,0.255,0.283,0.255,0.283,5v5p
  10,1b51_B_A-B_0,A,0.258,0.248,0.248,0.258,1b51
  11,4ztd_F_A-B-C-D-E-F_0,C,0.181,0.291,0.181,0.291,4ztd
  12,2v1r_R_A-Q-R_0,A,0.075,0.322,0.075,0.322,2v1r
  13,5fgb_G_B-E-G_1,E,0.191,0.356,0.191,0.356,5fgb
  14,5fgb_G_B-E-G_1,B,0.163,0.296,0.163,0.296,5fgb
  15,3v43_Q_A-Q_0,A,0.109,0.305,0.109,0.305,3v43
  16,3cbl_B_A-B_0,A,0.239,0.303,0.239,0.303,3cbl
  17,1yti_I_A-I_0,A,0.111,0.329,0.111,0.329,1yti
  18,1yti_I_A-I_0,B,0.111,0.329,0.111,0.329,1yti
  19,3l81_B_A-B_0,A,0.173,0.289,0.173,0.289,3l81
  20,5fow_E_A-E_0,A,0.229,0.435,0.229,0.435,5fow
  21,4pyw_B_A-B-C_0,A,0.208,0.259,0.208,0.259,4pyw
  22,5elq_P_A-P_0,A,0.101,0.370,0.101,0.370,5elq
  23,1olc_B_A-B_0,A,0.260,0.250,0.250,0.260,1olc
  24,1nvs_B_A-B_0,A,0.181,0.289,0.181,0.289,1nvs
  25,3d9t_D_B-D_1,B,0.109,0.376,0.109,0.376,3d9t
  26,2wa8_D_C-D_1,C,0.124,0.401,0.124,0.401,2wa8
  27,5fou_C_A-C_0,A,0.237,0.431,0.237,0.431,5fou
  28,3nih_B_A-B_0,A,0.090,0.332,0.090,0.332,3nih
  29,3ifo_P_H-L-P_0,L,0.170,0.304,0.170,0.304,3ifo
  30,3ifo_P_H-L-P_0,H,0.159,0.289,0.159,0.289,3ifo
