index,syst,chain,tm1,tm2,min,max,pdb
   0,3uoa_L_B-C-L-M_0,B,0.339,0.176,0.176,0.339,3uoa
   1,4xi7_C_A-C_0,A,0.292,0.150,0.150,0.292,4xi7
   2,4zhb_B_A-B_0,A,0.239,0.303,0.239,0.303,4zhb
   3,4x2h_C_A-B-C_0,A,0.271,0.232,0.232,0.271,4x2h
   4,1b5i_B_A-B_0,A,0.422,0.156,0.156,0.422,1b5i
   5,5xup_D_A-B-C-D_0,B,0.305,0.252,0.252,0.305,5xup
   6,3lny_B_A-B_0,A,0.251,0.331,0.251,0.331,3lny
   7,4cic_Q_A-B-Q_0,A,0.242,0.255,0.242,0.255,4cic
   8,4cic_Q_A-B-Q_0,B,0.243,0.257,0.243,0.257,4cic
   9,2bgr_Y_A-B-Y-Z_0,A,0.349,0.101,0.101,0.349,2bgr
  10,1b9j_B_A-B_0,A,0.423,0.155,0.155,0.423,1b9j
  11,4que_E_A-C-D-E-H-J_0,A,0.294,0.218,0.218,0.294,4que
  12,4q6f_H_C-H_2,C,0.159,0.329,0.159,0.329,4q6f
  13,1lvm_C_A-C-E_0,A,0.302,0.227,0.227,0.302,1lvm
  14,1kyf_P_A-P_0,A,0.383,0.263,0.263,0.383,1kyf
  15,1yth_I_A-B-I_0,A,0.244,0.308,0.244,0.308,1yth
  16,1yth_I_A-B-I_0,B,0.237,0.298,0.237,0.298,1yth
  17,2ce9_X_A-B-X_0,A,0.285,0.162,0.162,0.285,2ce9
  18,3drh_B_A-B_0,A,0.430,0.146,0.146,0.430,3drh
  19,1elr_B_A-B_0,A,0.230,0.254,0.230,0.254,1elr
  20,3ivq_D_B-D_1,B,0.356,0.374,0.356,0.374,3ivq
  21,3cww_E_A-B-D-E_0,A,0.415,0.097,0.097,0.415,3cww
  22,5fov_E_A-E_0,A,0.315,0.236,0.236,0.315,5fov
  23,1kyd_P_A-P_0,A,0.381,0.262,0.262,0.381,1kyd
  24,3qhw_L_A-B-J-L_0,B,0.301,0.201,0.201,0.301,3qhw
  25,4j82_C_A-C_0,A,0.292,0.179,0.179,0.292,4j82
  26,4j81_C_B-C_1,B,0.289,0.176,0.176,0.289,4j81
  27,1oby_Q_A-B-P-Q_0,A,0.198,0.311,0.198,0.311,1oby
  28,1oby_Q_A-B-P-Q_0,B,0.214,0.326,0.214,0.326,1oby
  29,3v43_Q_A-Q_0,A,0.233,0.280,0.233,0.280,3v43
  30,3o2b_D_C-D_1,C,0.265,0.334,0.265,0.334,3o2b
  31,3srj_D_A-C-D_0,A,0.318,0.197,0.197,0.318,3srj
  32,3rc5_B_A-B_0,A,0.295,0.246,0.246,0.295,3rc5
  33,5fpk_C_A-C_0,A,0.324,0.244,0.244,0.324,5fpk
  34,3emh_B_A-B_0,A,0.287,0.183,0.183,0.287,3emh
  35,1b4z_B_A-B_0,A,0.424,0.155,0.155,0.424,1b4z
  36,4kg9_B_A-B_0,A,0.351,0.370,0.351,0.370,4kg9
  37,5grg_D_A-B-C-D_0,A,0.332,0.212,0.212,0.332,5grg
  38,1oxn_F_E-F_7,E,0.216,0.296,0.216,0.296,1oxn
  39,6cdc_C_A-C_0,A,0.316,0.296,0.296,0.316,6cdc
  40,3m5n_F_B-F_1,B,0.307,0.251,0.251,0.307,3m5n
  41,4ezy_B_A-B_2,A,0.330,0.253,0.253,0.330,4ezy
  42,4k75_B_A-B_0,A,0.232,0.326,0.232,0.326,4k75
  43,2i3h_C_A-C_0,A,0.218,0.303,0.218,0.303,2i3h
  44,5m5t_E_A-E-G-I_0,A,0.328,0.173,0.173,0.328,5m5t
  45,6cd8_C_A-C_0,A,0.339,0.312,0.312,0.339,6cd8
  46,4z8j_B_A-B_0,A,0.247,0.324,0.247,0.324,4z8j
  47,5iza_B_A-B_0,A,0.259,0.142,0.142,0.259,5iza
  48,5lyn_C_A-B-C-D_0,A,0.221,0.235,0.221,0.235,5lyn
  49,5lyn_C_A-B-C-D_0,B,0.221,0.236,0.221,0.236,5lyn
  50,3m5o_C_A-C_0,A,0.293,0.244,0.244,0.293,3m5o
  51,1jwg_D_B-D_1,B,0.258,0.269,0.258,0.269,1jwg
  52,5zw6_C_A-B-C-D_0,A,0.299,0.143,0.143,0.299,5zw6
  53,5lb7_C_A-B-C_0,A,0.230,0.214,0.214,0.230,5lb7
  54,5lb7_C_A-B-C_0,B,0.200,0.305,0.200,0.305,5lb7
  55,4k3q_E_A-B-E_0,A,0.276,0.151,0.151,0.276,4k3q
  56,5fow_E_A-E_0,A,0.301,0.229,0.229,0.301,5fow
  57,1b5j_B_A-B_0,A,0.423,0.155,0.155,0.423,1b5j
  58,3m5m_C_B-C_1,B,0.296,0.247,0.247,0.296,3m5m
  59,4xal_B_A-B_0,A,0.207,0.280,0.207,0.280,4xal
  60,4fys_C_A-C_0,A,0.413,0.097,0.097,0.413,4fys
  61,5v5p_A_A-B-C_0,C,0.245,0.118,0.118,0.245,5v5p
  62,3rte_B_A-B_0,G,0.277,0.115,0.115,0.277,3rte
  63,3rte_B_A-B_0,A,0.277,0.115,0.115,0.277,3rte
  64,1awr_J_D-J_5,D,0.297,0.278,0.278,0.297,1awr
  65,4ynl_C_A-B-C-D_0,A,0.199,0.304,0.199,0.304,4ynl
  66,4ynl_C_A-B-C-D_0,B,0.203,0.306,0.203,0.306,4ynl
  67,3rta_B_A-B_0,F,0.304,0.125,0.125,0.304,3rta
  68,3rta_B_A-B_0,A,0.304,0.125,0.125,0.304,3rta
  69,4bjt_E_B-E_2,B,0.241,0.238,0.238,0.241,4bjt
  70,3nfl_G_B-C-F-G_5,C,0.237,0.329,0.237,0.329,3nfl
  71,4ezq_B_A-B_1,A,0.329,0.255,0.255,0.329,4ezq
  72,4f75_C_A-B-C-D_0,A,0.244,0.310,0.244,0.310,4f75
  73,4f75_C_A-B-C-D_0,B,0.244,0.310,0.244,0.310,4f75
  74,4pxm_D_A-B-C-D_0,B,0.285,0.209,0.209,0.285,4pxm
  75,3nim_X_F-X_3,F,0.241,0.344,0.241,0.344,3nim
  76,3nin_E_B-E_1,B,0.248,0.363,0.248,0.363,3nin
  77,4j79_B_A-B_0,A,0.290,0.178,0.178,0.290,4j79
  78,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.233,0.327,0.233,0.327,2y1l
  79,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.269,0.270,0.269,0.270,2y1l
  80,2v3s_C_B-C_1,B,0.255,0.331,0.255,0.331,2v3s
  81,1b3l_B_A-B_0,A,0.422,0.155,0.155,0.422,1b3l
  82,5m5u_G_A-E-G_0,A,0.320,0.173,0.173,0.320,5m5u
  83,4k3o_E_A-B-E_0,A,0.274,0.140,0.140,0.274,4k3o
  84,4wvh_C_A-C_0,A,0.306,0.119,0.119,0.306,4wvh
  85,4quh_D_A-C-D-I-J_0,A,0.290,0.217,0.217,0.290,4quh
  86,4dgb_B_A-B_0,A,0.286,0.269,0.269,0.286,4dgb
  87,4k3r_E_A-B-E_0,A,0.273,0.149,0.149,0.273,4k3r
  88,4ouc_B_A-B_0,A,0.284,0.165,0.165,0.284,4ouc
  89,4o4y_A_A-H-L_0,L,0.341,0.261,0.261,0.341,4o4y
  90,4o4y_A_A-H-L_0,H,0.349,0.270,0.270,0.349,4o4y
  91,2ipu_P_G-K-P_1,G,0.370,0.279,0.279,0.370,2ipu
  92,2ipu_P_G-K-P_1,K,0.350,0.267,0.267,0.350,2ipu
  93,2h9m_D_C-D_1,C,0.318,0.192,0.192,0.318,2h9m
  94,4b3b_C_A-C_0,A,0.322,0.245,0.245,0.322,4b3b
  95,5m5v_G_A-E-G-I_0,A,0.328,0.174,0.174,0.328,5m5v
  96,5oj5_B_A-B_0,A,0.275,0.165,0.165,0.275,5oj5
  97,5iz2_Z_A-B-Z_0,B,0.309,0.351,0.309,0.351,5iz2
  98,4nnm_C_A-C_0,A,0.272,0.329,0.272,0.329,4nnm
  99,6exj_B_A-B_0,A,0.234,0.324,0.234,0.324,6exj
 100,4j47_B_A-B_0,A,0.192,0.275,0.192,0.275,4j47
 101,5jiu_C_A-B-C-D_0,A,0.419,0.326,0.326,0.419,5jiu
 102,2foj_B_A-B_0,A,0.347,0.366,0.347,0.366,2foj
 103,3nfk_D_A-B-C-D_2,B,0.236,0.326,0.236,0.326,3nfk
 104,3thk_C_A-C_0,A,0.197,0.351,0.197,0.351,3thk
 105,3soq_Z_A-Z_0,A,0.305,0.183,0.183,0.305,3soq
 106,3nih_B_A-B_0,A,0.240,0.350,0.240,0.350,3nih
 107,4jwd_C_B-C_1,B,0.320,0.251,0.251,0.320,4jwd
 108,3shb_B_A-B_0,A,0.184,0.298,0.184,0.298,3shb
 109,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.297,0.343,0.297,0.343,1kl3
 110,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.300,0.345,0.300,0.345,1kl3
 111,3d9t_D_B-D_1,B,0.209,0.273,0.209,0.273,3d9t
 112,4ztd_F_A-B-C-D-E-F_0,C,0.281,0.189,0.189,0.281,4ztd
 113,2fop_B_A-B_0,A,0.348,0.367,0.348,0.367,2fop
 114,1uop_B_A-B_0,A,0.328,0.099,0.099,0.328,1uop
 115,5ovc_B_A-B_0,A,0.226,0.303,0.226,0.303,5ovc
 116,3mqr_B_A-B_0,A,0.349,0.369,0.349,0.369,3mqr
 117,1nvs_B_A-B_0,A,0.298,0.196,0.196,0.298,1nvs
 118,5sxm_D_B-D_1,B,0.294,0.177,0.177,0.294,5sxm
 119,1qka_B_A-B_0,A,0.419,0.155,0.155,0.419,1qka
 120,3rt9_B_A-B_0,F,0.282,0.123,0.123,0.282,3rt9
 121,3rt9_B_A-B_0,A,0.282,0.123,0.123,0.282,3rt9
 122,4ny3_C_A-C_0,A,0.344,0.213,0.213,0.344,4ny3
 123,3g19_C_A-C_0,A,0.248,0.379,0.248,0.379,3g19
 124,4jok_D_B-D_1,B,0.232,0.328,0.232,0.328,4jok
 125,5t6p_E_C-D-E_1,D,0.358,0.284,0.284,0.358,5t6p
 126,5t6p_E_C-D-E_1,C,0.356,0.272,0.272,0.356,5t6p
 127,3zin_C_A-B-C_0,A,0.253,0.111,0.111,0.253,3zin
 128,3mmg_C_A-C_0,A,0.314,0.242,0.242,0.314,3mmg
 129,6cdg_B_A-B_0,A,0.333,0.310,0.310,0.333,6cdg
 130,1hsb_C_A-B-C_0,A,0.316,0.208,0.208,0.316,1hsb
 131,1wcy_C_A-B-C-D_0,A,0.350,0.099,0.099,0.350,1wcy
 132,5fou_C_A-C_0,A,0.322,0.243,0.243,0.322,5fou
 133,3oqs_B_A-B_0,A,0.257,0.117,0.117,0.257,3oqs
 134,4gyo_C_A-B-C-D_0,B,0.304,0.162,0.162,0.304,4gyo
 135,1fch_C_A-B-C-D_2,F,0.258,0.158,0.158,0.258,1fch
 136,1fch_C_A-B-C-D_2,A,0.292,0.180,0.180,0.292,1fch
 137,1e4x_P_H-L-P_0,L,0.346,0.268,0.268,0.346,1e4x
 138,1e4x_P_H-L-P_0,H,0.354,0.270,0.270,0.354,1e4x
 139,5b74_D_A-B-D_0,B,0.258,0.285,0.258,0.285,5b74
 140,3jrv_D_B-D_1,B,0.279,0.286,0.279,0.286,3jrv
 141,1se0_B_A-B_0,A,0.211,0.283,0.211,0.283,1se0
 142,4ezz_B_A-B_1,A,0.331,0.254,0.254,0.331,4ezz
 143,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.298,0.344,0.298,0.344,1kl5
 144,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.295,0.343,0.295,0.343,1kl5
 145,3fwv_C_A-C_0,A,0.244,0.270,0.244,0.270,3fwv
 146,2y7l_B_A-B_0,A,0.400,0.233,0.233,0.400,2y7l
 147,6hpg_c_C-c_2,C,0.233,0.272,0.233,0.272,6hpg
 148,4pz3_C_A-B-C_0,B,0.319,0.316,0.316,0.319,4pz3
 149,3upv_B_A-B_0,A,0.248,0.279,0.248,0.279,3upv
 150,5ovv_B_A-B_0,A,0.238,0.307,0.238,0.307,5ovv
 151,4f74_C_A-B-C_0,A,0.243,0.307,0.243,0.307,4f74
 152,4f74_C_A-B-C_0,B,0.243,0.309,0.243,0.309,4f74
 153,1ghb_P_E-F-G-P_0,F,0.290,0.315,0.290,0.315,1ghb
 154,1ghb_P_E-F-G-P_0,G,0.244,0.329,0.244,0.329,1ghb
 155,1ghb_P_E-F-G-P_0,C,0.244,0.329,0.244,0.329,1ghb
 156,1ghb_P_E-F-G-P_0,B,0.290,0.315,0.290,0.315,1ghb
 157,1b51_B_A-B_0,A,0.423,0.155,0.155,0.423,1b51
 158,2v5f_X_A-X_0,A,0.202,0.268,0.202,0.268,2v5f
 159,6cd9_B_A-B_0,A,0.314,0.290,0.290,0.314,6cd9
 160,5nqv_G_A-C-E-G_0,C,0.277,0.237,0.237,0.277,5nqv
 161,3fp2_Q_A-Q_0,A,0.291,0.123,0.123,0.291,3fp2
 162,3f7o_X_A-X_0,A,0.298,0.187,0.187,0.298,3f7o
 163,4od7_E_C-E_2,C,0.300,0.258,0.258,0.300,4od7
 164,3gv4_H_A-H_0,A,0.236,0.297,0.236,0.297,3gv4
 165,1b46_B_A-B_0,A,0.423,0.155,0.155,0.423,1b46
 166,3t70_F_A-B-C-F_0,A,1.000,1.000,1.000,1.000,3t70
 167,3t70_F_A-B-C-F_0,B,0.910,0.989,0.910,0.989,3t70
 168,1a7c_B_A-B-C_0,A,0.343,0.174,0.174,0.343,1a7c
 169,2wa8_D_C-D_1,C,0.263,0.337,0.263,0.337,2wa8
 170,1sdz_B_A-B_0,A,0.205,0.275,0.205,0.275,1sdz
 171,2f5b_P_H-L-P_0,L,0.343,0.267,0.267,0.343,2f5b
 172,2f5b_P_H-L-P_0,H,0.370,0.269,0.269,0.370,2f5b
 173,1tw6_C_A-B-C-D_2,F,0.217,0.294,0.217,0.294,1tw6
 174,1tw6_C_A-B-C-D_2,A,0.217,0.310,0.217,0.310,1tw6
 175,3njj_B_A-B_0,A,0.364,0.444,0.364,0.444,3njj
 176,4ezw_E_A-E_0,A,0.316,0.249,0.249,0.316,4ezw
 177,4c2g_B_A-B-C_0,A,0.299,0.135,0.135,0.299,4c2g
 178,4ikn_B_A-B_0,A,0.379,0.265,0.265,0.379,4ikn
 179,4k76_G_C-G_2,C,0.227,0.320,0.227,0.320,4k76
 180,4j45_B_A-B_0,A,0.209,0.305,0.209,0.305,4j45
 181,3cbl_B_A-B_0,A,0.302,0.152,0.152,0.302,3cbl
 182,3fp4_Q_A-Q_0,A,0.289,0.122,0.122,0.289,3fp4
 183,5y53_F_C-E-F_1,C,0.296,0.322,0.296,0.322,5y53
 184,5y53_F_C-E-F_1,E,0.294,0.319,0.294,0.319,5y53
 185,4qbr_P_A-P_0,A,0.237,0.252,0.237,0.252,4qbr
 186,4j78_B_A-B_0,A,0.300,0.184,0.184,0.300,4j78
 187,3sxu_C_A-B-C_0,A,0.323,0.327,0.323,0.327,3sxu
 188,4pyw_B_A-B-C_0,A,0.340,0.175,0.175,0.340,4pyw
 189,4gne_B_A-B_0,A,0.213,0.278,0.213,0.278,4gne
 190,1s2k_B_A-B_0,A,0.350,0.285,0.285,0.350,1s2k
 191,3ebb_F_A-B-E-F_0,B,0.270,0.187,0.187,0.270,3ebb
 192,4j46_B_A-B_0,A,0.209,0.306,0.209,0.306,4j46
 193,5yba_B_A-B-C-D_0,A,0.280,0.256,0.256,0.280,5yba
 194,4b8o_C_A-B-C_0,A,0.255,0.116,0.116,0.255,4b8o
 195,2g30_S_A-P-S_0,A,0.382,0.274,0.274,0.382,2g30
 196,4k72_C_A-C_0,A,0.249,0.345,0.249,0.345,4k72
 197,5xcr_F_D-E-F_1,D,0.357,0.338,0.338,0.357,5xcr
 198,5xcr_F_D-E-F_1,E,0.345,0.326,0.326,0.345,5xcr
 199,3tcg_I_A-I_0,A,0.423,0.155,0.155,0.423,3tcg
 200,4j77_D_B-D_1,B,0.306,0.185,0.185,0.306,4j77
 201,1mfl_B_A-B_0,A,0.254,0.344,0.254,0.344,1mfl
 202,1sts_P_B-D-M-P_0,D,0.290,0.331,0.290,0.331,1sts
 203,1sts_P_B-D-M-P_0,A,0.297,0.336,0.297,0.336,1sts
 204,1obz_P_A-B-P_0,A,0.285,0.268,0.268,0.285,1obz
 205,3psl_D_B-D_1,B,0.289,0.175,0.175,0.289,3psl
 206,3uf7_B_A-B-C_0,A,0.264,0.205,0.205,0.264,3uf7
 207,3f6k_N_A-N_0,A,0.340,0.112,0.112,0.340,3f6k
 208,3ou3_C_A-B-C_0,A,0.242,0.305,0.242,0.305,3ou3
 209,3ou3_C_A-B-C_0,B,0.237,0.296,0.237,0.296,3ou3
 210,3gq1_C_A-C_0,A,0.237,0.350,0.237,0.350,3gq1
 211,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.350,0.189,0.189,0.350,4tr9
 212,4o51_N_A-B-N_1,A,0.340,0.263,0.263,0.340,4o51
 213,4o51_N_A-B-N_1,B,0.345,0.268,0.268,0.345,4o51
 214,5fox_C_A-C_0,A,0.306,0.233,0.233,0.306,5fox
 215,4jor_D_B-D_1,B,0.234,0.332,0.234,0.332,4jor
 216,2h59_D_A-B-D-E_0,A,0.329,0.236,0.236,0.329,2h59
 217,2h59_D_A-B-D-E_0,B,0.327,0.236,0.236,0.327,2h59
 218,2v5w_G_B-G-L_1,B,0.299,0.168,0.168,0.299,2v5w
 219,3s9c_B_A-B_0,A,0.308,0.227,0.227,0.308,3s9c
 220,4joh_D_A-D_0,A,0.232,0.327,0.232,0.327,4joh
 221,3rc4_B_A-B_0,A,0.296,0.245,0.245,0.296,3rc4
 222,1u9l_C_B-C_1,B,0.186,0.318,0.186,0.318,1u9l
 223,3vqg_B_A-B_0,A,0.248,0.350,0.248,0.350,3vqg
 224,4mvk_B_A-B_0,A,0.317,0.288,0.288,0.317,4mvk
 225,4fii_B_A-B_0,A,0.313,0.195,0.195,0.313,4fii
 226,6cwp_F_A-B-F_0,A,0.304,0.184,0.184,0.304,6cwp
 227,6cwp_F_A-B-F_0,B,0.318,0.198,0.198,0.318,6cwp
 228,5jjm_G_A-G-M_0,A,0.277,0.193,0.193,0.277,5jjm
 229,2zjd_D_C-D_5,C,0.272,0.308,0.272,0.308,2zjd
