index,syst,chain,tm1,tm2,min,max,pdb
   0,6cd8_C_A-C_0,A,0.163,0.290,0.163,0.290,6cd8
   1,4k3p_E_A-B-E_0,A,0.960,0.984,0.960,0.984,4k3p
   2,5fpk_C_A-C_0,A,0.169,0.241,0.169,0.241,5fpk
   3,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.243,0.292,0.243,0.292,2z9i
   4,2v1r_R_A-Q-R_0,A,0.098,0.333,0.098,0.333,2v1r
   5,4j84_D_B-D_1,B,0.204,0.237,0.204,0.237,4j84
   6,5jjm_G_A-G-M_0,A,0.192,0.248,0.192,0.248,5jjm
   7,4j78_B_A-B_0,A,0.207,0.238,0.207,0.238,4j78
   8,5nqv_G_A-C-E-G_0,C,0.156,0.259,0.156,0.259,5nqv
   9,3d9t_D_B-D_1,B,0.128,0.329,0.128,0.329,3d9t
  10,2v3s_C_B-C_1,B,0.122,0.351,0.122,0.351,2v3s
  11,1b32_B_A-B_0,A,0.255,0.200,0.200,0.255,1b32
  12,4v3i_B_A-B_0,A,0.171,0.323,0.171,0.323,4v3i
  13,3nii_B_A-B_0,A,0.106,0.303,0.106,0.303,3nii
  14,1ghb_P_E-F-G-P_0,F,0.152,0.316,0.152,0.316,1ghb
  15,1ghb_P_E-F-G-P_0,G,0.124,0.344,0.124,0.344,1ghb
  16,1ghb_P_E-F-G-P_0,C,0.124,0.344,0.124,0.344,1ghb
  17,1ghb_P_E-F-G-P_0,B,0.152,0.316,0.152,0.316,1ghb
  18,4k3q_E_A-B-E_0,A,0.966,0.987,0.966,0.987,4k3q
  19,2f5b_P_H-L-P_0,L,0.205,0.302,0.205,0.302,2f5b
  20,2f5b_P_H-L-P_0,H,0.175,0.244,0.175,0.244,2f5b
  21,3woo_C_A-B-C-D_0,A,0.282,0.170,0.170,0.282,3woo
  22,1mfl_B_A-B_0,A,0.148,0.413,0.148,0.413,1mfl
  23,1hsb_C_A-B-C_0,A,0.218,0.267,0.218,0.267,1hsb
  24,3rta_B_A-B_0,F,0.283,0.230,0.230,0.283,3rta
  25,3rta_B_A-B_0,A,0.283,0.230,0.230,0.283,3rta
  26,4q6f_H_C-H_2,C,0.086,0.297,0.086,0.297,4q6f
  27,2hl3_C_A-B-C_0,A,0.117,0.409,0.117,0.409,2hl3
  28,2hl3_C_A-B-C_0,B,0.117,0.338,0.117,0.338,2hl3
  29,5m5v_G_A-E-G-I_0,A,0.276,0.279,0.276,0.279,5m5v
  30,4jop_C_A-C_0,A,0.138,0.410,0.138,0.410,4jop
  31,3f7o_X_A-X_0,A,0.205,0.246,0.205,0.246,3f7o
  32,3shb_B_A-B_0,A,0.093,0.297,0.093,0.297,3shb
  33,6fkp_G_C-G_2,C,0.081,0.301,0.081,0.301,6fkp
  34,2wa8_D_C-D_1,C,0.114,0.316,0.114,0.316,2wa8
  35,2nph_S_A-B-S-T_0,A,0.124,0.311,0.124,0.311,2nph
  36,2nph_S_A-B-S-T_0,B,0.129,0.341,0.129,0.341,2nph
  37,2r9q_X_A-C-X_1,C,0.221,0.238,0.221,0.238,2r9q
  38,3ziq_B_A-B-C_0,A,0.226,0.202,0.202,0.226,3ziq
  39,4c2g_B_A-B-C_0,A,0.268,0.236,0.236,0.268,4c2g
  40,3gq1_C_A-C_0,A,0.124,0.366,0.124,0.366,3gq1
  41,4j86_C_A-C_0,A,0.208,0.239,0.208,0.239,4j86
  42,3gv4_H_A-H_0,A,0.154,0.406,0.154,0.406,3gv4
