index,syst,chain,tm1,tm2,min,max,pdb
   0,2h9m_D_C-D_1,C,0.300,0.249,0.249,0.300,2h9m
   1,3m5n_F_B-F_1,B,0.289,0.320,0.289,0.320,3m5n
   2,4k3m_E_A-B-E_0,A,0.263,0.191,0.191,0.263,4k3m
   3,4zhb_B_A-B_0,A,0.224,0.387,0.224,0.387,4zhb
   4,5fov_E_A-E_0,A,0.386,0.394,0.386,0.394,5fov
   5,5m5v_G_A-E-G-I_0,A,0.320,0.233,0.233,0.320,5m5v
   6,4rxh_A_A-B-C_0,B,0.291,0.186,0.186,0.291,4rxh
   7,2ipu_P_G-K-P_1,G,0.235,0.244,0.235,0.244,2ipu
   8,2ipu_P_G-K-P_1,K,0.235,0.245,0.235,0.245,2ipu
   9,4pxm_D_A-B-C-D_0,B,0.332,0.339,0.332,0.339,4pxm
  10,4ynl_C_A-B-C-D_0,A,0.168,0.378,0.168,0.378,4ynl
  11,4ynl_C_A-B-C-D_0,B,0.166,0.372,0.166,0.372,4ynl
  12,4xi7_C_A-C_0,A,0.286,0.207,0.207,0.286,4xi7
  13,5jjm_G_A-G-M_0,A,0.344,0.325,0.325,0.344,5jjm
  14,1mfl_B_A-B_0,A,0.181,0.339,0.181,0.339,1mfl
  15,1sdz_B_A-B_0,A,0.181,0.332,0.181,0.332,1sdz
  16,3o2b_D_C-D_1,C,0.204,0.385,0.204,0.385,3o2b
  17,4c2c_B_A-B-C_0,A,0.341,0.217,0.217,0.341,4c2c
  18,2i3h_C_A-C_0,A,0.199,0.376,0.199,0.376,2i3h
  19,3ifo_P_H-L-P_0,L,0.231,0.241,0.231,0.241,3ifo
  20,3ifo_P_H-L-P_0,H,0.232,0.244,0.232,0.244,3ifo
  21,4ztd_F_A-B-C-D-E-F_0,C,0.280,0.266,0.266,0.280,4ztd
  22,4j45_B_A-B_0,A,0.202,0.420,0.202,0.420,4j45
  23,3rte_B_A-B_0,G,0.448,0.246,0.246,0.448,3rte
  24,3rte_B_A-B_0,A,0.448,0.246,0.246,0.448,3rte
  25,5uw3_E_A-E_0,A,0.438,0.177,0.177,0.438,5uw3
  26,3uoa_L_B-C-L-M_0,B,0.765,0.503,0.503,0.765,3uoa
  27,3dri_B_A-B_0,A,0.323,0.154,0.154,0.323,3dri
  28,4x2h_C_A-B-C_0,A,0.239,0.273,0.239,0.273,4x2h
