index,syst,chain,tm1,tm2,min,max,pdb
   0,2g30_S_A-P-S_0,A,0.299,0.197,0.197,0.299,2g30
   1,1elr_B_A-B_0,A,0.805,0.788,0.788,0.805,1elr
   2,3nim_X_F-X_3,F,0.198,0.257,0.198,0.257,3nim
   3,5oav_B_A-B_0,A,0.188,0.310,0.188,0.310,5oav
   4,3drh_B_A-B_0,A,0.326,0.113,0.113,0.326,3drh
   5,3ivq_D_B-D_1,B,0.266,0.250,0.250,0.266,3ivq
   6,3shb_B_A-B_0,A,0.221,0.316,0.221,0.316,3shb
   7,2ce9_X_A-B-X_0,A,0.342,0.169,0.169,0.342,2ce9
   8,4ikn_B_A-B_0,A,0.249,0.159,0.159,0.249,4ikn
   9,4ezn_C_A-B-C-D_0,A,0.308,0.214,0.214,0.308,4ezn
  10,3srj_D_A-C-D_0,A,0.310,0.177,0.177,0.310,3srj
  11,1sem_C_A-B-C-D_0,A,0.188,0.311,0.188,0.311,1sem
  12,1svz_C_A-B-C-D_0,A,0.290,0.194,0.194,0.290,1svz
  13,2h9m_D_C-D_1,C,0.326,0.175,0.175,0.326,2h9m
  14,2b6n_B_A-B_0,A,0.421,0.241,0.241,0.421,2b6n
  15,5fou_C_A-C_0,A,0.376,0.245,0.245,0.376,5fou
  16,5m5r_D_A-C-D_0,A,0.336,0.158,0.158,0.336,5m5r
  17,1qka_B_A-B_0,A,0.375,0.130,0.130,0.375,1qka
  18,4z0u_D_A-D_0,A,0.325,0.281,0.281,0.325,4z0u
  19,5lyn_C_A-B-C-D_0,A,0.889,0.840,0.840,0.889,5lyn
  20,5lyn_C_A-B-C-D_0,B,0.905,0.853,0.853,0.905,5lyn
  21,1evh_B_A-B_0,A,0.301,0.328,0.301,0.328,1evh
  22,1fch_C_A-B-C-D_2,F,0.884,0.389,0.389,0.884,1fch
  23,1fch_C_A-B-C-D_2,A,0.844,0.375,0.375,0.844,1fch
  24,4pz3_C_A-B-C_0,B,0.306,0.273,0.273,0.306,4pz3
  25,3psl_D_B-D_1,B,0.311,0.174,0.174,0.311,3psl
  26,4f75_C_A-B-C-D_0,A,0.255,0.297,0.255,0.297,4f75
  27,4f75_C_A-B-C-D_0,B,0.252,0.288,0.252,0.288,4f75
  28,3zin_C_A-B-C_0,A,0.639,0.238,0.238,0.639,3zin
  29,3f7o_X_A-X_0,A,0.419,0.235,0.235,0.419,3f7o
  30,2i3h_C_A-C_0,A,0.280,0.339,0.280,0.339,2i3h
  31,3oqs_B_A-B_0,A,0.613,0.235,0.235,0.613,3oqs
  32,3fwv_C_A-C_0,A,0.777,0.761,0.761,0.777,3fwv
  33,4iim_E_A-B-C-D-E_0,B,0.175,0.282,0.175,0.282,4iim
  34,2zjd_D_C-D_5,C,0.285,0.289,0.285,0.289,2zjd
  35,1b4z_B_A-B_0,A,0.373,0.132,0.132,0.373,1b4z
  36,2r9q_X_A-C-X_1,C,0.361,0.188,0.188,0.361,2r9q
  37,3woq_C_A-B-C-D_0,A,0.333,0.089,0.089,0.333,3woq
  38,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.284,0.342,0.284,0.342,1xb0
  39,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.286,0.346,0.286,0.346,1xb0
  40,3uf7_B_A-B-C_0,A,0.409,0.273,0.273,0.409,3uf7
  41,4k3r_E_A-B-E_0,A,0.269,0.133,0.133,0.269,4k3r
  42,3rc4_B_A-B_0,A,0.319,0.239,0.239,0.319,3rc4
  43,3tcg_I_A-I_0,A,0.369,0.130,0.130,0.369,3tcg
  44,1se0_B_A-B_0,A,0.271,0.320,0.271,0.320,1se0
  45,3nik_X_D-X_2,D,0.200,0.261,0.200,0.261,3nik
  46,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.436,0.204,0.204,0.436,4tr9
  47,5lb7_C_A-B-C_0,A,0.517,0.423,0.423,0.517,5lb7
  48,5lb7_C_A-B-C_0,B,0.409,0.627,0.409,0.627,5lb7
  49,2h2f_B_A-B_0,A,0.341,0.220,0.220,0.341,2h2f
  50,2d5w_C_A-C_0,A,0.371,0.110,0.110,0.371,2d5w
  51,3zs6_B_A-B_0,A,0.352,0.130,0.130,0.352,3zs6
  52,3agy_C_A-B-C-D-F_0,A,0.246,0.197,0.197,0.246,3agy
  53,5t6p_E_C-D-E_1,D,0.310,0.222,0.222,0.310,5t6p
  54,5t6p_E_C-D-E_1,C,0.261,0.182,0.182,0.261,5t6p
  55,5zw6_C_A-B-C-D_0,A,0.739,0.274,0.274,0.739,5zw6
  56,4fii_B_A-B_0,A,0.367,0.196,0.196,0.367,4fii
  57,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.253,0.259,0.253,0.259,1kl3
  58,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.250,0.256,0.250,0.256,1kl3
  59,1b3l_B_A-B_0,A,0.371,0.129,0.129,0.371,1b3l
  60,1sdz_B_A-B_0,A,0.269,0.314,0.269,0.314,1sdz
  61,4j44_B_A-B_0,A,0.243,0.311,0.243,0.311,4j44
  62,4jok_D_B-D_1,B,0.198,0.246,0.198,0.246,4jok
  63,4gne_B_A-B_0,A,0.276,0.324,0.276,0.324,4gne
  64,2y7l_B_A-B_0,A,0.326,0.168,0.168,0.326,2y7l
  65,3woo_C_A-B-C-D_0,A,0.339,0.088,0.088,0.339,3woo
  66,2fib_B_A-B_0,A,0.386,0.245,0.245,0.386,2fib
  67,5huw_B_A-B-C_0,C,0.615,0.237,0.237,0.615,5huw
  68,2nph_S_A-B-S-T_0,A,0.254,0.293,0.254,0.293,2nph
  69,2nph_S_A-B-S-T_0,B,0.225,0.260,0.225,0.260,2nph
  70,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.399,0.196,0.196,0.399,2ot0
  71,5xcr_F_D-E-F_1,D,0.268,0.223,0.223,0.268,5xcr
  72,5xcr_F_D-E-F_1,E,0.318,0.267,0.267,0.318,5xcr
  73,1lvm_C_A-C-E_0,A,0.304,0.202,0.202,0.304,1lvm
  74,1gyb_E_A-B-E-F_0,A,0.261,0.266,0.261,0.266,1gyb
  75,1gyb_E_A-B-E-F_0,B,0.252,0.257,0.252,0.257,1gyb
  76,5kzt_C_A-C_0,A,0.340,0.120,0.120,0.340,5kzt
  77,2v5w_G_B-G-L_1,B,0.396,0.172,0.172,0.396,2v5w
