index,syst,chain,tm1,tm2,min,max,pdb
   0,5jjm_G_A-G-M_0,A,0.279,0.155,0.155,0.279,5jjm
   1,5tu5_B_A-B_0,A,0.371,0.171,0.171,0.371,5tu5
   2,3shb_B_A-B_0,A,0.251,0.313,0.251,0.313,3shb
   3,3tcg_I_A-I_0,A,0.328,0.102,0.102,0.328,3tcg
   4,5xcr_F_D-E-F_1,D,0.290,0.215,0.215,0.290,5xcr
   5,5xcr_F_D-E-F_1,E,0.296,0.213,0.213,0.296,5xcr
   6,2g30_S_A-P-S_0,A,0.354,0.191,0.191,0.354,2g30
   7,3zvy_D_B-D_0,B,0.257,0.326,0.257,0.326,3zvy
   8,5kzt_C_A-C_0,A,0.364,0.106,0.106,0.364,5kzt
   9,5ovv_B_A-B_0,A,0.283,0.283,0.283,0.283,5ovv
  10,3cbl_B_A-B_0,A,0.363,0.134,0.134,0.363,3cbl
  11,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.233,0.246,0.233,0.246,2y1l
  12,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.278,0.214,0.214,0.278,2y1l
  13,3m5o_C_A-C_0,A,0.413,0.249,0.249,0.413,3m5o
  14,4g69_B_A-B_0,A,0.279,0.283,0.279,0.283,4g69
  15,4ikn_B_A-B_0,A,0.307,0.158,0.158,0.307,4ikn
  16,1str_M_B-D-M-P_0,C,0.329,0.291,0.291,0.329,1str
  17,1str_M_B-D-M-P_0,B,0.332,0.290,0.290,0.332,1str
  18,4jop_C_A-C_0,A,0.275,0.297,0.275,0.297,4jop
  19,2h59_D_A-B-D-E_0,A,0.328,0.168,0.168,0.328,2h59
  20,2h59_D_A-B-D-E_0,B,0.323,0.167,0.167,0.323,2h59
  21,1wcy_C_A-B-C-D_0,A,0.334,0.074,0.074,0.334,1wcy
  22,4ny3_C_A-C_0,A,0.306,0.144,0.144,0.306,4ny3
  23,4joh_D_A-D_0,A,0.273,0.295,0.273,0.295,4joh
  24,3ny3_B_A-B_0,A,0.236,0.289,0.236,0.289,3ny3
  25,3emh_B_A-B_0,A,0.336,0.151,0.151,0.336,3emh
  26,4k3q_E_A-B-E_0,A,0.317,0.128,0.128,0.317,4k3q
  27,2f5b_P_H-L-P_0,L,0.292,0.171,0.171,0.292,2f5b
  28,2f5b_P_H-L-P_0,H,0.303,0.174,0.174,0.303,2f5b
