index,syst,chain,tm1,tm2,min,max,pdb
   0,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.110,0.337,0.110,0.337,1kl5
   1,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.109,0.331,0.109,0.331,1kl5
   2,3drk_B_A-B_0,A,0.990,0.992,0.990,0.992,3drk
   3,6eja_B_A-B_0,A,0.278,0.237,0.237,0.278,6eja
   4,4gyo_C_A-B-C-D_0,B,0.247,0.342,0.247,0.342,4gyo
   5,3nil_X_D-X_2,D,0.078,0.321,0.078,0.321,3nil
   6,4pxm_D_A-B-C-D_0,B,0.146,0.288,0.146,0.288,4pxm
   7,1elr_B_A-B_0,A,0.118,0.352,0.118,0.352,1elr
   8,1uoq_B_A-B_0,A,0.328,0.274,0.274,0.328,1uoq
   9,4quh_D_A-C-D-I-J_0,A,0.174,0.341,0.174,0.341,4quh
  10,4ny3_C_A-C_0,A,0.177,0.285,0.177,0.285,4ny3
  11,1wcy_C_A-B-C-D_0,A,0.348,0.286,0.286,0.348,1wcy
  12,2dze_X_A-B-X_0,A,0.147,0.384,0.147,0.384,2dze
  13,2dze_X_A-B-X_0,B,0.147,0.385,0.147,0.385,2dze
  14,3cww_E_A-B-D-E_0,A,0.299,0.201,0.201,0.299,3cww
  15,4j82_C_A-C_0,A,0.181,0.285,0.181,0.285,4j82
  16,3ziq_B_A-B-C_0,A,0.191,0.234,0.191,0.234,3ziq
  17,2wa8_D_C-D_1,C,0.101,0.374,0.101,0.374,2wa8
  18,2ql9_G_A-B-C-D-E-F-G_0,D,0.108,0.443,0.108,0.443,2ql9
  19,2ql9_G_A-B-C-D-E-F-G_0,A,0.143,0.440,0.143,0.440,2ql9
  20,2ql9_G_A-B-C-D-E-F-G_0,C,0.143,0.446,0.143,0.446,2ql9
  21,2ql9_G_A-B-C-D-E-F-G_0,B,0.108,0.442,0.108,0.442,2ql9
  22,6fqc_E_A-B-D-E_0,A,0.207,0.301,0.207,0.301,6fqc
  23,3m5m_C_B-C_1,B,0.144,0.311,0.144,0.311,3m5m
  24,5xup_D_A-B-C-D_0,B,0.163,0.351,0.163,0.351,5xup
