index,syst,chain,tm1,tm2,min,max,pdb
   0,3ifo_P_H-L-P_0,L,0.155,0.291,0.155,0.291,3ifo
   1,3ifo_P_H-L-P_0,H,0.190,0.363,0.190,0.363,3ifo
   2,5m5v_G_A-E-G-I_0,A,0.194,0.256,0.194,0.256,5m5v
   3,4ny3_C_A-C_0,A,0.218,0.326,0.218,0.326,4ny3
   4,4k76_G_C-G_2,C,0.098,0.362,0.098,0.362,4k76
   5,4sga_P_E-P_0,E,0.152,0.341,0.152,0.341,4sga
   6,4zhb_B_A-B_0,A,0.114,0.407,0.114,0.407,4zhb
   7,3zvy_D_B-D_0,B,0.067,0.272,0.067,0.272,3zvy
   8,2zjd_D_C-D_5,C,0.121,0.350,0.121,0.350,2zjd
   9,4j77_D_B-D_1,B,0.193,0.293,0.193,0.293,4j77
  10,1olc_B_A-B_0,A,0.252,0.253,0.252,0.253,1olc
  11,5oav_B_A-B_0,A,0.083,0.557,0.083,0.557,5oav
  12,4wnn_T_C-D-T_3,D,0.114,0.359,0.114,0.359,4wnn
  13,4wnn_T_C-D-T_3,C,0.098,0.394,0.098,0.394,4wnn
  14,2wa8_D_C-D_1,C,0.100,0.363,0.100,0.363,2wa8
  15,5b74_D_A-B-D_0,B,0.135,0.410,0.135,0.410,5b74
  16,4c2c_B_A-B-C_0,A,0.233,0.264,0.233,0.264,4c2c
  17,1b51_B_A-B_0,A,0.253,0.254,0.253,0.254,1b51
  18,3fp4_Q_A-Q_0,A,0.269,0.284,0.269,0.284,3fp4
  19,4jor_D_B-D_1,B,0.094,0.336,0.094,0.336,4jor
  20,1gyb_E_A-B-E-F_0,A,0.117,0.350,0.117,0.350,1gyb
  21,1gyb_E_A-B-E-F_0,B,0.095,0.264,0.095,0.264,1gyb
  22,2i3h_C_A-C_0,A,0.104,0.340,0.104,0.340,2i3h
  23,5eyz_E_A-E_0,A,0.095,0.330,0.095,0.330,5eyz
  24,4m38_E_A-B-E-F_0,A,0.203,0.282,0.203,0.282,4m38
  25,4nnm_C_A-C_0,A,0.108,0.338,0.108,0.338,4nnm
  26,5fch_C_A-B-C_0,A,0.213,0.259,0.213,0.259,5fch
  27,5fch_C_A-B-C_0,B,0.211,0.257,0.211,0.257,5fch
  28,2y7l_B_A-B_0,A,0.205,0.300,0.205,0.300,2y7l
  29,5fov_E_A-E_0,A,0.182,0.335,0.182,0.335,5fov
  30,4ezy_B_A-B_2,A,0.147,0.280,0.147,0.280,4ezy
  31,3t64_F_A-B-C-F_0,A,0.128,0.325,0.128,0.325,3t64
  32,3t64_F_A-B-C-F_0,B,0.118,0.305,0.118,0.305,3t64
  33,2v5w_G_B-G-L_1,B,0.191,0.246,0.191,0.246,2v5w
  34,3drk_B_A-B_0,A,0.266,0.251,0.251,0.266,3drk
  35,3ivq_D_B-D_1,B,0.117,0.318,0.117,0.318,3ivq
  36,6exj_B_A-B_0,A,0.098,0.350,0.098,0.350,6exj
  37,4k3q_E_A-B-E_0,A,0.218,0.287,0.218,0.287,4k3q
  38,1u9l_C_B-C_1,B,0.089,0.403,0.089,0.403,1u9l
  39,1yti_I_A-I_0,A,0.092,0.314,0.092,0.314,1yti
  40,1yti_I_A-I_0,B,0.092,0.314,0.092,0.314,1yti
  41,4jop_C_A-C_0,A,0.093,0.343,0.093,0.343,4jop
  42,2h59_D_A-B-D-E_0,A,0.162,0.286,0.162,0.286,2h59
  43,2h59_D_A-B-D-E_0,B,0.162,0.280,0.162,0.280,2h59
  44,1ghb_P_E-F-G-P_0,F,0.118,0.330,0.118,0.330,1ghb
  45,1ghb_P_E-F-G-P_0,G,0.100,0.361,0.100,0.361,1ghb
  46,1ghb_P_E-F-G-P_0,C,0.100,0.361,0.100,0.361,1ghb
  47,1ghb_P_E-F-G-P_0,B,0.118,0.330,0.118,0.330,1ghb
  48,5wun_C_A-B-C_0,A,0.244,0.278,0.244,0.278,5wun
  49,3mqr_B_A-B_0,A,0.114,0.297,0.114,0.297,3mqr
  50,4j78_B_A-B_0,A,0.196,0.296,0.196,0.296,4j78
  51,3drh_B_A-B_0,A,0.267,0.253,0.253,0.267,3drh
  52,4jmy_E_A-C-E_0,A,0.142,0.313,0.142,0.313,4jmy
  53,2v3s_C_B-C_1,B,0.100,0.397,0.100,0.397,2v3s
  54,1str_M_B-D-M-P_0,C,0.104,0.298,0.104,0.298,1str
  55,1str_M_B-D-M-P_0,B,0.105,0.277,0.105,0.277,1str
  56,5jiu_C_A-B-C-D_0,A,0.146,0.282,0.146,0.282,5jiu
  57,1awr_J_D-J_5,D,0.145,0.341,0.145,0.341,1awr
  58,5fpk_C_A-C_0,A,0.183,0.339,0.183,0.339,5fpk
  59,5fgb_G_B-E-G_1,E,0.170,0.320,0.170,0.320,5fgb
  60,5fgb_G_B-E-G_1,B,0.176,0.344,0.176,0.344,5fgb
  61,4pz3_C_A-B-C_0,B,0.121,0.306,0.121,0.306,4pz3
  62,1wcy_C_A-B-C-D_0,A,0.241,0.189,0.189,0.241,1wcy
  63,1tw6_C_A-B-C-D_2,F,0.097,0.367,0.097,0.367,1tw6
  64,1tw6_C_A-B-C-D_2,A,0.105,0.339,0.105,0.339,1tw6
  65,5m5t_E_A-E-G-I_0,A,0.195,0.256,0.195,0.256,5m5t
  66,3rc5_B_A-B_0,A,0.165,0.328,0.165,0.328,3rc5
  67,4que_E_A-C-D-E-H-J_0,A,0.200,0.382,0.200,0.382,4que
  68,3ziq_B_A-B-C_0,A,0.245,0.279,0.245,0.279,3ziq
  69,5yba_B_A-B-C-D_0,A,0.140,0.312,0.140,0.312,5yba
  70,3zs6_B_A-B_0,A,0.315,0.322,0.315,0.322,3zs6
  71,1sdz_B_A-B_0,A,0.099,0.360,0.099,0.360,1sdz
  72,3f7o_X_A-X_0,A,0.186,0.284,0.186,0.284,3f7o
  73,4ezw_E_A-E_0,A,0.175,0.340,0.175,0.340,4ezw
  74,1a30_C_A-B-C_0,A,0.084,0.350,0.084,0.350,1a30
  75,1a30_C_A-B-C_0,B,0.092,0.326,0.092,0.326,1a30
  76,4dgb_B_A-B_0,A,0.146,0.342,0.146,0.342,4dgb
  77,3hda_Z_P-Z_0,P,0.266,0.334,0.266,0.334,3hda
  78,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.095,0.405,0.095,0.405,2y1l
  79,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.150,0.392,0.150,0.392,2y1l
  80,3upv_B_A-B_0,A,0.131,0.368,0.131,0.368,3upv
  81,2g30_S_A-P-S_0,A,0.158,0.288,0.158,0.288,2g30
  82,1fch_C_A-B-C-D_2,F,0.241,0.363,0.241,0.363,1fch
  83,1fch_C_A-B-C-D_2,A,0.206,0.310,0.206,0.310,1fch
  84,3nik_X_D-X_2,D,0.085,0.342,0.085,0.342,3nik
  85,3rc4_B_A-B_0,A,0.166,0.336,0.166,0.336,3rc4
  86,5e6o_E_B-E_1,B,0.114,0.350,0.114,0.350,5e6o
  87,3hds_E_A-D-E_0,D,0.108,0.366,0.108,0.366,3hds
  88,3hds_E_A-D-E_0,A,0.111,0.360,0.111,0.360,3hds
  89,4fii_B_A-B_0,A,0.186,0.288,0.186,0.288,4fii
  90,3wor_C_A-B-C-D_0,A,0.264,0.214,0.214,0.264,3wor
  91,4pyw_B_A-B-C_0,A,0.203,0.265,0.203,0.265,4pyw
  92,3q47_C_B-C_0,B,0.139,0.372,0.139,0.372,3q47
  93,6cdg_B_A-B_0,A,0.138,0.316,0.138,0.316,6cdg
  94,1uop_B_A-B_0,A,0.284,0.225,0.225,0.284,1uop
  95,4bjt_E_B-E_2,B,0.155,0.387,0.155,0.387,4bjt
  96,4q6f_H_C-H_2,C,0.066,0.332,0.066,0.332,4q6f
  97,1d0a_G_A-B-C-G-H-I_0,A,0.149,0.347,0.149,0.347,1d0a
  98,1kyf_P_A-P_0,A,0.176,0.301,0.176,0.301,1kyf
  99,3nin_E_B-E_1,B,0.086,0.348,0.086,0.348,3nin
 100,4k72_C_A-C_0,A,0.096,0.351,0.096,0.351,4k72
 101,2ipu_P_G-K-P_1,G,0.190,0.364,0.190,0.364,2ipu
 102,2ipu_P_G-K-P_1,K,0.156,0.284,0.156,0.284,2ipu
 103,6eja_B_A-B_0,A,0.291,0.234,0.234,0.291,6eja
 104,3lca_Q_A-Q_0,A,0.273,0.289,0.273,0.289,3lca
 105,4odk_C_A-B-C_0,A,0.117,0.297,0.117,0.297,4odk
 106,3emh_B_A-B_0,A,0.184,0.274,0.184,0.274,3emh
 107,5kzt_C_A-C_0,A,0.313,0.318,0.313,0.318,5kzt
 108,2h9m_D_C-D_1,C,0.184,0.276,0.184,0.276,2h9m
