index,syst,chain,tm1,tm2,min,max,pdb
   0,3q49_C_B-C_0,B,0.265,0.392,0.265,0.392,3q49
   1,4mvk_B_A-B_0,A,0.275,0.336,0.275,0.336,4mvk
   2,4sga_P_E-P_0,E,0.223,0.256,0.223,0.256,4sga
   3,3wor_C_A-B-C-D_0,A,0.397,0.169,0.169,0.397,3wor
   4,4wnn_T_C-D-T_3,D,0.218,0.391,0.218,0.391,4wnn
   5,4wnn_T_C-D-T_3,C,0.186,0.373,0.186,0.373,4wnn
   6,2r9q_X_A-C-X_1,C,0.305,0.235,0.235,0.305,2r9q
   7,2h2f_B_A-B_0,A,0.323,0.319,0.319,0.323,2h2f
   8,3dri_B_A-B_0,A,0.325,0.166,0.166,0.325,3dri
   9,4jop_C_A-C_0,A,0.188,0.364,0.188,0.364,4jop
  10,2ce9_X_A-B-X_0,A,0.271,0.209,0.209,0.271,2ce9
  11,3agy_C_A-B-C-D-F_0,A,0.188,0.228,0.188,0.228,3agy
  12,5m5r_D_A-C-D_0,A,0.298,0.216,0.216,0.298,5m5r
  13,5ovv_B_A-B_0,A,0.173,0.301,0.173,0.301,5ovv
  14,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.184,0.358,0.184,0.358,2y1l
  15,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.290,0.396,0.290,0.396,2y1l
  16,1oxn_F_E-F_7,E,0.192,0.352,0.192,0.352,1oxn
  17,3v43_Q_A-Q_0,A,0.193,0.319,0.193,0.319,3v43
  18,5uw3_E_A-E_0,A,0.436,0.179,0.179,0.436,5uw3
  19,1e4x_P_H-L-P_0,L,0.236,0.248,0.236,0.248,1e4x
  20,1e4x_P_H-L-P_0,H,0.226,0.236,0.226,0.236,1e4x
  21,5xcr_F_D-E-F_1,D,0.213,0.273,0.213,0.273,5xcr
  22,5xcr_F_D-E-F_1,E,0.227,0.286,0.227,0.286,5xcr
  23,4mz6_A_A-C-E_0,E,0.279,0.174,0.174,0.279,4mz6
  24,3fwv_C_A-C_0,A,0.234,0.347,0.234,0.347,3fwv
  25,3fp2_Q_A-Q_0,A,0.295,0.170,0.170,0.295,3fp2
  26,1ok7_C_A-B-C_0,B,0.303,0.216,0.216,0.303,1ok7
  27,4b8o_C_A-B-C_0,A,0.288,0.179,0.179,0.288,4b8o
  28,2wa8_D_C-D_1,C,0.181,0.338,0.181,0.338,2wa8
  29,4b3b_C_A-C_0,A,0.278,0.283,0.278,0.283,4b3b
  30,4c2c_B_A-B-C_0,A,0.320,0.194,0.194,0.320,4c2c
  31,1uop_B_A-B_0,A,0.438,0.175,0.175,0.438,1uop
  32,4ezw_E_A-E_0,A,0.234,0.247,0.234,0.247,4ezw
  33,3drj_B_A-B_0,A,0.326,0.166,0.166,0.326,3drj
  34,3drh_B_A-B_0,A,0.325,0.167,0.167,0.325,3drh
  35,3ziq_B_A-B-C_0,A,0.281,0.174,0.174,0.281,3ziq
  36,4f75_C_A-B-C-D_0,A,0.175,0.304,0.175,0.304,4f75
  37,4f75_C_A-B-C-D_0,B,0.175,0.308,0.175,0.308,4f75
  38,5eyz_E_A-E_0,A,0.190,0.345,0.190,0.345,5eyz
  39,4fii_B_A-B_0,A,0.355,0.301,0.301,0.355,4fii
  40,5fgb_G_B-E-G_1,E,0.266,0.281,0.266,0.281,5fgb
  41,5fgb_G_B-E-G_1,B,0.237,0.251,0.237,0.251,5fgb
  42,3uf7_B_A-B-C_0,A,0.919,0.947,0.919,0.947,3uf7
  43,5t6p_E_C-D-E_1,D,0.255,0.273,0.255,0.273,5t6p
  44,5t6p_E_C-D-E_1,C,0.253,0.264,0.253,0.264,5t6p
  45,3nim_X_F-X_3,F,0.151,0.310,0.151,0.310,3nim
  46,1sua_C_A-C_0,A,0.356,0.321,0.321,0.356,1sua
  47,4ezy_B_A-B_2,A,0.242,0.250,0.242,0.250,4ezy
  48,4j79_B_A-B_0,A,0.277,0.230,0.230,0.277,4j79
  49,1b4z_B_A-B_0,A,0.349,0.191,0.191,0.349,1b4z
  50,3o2b_D_C-D_1,C,0.182,0.333,0.182,0.333,3o2b
  51,3s9c_B_A-B_0,A,0.274,0.271,0.271,0.274,3s9c
  52,3nij_B_A-B_0,A,0.166,0.328,0.166,0.328,3nij
  53,1svz_C_A-B-C-D_0,A,0.296,0.294,0.294,0.296,1svz
  54,4m38_E_A-B-E-F_0,A,0.289,0.219,0.219,0.289,4m38
  55,4xal_B_A-B_0,A,0.152,0.300,0.152,0.300,4xal
  56,1yth_I_A-B-I_0,A,0.173,0.300,0.173,0.300,1yth
  57,1yth_I_A-B-I_0,B,0.175,0.309,0.175,0.309,1yth
  58,4apo_D_B-D_1,B,0.257,0.341,0.257,0.341,4apo
  59,2f5b_P_H-L-P_0,L,0.229,0.240,0.229,0.240,2f5b
  60,2f5b_P_H-L-P_0,H,0.269,0.268,0.268,0.269,2f5b
  61,5oj5_B_A-B_0,A,0.263,0.214,0.214,0.263,5oj5
  62,2v3s_C_B-C_1,B,0.194,0.368,0.194,0.368,2v3s
  63,2foj_B_A-B_0,A,0.230,0.327,0.230,0.327,2foj
  64,4o4y_A_A-H-L_0,L,0.258,0.267,0.258,0.267,4o4y
  65,4o4y_A_A-H-L_0,H,0.251,0.263,0.251,0.263,4o4y
  66,3nii_B_A-B_0,A,0.166,0.328,0.166,0.328,3nii
  67,6cwp_F_A-B-F_0,A,0.320,0.265,0.265,0.320,6cwp
  68,6cwp_F_A-B-F_0,B,0.346,0.283,0.283,0.346,6cwp
  69,4pz3_C_A-B-C_0,B,0.246,0.323,0.246,0.323,4pz3
  70,3thk_C_A-C_0,A,0.125,0.309,0.125,0.309,3thk
  71,5azf_C_A-C_0,A,0.224,0.347,0.224,0.347,5azf
  72,1evh_B_A-B_0,A,0.214,0.362,0.214,0.362,1evh
  73,4k75_B_A-B_0,A,0.190,0.364,0.190,0.364,4k75
  74,1sts_P_B-D-M-P_0,D,0.205,0.311,0.205,0.311,1sts
  75,1sts_P_B-D-M-P_0,A,0.203,0.308,0.203,0.308,1sts
  76,3nfl_G_B-C-F-G_5,C,0.180,0.346,0.180,0.346,3nfl
  77,5iza_B_A-B_0,A,0.262,0.195,0.195,0.262,5iza
  78,1vwa_M_B-D-M-P_0,C,0.203,0.311,0.203,0.311,1vwa
  79,1vwa_M_B-D-M-P_0,B,0.202,0.303,0.202,0.303,1vwa
  80,5grg_D_A-B-C-D_0,A,0.269,0.237,0.237,0.269,5grg
  81,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.196,0.299,0.196,0.299,1kl3
  82,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.194,0.295,0.194,0.295,1kl3
  83,3t70_F_A-B-C-F_0,A,0.211,0.286,0.211,0.286,3t70
  84,3t70_F_A-B-C-F_0,B,0.188,0.266,0.188,0.266,3t70
  85,3upv_B_A-B_0,A,0.253,0.381,0.253,0.381,3upv
  86,4nnm_C_A-C_0,A,0.217,0.357,0.217,0.357,4nnm
  87,1b05_B_A-B_0,A,0.345,0.189,0.189,0.345,1b05
  88,4od7_E_C-E_2,C,0.273,0.316,0.273,0.316,4od7
  89,3emh_B_A-B_0,A,0.307,0.251,0.251,0.307,3emh
  90,2ql9_G_A-B-C-D-E-F-G_0,D,0.196,0.361,0.196,0.361,2ql9
  91,2ql9_G_A-B-C-D-E-F-G_0,A,0.286,0.405,0.286,0.405,2ql9
  92,2ql9_G_A-B-C-D-E-F-G_0,C,0.291,0.415,0.291,0.415,2ql9
  93,2ql9_G_A-B-C-D-E-F-G_0,B,0.200,0.363,0.200,0.363,2ql9
  94,4kg9_B_A-B_0,A,0.213,0.297,0.213,0.297,4kg9
  95,2h59_D_A-B-D-E_0,A,0.340,0.323,0.323,0.340,2h59
  96,2h59_D_A-B-D-E_0,B,0.342,0.325,0.325,0.342,2h59
  97,4es0_C_A-C_0,A,0.270,0.224,0.224,0.270,4es0
  98,6exj_B_A-B_0,A,0.194,0.361,0.194,0.361,6exj
  99,3sxu_C_A-B-C_0,A,0.235,0.324,0.235,0.324,3sxu
 100,3rc5_B_A-B_0,A,0.257,0.282,0.257,0.282,3rc5
 101,4j81_C_B-C_1,B,0.278,0.231,0.231,0.278,4j81
 102,3sjk_B_A-B_0,A,0.248,0.292,0.248,0.292,3sjk
 103,3zin_C_A-B-C_0,A,0.266,0.173,0.173,0.266,3zin
 104,3mqr_B_A-B_0,A,0.231,0.326,0.231,0.326,3mqr
 105,5b74_D_A-B-D_0,B,0.259,0.402,0.259,0.402,5b74
 106,5kzt_C_A-C_0,A,0.319,0.183,0.183,0.319,5kzt
 107,5wir_D_A-B-C-D_0,B,0.294,0.321,0.294,0.321,5wir
 108,4j09_B_A-B_0,A,0.308,0.281,0.281,0.308,4j09
 109,4j09_B_A-B_0,C,0.308,0.281,0.281,0.308,4j09
 110,3lca_Q_A-Q_0,A,0.301,0.174,0.174,0.301,3lca
 111,1fch_C_A-B-C-D_2,F,0.298,0.247,0.247,0.298,1fch
 112,1fch_C_A-B-C-D_2,A,0.313,0.254,0.254,0.313,1fch
 113,4z8j_B_A-B_0,A,0.192,0.338,0.192,0.338,4z8j
 114,6cd9_B_A-B_0,A,0.236,0.293,0.236,0.293,6cd9
 115,5v5p_A_A-B-C_0,C,0.272,0.179,0.179,0.272,5v5p
