index,syst,chain,tm1,tm2,min,max,pdb
   0,4j8b_B_A-B_0,A,0.361,0.195,0.195,0.361,4j8b
   1,2ql9_G_A-B-C-D-E-F-G_0,D,0.256,0.307,0.256,0.307,2ql9
   2,2ql9_G_A-B-C-D-E-F-G_0,A,0.292,0.267,0.267,0.292,2ql9
   3,2ql9_G_A-B-C-D-E-F-G_0,C,0.279,0.256,0.256,0.279,2ql9
   4,2ql9_G_A-B-C-D-E-F-G_0,B,0.255,0.306,0.255,0.306,2ql9
   5,3m5m_C_B-C_1,B,0.318,0.238,0.238,0.318,3m5m
   6,4jor_D_B-D_1,B,0.318,0.395,0.318,0.395,4jor
   7,1qka_B_A-B_0,A,0.328,0.115,0.115,0.328,1qka
   8,1b9j_B_A-B_0,A,0.327,0.116,0.116,0.327,1b9j
   9,5lb7_C_A-B-C_0,A,0.325,0.261,0.261,0.325,5lb7
  10,5lb7_C_A-B-C_0,B,0.227,0.318,0.227,0.318,5lb7
  11,5oav_B_A-B_0,A,0.214,0.326,0.214,0.326,5oav
  12,3zs6_B_A-B_0,A,0.323,0.112,0.112,0.323,3zs6
  13,4j09_B_A-B_0,A,0.297,0.175,0.175,0.297,4j09
  14,4j09_B_A-B_0,C,0.297,0.175,0.175,0.297,4j09
  15,5huw_B_A-B-C_0,C,0.339,0.132,0.132,0.339,5huw
  16,1e4x_P_H-L-P_0,L,0.345,0.224,0.224,0.345,1e4x
  17,1e4x_P_H-L-P_0,H,0.348,0.225,0.225,0.348,1e4x
  18,5fgb_G_B-E-G_1,E,0.317,0.218,0.218,0.317,5fgb
  19,5fgb_G_B-E-G_1,B,0.355,0.230,0.230,0.355,5fgb
  20,1ok7_C_A-B-C_0,B,0.323,0.149,0.149,0.323,1ok7
  21,1gyb_E_A-B-E-F_0,A,0.277,0.277,0.277,0.277,1gyb
  22,1gyb_E_A-B-E-F_0,B,0.264,0.264,0.264,0.264,1gyb
  23,5jiu_C_A-B-C-D_0,A,0.365,0.245,0.245,0.365,5jiu
  24,3mqr_B_A-B_0,A,0.407,0.377,0.377,0.407,3mqr
  25,3sxu_C_A-B-C_0,A,0.290,0.258,0.258,0.290,3sxu
  26,3f7o_X_A-X_0,A,0.384,0.214,0.214,0.384,3f7o
  27,3ny3_B_A-B_0,A,0.217,0.298,0.217,0.298,3ny3
  28,4ezw_E_A-E_0,A,0.326,0.220,0.220,0.326,4ezw
  29,4fys_C_A-C_0,A,0.348,0.073,0.073,0.348,4fys
  30,4nnm_C_A-C_0,A,0.317,0.335,0.317,0.335,4nnm
  31,4faf_D_A-B-D_0,A,0.302,0.343,0.302,0.343,4faf
  32,4faf_D_A-B-D_0,B,0.312,0.354,0.312,0.354,4faf
  33,1sdz_B_A-B_0,A,0.292,0.334,0.292,0.334,1sdz
  34,4c2g_B_A-B-C_0,A,0.330,0.132,0.132,0.330,4c2g
  35,5uw3_E_A-E_0,A,0.346,0.095,0.095,0.346,5uw3
  36,5m5v_G_A-E-G-I_0,A,0.360,0.167,0.167,0.360,5m5v
  37,3ebb_F_A-B-E-F_0,B,0.342,0.199,0.199,0.342,3ebb
  38,2v3s_C_B-C_1,B,0.389,0.463,0.389,0.463,2v3s
  39,3t70_F_A-B-C-F_0,A,0.308,0.272,0.272,0.308,3t70
  40,3t70_F_A-B-C-F_0,B,0.305,0.284,0.284,0.305,3t70
  41,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.283,0.354,0.283,0.354,2y1l
