index,syst,chain,tm1,tm2,min,max,pdb
   0,1mfl_B_A-B_0,A,0.093,0.264,0.093,0.264,1mfl
   1,4iim_E_A-B-C-D-E_0,B,0.071,0.312,0.071,0.312,4iim
   2,5fov_E_A-E_0,A,0.234,0.346,0.234,0.346,5fov
   3,6cd9_B_A-B_0,A,0.166,0.300,0.166,0.300,6cd9
   4,4c2g_B_A-B-C_0,A,0.270,0.250,0.250,0.270,4c2g
   5,3o2b_D_C-D_1,C,0.132,0.379,0.132,0.379,3o2b
   6,1b32_B_A-B_0,A,0.316,0.258,0.258,0.316,1b32
   7,3m5m_C_B-C_1,B,0.221,0.360,0.221,0.360,3m5m
   8,3sjk_B_A-B_0,A,0.159,0.278,0.159,0.278,3sjk
   9,1b5j_B_A-B_0,A,0.316,0.258,0.258,0.316,1b5j
  10,3ou3_C_A-B-C_0,A,0.121,0.326,0.121,0.326,3ou3
  11,3ou3_C_A-B-C_0,B,0.121,0.326,0.121,0.326,3ou3
  12,4j46_B_A-B_0,A,0.112,0.361,0.112,0.361,4j46
  13,6hpg_c_C-c_2,C,0.252,0.719,0.252,0.719,6hpg
  14,2bgr_Y_A-B-Y-Z_0,A,0.384,0.239,0.239,0.384,2bgr
  15,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.127,0.283,0.127,0.283,1kl5
  16,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.115,0.261,0.115,0.261,1kl5
  17,4c2c_B_A-B-C_0,A,0.263,0.244,0.244,0.263,4c2c
  18,1sts_P_B-D-M-P_0,D,0.124,0.282,0.124,0.282,1sts
  19,1sts_P_B-D-M-P_0,A,0.117,0.269,0.117,0.269,1sts
  20,3cww_E_A-B-D-E_0,A,0.321,0.167,0.167,0.321,3cww
  21,4dgb_B_A-B_0,A,0.168,0.328,0.168,0.328,4dgb
  22,3m5o_C_A-C_0,A,0.221,0.355,0.221,0.355,3m5o
  23,6exj_B_A-B_0,A,0.095,0.284,0.095,0.284,6exj
  24,4j78_B_A-B_0,A,0.251,0.305,0.251,0.305,4j78
  25,5lb7_C_A-B-C_0,A,0.210,0.416,0.210,0.416,5lb7
  26,5lb7_C_A-B-C_0,B,0.156,0.621,0.156,0.621,5lb7
  27,1b9j_B_A-B_0,A,0.315,0.258,0.258,0.315,1b9j
  28,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.120,0.286,0.120,0.286,1kl3
  29,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.115,0.261,0.115,0.261,1kl3
  30,1uoq_B_A-B_0,A,0.375,0.239,0.239,0.375,1uoq
  31,4zhb_B_A-B_0,A,0.173,0.455,0.173,0.455,4zhb
