index,syst,chain,tm1,tm2,min,max,pdb
   0,2v5f_X_A-X_0,A,0.251,0.313,0.251,0.313,2v5f
   1,1awr_J_D-J_5,D,0.315,0.278,0.278,0.315,1awr
   2,3ny3_B_A-B_0,A,0.221,0.339,0.221,0.339,3ny3
   3,3t64_F_A-B-C-F_0,A,0.377,0.350,0.350,0.377,3t64
   4,3t64_F_A-B-C-F_0,B,0.374,0.378,0.374,0.378,3t64
   5,6cdc_C_A-C_0,A,0.367,0.327,0.327,0.367,6cdc
   6,1b3g_B_A-B_0,A,0.359,0.132,0.132,0.359,1b3g
   7,2d5w_C_A-C_0,A,0.366,0.119,0.119,0.366,2d5w
   8,5huw_B_A-B-C_0,C,0.282,0.122,0.122,0.282,5huw
   9,3drh_B_A-B_0,A,0.397,0.130,0.130,0.397,3drh
  10,5k4f_C_A-C_0,A,0.313,0.444,0.313,0.444,5k4f
  11,4ouc_B_A-B_0,A,0.387,0.201,0.201,0.387,4ouc
  12,3qhw_L_A-B-J-L_0,B,0.299,0.193,0.193,0.299,3qhw
  13,3ivq_D_B-D_1,B,0.799,0.794,0.794,0.799,3ivq
  14,2v3s_C_B-C_1,B,0.289,0.379,0.289,0.379,2v3s
  15,3zvy_D_B-D_0,B,0.190,0.287,0.190,0.287,3zvy
  16,3q49_C_B-C_0,B,0.269,0.276,0.269,0.276,3q49
  17,1ok7_C_A-B-C_0,B,0.272,0.138,0.138,0.272,1ok7
  18,1sem_C_A-B-C-D_0,A,0.181,0.314,0.181,0.314,1sem
  19,4qbr_P_A-P_0,A,0.256,0.257,0.256,0.257,4qbr
  20,4dgb_B_A-B_0,A,0.326,0.289,0.289,0.326,4dgb
  21,4j44_B_A-B_0,A,0.263,0.368,0.263,0.368,4j44
  22,3rt9_B_A-B_0,F,0.326,0.124,0.124,0.326,3rt9
  23,3rt9_B_A-B_0,A,0.326,0.124,0.124,0.326,3rt9
  24,4j09_B_A-B_0,A,0.288,0.182,0.182,0.288,4j09
  25,4j09_B_A-B_0,C,0.288,0.182,0.182,0.288,4j09
  26,1svz_C_A-B-C-D_0,A,0.419,0.277,0.277,0.419,1svz
  27,3rc4_B_A-B_0,A,0.326,0.252,0.252,0.326,3rc4
  28,5sxm_D_B-D_1,B,0.341,0.192,0.192,0.341,5sxm
  29,2orz_B_A-B_0,A,0.443,0.227,0.227,0.443,2orz
  30,3v43_Q_A-Q_0,A,0.205,0.231,0.205,0.231,3v43
  31,1se0_B_A-B_0,A,0.288,0.362,0.288,0.362,1se0
  32,3psl_D_B-D_1,B,0.329,0.184,0.184,0.329,3psl
  33,5lb7_C_A-B-C_0,A,0.284,0.249,0.249,0.284,5lb7
  34,5lb7_C_A-B-C_0,B,0.218,0.301,0.218,0.301,5lb7
  35,5y53_F_C-E-F_1,C,0.284,0.291,0.284,0.291,5y53
  36,5y53_F_C-E-F_1,E,0.307,0.317,0.307,0.317,5y53
  37,5iag_D_A-B-D_0,A,0.339,0.240,0.240,0.339,5iag
