index,syst,chain,tm1,tm2,min,max,pdb
   0,3gq1_C_A-C_0,A,0.156,0.362,0.156,0.362,3gq1
   1,4k3o_E_A-B-E_0,A,0.297,0.236,0.236,0.297,4k3o
   2,4qbr_P_A-P_0,A,0.244,0.382,0.244,0.382,4qbr
   3,3mmg_C_A-C_0,A,0.300,0.344,0.300,0.344,3mmg
   4,4q6f_H_C-H_2,C,0.099,0.280,0.099,0.280,4q6f
   5,6cwp_F_A-B-F_0,A,0.328,0.296,0.296,0.328,6cwp
   6,6cwp_F_A-B-F_0,B,0.296,0.264,0.264,0.296,6cwp
   7,4pz3_C_A-B-C_0,B,0.209,0.306,0.209,0.306,4pz3
   8,3woo_C_A-B-C-D_0,A,0.306,0.139,0.139,0.306,3woo
   9,4k3p_E_A-B-E_0,A,0.271,0.220,0.220,0.271,4k3p
  10,6ew9_P_A-B-C-P-Q-R_0,A,0.268,0.242,0.242,0.268,6ew9
  11,1yti_I_A-I_0,A,0.150,0.279,0.150,0.279,1yti
  12,1yti_I_A-I_0,B,0.150,0.279,0.150,0.279,1yti
  13,5azf_C_A-C_0,A,0.211,0.358,0.211,0.358,5azf
  14,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.303,0.249,0.249,0.303,4tr9
  15,5k4f_C_A-C_0,A,0.166,0.350,0.166,0.350,5k4f
  16,3nik_X_D-X_2,D,0.138,0.317,0.138,0.317,3nik
  17,1b4z_B_A-B_0,A,0.340,0.207,0.207,0.340,1b4z
  18,2f5b_P_H-L-P_0,L,0.260,0.299,0.260,0.299,2f5b
  19,2f5b_P_H-L-P_0,H,0.233,0.253,0.233,0.253,2f5b
  20,4nnm_C_A-C_0,A,0.189,0.345,0.189,0.345,4nnm
  21,5t6p_E_C-D-E_1,D,0.258,0.301,0.258,0.301,5t6p
  22,5t6p_E_C-D-E_1,C,0.229,0.259,0.229,0.259,5t6p
  23,1mfl_B_A-B_0,A,0.167,0.335,0.167,0.335,1mfl
  24,4kg9_B_A-B_0,A,0.188,0.294,0.188,0.294,4kg9
  25,1b5j_B_A-B_0,A,0.334,0.205,0.205,0.334,1b5j
  26,3ou3_C_A-B-C_0,A,0.153,0.304,0.153,0.304,3ou3
  27,3ou3_C_A-B-C_0,B,0.153,0.304,0.153,0.304,3ou3
  28,5iza_B_A-B_0,A,0.292,0.239,0.239,0.292,5iza
  29,1rzx_B_A-B_0,A,0.173,0.352,0.173,0.352,1rzx
  30,1e4x_P_H-L-P_0,L,0.253,0.292,0.253,0.292,1e4x
  31,1e4x_P_H-L-P_0,H,0.226,0.256,0.226,0.256,1e4x
  32,3fp2_Q_A-Q_0,A,0.330,0.210,0.210,0.330,3fp2
  33,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.177,0.311,0.177,0.311,1kl5
  34,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.175,0.297,0.175,0.297,1kl5
  35,2h9m_D_C-D_1,C,0.326,0.292,0.292,0.326,2h9m
  36,3f7o_X_A-X_0,A,0.308,0.288,0.288,0.308,3f7o
  37,4gyo_C_A-B-C-D_0,B,0.330,0.261,0.261,0.330,4gyo
  38,4mz6_A_A-C-E_0,E,0.274,0.189,0.189,0.274,4mz6
  39,4fii_B_A-B_0,A,0.352,0.322,0.322,0.352,4fii
  40,1awr_J_D-J_5,D,0.219,0.303,0.219,0.303,1awr
  41,1a30_C_A-B-C_0,A,0.151,0.296,0.151,0.296,1a30
  42,1a30_C_A-B-C_0,B,0.146,0.274,0.146,0.274,1a30
  43,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.297,0.242,0.242,0.297,2ot0
  44,1uop_B_A-B_0,A,0.351,0.166,0.166,0.351,1uop
  45,1a7c_B_A-B-C_0,A,0.271,0.212,0.212,0.271,1a7c
  46,3wor_C_A-B-C-D_0,A,0.304,0.147,0.147,0.304,3wor
  47,2v3s_C_B-C_1,B,0.177,0.389,0.177,0.389,2v3s
  48,4iim_E_A-B-C-D-E_0,B,0.097,0.270,0.097,0.270,4iim
  49,3uoa_L_B-C-L-M_0,B,0.360,0.284,0.284,0.360,3uoa
  50,5lb7_C_A-B-C_0,A,0.269,0.378,0.269,0.378,5lb7
  51,5lb7_C_A-B-C_0,B,0.159,0.417,0.159,0.417,5lb7
  52,2y7l_B_A-B_0,A,0.291,0.257,0.257,0.291,2y7l
  53,3oqs_B_A-B_0,A,0.273,0.188,0.188,0.273,3oqs
