index,syst,chain,tm1,tm2,min,max,pdb
   0,3g19_C_A-C_0,A,0.211,0.342,0.211,0.342,3g19
   1,3psl_D_B-D_1,B,0.331,0.231,0.231,0.331,3psl
   2,3nim_X_F-X_3,F,0.210,0.365,0.210,0.365,3nim
   3,4dgb_B_A-B_0,A,0.270,0.287,0.270,0.287,4dgb
   4,4ouc_B_A-B_0,A,0.347,0.218,0.218,0.347,4ouc
   5,4j44_B_A-B_0,A,0.192,0.319,0.192,0.319,4j44
   6,1tw6_C_A-B-C-D_2,F,0.223,0.327,0.223,0.327,1tw6
   7,1tw6_C_A-B-C-D_2,A,0.226,0.344,0.226,0.344,1tw6
   8,4zhb_B_A-B_0,A,0.203,0.291,0.203,0.291,4zhb
   9,5e6o_E_B-E_1,B,0.247,0.328,0.247,0.328,5e6o
  10,1ok7_C_A-B-C_0,B,0.304,0.182,0.182,0.304,1ok7
  11,3uf7_B_A-B-C_0,A,0.293,0.253,0.253,0.293,3uf7
  12,3jrv_D_B-D_1,B,0.249,0.289,0.249,0.289,3jrv
  13,3qhw_L_A-B-J-L_0,B,0.314,0.244,0.244,0.314,3qhw
  14,2hl3_C_A-B-C_0,A,0.192,0.345,0.192,0.345,2hl3
  15,2hl3_C_A-B-C_0,B,0.186,0.346,0.186,0.346,2hl3
  16,1b46_B_A-B_0,A,0.318,0.143,0.143,0.318,1b46
  17,4j81_C_B-C_1,B,0.340,0.239,0.239,0.340,4j81
  18,6fkp_G_C-G_2,C,0.157,0.319,0.157,0.319,6fkp
  19,2wa8_D_C-D_1,C,0.209,0.301,0.209,0.301,2wa8
  20,3sxu_C_A-B-C_0,A,0.285,0.327,0.285,0.327,3sxu
  21,1evh_B_A-B_0,A,0.255,0.364,0.255,0.364,1evh
  22,5fpk_C_A-C_0,A,0.303,0.258,0.258,0.303,5fpk
  23,3zvy_D_B-D_0,B,0.139,0.277,0.139,0.277,3zvy
  24,4xal_B_A-B_0,A,0.176,0.268,0.176,0.268,4xal
  25,2r9q_X_A-C-X_1,C,0.382,0.244,0.244,0.382,2r9q
  26,3upv_B_A-B_0,A,0.212,0.266,0.212,0.266,3upv
  27,2hpl_B_A-B_0,A,0.229,0.332,0.229,0.332,2hpl
  28,4z8j_B_A-B_0,A,0.250,0.367,0.250,0.367,4z8j
  29,1s2k_B_A-B_0,A,0.277,0.258,0.258,0.277,1s2k
  30,1awr_J_D-J_5,D,0.274,0.291,0.274,0.291,1awr
  31,4quh_D_A-C-D-I-J_0,A,0.281,0.238,0.238,0.281,4quh
  32,4gne_B_A-B_0,A,0.198,0.287,0.198,0.287,4gne
  33,3oqs_B_A-B_0,A,0.251,0.133,0.133,0.251,3oqs
  34,4cic_Q_A-B-Q_0,A,0.229,0.275,0.229,0.275,4cic
  35,4cic_Q_A-B-Q_0,B,0.239,0.282,0.239,0.282,4cic
  36,1b40_B_A-B_0,A,0.341,0.155,0.155,0.341,1b40
  37,5huw_B_A-B-C_0,C,0.253,0.134,0.134,0.253,5huw
  38,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.307,0.192,0.192,0.307,2ot0
  39,1oby_Q_A-B-P-Q_0,A,0.202,0.335,0.202,0.335,1oby
  40,1oby_Q_A-B-P-Q_0,B,0.175,0.314,0.175,0.314,1oby
  41,4jmy_E_A-C-E_0,A,0.639,0.630,0.630,0.639,4jmy
  42,1sem_C_A-B-C-D_0,A,0.175,0.335,0.175,0.335,1sem
  43,6cdg_B_A-B_0,A,0.259,0.275,0.259,0.275,6cdg
  44,6fqc_E_A-B-D-E_0,A,0.349,0.219,0.219,0.349,6fqc
  45,6hpg_c_C-c_2,C,0.203,0.265,0.203,0.265,6hpg
  46,1kyd_P_A-P_0,A,0.300,0.238,0.238,0.300,1kyd
  47,4ezw_E_A-E_0,A,0.284,0.249,0.249,0.284,4ezw
  48,4o4y_A_A-H-L_0,L,0.249,0.215,0.215,0.249,4o4y
  49,4o4y_A_A-H-L_0,H,0.262,0.231,0.231,0.262,4o4y
  50,4apo_D_B-D_1,B,0.228,0.250,0.228,0.250,4apo
  51,3shb_B_A-B_0,A,0.140,0.266,0.140,0.266,3shb
  52,6cd9_B_A-B_0,A,0.255,0.267,0.255,0.267,6cd9
  53,1gyb_E_A-B-E-F_0,A,0.221,0.289,0.221,0.289,1gyb
  54,1gyb_E_A-B-E-F_0,B,0.254,0.321,0.254,0.321,1gyb
  55,4ezz_B_A-B_1,A,0.276,0.240,0.240,0.276,4ezz
  56,3emh_B_A-B_0,A,0.320,0.227,0.227,0.320,3emh
  57,6cd8_C_A-C_0,A,0.264,0.276,0.264,0.276,6cd8
  58,4j45_B_A-B_0,A,0.172,0.286,0.172,0.286,4j45
  59,5huy_B_A-B-C_0,C,0.259,0.140,0.140,0.259,5huy
  60,3gv4_H_A-H_0,A,0.240,0.370,0.240,0.370,3gv4
  61,3rt9_B_A-B_0,F,0.297,0.146,0.146,0.297,3rt9
  62,3rt9_B_A-B_0,A,0.297,0.146,0.146,0.297,3rt9
  63,3t70_F_A-B-C-F_0,A,0.253,0.286,0.253,0.286,3t70
  64,3t70_F_A-B-C-F_0,B,0.248,0.297,0.248,0.297,3t70
  65,5fou_C_A-C_0,A,0.288,0.244,0.244,0.288,5fou
  66,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.248,0.321,0.248,0.321,1kl3
  67,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.250,0.323,0.250,0.323,1kl3
  68,1b3l_B_A-B_0,A,0.338,0.156,0.156,0.338,1b3l
  69,4ojf_A_A-H-L_0,L,0.247,0.213,0.213,0.247,4ojf
  70,4ojf_A_A-H-L_0,H,0.273,0.239,0.239,0.273,4ojf
  71,4fys_C_A-C_0,A,0.340,0.094,0.094,0.340,4fys
  72,1svz_C_A-B-C-D_0,A,0.287,0.244,0.244,0.287,1svz
  73,3ufm_B_A-B_0,A,0.292,0.248,0.248,0.292,3ufm
  74,5ovc_B_A-B_0,A,0.246,0.368,0.246,0.368,5ovc
  75,4k3r_E_A-B-E_0,A,0.318,0.194,0.194,0.318,4k3r
  76,5jiu_C_A-B-C-D_0,A,0.284,0.257,0.257,0.284,5jiu
  77,1lvm_C_A-C-E_0,A,0.758,0.609,0.609,0.758,1lvm
  78,2v17_A_A-H-L_0,L,0.252,0.220,0.220,0.252,2v17
  79,2v17_A_A-H-L_0,H,0.248,0.217,0.217,0.248,2v17
  80,3zs6_B_A-B_0,A,0.329,0.155,0.155,0.329,3zs6
  81,3ivq_D_B-D_1,B,0.278,0.329,0.278,0.329,3ivq
  82,3zin_C_A-B-C_0,A,0.241,0.131,0.131,0.241,3zin
  83,4j77_D_B-D_1,B,0.339,0.239,0.239,0.339,4j77
