index,syst,chain,tm1,tm2,min,max,pdb
   0,5m5t_E_A-E-G-I_0,A,0.364,0.125,0.125,0.364,5m5t
   1,5wir_D_A-B-C-D_0,B,0.342,0.193,0.193,0.342,5wir
   2,1nvs_B_A-B_0,A,0.310,0.158,0.158,0.310,1nvs
   3,4ezy_B_A-B_2,A,0.347,0.181,0.181,0.347,4ezy
   4,3ivq_D_B-D_1,B,0.447,0.322,0.322,0.447,3ivq
   5,4f75_C_A-B-C-D_0,A,0.291,0.271,0.271,0.291,4f75
   6,4f75_C_A-B-C-D_0,B,0.298,0.276,0.276,0.298,4f75
   7,4j45_B_A-B_0,A,0.280,0.287,0.280,0.287,4j45
   8,3ifo_P_H-L-P_0,L,0.351,0.185,0.185,0.351,3ifo
   9,3ifo_P_H-L-P_0,H,0.349,0.185,0.185,0.349,3ifo
  10,4pxm_D_A-B-C-D_0,B,0.404,0.210,0.210,0.404,4pxm
  11,1mfl_B_A-B_0,A,0.854,0.789,0.789,0.854,1mfl
  12,4k3q_E_A-B-E_0,A,0.408,0.143,0.143,0.408,4k3q
  13,4b8o_C_A-B-C_0,A,0.263,0.085,0.085,0.263,4b8o
  14,4z8j_B_A-B_0,A,0.804,0.739,0.739,0.804,4z8j
  15,4gne_B_A-B_0,A,0.279,0.261,0.261,0.279,4gne
  16,3rte_B_A-B_0,G,0.443,0.122,0.122,0.443,3rte
  17,3rte_B_A-B_0,A,0.443,0.122,0.122,0.443,3rte
  18,5m5r_D_A-C-D_0,A,0.357,0.125,0.125,0.357,5m5r
  19,3hda_Z_P-Z_0,P,0.346,0.110,0.110,0.346,3hda
  20,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.351,0.126,0.126,0.351,2ot0
  21,1str_M_B-D-M-P_0,C,0.330,0.265,0.265,0.330,1str
  22,1str_M_B-D-M-P_0,B,0.326,0.259,0.259,0.326,1str
  23,4xi7_C_A-C_0,A,0.295,0.092,0.092,0.295,4xi7
  24,3drj_B_A-B_0,A,0.397,0.091,0.091,0.397,3drj
  25,4apo_D_B-D_1,B,0.263,0.175,0.175,0.263,4apo
  26,5kzt_C_A-C_0,A,0.421,0.106,0.106,0.421,5kzt
  27,4zhb_B_A-B_0,A,0.284,0.256,0.256,0.284,4zhb
  28,5fou_C_A-C_0,A,0.342,0.167,0.167,0.342,5fou
  29,6exj_B_A-B_0,A,0.800,0.784,0.784,0.800,6exj
  30,6eja_B_A-B_0,A,0.377,0.075,0.075,0.377,6eja
  31,3fwv_C_A-C_0,A,0.271,0.213,0.213,0.271,3fwv
  32,1sua_C_A-C_0,A,0.412,0.179,0.179,0.412,1sua
  33,5gu4_C_A-C_0,A,0.358,0.178,0.178,0.358,5gu4
  34,1s2k_B_A-B_0,A,0.298,0.182,0.182,0.298,1s2k
  35,5b74_D_A-B-D_0,B,0.343,0.263,0.263,0.343,5b74
  36,4quh_D_A-C-D-I-J_0,A,0.347,0.169,0.169,0.347,4quh
  37,3ufm_B_A-B_0,A,0.346,0.184,0.184,0.346,3ufm
  38,4b3b_C_A-C_0,A,0.295,0.154,0.154,0.295,4b3b
  39,1olc_B_A-B_0,A,0.390,0.103,0.103,0.390,1olc
  40,3drh_B_A-B_0,A,0.397,0.092,0.092,0.397,3drh
  41,1czy_D_A-B-C-D-E_0,A,0.326,0.218,0.218,0.326,1czy
  42,2nph_S_A-B-S-T_0,A,0.306,0.283,0.283,0.306,2nph
  43,2nph_S_A-B-S-T_0,B,0.298,0.276,0.276,0.298,2nph
  44,5huy_B_A-B-C_0,C,0.247,0.084,0.084,0.247,5huy
  45,3vqg_B_A-B_0,A,0.802,0.819,0.802,0.819,3vqg
  46,4fii_B_A-B_0,A,0.331,0.131,0.131,0.331,4fii
  47,4ezw_E_A-E_0,A,0.346,0.186,0.186,0.346,4ezw
  48,3thk_C_A-C_0,A,0.273,0.348,0.273,0.348,3thk
  49,3qhw_L_A-B-J-L_0,B,0.351,0.166,0.166,0.351,3qhw
  50,3f7o_X_A-X_0,A,0.419,0.177,0.177,0.419,3f7o
  51,6cdg_B_A-B_0,A,0.371,0.235,0.235,0.371,6cdg
  52,1a7c_B_A-B-C_0,A,0.353,0.126,0.126,0.353,1a7c
  53,1wcy_C_A-B-C-D_0,A,0.367,0.066,0.066,0.367,1wcy
  54,3agy_C_A-B-C-D-F_0,A,0.277,0.172,0.172,0.277,3agy
  55,1b3g_B_A-B_0,A,0.396,0.100,0.100,0.396,1b3g
  56,4jmy_E_A-C-E_0,A,0.360,0.221,0.221,0.360,4jmy
  57,1hsb_C_A-B-C_0,A,0.347,0.152,0.152,0.347,1hsb
  58,3srj_D_A-C-D_0,A,0.372,0.166,0.166,0.372,3srj
  59,4que_E_A-C-D-E-H-J_0,A,0.337,0.160,0.160,0.337,4que
  60,4j84_D_B-D_1,B,0.343,0.135,0.135,0.343,4j84
  61,6cwp_F_A-B-F_0,A,0.349,0.149,0.149,0.349,6cwp
