index,syst,chain,tm1,tm2,min,max,pdb
   0,4k75_B_A-B_0,A,0.160,0.334,0.160,0.334,4k75
   1,3dri_B_A-B_0,A,0.316,0.154,0.154,0.316,3dri
   2,3lca_Q_A-Q_0,A,0.313,0.185,0.185,0.313,3lca
   3,4gyo_C_A-B-C-D_0,B,0.315,0.229,0.229,0.315,4gyo
   4,6ew9_P_A-B-C-P-Q-R_0,A,0.293,0.242,0.242,0.293,6ew9
   5,3sxu_C_A-B-C_0,A,0.240,0.334,0.240,0.334,3sxu
   6,3woo_C_A-B-C-D_0,A,0.321,0.139,0.139,0.321,3woo
   7,5xcr_F_D-E-F_1,D,0.329,0.434,0.329,0.434,5xcr
   8,5xcr_F_D-E-F_1,E,0.286,0.375,0.286,0.375,5xcr
   9,4j45_B_A-B_0,A,0.153,0.314,0.153,0.314,4j45
  10,1v1t_S_A-B-S-T_0,B,0.222,0.280,0.222,0.280,1v1t
  11,4apo_D_B-D_1,B,0.211,0.280,0.211,0.280,4apo
  12,6fqc_E_A-B-D-E_0,A,0.286,0.219,0.219,0.286,6fqc
  13,6eja_B_A-B_0,A,0.414,0.168,0.168,0.414,6eja
  14,5d9g_C_A-C_0,A,0.307,0.295,0.295,0.307,5d9g
  15,4kg9_B_A-B_0,A,0.313,0.477,0.313,0.477,4kg9
  16,5m5u_G_A-E-G_0,A,0.276,0.204,0.204,0.276,5m5u
  17,1b3g_B_A-B_0,A,0.321,0.183,0.183,0.321,1b3g
  18,4fys_C_A-C_0,A,0.410,0.135,0.135,0.410,4fys
  19,3f6k_N_A-N_0,A,0.282,0.132,0.132,0.282,3f6k
  20,4pxm_D_A-B-C-D_0,B,0.245,0.250,0.245,0.250,4pxm
  21,3o2b_D_C-D_1,C,0.214,0.380,0.214,0.380,3o2b
  22,4c2g_B_A-B-C_0,A,0.298,0.193,0.193,0.298,4c2g
  23,3sjk_B_A-B_0,A,0.226,0.267,0.226,0.267,3sjk
  24,1olc_B_A-B_0,A,0.324,0.186,0.186,0.324,1olc
  25,3nij_B_A-B_0,A,0.146,0.279,0.146,0.279,3nij
  26,4j82_C_A-C_0,A,0.278,0.233,0.233,0.278,4j82
  27,4j86_C_A-C_0,A,0.268,0.226,0.226,0.268,4j86
  28,2fib_B_A-B_0,A,0.250,0.238,0.238,0.250,2fib
  29,3l81_B_A-B_0,A,0.319,0.303,0.303,0.319,3l81
  30,5fov_E_A-E_0,A,0.291,0.296,0.291,0.296,5fov
  31,1b40_B_A-B_0,A,0.353,0.200,0.200,0.353,1b40
  32,5m5t_E_A-E-G-I_0,A,0.270,0.193,0.193,0.270,5m5t
  33,3cww_E_A-B-D-E_0,A,0.303,0.106,0.106,0.303,3cww
  34,2g30_S_A-P-S_0,A,1.000,1.000,1.000,1.000,2g30
  35,4ezz_B_A-B_1,A,0.281,0.294,0.281,0.294,4ezz
  36,3ifo_P_H-L-P_0,L,0.334,0.349,0.334,0.349,3ifo
  37,3ifo_P_H-L-P_0,H,0.356,0.374,0.356,0.374,3ifo
  38,3nih_B_A-B_0,A,0.148,0.307,0.148,0.307,3nih
  39,4gne_B_A-B_0,A,0.179,0.317,0.179,0.317,4gne
  40,3oqs_B_A-B_0,A,0.317,0.201,0.201,0.317,3oqs
  41,4ezy_B_A-B_2,A,0.274,0.285,0.274,0.285,4ezy
