index,syst,chain,tm1,tm2,min,max,pdb
   0,3m5o_C_A-C_0,A,0.218,0.329,0.218,0.329,3m5o
   1,3sjk_B_A-B_0,A,0.178,0.291,0.178,0.291,3sjk
   2,1oxn_F_E-F_7,E,0.149,0.411,0.149,0.411,1oxn
   3,2d5w_C_A-C_0,A,0.389,0.264,0.264,0.389,2d5w
   4,5iza_B_A-B_0,A,0.401,0.416,0.401,0.416,5iza
   5,4q6f_H_C-H_2,C,0.073,0.281,0.073,0.281,4q6f
   6,3zs6_B_A-B_0,A,0.375,0.291,0.291,0.375,3zs6
   7,3gv4_H_A-H_0,A,0.139,0.350,0.139,0.350,3gv4
   8,4ny3_C_A-C_0,A,0.289,0.330,0.289,0.330,4ny3
   9,3t64_F_A-B-C-F_0,A,0.162,0.301,0.162,0.301,3t64
  10,3t64_F_A-B-C-F_0,B,0.134,0.274,0.134,0.274,3t64
  11,5t6p_E_C-D-E_1,D,0.173,0.253,0.173,0.253,5t6p
  12,5t6p_E_C-D-E_1,C,0.184,0.264,0.184,0.264,5t6p
  13,4ojf_A_A-H-L_0,L,0.174,0.244,0.174,0.244,4ojf
  14,4ojf_A_A-H-L_0,H,0.177,0.247,0.177,0.247,4ojf
  15,4g69_B_A-B_0,A,0.112,0.287,0.112,0.287,4g69
  16,4z0u_D_A-D_0,A,0.150,0.295,0.150,0.295,4z0u
  17,1ok7_C_A-B-C_0,B,0.268,0.264,0.264,0.268,1ok7
  18,3woo_C_A-B-C-D_0,A,0.290,0.173,0.173,0.290,3woo
  19,5fpk_C_A-C_0,A,0.247,0.345,0.247,0.345,5fpk
  20,2h9m_D_C-D_1,C,0.283,0.320,0.283,0.320,2h9m
  21,5huw_B_A-B-C_0,C,0.423,0.374,0.374,0.423,5huw
  22,5fow_E_A-E_0,A,0.239,0.338,0.239,0.338,5fow
  23,3ny3_B_A-B_0,A,0.086,0.267,0.086,0.267,3ny3
  24,2x6m_B_A-B_0,A,0.132,0.281,0.132,0.281,2x6m
  25,2foo_B_A-B_0,A,0.150,0.304,0.150,0.304,2foo
  26,3hds_E_A-D-E_0,D,0.130,0.323,0.130,0.323,3hds
  27,3hds_E_A-D-E_0,A,0.128,0.306,0.128,0.306,3hds
  28,1ddv_B_A-B_0,A,0.137,0.378,0.137,0.378,1ddv
  29,1sem_C_A-B-C-D_0,A,0.079,0.312,0.079,0.312,1sem
  30,3nij_B_A-B_0,A,0.082,0.271,0.082,0.271,3nij
  31,4od7_E_C-E_2,C,0.190,0.303,0.190,0.303,4od7
  32,5iz2_Z_A-B-Z_0,B,0.164,0.352,0.164,0.352,5iz2
  33,3drj_B_A-B_0,A,0.342,0.247,0.247,0.342,3drj
  34,4jor_D_B-D_1,B,0.094,0.254,0.094,0.254,4jor
  35,4k75_B_A-B_0,A,0.096,0.263,0.096,0.263,4k75
  36,3nfl_G_B-C-F-G_5,C,0.102,0.274,0.102,0.274,3nfl
  37,3rt9_B_A-B_0,F,0.299,0.240,0.240,0.299,3rt9
  38,3rt9_B_A-B_0,A,0.299,0.240,0.240,0.299,3rt9
  39,4o4y_A_A-H-L_0,L,0.184,0.257,0.184,0.257,4o4y
  40,4o4y_A_A-H-L_0,H,0.167,0.236,0.167,0.236,4o4y
  41,5ovc_B_A-B_0,A,0.103,0.264,0.103,0.264,5ovc
  42,1mfl_B_A-B_0,A,0.107,0.266,0.107,0.266,1mfl
  43,4j47_B_A-B_0,A,0.133,0.371,0.133,0.371,4j47
  44,2y7l_B_A-B_0,A,0.247,0.273,0.247,0.273,2y7l
  45,3njj_B_A-B_0,A,0.128,0.309,0.128,0.309,3njj
  46,5b74_D_A-B-D_0,B,0.174,0.362,0.174,0.362,5b74
  47,5jiu_C_A-B-C-D_0,A,0.212,0.313,0.212,0.313,5jiu
  48,6cdg_B_A-B_0,A,0.161,0.291,0.161,0.291,6cdg
  49,3upv_B_A-B_0,A,0.326,0.864,0.326,0.864,3upv
  50,3nii_B_A-B_0,A,0.082,0.277,0.082,0.277,3nii
  51,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.140,0.413,0.140,0.413,1xb0
  52,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.143,0.392,0.143,0.392,1xb0
  53,1oby_Q_A-B-P-Q_0,A,0.104,0.302,0.104,0.302,1oby
  54,1oby_Q_A-B-P-Q_0,B,0.098,0.288,0.098,0.288,1oby
  55,1d0a_G_A-B-C-G-H-I_0,A,0.173,0.293,0.173,0.293,1d0a
  56,3ufm_B_A-B_0,A,0.235,0.321,0.235,0.321,3ufm
  57,3zvy_D_B-D_0,B,0.088,0.292,0.088,0.292,3zvy
  58,3psl_D_B-D_1,B,0.281,0.322,0.281,0.322,3psl
  59,2r9q_X_A-C-X_1,C,0.243,0.257,0.243,0.257,2r9q
  60,5uw3_E_A-E_0,A,0.353,0.219,0.219,0.353,5uw3
  61,4j82_C_A-C_0,A,0.279,0.317,0.279,0.317,4j82
  62,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.118,0.335,0.118,0.335,2y1l
  63,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.174,0.313,0.174,0.313,2y1l
  64,4ezw_E_A-E_0,A,0.218,0.330,0.218,0.330,4ezw
  65,4k3o_E_A-B-E_0,A,0.268,0.267,0.267,0.268,4k3o
  66,5ovv_B_A-B_0,A,0.113,0.278,0.113,0.278,5ovv
  67,3agy_C_A-B-C-D-F_0,A,0.180,0.300,0.180,0.300,3agy
  68,4c2c_B_A-B-C_0,A,0.264,0.231,0.231,0.264,4c2c
  69,5lyn_C_A-B-C-D_0,A,0.323,0.792,0.323,0.792,5lyn
  70,5lyn_C_A-B-C-D_0,B,0.320,0.782,0.320,0.782,5lyn
  71,1lvm_C_A-C-E_0,A,0.216,0.298,0.216,0.298,1lvm
  72,1b51_B_A-B_0,A,0.385,0.296,0.296,0.385,1b51
  73,1kyf_P_A-P_0,A,0.223,0.290,0.223,0.290,1kyf
  74,5d9g_C_A-C_0,A,0.210,0.270,0.210,0.270,5d9g
  75,5k4f_C_A-C_0,A,0.096,0.266,0.096,0.266,5k4f
  76,4r5i_B_A-B_0,A,0.209,0.308,0.209,0.308,4r5i
  77,5e6o_E_B-E_1,B,0.137,0.329,0.137,0.329,5e6o
  78,4iim_E_A-B-C-D-E_0,B,0.073,0.280,0.073,0.280,4iim
  79,4zhb_B_A-B_0,A,0.176,0.424,0.176,0.424,4zhb
  80,4k3p_E_A-B-E_0,A,0.241,0.241,0.241,0.241,4k3p
  81,3dri_B_A-B_0,A,0.347,0.252,0.252,0.347,3dri
  82,2v17_A_A-H-L_0,L,0.164,0.238,0.164,0.238,2v17
  83,2v17_A_A-H-L_0,H,0.170,0.242,0.170,0.242,2v17
  84,3fp4_Q_A-Q_0,A,0.519,0.409,0.409,0.519,3fp4
  85,5y53_F_C-E-F_1,C,0.185,0.369,0.185,0.369,5y53
  86,5y53_F_C-E-F_1,E,0.187,0.368,0.187,0.368,5y53
  87,1a7c_B_A-B-C_0,A,0.268,0.265,0.265,0.268,1a7c
  88,1b40_B_A-B_0,A,0.386,0.297,0.297,0.386,1b40
  89,2ce9_X_A-B-X_0,A,0.278,0.291,0.278,0.291,2ce9
  90,5xcr_F_D-E-F_1,D,0.167,0.306,0.167,0.306,5xcr
  91,5xcr_F_D-E-F_1,E,0.169,0.306,0.169,0.306,5xcr
  92,5lb7_C_A-B-C_0,A,0.260,0.461,0.260,0.461,5lb7
  93,5lb7_C_A-B-C_0,B,0.161,0.646,0.161,0.646,5lb7
  94,3vqg_B_A-B_0,A,0.098,0.279,0.098,0.279,3vqg
  95,3rc4_B_A-B_0,A,0.223,0.338,0.223,0.338,3rc4
  96,1olc_B_A-B_0,A,0.387,0.298,0.298,0.387,1olc
  97,3nih_B_A-B_0,A,0.082,0.275,0.082,0.275,3nih
  98,6ew9_P_A-B-C-P-Q-R_0,A,0.252,0.281,0.252,0.281,6ew9
  99,3o2b_D_C-D_1,C,0.160,0.439,0.160,0.439,3o2b
 100,2ipu_P_G-K-P_1,G,0.178,0.250,0.178,0.250,2ipu
 101,2ipu_P_G-K-P_1,K,0.172,0.245,0.172,0.245,2ipu
 102,2nph_S_A-B-S-T_0,A,0.119,0.295,0.119,0.295,2nph
 103,2nph_S_A-B-S-T_0,B,0.117,0.294,0.117,0.294,2nph
 104,1tw6_C_A-B-C-D_2,F,0.152,0.415,0.152,0.415,1tw6
 105,1tw6_C_A-B-C-D_2,A,0.141,0.402,0.141,0.402,1tw6
 106,3rc5_B_A-B_0,A,0.226,0.338,0.226,0.338,3rc5
 107,4j77_D_B-D_1,B,0.280,0.319,0.280,0.319,4j77
