index,syst,chain,tm1,tm2,min,max,pdb
   0,3f6k_N_A-N_0,A,0.228,0.238,0.228,0.238,3f6k
   1,3njj_B_A-B_0,A,0.094,0.358,0.094,0.358,3njj
   2,1uop_B_A-B_0,A,0.242,0.239,0.239,0.242,1uop
   3,4c2g_B_A-B-C_0,A,0.212,0.302,0.212,0.302,4c2g
   4,3v43_Q_A-Q_0,A,0.088,0.348,0.088,0.348,3v43
   5,1awr_J_D-J_5,D,0.107,0.322,0.107,0.322,1awr
   6,2fop_B_A-B_0,A,0.100,0.352,0.100,0.352,2fop
   7,3l81_B_A-B_0,A,0.135,0.286,0.135,0.286,3l81
   8,3qhw_L_A-B-J-L_0,B,0.147,0.304,0.147,0.304,3qhw
   9,5sxm_D_B-D_1,B,0.168,0.313,0.168,0.313,5sxm
  10,4apo_D_B-D_1,B,0.104,0.384,0.104,0.384,4apo
  11,4j09_B_A-B_0,A,0.146,0.299,0.146,0.299,4j09
  12,4j09_B_A-B_0,C,0.146,0.299,0.146,0.299,4j09
  13,1oby_Q_A-B-P-Q_0,A,0.065,0.376,0.065,0.376,1oby
  14,1oby_Q_A-B-P-Q_0,B,0.074,0.390,0.074,0.390,1oby
  15,1kyf_P_A-P_0,A,0.142,0.323,0.142,0.323,1kyf
  16,3nim_X_F-X_3,F,0.061,0.339,0.061,0.339,3nim
  17,2orz_B_A-B_0,A,0.153,0.276,0.153,0.276,2orz
  18,4j46_B_A-B_0,A,0.072,0.372,0.072,0.372,4j46
  19,5fow_E_A-E_0,A,0.130,0.320,0.130,0.320,5fow
  20,5jjm_G_A-G-M_0,A,0.173,0.382,0.173,0.382,5jjm
  21,5oj5_B_A-B_0,A,0.148,0.276,0.148,0.276,5oj5
  22,4kg9_B_A-B_0,A,0.092,0.317,0.092,0.317,4kg9
  23,5fou_C_A-C_0,A,0.132,0.319,0.132,0.319,5fou
  24,1s2k_B_A-B_0,A,0.136,0.359,0.136,0.359,1s2k
  25,3drh_B_A-B_0,A,0.252,0.297,0.252,0.297,3drh
  26,3tcg_I_A-I_0,A,0.240,0.301,0.240,0.301,3tcg
  27,1qka_B_A-B_0,A,0.240,0.301,0.240,0.301,1qka
  28,6fqc_E_A-B-D-E_0,A,0.166,0.279,0.166,0.279,6fqc
  29,4jop_C_A-C_0,A,0.078,0.357,0.078,0.357,4jop
  30,1b3g_B_A-B_0,A,0.255,0.319,0.255,0.319,1b3g
  31,5fch_C_A-B-C_0,A,0.206,0.309,0.206,0.309,5fch
  32,5fch_C_A-B-C_0,B,0.190,0.290,0.190,0.290,5fch
  33,4j45_B_A-B_0,A,0.074,0.369,0.074,0.369,4j45
  34,2v5f_X_A-X_0,A,0.078,0.401,0.078,0.401,2v5f
  35,1sts_P_B-D-M-P_0,D,0.096,0.375,0.096,0.375,1sts
  36,1sts_P_B-D-M-P_0,A,0.097,0.374,0.097,0.374,1sts
  37,4r5i_B_A-B_0,A,0.155,0.360,0.155,0.360,4r5i
  38,5wun_C_A-B-C_0,A,0.184,0.262,0.184,0.262,5wun
  39,3zvy_D_B-D_0,B,0.059,0.343,0.059,0.343,3zvy
  40,6hpg_c_C-c_2,C,0.091,0.360,0.091,0.360,6hpg
  41,5m5u_G_A-E-G_0,A,0.175,0.288,0.175,0.288,5m5u
  42,5tu5_B_A-B_0,A,0.183,0.342,0.183,0.342,5tu5
  43,1tw6_C_A-B-C-D_2,F,0.082,0.378,0.082,0.378,1tw6
  44,1tw6_C_A-B-C-D_2,A,0.070,0.357,0.070,0.357,1tw6
  45,3psl_D_B-D_1,B,0.144,0.277,0.144,0.277,3psl
  46,6fkp_G_C-G_2,C,0.047,0.314,0.047,0.314,6fkp
  47,1yti_I_A-I_0,A,0.100,0.479,0.100,0.479,1yti
  48,1yti_I_A-I_0,B,0.100,0.479,0.100,0.479,1yti
  49,3nik_X_D-X_2,D,0.069,0.317,0.069,0.317,3nik
  50,1nvs_B_A-B_0,A,0.146,0.314,0.146,0.314,1nvs
  51,1sua_C_A-C_0,A,0.146,0.307,0.146,0.307,1sua
  52,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.251,0.583,0.251,0.583,2z9i
  53,1b5j_B_A-B_0,A,0.240,0.301,0.240,0.301,1b5j
  54,4joh_D_A-D_0,A,0.076,0.356,0.076,0.356,4joh
  55,3uoa_L_B-C-L-M_0,B,0.170,0.279,0.170,0.279,3uoa
  56,5ovc_B_A-B_0,A,0.087,0.397,0.087,0.397,5ovc
  57,4nnm_C_A-C_0,A,0.094,0.380,0.094,0.380,4nnm
