index,syst,chain,tm1,tm2,min,max,pdb
   0,3vqg_B_A-B_0,A,0.740,0.799,0.740,0.799,3vqg
   1,5lb7_C_A-B-C_0,A,0.232,0.165,0.165,0.232,5lb7
   2,5lb7_C_A-B-C_0,B,0.224,0.254,0.224,0.254,5lb7
   3,1qka_B_A-B_0,A,0.401,0.101,0.101,0.401,1qka
   4,3f7o_X_A-X_0,A,0.413,0.183,0.183,0.413,3f7o
   5,3lny_B_A-B_0,A,0.826,0.818,0.818,0.826,3lny
   6,3nim_X_F-X_3,F,0.267,0.286,0.267,0.286,3nim
   7,2h59_D_A-B-D-E_0,A,0.321,0.167,0.167,0.321,2h59
   8,2h59_D_A-B-D-E_0,B,0.317,0.163,0.163,0.317,2h59
   9,4faf_D_A-B-D_0,A,0.287,0.277,0.277,0.287,4faf
  10,4faf_D_A-B-D_0,B,0.281,0.271,0.271,0.281,4faf
  11,1b58_B_A-B_0,A,0.366,0.105,0.105,0.366,1b58
  12,4o4y_A_A-H-L_0,L,0.316,0.170,0.170,0.316,4o4y
  13,4o4y_A_A-H-L_0,H,0.325,0.187,0.187,0.325,4o4y
  14,1b9j_B_A-B_0,A,0.358,0.097,0.097,0.358,1b9j
  15,1evh_B_A-B_0,A,0.326,0.292,0.292,0.326,1evh
  16,3nin_E_B-E_1,B,0.289,0.318,0.289,0.318,3nin
  17,3gv4_H_A-H_0,A,0.289,0.279,0.279,0.289,3gv4
  18,4quh_D_A-C-D-I-J_0,A,0.341,0.188,0.188,0.341,4quh
  19,1sts_P_B-D-M-P_0,D,0.317,0.270,0.270,0.317,1sts
  20,1sts_P_B-D-M-P_0,A,0.314,0.265,0.265,0.314,1sts
  21,4mvk_B_A-B_0,A,0.324,0.220,0.220,0.324,4mvk
  22,1yth_I_A-B-I_0,A,0.290,0.280,0.280,0.290,1yth
  23,1yth_I_A-B-I_0,B,0.264,0.256,0.256,0.264,1yth
  24,4j44_B_A-B_0,A,0.281,0.298,0.281,0.298,4j44
  25,4k3o_E_A-B-E_0,A,0.422,0.149,0.149,0.422,4k3o
  26,2orz_B_A-B_0,A,0.337,0.149,0.149,0.337,2orz
  27,2g30_S_A-P-S_0,A,0.347,0.172,0.172,0.347,2g30
  28,1hsb_C_A-B-C_0,A,0.357,0.168,0.168,0.357,1hsb
  29,4ezy_B_A-B_2,A,0.316,0.161,0.161,0.316,4ezy
  30,4ba3_B_A-B_0,A,0.274,0.085,0.085,0.274,4ba3
  31,3cbl_B_A-B_0,A,0.377,0.136,0.136,0.377,3cbl
  32,2v5f_X_A-X_0,A,0.230,0.225,0.225,0.230,2v5f
  33,2foo_B_A-B_0,A,0.436,0.329,0.329,0.436,2foo
  34,5m5r_D_A-C-D_0,A,0.344,0.123,0.123,0.344,5m5r
  35,5grg_D_A-B-C-D_0,A,0.355,0.167,0.167,0.355,5grg
  36,1yti_I_A-I_0,A,0.290,0.279,0.279,0.290,1yti
  37,1yti_I_A-I_0,B,0.290,0.279,0.279,0.290,1yti
  38,4c2c_B_A-B-C_0,A,0.664,0.157,0.157,0.664,4c2c
  39,4f75_C_A-B-C-D_0,A,0.260,0.253,0.253,0.260,4f75
  40,4f75_C_A-B-C-D_0,B,0.288,0.277,0.277,0.288,4f75
  41,3nii_B_A-B_0,A,0.281,0.311,0.281,0.311,3nii
  42,3v43_Q_A-Q_0,A,0.309,0.276,0.276,0.309,3v43
  43,5xup_D_A-B-C-D_0,B,0.345,0.208,0.208,0.345,5xup
  44,4wvh_C_A-C_0,A,0.330,0.095,0.095,0.330,4wvh
  45,3fp2_Q_A-Q_0,A,0.303,0.089,0.089,0.303,3fp2
  46,2hpl_B_A-B_0,A,0.343,0.329,0.329,0.343,2hpl
  47,3ny3_B_A-B_0,A,0.251,0.287,0.251,0.287,3ny3
  48,4pz3_C_A-B-C_0,B,0.350,0.255,0.255,0.350,4pz3
  49,3qhw_L_A-B-J-L_0,B,0.387,0.188,0.188,0.387,3qhw
  50,1olc_B_A-B_0,A,0.358,0.097,0.097,0.358,1olc
  51,1b5j_B_A-B_0,A,0.357,0.097,0.097,0.357,1b5j
  52,4k3q_E_A-B-E_0,A,0.424,0.146,0.146,0.424,4k3q
  53,5ovc_B_A-B_0,A,0.766,0.744,0.744,0.766,5ovc
  54,4sga_P_E-P_0,E,0.296,0.198,0.198,0.296,4sga
  55,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.367,0.178,0.178,0.367,5fjz
  56,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.368,0.178,0.178,0.368,5fjz
  57,3zs6_B_A-B_0,A,0.422,0.104,0.104,0.422,3zs6
  58,3m5n_F_B-F_1,B,0.344,0.204,0.204,0.344,3m5n
  59,5fpk_C_A-C_0,A,0.295,0.166,0.166,0.295,5fpk
  60,1s2k_B_A-B_0,A,0.332,0.197,0.197,0.332,1s2k
  61,3mqr_B_A-B_0,A,0.436,0.329,0.329,0.436,3mqr
  62,4xal_B_A-B_0,A,0.214,0.219,0.214,0.219,4xal
  63,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.342,0.130,0.130,0.342,2ot0
  64,3mmg_C_A-C_0,A,0.311,0.183,0.183,0.311,3mmg
  65,3soq_Z_A-Z_0,A,0.279,0.124,0.124,0.279,3soq
  66,5fou_C_A-C_0,A,0.300,0.166,0.166,0.300,5fou
  67,3d9t_D_B-D_1,B,0.284,0.281,0.281,0.284,3d9t
  68,3nik_X_D-X_2,D,0.266,0.286,0.266,0.286,3nik
  69,1sem_C_A-B-C-D_0,A,0.261,0.353,0.261,0.353,1sem
  70,1fch_C_A-B-C-D_2,F,0.297,0.126,0.126,0.297,1fch
  71,1fch_C_A-B-C-D_2,A,0.269,0.115,0.115,0.269,1fch
  72,1oxn_F_E-F_7,E,0.287,0.285,0.285,0.287,1oxn
  73,1se0_B_A-B_0,A,0.281,0.274,0.274,0.281,1se0
  74,5fox_C_A-C_0,A,0.283,0.163,0.163,0.283,5fox
  75,5sxm_D_B-D_1,B,0.343,0.155,0.155,0.343,5sxm
  76,3l81_B_A-B_0,A,0.339,0.172,0.172,0.339,3l81
  77,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.336,0.130,0.130,0.336,4tr9
  78,4ezn_C_A-B-C-D_0,A,0.319,0.168,0.168,0.319,4ezn
  79,1str_M_B-D-M-P_0,C,0.312,0.262,0.262,0.312,1str
  80,1str_M_B-D-M-P_0,B,0.308,0.255,0.255,0.308,1str
  81,2zjd_D_C-D_5,C,0.401,0.332,0.332,0.401,2zjd
  82,4cic_Q_A-B-Q_0,A,0.344,0.267,0.267,0.344,4cic
  83,4cic_Q_A-B-Q_0,B,0.317,0.253,0.253,0.317,4cic
  84,2ce9_X_A-B-X_0,A,0.317,0.131,0.131,0.317,2ce9
  85,3q47_C_B-C_0,B,0.280,0.220,0.220,0.280,3q47
  86,4pyw_B_A-B-C_0,A,0.357,0.140,0.140,0.357,4pyw
  87,6hpg_c_C-c_2,C,0.251,0.219,0.219,0.251,6hpg
  88,4gyo_C_A-B-C-D_0,B,0.287,0.104,0.104,0.287,4gyo
  89,3zin_C_A-B-C_0,A,0.263,0.084,0.084,0.263,3zin
  90,2d5w_C_A-C_0,A,0.369,0.094,0.094,0.369,2d5w
  91,1ok7_C_A-B-C_0,B,0.408,0.144,0.144,0.408,1ok7
  92,6cwp_F_A-B-F_0,A,0.355,0.154,0.154,0.355,6cwp
  93,6cwp_F_A-B-F_0,B,0.367,0.160,0.160,0.367,6cwp
  94,2fib_B_A-B_0,A,0.363,0.180,0.180,0.363,2fib
  95,1ddv_B_A-B_0,A,0.376,0.349,0.349,0.376,1ddv
  96,3rc5_B_A-B_0,A,0.360,0.210,0.210,0.360,3rc5
  97,3zvy_D_B-D_0,B,0.238,0.281,0.238,0.281,3zvy
  98,3gq1_C_A-C_0,A,0.325,0.344,0.325,0.344,3gq1
  99,3lca_Q_A-Q_0,A,0.266,0.080,0.080,0.266,3lca
