index,syst,chain,tm1,tm2,min,max,pdb
   0,5iag_D_A-B-D_0,A,0.272,0.251,0.251,0.272,5iag
   1,5xup_D_A-B-C-D_0,B,0.247,0.263,0.247,0.263,5xup
   2,2foj_B_A-B_0,A,0.260,0.361,0.260,0.361,2foj
   3,3ny3_B_A-B_0,A,0.156,0.337,0.156,0.337,3ny3
   4,1b05_B_A-B_0,A,0.354,0.183,0.183,0.354,1b05
   5,5d9g_C_A-C_0,A,0.286,0.258,0.258,0.286,5d9g
   6,2v17_A_A-H-L_0,L,0.243,0.243,0.243,0.243,2v17
   7,2v17_A_A-H-L_0,H,0.265,0.259,0.259,0.265,2v17
   8,1hsb_C_A-B-C_0,A,0.273,0.233,0.233,0.273,1hsb
   9,2b6n_B_A-B_0,A,0.253,0.211,0.211,0.253,2b6n
  10,1b46_B_A-B_0,A,0.352,0.182,0.182,0.352,1b46
  11,3psl_D_B-D_1,B,0.260,0.200,0.200,0.260,3psl
  12,3d9t_D_B-D_1,B,0.152,0.266,0.152,0.266,3d9t
  13,4ezw_E_A-E_0,A,1.000,1.000,1.000,1.000,4ezw
  14,5fox_C_A-C_0,A,0.265,0.259,0.259,0.265,5fox
  15,1qka_B_A-B_0,A,0.340,0.167,0.167,0.340,1qka
  16,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.273,0.235,0.235,0.273,5fjz
  17,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.259,0.225,0.225,0.259,5fjz
  18,5wir_D_A-B-C-D_0,B,0.256,0.264,0.256,0.264,5wir
  19,3rta_B_A-B_0,F,0.266,0.143,0.143,0.266,3rta
  20,3rta_B_A-B_0,A,0.266,0.143,0.143,0.266,3rta
  21,5fpk_C_A-C_0,A,0.271,0.259,0.259,0.271,5fpk
  22,1gyb_E_A-B-E-F_0,A,0.239,0.355,0.239,0.355,1gyb
  23,1gyb_E_A-B-E-F_0,B,0.242,0.364,0.242,0.364,1gyb
  24,5m5r_D_A-C-D_0,A,0.296,0.205,0.205,0.296,5m5r
  25,1h27_E_A-B-E_0,B,0.269,0.237,0.237,0.269,1h27
  26,4pxm_D_A-B-C-D_0,B,0.288,0.276,0.276,0.288,4pxm
  27,1nvs_B_A-B_0,A,0.278,0.240,0.240,0.278,1nvs
  28,2f5b_P_H-L-P_0,L,0.251,0.251,0.251,0.251,2f5b
  29,2f5b_P_H-L-P_0,H,0.276,0.261,0.261,0.276,2f5b
  30,6cd8_C_A-C_0,A,0.249,0.301,0.249,0.301,6cd8
  31,3cvl_B_A-B_0,A,0.292,0.231,0.231,0.292,3cvl
  32,3zvy_D_B-D_0,B,0.148,0.314,0.148,0.314,3zvy
  33,4es0_C_A-C_0,A,0.275,0.209,0.209,0.275,4es0
  34,5iz2_Z_A-B-Z_0,B,0.269,0.416,0.269,0.416,5iz2
  35,5xcr_F_D-E-F_1,D,0.296,0.369,0.296,0.369,5xcr
  36,5xcr_F_D-E-F_1,E,0.255,0.315,0.255,0.315,5xcr
  37,5elq_P_A-P_0,A,0.160,0.277,0.160,0.277,5elq
  38,2y7l_B_A-B_0,A,0.278,0.214,0.214,0.278,2y7l
  39,3upv_B_A-B_0,A,0.211,0.311,0.211,0.311,3upv
  40,1obz_P_A-B-P_0,A,0.243,0.292,0.243,0.292,1obz
  41,5m5u_G_A-E-G_0,A,0.294,0.203,0.203,0.294,5m5u
  42,5huw_B_A-B-C_0,C,0.258,0.151,0.151,0.258,5huw
  43,3q49_C_B-C_0,B,0.218,0.311,0.218,0.311,3q49
  44,4j77_D_B-D_1,B,0.275,0.216,0.216,0.275,4j77
  45,4ynl_C_A-B-C-D_0,A,0.172,0.398,0.172,0.398,4ynl
  46,4ynl_C_A-B-C-D_0,B,0.175,0.408,0.175,0.408,4ynl
  47,3srj_D_A-C-D_0,A,0.279,0.225,0.225,0.279,3srj
  48,2h59_D_A-B-D-E_0,A,0.249,0.227,0.227,0.249,2h59
  49,2h59_D_A-B-D-E_0,B,0.258,0.235,0.235,0.258,2h59
  50,1e4x_P_H-L-P_0,L,0.261,0.261,0.261,0.261,1e4x
  51,1e4x_P_H-L-P_0,H,0.268,0.266,0.266,0.268,1e4x
  52,4odk_C_A-B-C_0,A,0.206,0.263,0.206,0.263,4odk
  53,4o4y_A_A-H-L_0,L,0.247,0.244,0.244,0.247,4o4y
  54,4o4y_A_A-H-L_0,H,0.249,0.249,0.249,0.249,4o4y
  55,3fp2_Q_A-Q_0,A,0.332,0.171,0.171,0.332,3fp2
  56,4g69_B_A-B_0,A,0.183,0.342,0.183,0.342,4g69
  57,3fwv_C_A-C_0,A,0.228,0.334,0.228,0.334,3fwv
  58,2v5f_X_A-X_0,A,0.200,0.387,0.200,0.387,2v5f
  59,3nii_B_A-B_0,A,0.183,0.352,0.183,0.352,3nii
  60,4ezq_B_A-B_1,A,0.930,0.922,0.922,0.930,4ezq
  61,4faf_D_A-B-D_0,A,0.219,0.381,0.219,0.381,4faf
  62,4faf_D_A-B-D_0,B,0.220,0.376,0.220,0.376,4faf
  63,3wor_C_A-B-C-D_0,A,0.400,0.158,0.158,0.400,3wor
  64,5fow_E_A-E_0,A,0.270,0.263,0.263,0.270,5fow
  65,1b9j_B_A-B_0,A,0.349,0.173,0.173,0.349,1b9j
  66,4j81_C_B-C_1,B,0.280,0.222,0.222,0.280,4j81
  67,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.237,0.360,0.237,0.360,1kl5
  68,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.235,0.356,0.235,0.356,1kl5
  69,3hds_E_A-D-E_0,D,0.210,0.320,0.210,0.320,3hds
  70,3hds_E_A-D-E_0,A,0.181,0.297,0.181,0.297,3hds
  71,4k76_G_C-G_2,C,0.186,0.346,0.186,0.346,4k76
  72,1ok7_C_A-B-C_0,B,0.288,0.198,0.198,0.288,1ok7
  73,2ql9_G_A-B-C-D-E-F-G_0,D,0.202,0.363,0.202,0.363,2ql9
  74,2ql9_G_A-B-C-D-E-F-G_0,A,0.201,0.279,0.201,0.279,2ql9
  75,2ql9_G_A-B-C-D-E-F-G_0,C,0.203,0.280,0.203,0.280,2ql9
  76,2ql9_G_A-B-C-D-E-F-G_0,B,0.184,0.341,0.184,0.341,2ql9
  77,4j46_B_A-B_0,A,0.161,0.303,0.161,0.303,4j46
  78,4k72_C_A-C_0,A,0.182,0.345,0.182,0.345,4k72
  79,5oj5_B_A-B_0,A,0.276,0.210,0.210,0.276,5oj5
  80,5tu5_B_A-B_0,A,0.240,0.190,0.190,0.240,5tu5
  81,5lyn_C_A-B-C-D_0,A,0.218,0.301,0.218,0.301,5lyn
  82,5lyn_C_A-B-C-D_0,B,0.220,0.305,0.220,0.305,5lyn
  83,2h2f_B_A-B_0,A,0.241,0.227,0.227,0.241,2h2f
  84,3v43_Q_A-Q_0,A,0.201,0.319,0.201,0.319,3v43
  85,3m5n_F_B-F_1,B,0.243,0.255,0.243,0.255,3m5n
  86,1fch_C_A-B-C-D_2,F,0.265,0.208,0.208,0.265,1fch
  87,1fch_C_A-B-C-D_2,A,0.262,0.200,0.200,0.262,1fch
  88,4ba3_B_A-B_0,A,0.252,0.148,0.148,0.252,4ba3
  89,3oqs_B_A-B_0,A,0.253,0.151,0.151,0.253,3oqs
  90,2h9m_D_C-D_1,C,0.275,0.208,0.208,0.275,2h9m
  91,1lvm_C_A-C-E_0,A,0.282,0.269,0.269,0.282,1lvm
  92,1sua_C_A-C_0,A,0.279,0.239,0.239,0.279,1sua
  93,3lca_Q_A-Q_0,A,0.295,0.153,0.153,0.295,3lca
  94,4c2c_B_A-B-C_0,A,0.345,0.208,0.208,0.345,4c2c
  95,1vwa_M_B-D-M-P_0,C,0.260,0.396,0.260,0.396,1vwa
  96,1vwa_M_B-D-M-P_0,B,0.243,0.360,0.243,0.360,1vwa
  97,4ny3_C_A-C_0,A,0.272,0.209,0.209,0.272,4ny3
  98,5jjm_G_A-G-M_0,A,0.250,0.220,0.220,0.250,5jjm
  99,3shb_B_A-B_0,A,0.149,0.326,0.149,0.326,3shb
 100,3soq_Z_A-Z_0,A,0.278,0.215,0.215,0.278,3soq
 101,2i3h_C_A-C_0,A,0.155,0.285,0.155,0.285,2i3h
 102,1b5i_B_A-B_0,A,0.333,0.177,0.177,0.333,1b5i
 103,2fop_B_A-B_0,A,0.261,0.360,0.261,0.360,2fop
 104,1s2k_B_A-B_0,A,0.356,0.375,0.356,0.375,1s2k
 105,5ovc_B_A-B_0,A,0.174,0.295,0.174,0.295,5ovc
 106,5kzt_C_A-C_0,A,0.323,0.173,0.173,0.323,5kzt
 107,1b5j_B_A-B_0,A,0.306,0.162,0.162,0.306,1b5j
 108,6hpg_c_C-c_2,C,0.201,0.326,0.201,0.326,6hpg
 109,3thk_C_A-C_0,A,0.149,0.371,0.149,0.371,3thk
 110,5jiu_C_A-B-C-D_0,A,0.337,0.343,0.337,0.343,5jiu
 111,2zjd_D_C-D_5,C,0.220,0.326,0.220,0.326,2zjd
 112,5huy_B_A-B-C_0,C,0.261,0.152,0.152,0.261,5huy
 113,3f6k_N_A-N_0,A,0.308,0.131,0.131,0.308,3f6k
 114,4hxj_C_A-C_0,A,0.159,0.457,0.159,0.457,4hxj
 115,3ifo_P_H-L-P_0,L,0.243,0.240,0.240,0.243,3ifo
 116,3ifo_P_H-L-P_0,H,0.278,0.276,0.276,0.278,3ifo
