index,syst,chain,tm1,tm2,min,max,pdb
   0,4k3m_E_A-B-E_0,A,0.292,0.223,0.223,0.292,4k3m
   1,3m5o_C_A-C_0,A,0.252,0.295,0.252,0.295,3m5o
   2,5t6p_E_C-D-E_1,D,0.255,0.297,0.255,0.297,5t6p
   3,5t6p_E_C-D-E_1,C,0.250,0.278,0.250,0.278,5t6p
   4,4k76_G_C-G_2,C,0.172,0.336,0.172,0.336,4k76
   5,3njj_B_A-B_0,A,0.200,0.336,0.200,0.336,3njj
   6,1a7c_B_A-B-C_0,A,0.280,0.213,0.213,0.280,1a7c
   7,3ebb_F_A-B-E-F_0,B,0.274,0.265,0.265,0.274,3ebb
   8,1d00_I_A-I_0,A,0.296,0.390,0.296,0.390,1d00
   9,5oav_B_A-B_0,A,0.127,0.359,0.127,0.359,5oav
  10,3gq1_C_A-C_0,A,0.153,0.313,0.153,0.313,3gq1
  11,4o4y_A_A-H-L_0,L,0.239,0.261,0.239,0.261,4o4y
  12,4o4y_A_A-H-L_0,H,0.254,0.285,0.254,0.285,4o4y
  13,3srj_D_A-C-D_0,A,0.275,0.244,0.244,0.275,3srj
  14,3f6k_N_A-N_0,A,0.362,0.175,0.175,0.362,3f6k
  15,3ziq_B_A-B-C_0,A,0.305,0.205,0.205,0.305,3ziq
  16,5iza_B_A-B_0,A,0.323,0.258,0.258,0.323,5iza
  17,1b5j_B_A-B_0,A,0.351,0.205,0.205,0.351,1b5j
  18,1ghb_P_E-F-G-P_0,F,0.236,0.372,0.236,0.372,1ghb
  19,1ghb_P_E-F-G-P_0,G,0.178,0.355,0.178,0.355,1ghb
  20,1ghb_P_E-F-G-P_0,C,0.178,0.355,0.178,0.355,1ghb
  21,1ghb_P_E-F-G-P_0,B,0.236,0.372,0.236,0.372,1ghb
  22,5grg_D_A-B-C-D_0,A,0.242,0.227,0.227,0.242,5grg
  23,4ezw_E_A-E_0,A,0.233,0.260,0.233,0.260,4ezw
  24,4k3r_E_A-B-E_0,A,0.281,0.217,0.217,0.281,4k3r
  25,5nqv_G_A-C-E-G_0,C,0.237,0.286,0.237,0.286,5nqv
  26,1yti_I_A-I_0,A,0.180,0.347,0.180,0.347,1yti
  27,1yti_I_A-I_0,B,0.180,0.347,0.180,0.347,1yti
  28,5fpk_C_A-C_0,A,0.276,0.294,0.276,0.294,5fpk
  29,3zvy_D_B-D_0,B,0.155,0.354,0.155,0.354,3zvy
  30,4mvk_B_A-B_0,A,0.309,0.411,0.309,0.411,4mvk
  31,4ny3_C_A-C_0,A,0.318,0.280,0.280,0.318,4ny3
  32,3agy_C_A-B-C-D-F_0,A,0.204,0.261,0.204,0.261,3agy
  33,2wa8_D_C-D_1,C,0.163,0.319,0.163,0.319,2wa8
  34,5fox_C_A-C_0,A,0.281,0.305,0.281,0.305,5fox
  35,6fqc_E_A-B-D-E_0,A,0.294,0.239,0.239,0.294,6fqc
  36,1yth_I_A-B-I_0,A,0.175,0.335,0.175,0.335,1yth
  37,1yth_I_A-B-I_0,B,0.177,0.334,0.177,0.334,1yth
