index,syst,chain,tm1,tm2,min,max,pdb
   0,3nil_X_D-X_2,D,0.130,0.291,0.130,0.291,3nil
   1,3cvl_B_A-B_0,A,0.457,0.420,0.420,0.457,3cvl
   2,4k76_G_C-G_2,C,0.132,0.283,0.132,0.283,4k76
   3,1svz_C_A-B-C-D_0,A,0.257,0.280,0.257,0.280,1svz
   4,1nvs_B_A-B_0,A,0.286,0.285,0.285,0.286,1nvs
   5,5fpk_C_A-C_0,A,0.314,0.349,0.314,0.349,5fpk
   6,3ufm_B_A-B_0,A,0.275,0.304,0.275,0.304,3ufm
   7,1ddv_B_A-B_0,A,0.175,0.348,0.175,0.348,1ddv
   8,2orz_B_A-B_0,A,0.270,0.239,0.239,0.270,2orz
   9,4ouc_B_A-B_0,A,0.308,0.259,0.259,0.308,4ouc
  10,1ok7_C_A-B-C_0,B,0.257,0.202,0.202,0.257,1ok7
  11,4x2h_C_A-B-C_0,A,0.194,0.241,0.194,0.241,4x2h
  12,5d9g_C_A-C_0,A,0.237,0.247,0.237,0.247,5d9g
  13,4xi7_C_A-C_0,A,0.287,0.229,0.229,0.287,4xi7
  14,4ztd_F_A-B-C-D-E-F_0,C,0.221,0.227,0.221,0.227,4ztd
  15,4pyw_B_A-B-C_0,A,0.244,0.195,0.195,0.244,4pyw
  16,1sua_C_A-C_0,A,0.333,0.332,0.332,0.333,1sua
  17,1hsb_C_A-B-C_0,A,0.262,0.256,0.256,0.262,1hsb
  18,1oxn_F_E-F_7,E,0.182,0.391,0.182,0.391,1oxn
  19,2foj_B_A-B_0,A,0.181,0.286,0.181,0.286,2foj
  20,1d0a_G_A-B-C-G-H-I_0,A,0.226,0.307,0.226,0.307,1d0a
  21,2v5w_G_B-G-L_1,B,0.347,0.271,0.271,0.347,2v5w
  22,4gne_B_A-B_0,A,0.166,0.328,0.166,0.328,4gne
  23,4iim_E_A-B-C-D-E_0,B,0.113,0.328,0.113,0.328,4iim
  24,4sga_P_E-P_0,E,0.196,0.251,0.196,0.251,4sga
  25,3srj_D_A-C-D_0,A,0.304,0.279,0.279,0.304,3srj
  26,4jor_D_B-D_1,B,0.126,0.263,0.126,0.263,4jor
  27,5oav_B_A-B_0,A,0.117,0.342,0.117,0.342,5oav
  28,3t70_F_A-B-C-F_0,A,0.187,0.270,0.187,0.270,3t70
  29,3t70_F_A-B-C-F_0,B,0.185,0.291,0.185,0.291,3t70
  30,4dgb_B_A-B_0,A,0.186,0.254,0.186,0.254,4dgb
  31,4jjq_B_A-B_0,A,0.181,0.288,0.181,0.288,4jjq
  32,1b4z_B_A-B_0,A,0.292,0.178,0.178,0.292,1b4z
  33,1czy_D_A-B-C-D-E_0,A,0.229,0.315,0.229,0.315,1czy
  34,4c2g_B_A-B-C_0,A,0.326,0.228,0.228,0.326,4c2g
  35,1b5j_B_A-B_0,A,0.288,0.175,0.175,0.288,1b5j
  36,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.170,0.371,0.170,0.371,1xb0
  37,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.170,0.369,0.170,0.369,1xb0
  38,4ny3_C_A-C_0,A,0.340,0.308,0.308,0.340,4ny3
  39,1uop_B_A-B_0,A,0.384,0.177,0.177,0.384,1uop
