index,syst,chain,tm1,tm2,min,max,pdb
   0,4od7_E_C-E_2,C,0.279,0.255,0.255,0.279,4od7
   1,4r5i_B_A-B_0,A,0.289,0.238,0.238,0.289,4r5i
   2,3nim_X_F-X_3,F,0.180,0.288,0.180,0.288,3nim
   3,3nfl_G_B-C-F-G_5,C,0.455,0.793,0.455,0.793,3nfl
   4,3hds_E_A-D-E_0,D,0.234,0.308,0.234,0.308,3hds
   5,3hds_E_A-D-E_0,A,0.244,0.317,0.244,0.317,3hds
   6,3ifo_P_H-L-P_0,L,0.268,0.224,0.224,0.268,3ifo
   7,3ifo_P_H-L-P_0,H,0.294,0.244,0.244,0.294,3ifo
   8,2v3s_C_B-C_1,B,0.210,0.309,0.210,0.309,2v3s
   9,4wnn_T_C-D-T_3,D,0.206,0.290,0.206,0.290,4wnn
  10,4wnn_T_C-D-T_3,C,0.209,0.325,0.209,0.325,4wnn
  11,5wun_C_A-B-C_0,A,0.279,0.138,0.138,0.279,5wun
  12,6ew9_P_A-B-C-P-Q-R_0,A,0.386,0.217,0.217,0.386,6ew9
  13,3oqs_B_A-B_0,A,0.282,0.139,0.139,0.282,3oqs
  14,5fow_E_A-E_0,A,0.299,0.243,0.243,0.299,5fow
  15,5azf_C_A-C_0,A,0.262,0.327,0.262,0.327,5azf
  16,4k76_G_C-G_2,C,0.454,0.792,0.454,0.792,4k76
  17,1yth_I_A-B-I_0,A,0.204,0.289,0.204,0.289,1yth
  18,1yth_I_A-B-I_0,B,0.205,0.276,0.205,0.276,1yth
  19,3ebb_F_A-B-E-F_0,B,0.296,0.209,0.209,0.296,3ebb
  20,4faf_D_A-B-D_0,A,0.204,0.288,0.204,0.288,4faf
  21,4faf_D_A-B-D_0,B,0.205,0.292,0.205,0.292,4faf
  22,5xup_D_A-B-C-D_0,B,0.256,0.227,0.227,0.256,5xup
  23,5tu5_B_A-B_0,A,0.340,0.218,0.218,0.340,5tu5
  24,6cwp_F_A-B-F_0,A,0.297,0.194,0.194,0.297,6cwp
  25,6cwp_F_A-B-F_0,B,0.287,0.184,0.184,0.287,6cwp
  26,2nph_S_A-B-S-T_0,A,0.204,0.289,0.204,0.289,2nph
  27,2nph_S_A-B-S-T_0,B,0.204,0.289,0.204,0.289,2nph
  28,3rta_B_A-B_0,F,0.361,0.160,0.160,0.361,3rta
  29,3rta_B_A-B_0,A,0.361,0.160,0.160,0.361,3rta
  30,1mfl_B_A-B_0,A,0.454,0.742,0.454,0.742,1mfl
  31,3g19_C_A-C_0,A,0.207,0.312,0.207,0.312,3g19
  32,2fop_B_A-B_0,A,0.296,0.340,0.296,0.340,2fop
  33,5y53_F_C-E-F_1,C,0.214,0.250,0.214,0.250,5y53
  34,5y53_F_C-E-F_1,E,0.209,0.242,0.209,0.242,5y53
  35,2ce9_X_A-B-X_0,A,0.290,0.169,0.169,0.290,2ce9
  36,5elq_P_A-P_0,A,0.436,0.719,0.436,0.719,5elq
  37,4mz6_A_A-C-E_0,E,0.284,0.138,0.138,0.284,4mz6
  38,3vqg_B_A-B_0,A,0.449,0.802,0.449,0.802,3vqg
  39,1b32_B_A-B_0,A,0.366,0.157,0.157,0.366,1b32
  40,3fp4_Q_A-Q_0,A,0.282,0.124,0.124,0.282,3fp4
  41,3rte_B_A-B_0,G,0.355,0.159,0.159,0.355,3rte
  42,3rte_B_A-B_0,A,0.355,0.159,0.159,0.355,3rte
  43,1sem_C_A-B-C-D_0,A,0.172,0.361,0.172,0.361,1sem
  44,4que_E_A-C-D-E-H-J_0,A,0.303,0.239,0.239,0.303,4que
  45,4k3m_E_A-B-E_0,A,0.391,0.223,0.223,0.391,4k3m
  46,2dze_X_A-B-X_0,A,0.281,0.286,0.281,0.286,2dze
  47,2dze_X_A-B-X_0,B,0.284,0.288,0.284,0.288,2dze
  48,1ok7_C_A-B-C_0,B,0.395,0.224,0.224,0.395,1ok7
  49,1a30_C_A-B-C_0,A,0.198,0.276,0.198,0.276,1a30
  50,1a30_C_A-B-C_0,B,0.201,0.282,0.201,0.282,1a30
  51,4o4y_A_A-H-L_0,L,0.267,0.219,0.219,0.267,4o4y
  52,4o4y_A_A-H-L_0,H,0.300,0.253,0.253,0.300,4o4y
  53,1uoq_B_A-B_0,A,0.322,0.103,0.103,0.322,1uoq
  54,1b4z_B_A-B_0,A,0.364,0.156,0.156,0.364,1b4z
  55,4m38_E_A-B-E-F_0,A,0.325,0.198,0.198,0.325,4m38
  56,2r9q_X_A-C-X_1,C,0.354,0.214,0.214,0.354,2r9q
  57,2f5b_P_H-L-P_0,L,0.296,0.248,0.248,0.296,2f5b
  58,2f5b_P_H-L-P_0,H,0.293,0.230,0.230,0.293,2f5b
  59,3cww_E_A-B-D-E_0,A,0.326,0.083,0.083,0.326,3cww
  60,4f74_C_A-B-C_0,A,0.203,0.288,0.203,0.288,4f74
  61,4f74_C_A-B-C_0,B,0.202,0.286,0.202,0.286,4f74
  62,1czy_D_A-B-C-D-E_0,A,0.263,0.258,0.258,0.263,1czy
  63,5grg_D_A-B-C-D_0,A,0.308,0.220,0.220,0.308,5grg
  64,6fkp_G_C-G_2,C,0.146,0.304,0.146,0.304,6fkp
  65,3njj_B_A-B_0,A,0.220,0.282,0.220,0.282,3njj
