index,syst,chain,tm1,tm2,min,max,pdb
   0,3ziq_B_A-B-C_0,A,0.272,0.084,0.084,0.272,3ziq
   1,5fch_C_A-B-C_0,A,0.368,0.136,0.136,0.368,5fch
   2,5fch_C_A-B-C_0,B,0.348,0.135,0.135,0.348,5fch
   3,3agy_C_A-B-C-D-F_0,A,0.319,0.214,0.214,0.319,3agy
   4,3zvy_D_B-D_0,B,0.260,0.330,0.260,0.330,3zvy
   5,3v43_Q_A-Q_0,A,0.278,0.258,0.258,0.278,3v43
   6,1sts_P_B-D-M-P_0,D,0.332,0.293,0.293,0.332,1sts
   7,1sts_P_B-D-M-P_0,A,0.331,0.289,0.289,0.331,1sts
   8,3soq_Z_A-Z_0,A,0.318,0.149,0.149,0.318,3soq
   9,1se0_B_A-B_0,A,0.292,0.296,0.292,0.296,1se0
  10,4k3q_E_A-B-E_0,A,0.306,0.122,0.122,0.306,4k3q
  11,4k3p_E_A-B-E_0,A,0.304,0.122,0.122,0.304,4k3p
  12,5zw6_C_A-B-C-D_0,A,0.314,0.119,0.119,0.314,5zw6
  13,4ba3_B_A-B_0,A,0.293,0.101,0.101,0.293,4ba3
  14,3cvl_B_A-B_0,A,0.370,0.167,0.167,0.370,3cvl
  15,2g30_S_A-P-S_0,A,0.348,0.188,0.188,0.348,2g30
  16,2y7l_B_A-B_0,A,0.361,0.166,0.166,0.361,2y7l
  17,1w9e_S_A-B-R-S-T_0,B,0.276,0.205,0.205,0.276,1w9e
  18,4m38_E_A-B-E-F_0,A,0.354,0.140,0.140,0.354,4m38
  19,2v3s_C_B-C_1,B,0.322,0.329,0.322,0.329,2v3s
  20,3rc4_B_A-B_0,A,0.417,0.249,0.249,0.417,3rc4
  21,5iag_D_A-B-D_0,A,0.311,0.173,0.173,0.311,5iag
  22,3psl_D_B-D_1,B,0.314,0.153,0.153,0.314,3psl
  23,1b58_B_A-B_0,A,0.353,0.107,0.107,0.353,1b58
  24,3shb_B_A-B_0,A,0.252,0.315,0.252,0.315,3shb
  25,5v5p_A_A-B-C_0,C,0.281,0.095,0.095,0.281,5v5p
  26,1b5i_B_A-B_0,A,0.350,0.108,0.108,0.350,1b5i
  27,1hsb_C_A-B-C_0,A,0.276,0.146,0.146,0.276,1hsb
  28,3l81_B_A-B_0,A,0.335,0.167,0.167,0.335,3l81
  29,4nnm_C_A-C_0,A,0.269,0.251,0.251,0.269,4nnm
  30,2fop_B_A-B_0,A,0.338,0.280,0.280,0.338,2fop
  31,2wa8_D_C-D_1,C,0.250,0.244,0.244,0.250,2wa8
  32,3m5n_F_B-F_1,B,0.324,0.202,0.202,0.324,3m5n
  33,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.302,0.318,0.302,0.318,1xb0
  34,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.300,0.315,0.300,0.315,1xb0
  35,5y53_F_C-E-F_1,C,0.324,0.270,0.270,0.324,5y53
  36,5y53_F_C-E-F_1,E,0.324,0.271,0.271,0.324,5y53
  37,1kyd_P_A-P_0,A,0.360,0.189,0.189,0.360,1kyd
  38,3uoa_L_B-C-L-M_0,B,0.291,0.110,0.110,0.291,3uoa
