index,syst,chain,tm1,tm2,min,max,pdb
   0,2v5w_G_B-G-L_1,B,0.320,0.133,0.133,0.320,2v5w
   1,1olc_B_A-B_0,A,0.333,0.108,0.108,0.333,1olc
   2,2foo_B_A-B_0,A,0.322,0.290,0.290,0.322,2foo
   3,3ziq_B_A-B-C_0,A,0.337,0.113,0.113,0.337,3ziq
   4,3zvy_D_B-D_0,B,0.198,0.264,0.198,0.264,3zvy
   5,4od7_E_C-E_2,C,0.309,0.210,0.210,0.309,4od7
   6,4ouc_B_A-B_0,A,0.365,0.176,0.176,0.365,4ouc
   7,3t64_F_A-B-C-F_0,A,0.351,0.292,0.292,0.351,3t64
   8,3t64_F_A-B-C-F_0,B,0.336,0.306,0.306,0.336,3t64
   9,4bjt_E_B-E_2,B,0.315,0.259,0.259,0.315,4bjt
  10,4cic_Q_A-B-Q_0,A,0.291,0.255,0.255,0.291,4cic
  11,4cic_Q_A-B-Q_0,B,0.278,0.248,0.248,0.278,4cic
  12,4v3i_B_A-B_0,A,0.315,0.266,0.266,0.315,4v3i
  13,3nim_X_F-X_3,F,0.244,0.305,0.244,0.305,3nim
  14,5y53_F_C-E-F_1,C,0.333,0.308,0.308,0.333,5y53
  15,5y53_F_C-E-F_1,E,0.329,0.303,0.303,0.329,5y53
  16,1lvm_C_A-C-E_0,A,0.291,0.179,0.179,0.291,1lvm
  17,5wir_D_A-B-C-D_0,B,0.327,0.224,0.224,0.327,5wir
  18,2h9m_D_C-D_1,C,0.319,0.150,0.150,0.319,2h9m
  19,2orz_B_A-B_0,A,0.355,0.172,0.172,0.355,2orz
  20,2v3s_C_B-C_1,B,0.318,0.366,0.318,0.366,2v3s
  21,4ezy_B_A-B_2,A,0.311,0.207,0.207,0.311,4ezy
  22,3njj_B_A-B_0,A,0.390,0.404,0.390,0.404,3njj
  23,5ovv_B_A-B_0,A,0.249,0.276,0.249,0.276,5ovv
  24,4gne_B_A-B_0,A,0.215,0.236,0.215,0.236,4gne
  25,4z88_V_J-V_1,J,0.282,0.404,0.282,0.404,4z88
  26,2ce9_X_A-B-X_0,A,0.348,0.162,0.162,0.348,2ce9
  27,1a30_C_A-B-C_0,A,0.240,0.262,0.240,0.262,1a30
  28,1a30_C_A-B-C_0,B,0.241,0.263,0.241,0.263,1a30
  29,2fop_B_A-B_0,A,0.322,0.290,0.290,0.322,2fop
  30,5elq_P_A-P_0,A,0.257,0.295,0.257,0.295,5elq
  31,4fii_B_A-B_0,A,0.400,0.195,0.195,0.400,4fii
  32,5d9g_C_A-C_0,A,0.327,0.194,0.194,0.327,5d9g
  33,3wor_C_A-B-C-D_0,A,0.355,0.101,0.101,0.355,3wor
  34,4j46_B_A-B_0,A,0.260,0.319,0.260,0.319,4j46
  35,4j8b_B_A-B_0,A,0.275,0.147,0.147,0.275,4j8b
  36,5xup_D_A-B-C-D_0,B,0.311,0.221,0.221,0.311,5xup
  37,3lca_Q_A-Q_0,A,0.327,0.108,0.108,0.327,3lca
  38,2foj_B_A-B_0,A,0.321,0.290,0.290,0.321,2foj
  39,2zgh_B_A-B_0,A,0.307,0.196,0.196,0.307,2zgh
  40,1jwg_D_B-D_1,B,0.301,0.263,0.263,0.301,1jwg
  41,3rc4_B_A-B_0,A,0.268,0.188,0.188,0.268,3rc4
  42,1yth_I_A-B-I_0,A,0.247,0.271,0.247,0.271,1yth
  43,1yth_I_A-B-I_0,B,0.243,0.267,0.243,0.267,1yth
  44,6cdg_B_A-B_0,A,0.338,0.265,0.265,0.338,6cdg
  45,5lyn_C_A-B-C-D_0,A,0.268,0.244,0.244,0.268,5lyn
  46,5lyn_C_A-B-C-D_0,B,0.268,0.243,0.243,0.268,5lyn
  47,4nnm_C_A-C_0,A,0.257,0.264,0.257,0.264,4nnm
  48,5wun_C_A-B-C_0,A,0.326,0.117,0.117,0.326,5wun
  49,4ikn_B_A-B_0,A,0.421,0.219,0.219,0.421,4ikn
  50,3q49_C_B-C_0,B,0.266,0.243,0.243,0.266,3q49
  51,5iag_D_A-B-D_0,A,0.324,0.200,0.200,0.324,5iag
  52,4ny3_C_A-C_0,A,0.410,0.209,0.209,0.410,4ny3
  53,1b5i_B_A-B_0,A,0.326,0.106,0.106,0.326,1b5i
  54,4pxm_D_A-B-C-D_0,B,0.408,0.256,0.256,0.408,4pxm
  55,1vwa_M_B-D-M-P_0,C,0.326,0.317,0.317,0.326,1vwa
  56,1vwa_M_B-D-M-P_0,B,0.310,0.298,0.298,0.310,1vwa
  57,5grg_D_A-B-C-D_0,A,0.307,0.162,0.162,0.307,5grg
  58,4g69_B_A-B_0,A,0.285,0.325,0.285,0.325,4g69
  59,5tu5_B_A-B_0,A,0.364,0.188,0.188,0.364,5tu5
  60,3v43_Q_A-Q_0,A,0.210,0.215,0.210,0.215,3v43
  61,5lb7_C_A-B-C_0,A,0.297,0.232,0.232,0.297,5lb7
  62,5lb7_C_A-B-C_0,B,0.292,0.407,0.292,0.407,5lb7
  63,1b4z_B_A-B_0,A,0.405,0.129,0.129,0.405,1b4z
  64,3f6k_N_A-N_0,A,0.352,0.086,0.086,0.352,3f6k
  65,1uop_B_A-B_0,A,0.356,0.080,0.080,0.356,1uop
  66,4ba3_B_A-B_0,A,0.336,0.113,0.113,0.336,4ba3
  67,1sts_P_B-D-M-P_0,D,0.325,0.315,0.315,0.325,1sts
  68,1sts_P_B-D-M-P_0,A,0.313,0.301,0.301,0.313,1sts
  69,3ivq_D_B-D_1,B,0.326,0.291,0.291,0.326,3ivq
  70,2nph_S_A-B-S-T_0,A,0.239,0.260,0.239,0.260,2nph
  71,2nph_S_A-B-S-T_0,B,0.238,0.260,0.238,0.260,2nph
  72,1b05_B_A-B_0,A,0.326,0.105,0.105,0.326,1b05
  73,1gyb_E_A-B-E-F_0,A,0.319,0.308,0.308,0.319,1gyb
  74,1gyb_E_A-B-E-F_0,B,0.294,0.285,0.285,0.294,1gyb
  75,4b3b_C_A-C_0,A,0.348,0.214,0.214,0.348,4b3b
  76,5iza_B_A-B_0,A,0.321,0.143,0.143,0.321,5iza
  77,1a7c_B_A-B-C_0,A,0.441,0.184,0.184,0.441,1a7c
  78,1rzx_B_A-B_0,A,0.259,0.286,0.259,0.286,1rzx
  79,3d9t_D_B-D_1,B,0.253,0.287,0.253,0.287,3d9t
  80,3gv4_H_A-H_0,A,0.276,0.306,0.276,0.306,3gv4
  81,2b6n_B_A-B_0,A,0.318,0.167,0.167,0.318,2b6n
  82,4ztd_F_A-B-C-D-E-F_0,C,0.273,0.166,0.166,0.273,4ztd
  83,5fox_C_A-C_0,A,0.347,0.217,0.217,0.347,5fox
  84,3cvl_B_A-B_0,A,0.325,0.166,0.166,0.325,3cvl
  85,5fow_E_A-E_0,A,0.337,0.214,0.214,0.337,5fow
  86,4j81_C_B-C_1,B,0.281,0.147,0.147,0.281,4j81
  87,4k76_G_C-G_2,C,0.227,0.267,0.227,0.267,4k76
  88,3agy_C_A-B-C-D-F_0,A,0.252,0.188,0.188,0.252,3agy
  89,1b58_B_A-B_0,A,0.322,0.103,0.103,0.322,1b58
  90,4o4y_A_A-H-L_0,L,0.377,0.239,0.239,0.377,4o4y
  91,4o4y_A_A-H-L_0,H,0.379,0.243,0.243,0.379,4o4y
  92,6eja_B_A-B_0,A,0.358,0.096,0.096,0.358,6eja
  93,6cdc_C_A-C_0,A,0.340,0.271,0.271,0.340,6cdc
  94,2hl3_C_A-B-C_0,A,0.170,0.231,0.170,0.231,2hl3
  95,2hl3_C_A-B-C_0,B,0.223,0.288,0.223,0.288,2hl3
  96,3drj_B_A-B_0,A,0.389,0.116,0.116,0.389,3drj
  97,1kyf_P_A-P_0,A,0.396,0.231,0.231,0.396,1kyf
  98,3tcg_I_A-I_0,A,0.405,0.129,0.129,0.405,3tcg
