index,syst,chain,tm1,tm2,min,max,pdb
   0,3gv4_H_A-H_0,A,0.061,0.349,0.061,0.349,3gv4
   1,3ou3_C_A-B-C_0,A,0.054,0.311,0.054,0.311,3ou3
   2,3ou3_C_A-B-C_0,B,0.054,0.311,0.054,0.311,3ou3
   3,3sxu_C_A-B-C_0,A,0.084,0.369,0.084,0.369,3sxu
   4,5m5r_D_A-C-D_0,A,0.146,0.298,0.146,0.298,5m5r
   5,3zin_C_A-B-C_0,A,0.160,0.300,0.160,0.300,3zin
   6,3nil_X_D-X_2,D,0.054,0.383,0.054,0.383,3nil
   7,5jjm_G_A-G-M_0,A,0.116,0.313,0.116,0.313,5jjm
   8,4iim_E_A-B-C-D-E_0,B,0.040,0.354,0.040,0.354,4iim
   9,4zhb_B_A-B_0,A,0.064,0.399,0.064,0.399,4zhb
  10,4od7_E_C-E_2,C,0.103,0.368,0.103,0.368,4od7
  11,2ce9_X_A-B-X_0,A,0.146,0.327,0.146,0.327,2ce9
  12,4k76_G_C-G_2,C,0.054,0.333,0.054,0.333,4k76
  13,1wcy_C_A-B-C-D_0,A,0.265,0.326,0.265,0.326,1wcy
  14,1e4x_P_H-L-P_0,L,0.132,0.417,0.132,0.417,1e4x
  15,1e4x_P_H-L-P_0,H,0.129,0.384,0.129,0.384,1e4x
  16,3mmg_C_A-C_0,A,0.103,0.306,0.103,0.306,3mmg
  17,4j8b_B_A-B_0,A,0.136,0.326,0.136,0.326,4j8b
  18,3nfk_D_A-B-C-D_2,B,0.058,0.340,0.058,0.340,3nfk
  19,5oj5_B_A-B_0,A,0.129,0.304,0.129,0.304,5oj5
  20,5iz2_Z_A-B-Z_0,B,0.091,0.494,0.091,0.494,5iz2
  21,3drh_B_A-B_0,A,0.201,0.295,0.201,0.295,3drh
  22,4z0u_D_A-D_0,A,0.083,0.342,0.083,0.342,4z0u
  23,4ynl_C_A-B-C-D_0,A,0.063,0.528,0.063,0.528,4ynl
  24,4ynl_C_A-B-C-D_0,B,0.062,0.537,0.062,0.537,4ynl
  25,4xal_B_A-B_0,A,0.057,0.374,0.057,0.374,4xal
  26,4g69_B_A-B_0,A,0.058,0.340,0.058,0.340,4g69
  27,4v3i_B_A-B_0,A,0.092,0.410,0.092,0.410,4v3i
  28,3q47_C_B-C_0,B,0.073,0.340,0.073,0.340,3q47
  29,3woo_C_A-B-C-D_0,A,0.228,0.288,0.228,0.288,3woo
  30,6hpg_c_C-c_2,C,0.079,0.391,0.079,0.391,6hpg
  31,1obz_P_A-B-P_0,A,0.080,0.310,0.080,0.310,1obz
  32,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.112,0.282,0.112,0.282,2z9i
  33,3nii_B_A-B_0,A,0.058,0.370,0.058,0.370,3nii
  34,2bgr_Y_A-B-Y-Z_0,A,0.255,0.313,0.255,0.313,2bgr
  35,1mfl_B_A-B_0,A,0.050,0.334,0.050,0.334,1mfl
  36,2h59_D_A-B-D-E_0,A,0.112,0.314,0.112,0.314,2h59
  37,2h59_D_A-B-D-E_0,B,0.111,0.314,0.111,0.314,2h59
  38,5wun_C_A-B-C_0,A,0.157,0.290,0.157,0.290,5wun
  39,3rte_B_A-B_0,G,0.168,0.276,0.168,0.276,3rte
  40,3rte_B_A-B_0,A,0.168,0.276,0.168,0.276,3rte
  41,4jop_C_A-C_0,A,0.044,0.322,0.044,0.322,4jop
  42,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.062,0.375,0.062,0.375,1xb0
  43,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.061,0.377,0.061,0.377,1xb0
  44,1str_M_B-D-M-P_0,C,0.071,0.355,0.071,0.355,1str
  45,1str_M_B-D-M-P_0,B,0.070,0.345,0.070,0.345,1str
  46,1b5i_B_A-B_0,A,0.186,0.296,0.186,0.296,1b5i
  47,4ezz_B_A-B_1,A,0.113,0.357,0.113,0.357,4ezz
  48,4j84_D_B-D_1,B,0.127,0.309,0.127,0.309,4j84
  49,2v3s_C_B-C_1,B,0.048,0.365,0.048,0.365,2v3s
  50,5m5v_G_A-E-G-I_0,A,0.158,0.329,0.158,0.329,5m5v
  51,4pz3_C_A-B-C_0,B,0.071,0.291,0.071,0.291,4pz3
  52,2i3h_C_A-C_0,A,0.055,0.328,0.055,0.328,2i3h
  53,5eyz_E_A-E_0,A,0.057,0.325,0.057,0.325,5eyz
  54,3lny_B_A-B_0,A,0.058,0.327,0.058,0.327,3lny
  55,3ivq_D_B-D_1,B,0.086,0.406,0.086,0.406,3ivq
  56,4rxh_A_A-B-C_0,B,0.158,0.302,0.158,0.302,4rxh
  57,4ouc_B_A-B_0,A,0.135,0.307,0.135,0.307,4ouc
  58,2wa8_D_C-D_1,C,0.070,0.458,0.070,0.458,2wa8
  59,3rt9_B_A-B_0,F,0.171,0.283,0.171,0.283,3rt9
  60,3rt9_B_A-B_0,A,0.171,0.283,0.171,0.283,3rt9
  61,4ezy_B_A-B_2,A,0.113,0.358,0.113,0.358,4ezy
  62,1w9e_S_A-B-R-S-T_0,B,0.083,0.326,0.083,0.326,1w9e
  63,4o4y_A_A-H-L_0,L,0.131,0.415,0.131,0.415,4o4y
  64,4o4y_A_A-H-L_0,H,0.106,0.341,0.106,0.341,4o4y
  65,2d5w_C_A-C_0,A,0.217,0.306,0.217,0.306,2d5w
  66,3drj_B_A-B_0,A,0.201,0.299,0.201,0.299,3drj
  67,2v5w_G_B-G-L_1,B,0.155,0.315,0.155,0.315,2v5w
  68,3oqs_B_A-B_0,A,0.150,0.272,0.150,0.272,3oqs
  69,1elr_B_A-B_0,A,0.079,0.394,0.079,0.394,1elr
  70,5fov_E_A-E_0,A,0.103,0.320,0.103,0.320,5fov
  71,1s2k_B_A-B_0,A,0.102,0.362,0.102,0.362,1s2k
  72,2v17_A_A-H-L_0,L,0.134,0.431,0.134,0.431,2v17
  73,2v17_A_A-H-L_0,H,0.136,0.421,0.136,0.421,2v17
  74,1kyd_P_A-P_0,A,0.116,0.317,0.116,0.317,1kyd
  75,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.076,0.387,0.076,0.387,1kl5
  76,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.076,0.391,0.076,0.391,1kl5
  77,3mqr_B_A-B_0,A,0.083,0.396,0.083,0.396,3mqr
  78,4c2c_B_A-B-C_0,A,0.184,0.327,0.184,0.327,4c2c
  79,5uw3_E_A-E_0,A,0.248,0.313,0.248,0.313,5uw3
  80,1yti_I_A-I_0,A,0.050,0.336,0.050,0.336,1yti
  81,1yti_I_A-I_0,B,0.050,0.336,0.050,0.336,1yti
  82,4b8o_C_A-B-C_0,A,0.159,0.305,0.159,0.305,4b8o
  83,4hxj_C_A-C_0,A,0.043,0.357,0.043,0.357,4hxj
  84,4ezq_B_A-B_1,A,0.115,0.355,0.115,0.355,4ezq
  85,4j86_C_A-C_0,A,0.131,0.319,0.131,0.319,4j86
  86,1vwa_M_B-D-M-P_0,C,0.078,0.392,0.078,0.392,1vwa
  87,1vwa_M_B-D-M-P_0,B,0.067,0.343,0.067,0.343,1vwa
  88,1b4z_B_A-B_0,A,0.173,0.277,0.173,0.277,1b4z
  89,3soq_Z_A-Z_0,A,0.119,0.275,0.119,0.275,3soq
  90,3nij_B_A-B_0,A,0.057,0.368,0.057,0.368,3nij
  91,4ba3_B_A-B_0,A,0.161,0.291,0.161,0.291,4ba3
  92,4j45_B_A-B_0,A,0.049,0.315,0.049,0.315,4j45
  93,1gyb_E_A-B-E-F_0,A,0.058,0.317,0.058,0.317,1gyb
  94,1gyb_E_A-B-E-F_0,B,0.066,0.323,0.066,0.323,1gyb
  95,5lyn_C_A-B-C-D_0,A,0.086,0.392,0.086,0.392,5lyn
  96,5lyn_C_A-B-C-D_0,B,0.087,0.397,0.087,0.397,5lyn
  97,4wnn_T_C-D-T_3,D,0.064,0.427,0.064,0.427,4wnn
  98,4wnn_T_C-D-T_3,C,0.057,0.410,0.057,0.410,4wnn
  99,4jwd_C_B-C_1,B,0.119,0.381,0.119,0.381,4jwd
 100,2b6n_B_A-B_0,A,0.103,0.259,0.103,0.259,2b6n
 101,4z8j_B_A-B_0,A,0.055,0.336,0.055,0.336,4z8j
 102,3ebb_F_A-B-E-F_0,B,0.131,0.345,0.131,0.345,3ebb
 103,4xi7_C_A-C_0,A,0.145,0.305,0.145,0.305,4xi7
 104,3nfl_G_B-C-F-G_5,C,0.055,0.334,0.055,0.334,3nfl
 105,1oby_Q_A-B-P-Q_0,A,0.046,0.344,0.046,0.344,1oby
 106,1oby_Q_A-B-P-Q_0,B,0.045,0.346,0.045,0.346,1oby
 107,1sua_C_A-C_0,A,0.113,0.312,0.113,0.312,1sua
 108,2h9m_D_C-D_1,C,0.126,0.293,0.126,0.293,2h9m
 109,3upv_B_A-B_0,A,0.082,0.413,0.082,0.413,3upv
 110,1b46_B_A-B_0,A,0.179,0.286,0.179,0.286,1b46
 111,1b58_B_A-B_0,A,0.178,0.284,0.178,0.284,1b58
 112,1jwg_D_B-D_1,B,0.084,0.400,0.084,0.400,1jwg
 113,3jrv_D_B-D_1,B,0.072,0.331,0.072,0.331,3jrv
 114,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.115,0.319,0.115,0.319,5fjz
 115,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.116,0.318,0.116,0.318,5fjz
 116,3rc5_B_A-B_0,A,0.095,0.322,0.095,0.322,3rc5
 117,5zw6_C_A-B-C-D_0,A,0.167,0.321,0.167,0.321,5zw6
 118,5y53_F_C-E-F_1,C,0.078,0.400,0.078,0.400,5y53
 119,5y53_F_C-E-F_1,E,0.079,0.403,0.079,0.403,5y53
 120,5m5t_E_A-E-G-I_0,A,0.160,0.331,0.160,0.331,5m5t
 121,5iag_D_A-B-D_0,A,0.110,0.328,0.110,0.328,5iag
 122,2v5f_X_A-X_0,A,0.064,0.362,0.064,0.362,2v5f
 123,2orz_B_A-B_0,A,0.129,0.289,0.129,0.289,2orz
 124,1b3g_B_A-B_0,A,0.186,0.296,0.186,0.296,1b3g
 125,3cww_E_A-B-D-E_0,A,1.000,1.000,1.000,1.000,3cww
 126,3nin_E_B-E_1,B,0.054,0.367,0.054,0.367,3nin
 127,5azf_C_A-C_0,A,0.072,0.374,0.072,0.374,5azf
 128,1sem_C_A-B-C-D_0,A,0.043,0.387,0.043,0.387,1sem
 129,5huw_B_A-B-C_0,C,0.156,0.285,0.156,0.285,5huw
 130,4mz6_A_A-C-E_0,E,0.162,0.302,0.162,0.302,4mz6
 131,3rc4_B_A-B_0,A,0.099,0.321,0.099,0.321,3rc4
 132,1b5j_B_A-B_0,A,0.173,0.277,0.173,0.277,1b5j
 133,4qbr_P_A-P_0,A,0.069,0.318,0.069,0.318,4qbr
 134,1ddv_B_A-B_0,A,0.050,0.308,0.050,0.308,1ddv
 135,1d00_I_A-I_0,A,0.086,0.324,0.086,0.324,1d00
 136,5d9g_C_A-C_0,A,0.119,0.337,0.119,0.337,5d9g
