index,syst,chain,tm1,tm2,min,max,pdb
   0,4ouc_B_A-B_0,A,0.291,0.268,0.268,0.291,4ouc
   1,4j82_C_A-C_0,A,0.319,0.314,0.314,0.319,4j82
   2,4r5i_B_A-B_0,A,0.220,0.269,0.220,0.269,4r5i
   3,1kyf_P_A-P_0,A,0.299,0.338,0.299,0.338,1kyf
   4,4ezq_B_A-B_1,A,0.236,0.295,0.236,0.295,4ezq
   5,3ou3_C_A-B-C_0,A,0.175,0.363,0.175,0.363,3ou3
   6,3ou3_C_A-B-C_0,B,0.171,0.370,0.171,0.370,3ou3
   7,2v17_A_A-H-L_0,L,0.205,0.254,0.205,0.254,2v17
   8,2v17_A_A-H-L_0,H,0.213,0.259,0.213,0.259,2v17
   9,2ql9_G_A-B-C-D-E-F-G_0,D,0.135,0.321,0.135,0.321,2ql9
  10,2ql9_G_A-B-C-D-E-F-G_0,A,0.221,0.368,0.221,0.368,2ql9
  11,2ql9_G_A-B-C-D-E-F-G_0,C,0.214,0.355,0.214,0.355,2ql9
  12,2ql9_G_A-B-C-D-E-F-G_0,B,0.135,0.322,0.135,0.322,2ql9
  13,3fwv_C_A-C_0,A,0.361,0.743,0.361,0.743,3fwv
  14,4kg9_B_A-B_0,A,0.185,0.325,0.185,0.325,4kg9
  15,1d00_I_A-I_0,A,0.190,0.282,0.190,0.282,1d00
  16,2y7l_B_A-B_0,A,0.258,0.248,0.248,0.258,2y7l
  17,1evh_B_A-B_0,A,0.158,0.351,0.158,0.351,1evh
  18,4x2h_C_A-B-C_0,A,0.215,0.292,0.215,0.292,4x2h
  19,3jrv_D_B-D_1,B,0.188,0.309,0.188,0.309,3jrv
  20,3upv_B_A-B_0,A,0.393,0.875,0.393,0.875,3upv
  21,2dze_X_A-B-X_0,A,0.166,0.255,0.166,0.255,2dze
  22,2dze_X_A-B-X_0,B,0.193,0.307,0.193,0.307,2dze
  23,2d5w_C_A-C_0,A,0.344,0.200,0.200,0.344,2d5w
  24,3dri_B_A-B_0,A,0.313,0.198,0.198,0.313,3dri
  25,5zw6_C_A-B-C-D_0,A,0.502,0.399,0.399,0.502,5zw6
  26,3q49_C_B-C_0,B,0.386,0.797,0.386,0.797,3q49
  27,3uoa_L_B-C-L-M_0,B,0.288,0.248,0.248,0.288,3uoa
  28,3sjk_B_A-B_0,A,0.224,0.317,0.224,0.317,3sjk
  29,1sem_C_A-B-C-D_0,A,0.099,0.301,0.099,0.301,1sem
  30,3hds_E_A-D-E_0,D,0.165,0.373,0.165,0.373,3hds
  31,3hds_E_A-D-E_0,A,0.166,0.325,0.166,0.325,3hds
  32,4ikn_B_A-B_0,A,0.209,0.234,0.209,0.234,4ikn
  33,2v5f_X_A-X_0,A,0.281,0.780,0.281,0.780,2v5f
  34,4xal_B_A-B_0,A,0.145,0.374,0.145,0.374,4xal
  35,3shb_B_A-B_0,A,0.119,0.319,0.119,0.319,3shb
  36,5yba_B_A-B-C-D_0,A,0.200,0.292,0.200,0.292,5yba
  37,3nil_X_D-X_2,D,0.124,0.299,0.124,0.299,3nil
  38,4qbr_P_A-P_0,A,0.221,0.371,0.221,0.371,4qbr
  39,5fox_C_A-C_0,A,0.308,0.373,0.308,0.373,5fox
  40,5huw_B_A-B-C_0,C,0.410,0.309,0.309,0.410,5huw
  41,5huy_B_A-B-C_0,C,0.406,0.306,0.306,0.406,5huy
  42,1uoq_B_A-B_0,A,0.420,0.215,0.215,0.420,1uoq
  43,4mvk_B_A-B_0,A,0.205,0.309,0.205,0.309,4mvk
  44,3t64_F_A-B-C-F_0,A,0.176,0.283,0.176,0.283,3t64
  45,3t64_F_A-B-C-F_0,B,0.155,0.266,0.155,0.266,3t64
  46,5sxm_D_B-D_1,B,0.337,0.330,0.330,0.337,5sxm
  47,2v3s_C_B-C_1,B,0.169,0.368,0.169,0.368,2v3s
  48,3drk_B_A-B_0,A,0.313,0.198,0.198,0.313,3drk
  49,3ny3_B_A-B_0,A,0.100,0.270,0.100,0.270,3ny3
  50,3oqs_B_A-B_0,A,0.405,0.304,0.304,0.405,3oqs
  51,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.163,0.375,0.163,0.375,1xb0
  52,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.162,0.347,0.162,0.347,1xb0
  53,4f74_C_A-B-C_0,A,0.175,0.377,0.175,0.377,4f74
  54,4f74_C_A-B-C_0,B,0.182,0.386,0.182,0.386,4f74
  55,4ba3_B_A-B_0,A,0.406,0.304,0.304,0.406,4ba3
  56,5fov_E_A-E_0,A,0.313,0.374,0.313,0.374,5fov
  57,3rt9_B_A-B_0,F,0.358,0.246,0.246,0.358,3rt9
