index,syst,chain,tm1,tm2,min,max,pdb
   0,5oav_B_A-B_0,A,0.051,0.380,0.051,0.380,5oav
   1,3q47_C_B-C_0,B,0.118,0.451,0.118,0.451,3q47
   2,3dri_B_A-B_0,A,0.277,0.331,0.277,0.331,3dri
   3,4j09_B_A-B_0,A,0.164,0.347,0.164,0.347,4j09
   4,4j09_B_A-B_0,C,0.164,0.347,0.164,0.347,4j09
   5,4f75_C_A-B-C-D_0,A,0.077,0.324,0.077,0.324,4f75
   6,4f75_C_A-B-C-D_0,B,0.078,0.315,0.078,0.315,4f75
   7,4k76_G_C-G_2,C,0.073,0.381,0.073,0.381,4k76
   8,3rt9_B_A-B_0,F,0.214,0.281,0.214,0.281,3rt9
   9,3rt9_B_A-B_0,A,0.214,0.281,0.214,0.281,3rt9
  10,3ebb_F_A-B-E-F_0,B,0.176,0.383,0.176,0.383,3ebb
  11,5tu5_B_A-B_0,A,0.188,0.361,0.188,0.361,5tu5
  12,1b3l_B_A-B_0,A,0.251,0.319,0.251,0.319,1b3l
  13,5v5p_A_A-B-C_0,C,0.222,0.329,0.222,0.329,5v5p
  14,1uop_B_A-B_0,A,0.999,0.999,0.999,0.999,1uop
  15,1b58_B_A-B_0,A,0.271,0.344,0.271,0.344,1b58
  16,4pz3_C_A-B-C_0,B,0.107,0.340,0.107,0.340,4pz3
  17,1str_M_B-D-M-P_0,C,0.090,0.382,0.090,0.382,1str
  18,1str_M_B-D-M-P_0,B,0.092,0.377,0.092,0.377,1str
  19,3psl_D_B-D_1,B,0.330,0.700,0.330,0.700,3psl
  20,3lny_B_A-B_0,A,0.080,0.349,0.080,0.349,3lny
  21,4iim_E_A-B-C-D-E_0,B,0.050,0.455,0.050,0.455,4iim
  22,3q49_C_B-C_0,B,0.105,0.409,0.105,0.409,3q49
  23,2x6m_B_A-B_0,A,0.095,0.345,0.095,0.345,2x6m
  24,4xi7_C_A-C_0,A,0.174,0.289,0.174,0.289,4xi7
  25,2nph_S_A-B-S-T_0,A,0.075,0.334,0.075,0.334,2nph
  26,2nph_S_A-B-S-T_0,B,0.075,0.329,0.075,0.329,2nph
  27,3zin_C_A-B-C_0,A,0.223,0.329,0.223,0.329,3zin
  28,4z88_V_J-V_1,J,0.050,0.308,0.050,0.308,4z88
  29,3cvl_B_A-B_0,A,0.215,0.420,0.215,0.420,3cvl
  30,4fii_B_A-B_0,A,0.166,0.319,0.166,0.319,4fii
  31,3nfl_G_B-C-F-G_5,C,0.075,0.392,0.075,0.392,3nfl
  32,3nim_X_F-X_3,F,0.066,0.354,0.066,0.354,3nim
  33,5e6o_E_B-E_1,B,0.089,0.362,0.089,0.362,5e6o
  34,2v3s_C_B-C_1,B,0.078,0.377,0.078,0.377,2v3s
  35,1gyb_E_A-B-E-F_0,A,0.087,0.371,0.087,0.371,1gyb
  36,1gyb_E_A-B-E-F_0,B,0.095,0.383,0.095,0.383,1gyb
  37,1yth_I_A-B-I_0,A,0.075,0.312,0.075,0.312,1yth
  38,1yth_I_A-B-I_0,B,0.078,0.315,0.078,0.315,1yth
  39,2v5f_X_A-X_0,A,0.096,0.441,0.096,0.441,2v5f
  40,1b05_B_A-B_0,A,0.252,0.320,0.252,0.320,1b05
  41,1sdz_B_A-B_0,A,0.080,0.359,0.080,0.359,1sdz
  42,4k3o_E_A-B-E_0,A,0.152,0.251,0.152,0.251,4k3o
  43,3drk_B_A-B_0,A,0.276,0.330,0.276,0.330,3drk
  44,3l81_B_A-B_0,A,0.125,0.269,0.125,0.269,3l81
  45,3njj_B_A-B_0,A,0.091,0.361,0.091,0.361,3njj
  46,4j78_B_A-B_0,A,0.315,0.669,0.315,0.669,4j78
  47,6eja_B_A-B_0,A,0.304,0.308,0.304,0.308,6eja
  48,2d5w_C_A-C_0,A,0.285,0.323,0.285,0.323,2d5w
  49,4jor_D_B-D_1,B,0.075,0.382,0.075,0.382,4jor
  50,4j45_B_A-B_0,A,0.075,0.385,0.075,0.385,4j45
  51,4hxj_C_A-C_0,A,0.051,0.376,0.051,0.376,4hxj
  52,3wor_C_A-B-C-D_0,A,0.240,0.243,0.240,0.243,3wor
  53,4ezw_E_A-E_0,A,0.136,0.335,0.136,0.335,4ezw
  54,2fib_B_A-B_0,A,0.160,0.357,0.160,0.357,2fib
  55,4bjt_E_B-E_2,B,0.111,0.343,0.111,0.343,4bjt
  56,1vwa_M_B-D-M-P_0,C,0.092,0.392,0.092,0.392,1vwa
  57,1vwa_M_B-D-M-P_0,B,0.092,0.377,0.092,0.377,1vwa
  58,3cbl_B_A-B_0,A,0.203,0.337,0.203,0.337,3cbl
  59,4j47_B_A-B_0,A,0.073,0.384,0.073,0.384,4j47
  60,1e4x_P_H-L-P_0,L,0.145,0.348,0.145,0.348,1e4x
  61,1e4x_P_H-L-P_0,H,0.151,0.360,0.151,0.360,1e4x
  62,5gu4_C_A-C_0,A,0.162,0.365,0.162,0.365,5gu4
  63,1ok7_C_A-B-C_0,B,0.164,0.265,0.164,0.265,1ok7
  64,1b9j_B_A-B_0,A,0.255,0.323,0.255,0.323,1b9j
  65,1a7c_B_A-B-C_0,A,0.182,0.294,0.182,0.294,1a7c
  66,5huy_B_A-B-C_0,C,0.213,0.311,0.213,0.311,5huy
  67,3soq_Z_A-Z_0,A,0.265,0.527,0.265,0.527,3soq
  68,4o4y_A_A-H-L_0,L,0.138,0.331,0.138,0.331,4o4y
  69,4o4y_A_A-H-L_0,H,0.151,0.367,0.151,0.367,4o4y
  70,5yba_B_A-B-C-D_0,A,0.109,0.309,0.109,0.309,5yba
  71,4j82_C_A-C_0,A,0.315,0.668,0.315,0.668,4j82
  72,4jop_C_A-C_0,A,0.076,0.390,0.076,0.390,4jop
  73,4jmy_E_A-C-E_0,A,0.116,0.326,0.116,0.326,4jmy
  74,3oqs_B_A-B_0,A,0.226,0.333,0.226,0.333,3oqs
  75,6hpg_c_C-c_2,C,0.104,0.410,0.104,0.410,6hpg
  76,1se0_B_A-B_0,A,0.087,0.395,0.087,0.395,1se0
  77,1b40_B_A-B_0,A,0.271,0.344,0.271,0.344,1b40
  78,4j46_B_A-B_0,A,0.075,0.368,0.075,0.368,4j46
  79,3zs6_B_A-B_0,A,0.256,0.330,0.256,0.330,3zs6
  80,5fch_C_A-B-C_0,A,0.184,0.279,0.184,0.279,5fch
  81,5fch_C_A-B-C_0,B,0.182,0.283,0.182,0.283,5fch
  82,1jwg_D_B-D_1,B,0.133,0.481,0.133,0.481,1jwg
  83,4apo_D_B-D_1,B,0.114,0.393,0.114,0.393,4apo
  84,4z0u_D_A-D_0,A,0.114,0.363,0.114,0.363,4z0u
  85,4j44_B_A-B_0,A,0.073,0.387,0.073,0.387,4j44
  86,4rxh_A_A-B-C_0,B,0.210,0.312,0.210,0.312,4rxh
  87,1obz_P_A-B-P_0,A,0.102,0.322,0.102,0.322,1obz
  88,2zgh_B_A-B_0,A,0.137,0.319,0.137,0.319,2zgh
  89,1oxn_F_E-F_7,E,0.076,0.364,0.076,0.364,1oxn
  90,2foj_B_A-B_0,A,0.092,0.341,0.092,0.341,2foj
  91,1u9l_C_B-C_1,B,0.053,0.418,0.053,0.418,1u9l
  92,3woq_C_A-B-C-D_0,A,0.239,0.243,0.239,0.243,3woq
  93,5m5t_E_A-E-G-I_0,A,0.327,0.580,0.327,0.580,5m5t
  94,4mvk_B_A-B_0,A,0.101,0.326,0.101,0.326,4mvk
  95,5lb7_C_A-B-C_0,A,0.129,0.401,0.129,0.401,5lb7
  96,5lb7_C_A-B-C_0,B,0.077,0.519,0.077,0.519,5lb7
  97,3v43_Q_A-Q_0,A,0.087,0.377,0.087,0.377,3v43
  98,5xup_D_A-B-C-D_0,B,0.127,0.337,0.127,0.337,5xup
  99,4ezy_B_A-B_2,A,0.128,0.313,0.128,0.313,4ezy
 100,4b8o_C_A-B-C_0,A,0.212,0.315,0.212,0.315,4b8o
 101,1ghb_P_E-F-G-P_0,F,0.102,0.356,0.102,0.356,1ghb
 102,1ghb_P_E-F-G-P_0,G,0.080,0.417,0.080,0.417,1ghb
 103,1ghb_P_E-F-G-P_0,C,0.080,0.417,0.080,0.417,1ghb
 104,1ghb_P_E-F-G-P_0,B,0.102,0.356,0.102,0.356,1ghb
 105,3zvy_D_B-D_0,B,0.062,0.361,0.062,0.361,3zvy
 106,3ziq_B_A-B-C_0,A,0.225,0.330,0.225,0.330,3ziq
 107,4quh_D_A-C-D-I-J_0,A,0.175,0.448,0.175,0.448,4quh
 108,3uf7_B_A-B-C_0,A,0.159,0.399,0.159,0.399,3uf7
 109,4jwd_C_B-C_1,B,0.130,0.324,0.130,0.324,4jwd
 110,3m5m_C_B-C_1,B,0.117,0.301,0.117,0.301,3m5m
 111,3nin_E_B-E_1,B,0.068,0.359,0.068,0.359,3nin
 112,5xcr_F_D-E-F_1,D,0.108,0.328,0.108,0.328,5xcr
 113,5xcr_F_D-E-F_1,E,0.109,0.325,0.109,0.325,5xcr
 114,4mz6_A_A-C-E_0,E,0.218,0.321,0.218,0.321,4mz6
 115,4c2g_B_A-B-C_0,A,0.228,0.337,0.228,0.337,4c2g
 116,3rc4_B_A-B_0,A,0.117,0.293,0.117,0.293,3rc4
 117,6cdg_B_A-B_0,A,0.101,0.320,0.101,0.320,6cdg
 118,1ddv_B_A-B_0,A,0.084,0.393,0.084,0.393,1ddv
 119,1kyd_P_A-P_0,A,0.168,0.381,0.168,0.381,1kyd
 120,6ew9_P_A-B-C-P-Q-R_0,A,0.179,0.338,0.179,0.338,6ew9
 121,5wir_D_A-B-C-D_0,B,0.132,0.356,0.132,0.356,5wir
 122,2h9m_D_C-D_1,C,0.334,0.694,0.334,0.694,2h9m
 123,6cd9_B_A-B_0,A,0.111,0.333,0.111,0.333,6cd9
 124,5m5v_G_A-E-G-I_0,A,0.326,0.579,0.326,0.579,5m5v
 125,5oj5_B_A-B_0,A,0.335,0.683,0.335,0.683,5oj5
 126,5sxm_D_B-D_1,B,0.334,0.696,0.334,0.696,5sxm
 127,4odk_C_A-B-C_0,A,0.090,0.291,0.090,0.291,4odk
 128,3sxu_C_A-B-C_0,A,0.130,0.486,0.130,0.486,3sxu
 129,3f6k_N_A-N_0,A,0.333,0.354,0.333,0.354,3f6k
 130,1elr_B_A-B_0,A,0.111,0.423,0.111,0.423,1elr
 131,1v1t_S_A-B-S-T_0,B,0.104,0.324,0.104,0.324,1v1t
 132,4wnn_T_C-D-T_3,D,0.079,0.404,0.079,0.404,4wnn
 133,4wnn_T_C-D-T_3,C,0.086,0.448,0.086,0.448,4wnn
 134,4jjq_B_A-B_0,A,0.101,0.322,0.101,0.322,4jjq
 135,3t70_F_A-B-C-F_0,A,0.101,0.338,0.101,0.338,3t70
 136,3t70_F_A-B-C-F_0,B,0.092,0.309,0.092,0.309,3t70
 137,1mfl_B_A-B_0,A,0.077,0.361,0.077,0.361,1mfl
 138,1sts_P_B-D-M-P_0,D,0.093,0.388,0.093,0.388,1sts
 139,1sts_P_B-D-M-P_0,A,0.091,0.379,0.091,0.379,1sts
 140,2orz_B_A-B_0,A,0.184,0.339,0.184,0.339,2orz
 141,4ba3_B_A-B_0,A,0.226,0.332,0.226,0.332,4ba3
 142,3mqr_B_A-B_0,A,0.101,0.322,0.101,0.322,3mqr
 143,1w9e_S_A-B-R-S-T_0,B,0.103,0.322,0.103,0.322,1w9e
 144,4gyo_C_A-B-C-D_0,B,0.231,0.396,0.231,0.396,4gyo
 145,5fox_C_A-C_0,A,0.178,0.447,0.178,0.447,5fox
 146,3rc5_B_A-B_0,A,0.123,0.305,0.123,0.305,3rc5
 147,2ipu_P_G-K-P_1,G,0.128,0.305,0.128,0.305,2ipu
 148,2ipu_P_G-K-P_1,K,0.123,0.300,0.123,0.300,2ipu
 149,5k4f_C_A-C_0,A,0.075,0.386,0.075,0.386,5k4f
 150,3m5n_F_B-F_1,B,0.116,0.290,0.116,0.290,3m5n
 151,1h27_E_A-B-E_0,B,0.173,0.369,0.173,0.369,1h27
 152,3ou3_C_A-B-C_0,A,0.078,0.324,0.078,0.324,3ou3
 153,3ou3_C_A-B-C_0,B,0.078,0.320,0.078,0.320,3ou3
 154,4r5i_B_A-B_0,A,0.143,0.337,0.143,0.337,4r5i
 155,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.094,0.349,0.094,0.349,1kl5
 156,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.083,0.372,0.083,0.372,1kl5
 157,4j84_D_B-D_1,B,0.316,0.679,0.316,0.679,4j84
 158,5lyn_C_A-B-C-D_0,A,0.120,0.434,0.120,0.434,5lyn
 159,5lyn_C_A-B-C-D_0,B,0.119,0.436,0.119,0.436,5lyn
 160,4ezz_B_A-B_1,A,0.130,0.331,0.130,0.331,4ezz
 161,4pyw_B_A-B-C_0,A,0.173,0.296,0.173,0.296,4pyw
 162,5iag_D_A-B-D_0,A,0.155,0.366,0.155,0.366,5iag
 163,1fch_C_A-B-C-D_2,F,0.205,0.400,0.205,0.400,1fch
 164,1fch_C_A-B-C-D_2,A,0.182,0.334,0.182,0.334,1fch
 165,5ovc_B_A-B_0,A,0.072,0.346,0.072,0.346,5ovc
 166,4j8b_B_A-B_0,A,0.313,0.657,0.313,0.657,4j8b
 167,4zhb_B_A-B_0,A,0.096,0.378,0.096,0.378,4zhb
 168,3rte_B_A-B_0,G,0.240,0.323,0.240,0.323,3rte
 169,3rte_B_A-B_0,A,0.240,0.323,0.240,0.323,3rte
 170,2fop_B_A-B_0,A,0.101,0.323,0.101,0.323,2fop
 171,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.223,0.384,0.223,0.384,2ot0
 172,3nfk_D_A-B-C-D_2,B,0.079,0.382,0.079,0.382,3nfk
 173,3drj_B_A-B_0,A,0.274,0.328,0.274,0.328,3drj
 174,1b3g_B_A-B_0,A,0.272,0.345,0.272,0.345,1b3g
 175,1oby_Q_A-B-P-Q_0,A,0.067,0.351,0.067,0.351,1oby
 176,1oby_Q_A-B-P-Q_0,B,0.063,0.333,0.063,0.333,1oby
 177,3ny3_B_A-B_0,A,0.064,0.335,0.064,0.335,3ny3
 178,4nnm_C_A-C_0,A,0.085,0.353,0.085,0.353,4nnm
 179,2h2f_B_A-B_0,A,0.191,0.462,0.191,0.462,2h2f
 180,4ouc_B_A-B_0,A,0.165,0.305,0.165,0.305,4ouc
 181,5elq_P_A-P_0,A,0.072,0.359,0.072,0.359,5elq
 182,4x2h_C_A-B-C_0,A,0.117,0.310,0.117,0.310,4x2h
 183,1tw6_C_A-B-C-D_2,F,0.084,0.403,0.084,0.403,1tw6
 184,1tw6_C_A-B-C-D_2,A,0.078,0.395,0.078,0.395,1tw6
 185,3drh_B_A-B_0,A,0.278,0.332,0.278,0.332,3drh
 186,5m5r_D_A-C-D_0,A,0.327,0.580,0.327,0.580,5m5r
 187,1b5i_B_A-B_0,A,0.251,0.321,0.251,0.321,1b5i
 188,1hsb_C_A-B-C_0,A,0.166,0.337,0.166,0.337,1hsb
 189,2hpl_B_A-B_0,A,0.083,0.375,0.083,0.375,2hpl
 190,4k3m_E_A-B-E_0,A,0.161,0.269,0.161,0.269,4k3m
 191,4ojf_A_A-H-L_0,L,0.130,0.308,0.130,0.308,4ojf
 192,4ojf_A_A-H-L_0,H,0.120,0.293,0.120,0.293,4ojf
 193,4fys_C_A-C_0,A,0.343,0.287,0.287,0.343,4fys
 194,3upv_B_A-B_0,A,0.109,0.433,0.109,0.433,3upv
 195,3shb_B_A-B_0,A,0.067,0.349,0.067,0.349,3shb
 196,1b5j_B_A-B_0,A,0.272,0.345,0.272,0.345,1b5j
 197,4faf_D_A-B-D_0,A,0.078,0.359,0.078,0.359,4faf
 198,4faf_D_A-B-D_0,B,0.078,0.359,0.078,0.359,4faf
 199,1b4z_B_A-B_0,A,0.271,0.344,0.271,0.344,1b4z
 200,3d9t_D_B-D_1,B,0.086,0.388,0.086,0.388,3d9t
 201,2v1r_R_A-Q-R_0,A,0.050,0.341,0.050,0.341,2v1r
 202,3ufm_B_A-B_0,A,0.175,0.439,0.175,0.439,3ufm
 203,1svz_C_A-B-C-D_0,A,0.124,0.299,0.124,0.299,1svz
 204,4q6f_H_C-H_2,C,0.049,0.359,0.049,0.359,4q6f
 205,5nqv_G_A-C-E-G_0,C,0.130,0.376,0.130,0.376,5nqv
 206,4cic_Q_A-B-Q_0,A,0.093,0.328,0.093,0.328,4cic
 207,4cic_Q_A-B-Q_0,B,0.090,0.315,0.090,0.315,4cic
 208,2i3h_C_A-C_0,A,0.077,0.393,0.077,0.393,2i3h
 209,2bgr_Y_A-B-Y-Z_0,A,0.725,0.708,0.708,0.725,2bgr
 210,4ny3_C_A-C_0,A,0.188,0.350,0.188,0.350,4ny3
 211,3ifo_P_H-L-P_0,L,0.147,0.346,0.147,0.346,3ifo
 212,3ifo_P_H-L-P_0,H,0.145,0.356,0.145,0.356,3ifo
 213,5iza_B_A-B_0,A,0.181,0.324,0.181,0.324,5iza
 214,5ovv_B_A-B_0,A,0.076,0.371,0.076,0.371,5ovv
 215,3jrv_D_B-D_1,B,0.100,0.359,0.100,0.359,3jrv
 216,1s2k_B_A-B_0,A,0.130,0.364,0.130,0.364,1s2k
 217,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.150,0.294,0.150,0.294,2z9i
 218,4qbr_P_A-P_0,A,0.106,0.351,0.106,0.351,4qbr
 219,5fov_E_A-E_0,A,0.178,0.438,0.178,0.438,5fov
 220,1czy_D_A-B-C-D-E_0,A,0.110,0.323,0.110,0.323,1czy
 221,3fwv_C_A-C_0,A,0.111,0.426,0.111,0.426,3fwv
 222,1uoq_B_A-B_0,A,1.000,1.000,1.000,1.000,1uoq
