index,syst,chain,tm1,tm2,min,max,pdb
   0,1b9j_B_A-B_0,A,0.341,0.151,0.151,0.341,1b9j
   1,6fkp_G_C-G_2,C,0.151,0.312,0.151,0.312,6fkp
   2,4jmy_E_A-C-E_0,A,0.300,0.278,0.278,0.300,4jmy
   3,1str_M_B-D-M-P_0,C,0.249,0.307,0.249,0.307,1str
   4,1str_M_B-D-M-P_0,B,0.244,0.294,0.244,0.294,1str
   5,5iag_D_A-B-D_0,A,0.285,0.223,0.223,0.285,5iag
   6,4kg9_B_A-B_0,A,0.291,0.327,0.291,0.327,4kg9
   7,4pz3_C_A-B-C_0,B,0.268,0.283,0.268,0.283,4pz3
   8,4j82_C_A-C_0,A,0.285,0.182,0.182,0.285,4j82
   9,1a7c_B_A-B-C_0,A,0.360,0.203,0.203,0.360,1a7c
  10,5elq_P_A-P_0,A,0.442,0.728,0.442,0.728,5elq
  11,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.383,0.231,0.231,0.383,2z9i
  12,4k75_B_A-B_0,A,0.457,0.819,0.457,0.819,4k75
  13,4k3o_E_A-B-E_0,A,0.385,0.224,0.224,0.385,4k3o
  14,5lb7_C_A-B-C_0,A,0.253,0.250,0.250,0.253,5lb7
  15,5lb7_C_A-B-C_0,B,0.192,0.294,0.192,0.294,5lb7
  16,4ojf_A_A-H-L_0,L,0.253,0.212,0.212,0.253,4ojf
  17,4ojf_A_A-H-L_0,H,0.314,0.258,0.258,0.314,4ojf
  18,4jjq_B_A-B_0,A,0.282,0.318,0.282,0.318,4jjq
  19,5yba_B_A-B-C-D_0,A,0.256,0.246,0.246,0.256,5yba
  20,5iz2_Z_A-B-Z_0,B,0.222,0.261,0.222,0.261,5iz2
  21,4dgb_B_A-B_0,A,0.268,0.268,0.268,0.268,4dgb
  22,1b3l_B_A-B_0,A,0.344,0.150,0.150,0.344,1b3l
  23,2fib_B_A-B_0,A,0.286,0.220,0.220,0.286,2fib
  24,3emh_B_A-B_0,A,0.278,0.181,0.181,0.278,3emh
  25,1b4z_B_A-B_0,A,0.335,0.150,0.150,0.335,1b4z
  26,2d5w_C_A-C_0,A,0.341,0.119,0.119,0.341,2d5w
  27,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.314,0.226,0.226,0.314,5fjz
  28,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.312,0.226,0.226,0.312,5fjz
  29,4bjt_E_B-E_2,B,0.273,0.286,0.273,0.286,4bjt
  30,3v43_Q_A-Q_0,A,0.236,0.300,0.236,0.300,3v43
  31,4z88_V_J-V_1,J,0.175,0.295,0.175,0.295,4z88
  32,2wa8_D_C-D_1,C,0.223,0.300,0.223,0.300,2wa8
  33,5fov_E_A-E_0,A,0.291,0.232,0.232,0.291,5fov
  34,2hl3_C_A-B-C_0,A,0.184,0.310,0.184,0.310,2hl3
  35,2hl3_C_A-B-C_0,B,0.187,0.293,0.187,0.293,2hl3
  36,5iza_B_A-B_0,A,0.305,0.175,0.175,0.305,5iza
  37,5d9g_C_A-C_0,A,0.317,0.236,0.236,0.317,5d9g
  38,5tu5_B_A-B_0,A,0.337,0.215,0.215,0.337,5tu5
  39,5m5u_G_A-E-G_0,A,0.275,0.160,0.160,0.275,5m5u
  40,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.245,0.301,0.245,0.301,1kl3
  41,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.244,0.304,0.244,0.304,1kl3
  42,4j46_B_A-B_0,A,0.195,0.292,0.195,0.292,4j46
  43,2h59_D_A-B-D-E_0,A,0.318,0.239,0.239,0.318,2h59
  44,2h59_D_A-B-D-E_0,B,0.320,0.241,0.241,0.320,2h59
  45,4k3m_E_A-B-E_0,A,0.394,0.225,0.225,0.394,4k3m
  46,4fii_B_A-B_0,A,0.336,0.218,0.218,0.336,4fii
  47,3zvy_D_B-D_0,B,0.162,0.288,0.162,0.288,3zvy
  48,4k3p_E_A-B-E_0,A,0.397,0.226,0.226,0.397,4k3p
  49,6fqc_E_A-B-D-E_0,A,0.369,0.213,0.213,0.369,6fqc
  50,4r5i_B_A-B_0,A,0.290,0.237,0.237,0.290,4r5i
  51,3g19_C_A-C_0,A,0.207,0.320,0.207,0.320,3g19
  52,3soq_Z_A-Z_0,A,0.297,0.189,0.189,0.297,3soq
  53,3ebb_F_A-B-E-F_0,B,0.284,0.202,0.202,0.284,3ebb
  54,3nin_E_B-E_1,B,0.187,0.295,0.187,0.295,3nin
  55,4pxm_D_A-B-C-D_0,B,0.263,0.211,0.211,0.263,4pxm
  56,6exj_B_A-B_0,A,0.443,0.752,0.443,0.752,6exj
  57,3q47_C_B-C_0,B,0.229,0.260,0.229,0.260,3q47
  58,5huw_B_A-B-C_0,C,0.281,0.140,0.140,0.281,5huw
  59,5fou_C_A-C_0,A,0.291,0.233,0.233,0.291,5fou
  60,1fch_C_A-B-C-D_2,F,0.284,0.183,0.183,0.284,1fch
  61,1fch_C_A-B-C-D_2,A,0.299,0.196,0.196,0.299,1fch
  62,3woq_C_A-B-C-D_0,A,0.353,0.123,0.123,0.353,3woq
  63,3wor_C_A-B-C-D_0,A,0.367,0.122,0.122,0.367,3wor
  64,3qhw_L_A-B-J-L_0,B,0.364,0.265,0.265,0.364,3qhw
  65,4ezy_B_A-B_2,A,0.273,0.222,0.222,0.273,4ezy
  66,3rt9_B_A-B_0,F,0.350,0.160,0.160,0.350,3rt9
  67,3rt9_B_A-B_0,A,0.350,0.160,0.160,0.350,3rt9
  68,4j84_D_B-D_1,B,0.281,0.183,0.183,0.281,4j84
  69,2h2f_B_A-B_0,A,0.322,0.249,0.249,0.322,2h2f
  70,1w9e_S_A-B-R-S-T_0,B,0.966,0.961,0.961,0.966,1w9e
  71,2b6n_B_A-B_0,A,0.315,0.217,0.217,0.315,2b6n
  72,4j47_B_A-B_0,A,0.193,0.294,0.193,0.294,4j47
  73,5fch_C_A-B-C_0,A,0.369,0.189,0.189,0.369,5fch
  74,5fch_C_A-B-C_0,B,0.368,0.189,0.189,0.368,5fch
  75,1nvs_B_A-B_0,A,0.324,0.229,0.229,0.324,1nvs
  76,3gv4_H_A-H_0,A,0.200,0.284,0.200,0.284,3gv4
  77,3rta_B_A-B_0,F,0.364,0.161,0.161,0.364,3rta
  78,3rta_B_A-B_0,A,0.364,0.161,0.161,0.364,3rta
  79,2orz_B_A-B_0,A,0.386,0.240,0.240,0.386,2orz
  80,4jwd_C_B-C_1,B,0.284,0.238,0.238,0.284,4jwd
  81,2ce9_X_A-B-X_0,A,0.281,0.170,0.170,0.281,2ce9
  82,1svz_C_A-B-C-D_0,A,0.346,0.271,0.271,0.346,1svz
  83,4hxj_C_A-C_0,A,0.187,0.410,0.187,0.410,4hxj
  84,6cdg_B_A-B_0,A,0.244,0.243,0.243,0.244,6cdg
  85,3sxu_C_A-B-C_0,A,0.252,0.270,0.252,0.270,3sxu
  86,3upv_B_A-B_0,A,0.236,0.282,0.236,0.282,3upv
  87,4iim_E_A-B-C-D-E_0,B,0.171,0.386,0.171,0.386,4iim
  88,2y7l_B_A-B_0,A,0.297,0.192,0.192,0.297,2y7l
  89,4ba3_B_A-B_0,A,0.278,0.138,0.138,0.278,4ba3
  90,5sxm_D_B-D_1,B,0.314,0.205,0.205,0.314,5sxm
