index,syst,chain,tm1,tm2,min,max,pdb
   0,6hpg_c_C-c_2,C,0.144,0.379,0.144,0.379,6hpg
   1,5azf_C_A-C_0,A,0.130,0.341,0.130,0.341,5azf
   2,1str_M_B-D-M-P_0,C,0.120,0.316,0.120,0.316,1str
   3,1str_M_B-D-M-P_0,B,0.124,0.329,0.124,0.329,1str
   4,1evh_B_A-B_0,A,0.113,0.320,0.113,0.320,1evh
   5,3drj_B_A-B_0,A,0.266,0.221,0.221,0.266,3drj
   6,5tu5_B_A-B_0,A,0.235,0.308,0.235,0.308,5tu5
   7,3g19_C_A-C_0,A,0.089,0.352,0.089,0.352,3g19
   8,1olc_B_A-B_0,A,0.270,0.238,0.238,0.270,1olc
   9,3rt9_B_A-B_0,F,0.298,0.272,0.272,0.298,3rt9
  10,3rt9_B_A-B_0,A,0.298,0.272,0.272,0.298,3rt9
  11,4rxh_A_A-B-C_0,B,0.216,0.221,0.216,0.221,4rxh
  12,1s2k_B_A-B_0,A,0.158,0.284,0.158,0.284,1s2k
  13,4wnn_T_C-D-T_3,D,0.107,0.337,0.107,0.337,4wnn
  14,4wnn_T_C-D-T_3,C,0.107,0.404,0.107,0.404,4wnn
  15,3t70_F_A-B-C-F_0,A,0.144,0.319,0.144,0.319,3t70
  16,3t70_F_A-B-C-F_0,B,0.134,0.295,0.134,0.295,3t70
  17,4nnm_C_A-C_0,A,0.171,0.611,0.171,0.611,4nnm
  18,4qbr_P_A-P_0,A,0.133,0.290,0.133,0.290,4qbr
  19,6exj_B_A-B_0,A,0.154,0.657,0.154,0.657,6exj
  20,3l81_B_A-B_0,A,0.175,0.259,0.175,0.259,3l81
  21,4odk_C_A-B-C_0,A,0.143,0.304,0.143,0.304,4odk
  22,3fwv_C_A-C_0,A,0.152,0.383,0.152,0.383,3fwv
  23,1fch_C_A-B-C-D_2,F,0.225,0.296,0.225,0.296,1fch
  24,1fch_C_A-B-C-D_2,A,0.246,0.317,0.246,0.317,1fch
  25,1yth_I_A-B-I_0,A,0.109,0.301,0.109,0.301,1yth
  26,1yth_I_A-B-I_0,B,0.105,0.288,0.105,0.288,1yth
  27,3ivq_D_B-D_1,B,0.142,0.331,0.142,0.331,3ivq
  28,3drk_B_A-B_0,A,0.264,0.219,0.219,0.264,3drk
  29,1b51_B_A-B_0,A,0.268,0.235,0.235,0.268,1b51
  30,4j09_B_A-B_0,A,0.168,0.235,0.168,0.235,4j09
  31,4j09_B_A-B_0,C,0.168,0.235,0.168,0.235,4j09
  32,2v17_A_A-H-L_0,L,0.161,0.266,0.161,0.266,2v17
  33,2v17_A_A-H-L_0,H,0.193,0.311,0.193,0.311,2v17
  34,1se0_B_A-B_0,A,0.109,0.342,0.109,0.342,1se0
  35,4xi7_C_A-C_0,A,0.227,0.258,0.227,0.258,4xi7
  36,3s9c_B_A-B_0,A,0.200,0.307,0.200,0.307,3s9c
  37,3mmg_C_A-C_0,A,0.162,0.268,0.162,0.268,3mmg
  38,3nfk_D_A-B-C-D_2,B,0.157,0.673,0.157,0.673,3nfk
  39,4v3i_B_A-B_0,A,0.177,0.388,0.177,0.388,4v3i
  40,4iim_E_A-B-C-D-E_0,B,0.084,0.414,0.084,0.414,4iim
  41,5ovc_B_A-B_0,A,0.153,0.611,0.153,0.611,5ovc
  42,6eja_B_A-B_0,A,0.301,0.212,0.212,0.301,6eja
  43,4jok_D_B-D_1,B,0.155,0.684,0.155,0.684,4jok
  44,5t6p_E_C-D-E_1,D,0.188,0.313,0.188,0.313,5t6p
  45,5t6p_E_C-D-E_1,C,0.187,0.315,0.187,0.315,5t6p
