index,syst,chain,tm1,tm2,min,max,pdb
   0,3hds_E_A-D-E_0,D,0.153,0.307,0.153,0.307,3hds
   1,3hds_E_A-D-E_0,A,0.149,0.287,0.149,0.287,3hds
   2,1b9j_B_A-B_0,A,0.334,0.224,0.224,0.334,1b9j
   3,5b74_D_A-B-D_0,B,0.201,0.361,0.201,0.361,5b74
   4,4fys_C_A-C_0,A,0.382,0.168,0.168,0.382,4fys
   5,5gu4_C_A-C_0,A,0.321,0.359,0.321,0.359,5gu4
   6,1u9l_C_B-C_1,B,0.129,0.320,0.129,0.320,1u9l
   7,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.330,0.297,0.297,0.330,4tr9
   8,1hsb_C_A-B-C_0,A,0.265,0.286,0.265,0.286,1hsb
   9,3ivq_D_B-D_1,B,0.188,0.332,0.188,0.332,3ivq
  10,6cwp_F_A-B-F_0,A,0.259,0.259,0.259,0.259,6cwp
  11,6cwp_F_A-B-F_0,B,0.258,0.254,0.254,0.258,6cwp
  12,1b3g_B_A-B_0,A,0.333,0.224,0.224,0.333,1b3g
  13,2h2f_B_A-B_0,A,0.264,0.315,0.264,0.315,2h2f
  14,1gyb_E_A-B-E-F_0,A,0.169,0.367,0.169,0.367,1gyb
  15,1gyb_E_A-B-E-F_0,B,0.169,0.366,0.169,0.366,1gyb
  16,2v5w_G_B-G-L_1,B,0.360,0.311,0.311,0.360,2v5w
  17,4odk_C_A-B-C_0,A,0.189,0.312,0.189,0.312,4odk
  18,3m5m_C_B-C_1,B,0.263,0.358,0.263,0.358,3m5m
  19,2v17_A_A-H-L_0,L,0.195,0.247,0.195,0.247,2v17
  20,2v17_A_A-H-L_0,H,0.202,0.248,0.202,0.248,2v17
  21,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.182,0.354,0.182,0.354,1kl3
  22,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.184,0.348,0.184,0.348,1kl3
  23,2nph_S_A-B-S-T_0,A,0.151,0.336,0.151,0.336,2nph
  24,2nph_S_A-B-S-T_0,B,0.151,0.337,0.151,0.337,2nph
  25,4sga_P_E-P_0,E,0.244,0.343,0.244,0.343,4sga
  26,4j78_B_A-B_0,A,0.903,0.903,0.903,0.903,4j78
  27,3m5n_F_B-F_1,B,0.244,0.325,0.244,0.325,3m5n
  28,4mvk_B_A-B_0,A,0.234,0.350,0.234,0.350,4mvk
  29,5lb7_C_A-B-C_0,A,0.188,0.285,0.188,0.285,5lb7
  30,5lb7_C_A-B-C_0,B,0.138,0.347,0.138,0.347,5lb7
  31,3ou3_C_A-B-C_0,A,0.150,0.337,0.150,0.337,3ou3
  32,3ou3_C_A-B-C_0,B,0.150,0.337,0.150,0.337,3ou3
  33,1s2k_B_A-B_0,A,0.274,0.372,0.274,0.372,1s2k
  34,6eja_B_A-B_0,A,0.310,0.158,0.158,0.310,6eja
  35,3dri_B_A-B_0,A,0.286,0.181,0.181,0.286,3dri
  36,1olc_B_A-B_0,A,0.345,0.231,0.231,0.345,1olc
  37,1b32_B_A-B_0,A,0.330,0.224,0.224,0.330,1b32
  38,4k75_B_A-B_0,A,0.147,0.338,0.147,0.338,4k75
  39,4b3b_C_A-C_0,A,0.288,0.353,0.288,0.353,4b3b
  40,5fou_C_A-C_0,A,0.297,0.365,0.297,0.365,5fou
  41,4quh_D_A-C-D-I-J_0,A,0.246,0.296,0.246,0.296,4quh
  42,4faf_D_A-B-D_0,A,0.149,0.328,0.149,0.328,4faf
  43,4faf_D_A-B-D_0,B,0.148,0.334,0.148,0.334,4faf
  44,3o2b_D_C-D_1,C,0.124,0.255,0.124,0.255,3o2b
  45,3f6k_N_A-N_0,A,0.542,0.290,0.290,0.542,3f6k
  46,1sts_P_B-D-M-P_0,D,0.179,0.368,0.179,0.368,1sts
  47,1sts_P_B-D-M-P_0,A,0.189,0.352,0.189,0.352,1sts
  48,6cdg_B_A-B_0,A,0.210,0.337,0.210,0.337,6cdg
  49,3woq_C_A-B-C-D_0,A,0.280,0.147,0.147,0.280,3woq
  50,4o51_N_A-B-N_1,A,0.190,0.240,0.190,0.240,4o51
  51,4o51_N_A-B-N_1,B,0.222,0.278,0.222,0.278,4o51
  52,6hpg_c_C-c_2,C,0.174,0.331,0.174,0.331,6hpg
  53,2zjd_D_C-D_5,C,0.187,0.350,0.187,0.350,2zjd
  54,4ny3_C_A-C_0,A,0.279,0.279,0.279,0.279,4ny3
  55,4pxm_D_A-B-C-D_0,B,0.217,0.264,0.217,0.264,4pxm
  56,5xcr_F_D-E-F_1,D,0.184,0.281,0.184,0.281,5xcr
  57,5xcr_F_D-E-F_1,E,0.208,0.317,0.208,0.317,5xcr
  58,1rzx_B_A-B_0,A,0.145,0.317,0.145,0.317,1rzx
  59,3v43_Q_A-Q_0,A,0.191,0.365,0.191,0.365,3v43
  60,1b4z_B_A-B_0,A,0.333,0.225,0.225,0.333,1b4z
  61,1e4x_P_H-L-P_0,L,0.183,0.229,0.183,0.229,1e4x
  62,1e4x_P_H-L-P_0,H,0.216,0.275,0.216,0.275,1e4x
  63,4dgb_B_A-B_0,A,0.204,0.319,0.204,0.319,4dgb
  64,5fox_C_A-C_0,A,0.296,0.369,0.296,0.369,5fox
  65,1oby_Q_A-B-P-Q_0,A,0.142,0.364,0.142,0.364,1oby
  66,1oby_Q_A-B-P-Q_0,B,0.141,0.366,0.141,0.366,1oby
  67,4xi7_C_A-C_0,A,0.295,0.259,0.259,0.295,4xi7
  68,2r9q_X_A-C-X_1,C,0.267,0.249,0.249,0.267,2r9q
  69,4que_E_A-C-D-E-H-J_0,A,0.251,0.299,0.251,0.299,4que
  70,1d00_I_A-I_0,A,0.217,0.328,0.217,0.328,1d00
  71,6cd9_B_A-B_0,A,0.242,0.380,0.242,0.380,6cd9
  72,1h27_E_A-B-E_0,B,0.292,0.325,0.292,0.325,1h27
  73,4q6f_H_C-H_2,C,0.111,0.367,0.111,0.367,4q6f
  74,4c2g_B_A-B-C_0,A,0.298,0.228,0.228,0.298,4c2g
  75,5iag_D_A-B-D_0,A,0.247,0.291,0.247,0.291,5iag
  76,3s9c_B_A-B_0,A,0.269,0.321,0.269,0.321,3s9c
  77,1w9e_S_A-B-R-S-T_0,B,0.191,0.288,0.191,0.288,1w9e
  78,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.185,0.348,0.185,0.348,1kl5
  79,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.189,0.357,0.189,0.357,1kl5
  80,1awr_J_D-J_5,D,0.207,0.322,0.207,0.322,1awr
  81,3shb_B_A-B_0,A,0.143,0.373,0.143,0.373,3shb
  82,4ezw_E_A-E_0,A,0.205,0.259,0.205,0.259,4ezw
  83,6fkp_G_C-G_2,C,0.113,0.368,0.113,0.368,6fkp
  84,4j82_C_A-C_0,A,0.901,0.901,0.901,0.901,4j82
  85,5iz2_Z_A-B-Z_0,B,0.160,0.297,0.160,0.297,5iz2
  86,1b51_B_A-B_0,A,0.330,0.224,0.224,0.330,1b51
  87,1kyf_P_A-P_0,A,0.243,0.277,0.243,0.277,1kyf
  88,2v1r_R_A-Q-R_0,A,0.125,0.396,0.125,0.396,2v1r
  89,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.341,0.304,0.304,0.341,2ot0
  90,5azf_C_A-C_0,A,0.195,0.375,0.195,0.375,5azf
  91,4es0_C_A-C_0,A,0.999,0.986,0.986,0.999,4es0
  92,1v1t_S_A-B-S-T_0,B,0.196,0.301,0.196,0.301,1v1t
  93,4jmy_E_A-C-E_0,A,0.247,0.347,0.247,0.347,4jmy
  94,2foj_B_A-B_0,A,0.182,0.327,0.182,0.327,2foj
  95,6cd8_C_A-C_0,A,0.242,0.374,0.242,0.374,6cd8
  96,3nij_B_A-B_0,A,0.114,0.297,0.114,0.297,3nij
  97,1se0_B_A-B_0,A,0.163,0.358,0.163,0.358,1se0
  98,3vqg_B_A-B_0,A,0.154,0.365,0.154,0.365,3vqg
  99,1czy_D_A-B-C-D-E_0,A,0.212,0.328,0.212,0.328,1czy
 100,4cic_Q_A-B-Q_0,A,0.184,0.317,0.184,0.317,4cic
 101,4cic_Q_A-B-Q_0,B,0.183,0.313,0.183,0.313,4cic
 102,4v3i_B_A-B_0,A,0.212,0.344,0.212,0.344,4v3i
 103,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.251,0.260,0.251,0.260,2z9i
 104,5m5r_D_A-C-D_0,A,0.694,0.597,0.597,0.694,5m5r
 105,5k4f_C_A-C_0,A,0.150,0.346,0.150,0.346,5k4f
 106,4z88_V_J-V_1,J,0.115,0.373,0.115,0.373,4z88
 107,2y7l_B_A-B_0,A,0.258,0.251,0.251,0.258,2y7l
 108,4x2h_C_A-B-C_0,A,0.204,0.278,0.204,0.278,4x2h
 109,5fow_E_A-E_0,A,0.285,0.352,0.285,0.352,5fow
 110,4ojf_A_A-H-L_0,L,0.185,0.231,0.185,0.231,4ojf
 111,4ojf_A_A-H-L_0,H,0.238,0.294,0.238,0.294,4ojf
 112,1fch_C_A-B-C-D_2,F,0.320,0.322,0.320,0.322,1fch
 113,1fch_C_A-B-C-D_2,A,0.324,0.322,0.322,0.324,1fch
 114,4k76_G_C-G_2,C,0.150,0.361,0.150,0.361,4k76
 115,2f5b_P_H-L-P_0,L,0.216,0.274,0.216,0.274,2f5b
 116,2f5b_P_H-L-P_0,H,0.200,0.238,0.200,0.238,2f5b
 117,5yba_B_A-B-C-D_0,A,0.216,0.317,0.216,0.317,5yba
 118,1a7c_B_A-B-C_0,A,0.270,0.236,0.236,0.270,1a7c
 119,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.167,0.390,0.167,0.390,1xb0
 120,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.168,0.392,0.168,0.392,1xb0
 121,2hl3_C_A-B-C_0,A,0.112,0.323,0.112,0.323,2hl3
 122,2hl3_C_A-B-C_0,B,0.113,0.326,0.113,0.326,2hl3
 123,1elr_B_A-B_0,A,0.188,0.338,0.188,0.338,1elr
 124,1uop_B_A-B_0,A,0.693,0.329,0.329,0.693,1uop
 125,3agy_C_A-B-C-D-F_0,A,0.157,0.231,0.157,0.231,3agy
 126,4ynl_C_A-B-C-D_0,A,0.111,0.274,0.111,0.274,4ynl
 127,4ynl_C_A-B-C-D_0,B,0.109,0.307,0.109,0.307,4ynl
 128,2wa8_D_C-D_1,C,0.134,0.289,0.134,0.289,2wa8
 129,1wcy_C_A-B-C-D_0,A,0.597,0.286,0.286,0.597,1wcy
 130,2h9m_D_C-D_1,C,0.995,0.982,0.982,0.995,2h9m
 131,4zhb_B_A-B_0,A,0.161,0.336,0.161,0.336,4zhb
 132,3sjk_B_A-B_0,A,0.227,0.320,0.227,0.320,3sjk
 133,5fch_C_A-B-C_0,A,0.265,0.216,0.216,0.265,5fch
 134,5fch_C_A-B-C_0,B,0.275,0.226,0.226,0.275,5fch
 135,4iim_E_A-B-C-D-E_0,B,0.112,0.437,0.112,0.437,4iim
 136,4j79_B_A-B_0,A,0.902,0.902,0.902,0.902,4j79
 137,3fwv_C_A-C_0,A,0.184,0.334,0.184,0.334,3fwv
 138,5t6p_E_C-D-E_1,D,0.238,0.305,0.238,0.305,5t6p
 139,5t6p_E_C-D-E_1,C,0.184,0.231,0.184,0.231,5t6p
 140,1b3l_B_A-B_0,A,0.343,0.229,0.229,0.343,1b3l
 141,3ufm_B_A-B_0,A,0.251,0.307,0.251,0.307,3ufm
 142,3thk_C_A-C_0,A,0.115,0.405,0.115,0.405,3thk
 143,1b5j_B_A-B_0,A,0.333,0.223,0.223,0.333,1b5j
 144,2fop_B_A-B_0,A,0.185,0.334,0.185,0.334,2fop
 145,3fp2_Q_A-Q_0,A,0.320,0.229,0.229,0.320,3fp2
 146,3psl_D_B-D_1,B,0.978,0.984,0.978,0.984,3psl
 147,1sua_C_A-C_0,A,0.307,0.335,0.307,0.335,1sua
 148,5elq_P_A-P_0,A,0.131,0.304,0.131,0.304,5elq
 149,3nik_X_D-X_2,D,0.142,0.339,0.142,0.339,3nik
 150,6fqc_E_A-B-D-E_0,A,0.254,0.235,0.235,0.254,6fqc
 151,1obz_P_A-B-P_0,A,0.181,0.278,0.181,0.278,1obz
 152,3emh_B_A-B_0,A,1.000,1.000,1.000,1.000,3emh
 153,3hda_Z_P-Z_0,P,0.268,0.226,0.226,0.268,3hda
 154,5ovv_B_A-B_0,A,0.160,0.349,0.160,0.349,5ovv
 155,2b6n_B_A-B_0,A,0.315,0.332,0.315,0.332,2b6n
