index,syst,chain,tm1,tm2,min,max,pdb
   0,1olc_B_A-B_0,A,0.334,0.182,0.182,0.334,1olc
   1,5v5p_A_A-B-C_0,C,0.256,0.158,0.158,0.256,5v5p
   2,1uop_B_A-B_0,A,0.366,0.148,0.148,0.366,1uop
   3,3hda_Z_P-Z_0,P,0.313,0.204,0.204,0.313,3hda
   4,3hds_E_A-D-E_0,D,0.247,0.402,0.247,0.402,3hds
   5,3hds_E_A-D-E_0,A,0.243,0.379,0.243,0.379,3hds
   6,6eja_B_A-B_0,A,0.381,0.143,0.143,0.381,6eja
   7,1sts_P_B-D-M-P_0,D,0.264,0.387,0.264,0.387,1sts
   8,1sts_P_B-D-M-P_0,A,0.265,0.389,0.265,0.389,1sts
   9,4qbr_P_A-P_0,A,0.174,0.236,0.174,0.236,4qbr
  10,5e6o_E_B-E_1,B,0.215,0.332,0.215,0.332,5e6o
  11,4j77_D_B-D_1,B,0.300,0.237,0.237,0.300,4j77
  12,3d9t_D_B-D_1,B,0.186,0.333,0.186,0.333,3d9t
  13,4b3b_C_A-C_0,A,0.257,0.251,0.251,0.257,4b3b
  14,5wun_C_A-B-C_0,A,0.258,0.159,0.159,0.258,5wun
  15,5kzt_C_A-C_0,A,0.352,0.186,0.186,0.352,5kzt
  16,1b3l_B_A-B_0,A,0.317,0.170,0.170,0.317,1b3l
  17,6fqc_E_A-B-D-E_0,A,0.289,0.211,0.211,0.289,6fqc
  18,4es0_C_A-C_0,A,0.287,0.225,0.225,0.287,4es0
  19,1str_M_B-D-M-P_0,C,0.266,0.394,0.266,0.394,1str
  20,1str_M_B-D-M-P_0,B,0.265,0.385,0.265,0.385,1str
  21,3woo_C_A-B-C-D_0,A,0.302,0.123,0.123,0.302,3woo
  22,1uoq_B_A-B_0,A,0.367,0.151,0.151,0.367,1uoq
  23,6cwp_F_A-B-F_0,A,0.266,0.210,0.210,0.266,6cwp
  24,6cwp_F_A-B-F_0,B,0.255,0.200,0.200,0.255,6cwp
  25,3m5m_C_B-C_1,B,0.249,0.263,0.249,0.263,3m5m
  26,4k3o_E_A-B-E_0,A,0.288,0.200,0.200,0.288,4k3o
  27,3f7o_X_A-X_0,A,0.292,0.242,0.242,0.292,3f7o
  28,4apo_D_B-D_1,B,0.216,0.268,0.216,0.268,4apo
  29,2b6n_B_A-B_0,A,0.287,0.240,0.240,0.287,2b6n
  30,1b05_B_A-B_0,A,0.341,0.182,0.182,0.341,1b05
  31,3fp4_Q_A-Q_0,A,0.277,0.151,0.151,0.277,3fp4
  32,4mvk_B_A-B_0,A,0.271,0.316,0.271,0.316,4mvk
  33,4mz6_A_A-C-E_0,E,0.246,0.151,0.151,0.246,4mz6
  34,3sjk_B_A-B_0,A,0.231,0.262,0.231,0.262,3sjk
  35,2h2f_B_A-B_0,A,0.230,0.218,0.218,0.230,2h2f
  36,5ovc_B_A-B_0,A,0.190,0.339,0.190,0.339,5ovc
  37,5grg_D_A-B-C-D_0,A,0.505,0.413,0.413,0.505,5grg
  38,2x6m_B_A-B_0,A,0.495,0.820,0.495,0.820,2x6m
  39,3nih_B_A-B_0,A,0.163,0.316,0.163,0.316,3nih
  40,3f6k_N_A-N_0,A,0.287,0.126,0.126,0.287,3f6k
  41,3sxu_C_A-B-C_0,A,0.231,0.298,0.231,0.298,3sxu
  42,5fpk_C_A-C_0,A,0.258,0.249,0.249,0.258,5fpk
  43,5k4f_C_A-C_0,A,0.194,0.354,0.194,0.354,5k4f
  44,4od7_E_C-E_2,C,0.245,0.268,0.245,0.268,4od7
  45,1qka_B_A-B_0,A,0.354,0.181,0.181,0.354,1qka
  46,1b58_B_A-B_0,A,0.335,0.179,0.179,0.335,1b58
  47,1czy_D_A-B-C-D-E_0,A,0.282,0.341,0.282,0.341,1czy
  48,1e4x_P_H-L-P_0,L,0.697,0.700,0.697,0.700,1e4x
  49,1e4x_P_H-L-P_0,H,0.746,0.743,0.743,0.746,1e4x
  50,1b9j_B_A-B_0,A,0.316,0.170,0.170,0.316,1b9j
  51,3l81_B_A-B_0,A,0.321,0.289,0.289,0.321,3l81
  52,3t70_F_A-B-C-F_0,A,0.270,0.349,0.270,0.349,3t70
  53,3t70_F_A-B-C-F_0,B,0.270,0.370,0.270,0.370,3t70
  54,4ny3_C_A-C_0,A,0.304,0.240,0.240,0.304,4ny3
  55,5huy_B_A-B-C_0,C,0.257,0.158,0.158,0.257,5huy
  56,3vqg_B_A-B_0,A,0.187,0.356,0.187,0.356,3vqg
  57,3zs6_B_A-B_0,A,0.343,0.186,0.186,0.343,3zs6
  58,3nik_X_D-X_2,D,0.195,0.366,0.195,0.366,3nik
  59,4j81_C_B-C_1,B,0.291,0.229,0.229,0.291,4j81
  60,2fib_B_A-B_0,A,0.285,0.254,0.254,0.285,2fib
  61,1b46_B_A-B_0,A,0.319,0.170,0.170,0.319,1b46
  62,1awr_J_D-J_5,D,0.213,0.260,0.213,0.260,1awr
  63,1ok7_C_A-B-C_0,B,0.280,0.193,0.193,0.280,1ok7
  64,4hxj_C_A-C_0,A,0.131,0.354,0.131,0.354,4hxj
  65,5gu4_C_A-C_0,A,0.324,0.288,0.288,0.324,5gu4
  66,3nim_X_F-X_3,F,0.161,0.310,0.161,0.310,3nim
  67,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.316,0.259,0.259,0.316,2z9i
  68,4k3q_E_A-B-E_0,A,0.279,0.194,0.194,0.279,4k3q
  69,6hpg_c_C-c_2,C,0.205,0.306,0.205,0.306,6hpg
  70,3uf7_B_A-B-C_0,A,0.260,0.253,0.253,0.260,3uf7
  71,3zvy_D_B-D_0,B,0.148,0.329,0.148,0.329,3zvy
  72,2foo_B_A-B_0,A,0.279,0.396,0.279,0.396,2foo
  73,4f74_C_A-B-C_0,A,0.190,0.315,0.190,0.315,4f74
  74,4f74_C_A-B-C_0,B,0.188,0.323,0.188,0.323,4f74
  75,1lvm_C_A-C-E_0,A,0.253,0.242,0.242,0.253,1lvm
  76,4pyw_B_A-B-C_0,A,0.301,0.209,0.209,0.301,4pyw
  77,5jjm_G_A-G-M_0,A,0.245,0.219,0.219,0.245,5jjm
  78,4kg9_B_A-B_0,A,0.278,0.392,0.278,0.392,4kg9
  79,1svz_C_A-B-C-D_0,A,0.494,0.459,0.459,0.494,1svz
  80,3shb_B_A-B_0,A,0.148,0.315,0.148,0.315,3shb
  81,1d0a_G_A-B-C-G-H-I_0,A,0.282,0.341,0.282,0.341,1d0a
  82,4ezw_E_A-E_0,A,0.249,0.249,0.249,0.249,4ezw
  83,1oxn_F_E-F_7,E,0.189,0.331,0.189,0.331,1oxn
  84,4iim_E_A-B-C-D-E_0,B,0.119,0.353,0.119,0.353,4iim
  85,2wa8_D_C-D_1,C,0.221,0.371,0.221,0.371,2wa8
  86,3mmg_C_A-C_0,A,0.231,0.230,0.230,0.231,3mmg
  87,1yth_I_A-B-I_0,A,0.193,0.329,0.193,0.329,1yth
  88,1yth_I_A-B-I_0,B,0.192,0.321,0.192,0.321,1yth
  89,4g69_B_A-B_0,A,0.184,0.312,0.184,0.312,4g69
  90,4ojf_A_A-H-L_0,L,0.537,0.530,0.530,0.537,4ojf
  91,4ojf_A_A-H-L_0,H,0.888,0.873,0.873,0.888,4ojf
  92,4j46_B_A-B_0,A,0.166,0.318,0.166,0.318,4j46
  93,4bjt_E_B-E_2,B,0.236,0.294,0.236,0.294,4bjt
  94,5azf_C_A-C_0,A,0.214,0.335,0.214,0.335,5azf
  95,4faf_D_A-B-D_0,A,0.189,0.310,0.189,0.310,4faf
  96,4faf_D_A-B-D_0,B,0.190,0.323,0.190,0.323,4faf
  97,2hl3_C_A-B-C_0,A,0.161,0.324,0.161,0.324,2hl3
  98,2hl3_C_A-B-C_0,B,0.146,0.340,0.146,0.340,2hl3
  99,1rzx_B_A-B_0,A,0.177,0.310,0.177,0.310,1rzx
 100,4k3r_E_A-B-E_0,A,0.277,0.194,0.194,0.277,4k3r
 101,4j44_B_A-B_0,A,0.167,0.314,0.167,0.314,4j44
 102,5t6p_E_C-D-E_1,D,0.806,0.837,0.806,0.837,5t6p
 103,5t6p_E_C-D-E_1,C,0.538,0.536,0.536,0.538,5t6p
 104,3cww_E_A-B-D-E_0,A,0.341,0.106,0.106,0.341,3cww
 105,1d00_I_A-I_0,A,0.281,0.340,0.281,0.340,1d00
 106,4j82_C_A-C_0,A,0.289,0.227,0.227,0.289,4j82
 107,4k76_G_C-G_2,C,0.191,0.362,0.191,0.362,4k76
 108,1b4z_B_A-B_0,A,0.354,0.182,0.182,0.354,1b4z
 109,1tw6_C_A-B-C-D_2,F,0.183,0.318,0.183,0.318,1tw6
 110,1tw6_C_A-B-C-D_2,A,0.184,0.333,0.184,0.333,1tw6
 111,3psl_D_B-D_1,B,0.294,0.232,0.232,0.294,3psl
 112,1nvs_B_A-B_0,A,0.274,0.240,0.240,0.274,1nvs
 113,1s2k_B_A-B_0,A,0.306,0.321,0.306,0.321,1s2k
 114,4xal_B_A-B_0,A,0.183,0.339,0.183,0.339,4xal
 115,4j79_B_A-B_0,A,0.292,0.230,0.230,0.292,4j79
 116,3rta_B_A-B_0,F,0.334,0.184,0.184,0.334,3rta
 117,3rta_B_A-B_0,A,0.334,0.184,0.184,0.334,3rta
 118,5nqv_G_A-C-E-G_0,C,0.244,0.265,0.244,0.265,5nqv
 119,4j45_B_A-B_0,A,0.168,0.316,0.168,0.316,4j45
 120,4j8b_B_A-B_0,A,0.285,0.230,0.230,0.285,4j8b
 121,4jmy_E_A-C-E_0,A,0.248,0.277,0.248,0.277,4jmy
 122,3upv_B_A-B_0,A,0.204,0.291,0.204,0.291,3upv
 123,5oav_B_A-B_0,A,0.128,0.332,0.128,0.332,5oav
 124,4fii_B_A-B_0,A,0.290,0.237,0.237,0.290,4fii
 125,5m5t_E_A-E-G-I_0,A,0.304,0.215,0.215,0.304,5m5t
 126,4q6f_H_C-H_2,C,0.115,0.271,0.115,0.271,4q6f
 127,4z0u_D_A-D_0,A,0.241,0.302,0.241,0.302,4z0u
 128,4j84_D_B-D_1,B,0.290,0.231,0.231,0.290,4j84
 129,4pz3_C_A-B-C_0,B,0.239,0.301,0.239,0.301,4pz3
 130,2h9m_D_C-D_1,C,0.286,0.224,0.224,0.286,2h9m
 131,3nii_B_A-B_0,A,0.165,0.313,0.165,0.313,3nii
 132,6cdc_C_A-C_0,A,0.238,0.291,0.238,0.291,6cdc
 133,4ezy_B_A-B_2,A,0.253,0.250,0.250,0.253,4ezy
