index,syst,chain,tm1,tm2,min,max,pdb
   0,3fp2_Q_A-Q_0,A,0.207,0.164,0.164,0.207,3fp2
   1,1svz_C_A-B-C-D_0,A,0.185,0.249,0.185,0.249,1svz
   2,1se0_B_A-B_0,A,0.123,0.310,0.123,0.310,1se0
   3,3drh_B_A-B_0,A,0.267,0.192,0.192,0.267,3drh
   4,5xup_D_A-B-C-D_0,B,0.182,0.285,0.182,0.285,5xup
   5,3nij_B_A-B_0,A,0.109,0.313,0.109,0.313,3nij
   6,4k72_C_A-C_0,A,0.139,0.401,0.139,0.401,4k72
   7,5elq_P_A-P_0,A,0.150,0.395,0.150,0.395,5elq
   8,2y7l_B_A-B_0,A,0.259,0.285,0.259,0.285,2y7l
   9,5sxm_D_B-D_1,B,0.219,0.247,0.219,0.247,5sxm
  10,3drk_B_A-B_0,A,0.294,0.213,0.213,0.294,3drk
  11,1kyd_P_A-P_0,A,0.213,0.277,0.213,0.277,1kyd
  12,3s9c_B_A-B_0,A,0.222,0.300,0.222,0.300,3s9c
  13,2v5f_X_A-X_0,A,0.115,0.293,0.115,0.293,2v5f
  14,3sjk_B_A-B_0,A,0.193,0.316,0.193,0.316,3sjk
  15,1v1t_S_A-B-S-T_0,B,0.220,0.383,0.220,0.383,1v1t
  16,3rt9_B_A-B_0,F,0.263,0.210,0.210,0.263,3rt9
  17,3rt9_B_A-B_0,A,0.263,0.210,0.210,0.263,3rt9
  18,4f74_C_A-B-C_0,A,0.122,0.314,0.122,0.314,4f74
  19,4f74_C_A-B-C_0,B,0.128,0.317,0.128,0.317,4f74
  20,4wnn_T_C-D-T_3,D,0.111,0.308,0.111,0.308,4wnn
  21,4wnn_T_C-D-T_3,C,0.130,0.368,0.130,0.368,4wnn
  22,3o2b_D_C-D_1,C,0.128,0.328,0.128,0.328,3o2b
  23,5ovc_B_A-B_0,A,0.156,0.400,0.156,0.400,5ovc
  24,4z88_V_J-V_1,J,0.103,0.338,0.103,0.338,4z88
  25,1ok7_C_A-B-C_0,B,0.987,0.966,0.966,0.987,1ok7
  26,4ynl_C_A-B-C-D_0,A,0.119,0.340,0.119,0.340,4ynl
  27,4ynl_C_A-B-C-D_0,B,0.106,0.315,0.106,0.315,4ynl
  28,5eyz_E_A-E_0,A,0.146,0.424,0.146,0.424,5eyz
  29,3nfl_G_B-C-F-G_5,C,0.142,0.424,0.142,0.424,3nfl
  30,3nil_X_D-X_2,D,0.109,0.313,0.109,0.313,3nil
  31,4k3o_E_A-B-E_0,A,0.999,0.993,0.993,0.999,4k3o
  32,5iag_D_A-B-D_0,A,0.187,0.252,0.187,0.252,5iag
