index,syst,chain,tm1,tm2,min,max,pdb
   0,4mvk_B_A-B_0,A,0.280,0.176,0.176,0.280,4mvk
   1,6cd8_C_A-C_0,A,0.321,0.203,0.203,0.321,6cd8
   2,4j46_B_A-B_0,A,0.261,0.260,0.260,0.261,4j46
   3,4faf_D_A-B-D_0,A,0.256,0.232,0.232,0.256,4faf
   4,4faf_D_A-B-D_0,B,0.310,0.279,0.279,0.310,4faf
   5,5zw6_C_A-B-C-D_0,A,0.297,0.096,0.096,0.297,5zw6
   6,1sdz_B_A-B_0,A,0.253,0.229,0.229,0.253,1sdz
   7,3g19_C_A-C_0,A,0.315,0.310,0.310,0.315,3g19
   8,2v5f_X_A-X_0,A,0.249,0.224,0.224,0.249,2v5f
   9,1awr_J_D-J_5,D,0.352,0.219,0.219,0.352,1awr
  10,4c2c_B_A-B-C_0,A,0.358,0.105,0.105,0.358,4c2c
  11,3emh_B_A-B_0,A,0.339,0.142,0.142,0.339,3emh
  12,3nii_B_A-B_0,A,0.935,0.969,0.935,0.969,3nii
  13,4sga_P_E-P_0,E,0.304,0.200,0.200,0.304,4sga
  14,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.274,0.260,0.260,0.274,2y1l
  15,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.269,0.184,0.184,0.269,2y1l
  16,5elq_P_A-P_0,A,0.284,0.264,0.264,0.284,5elq
  17,4que_E_A-C-D-E-H-J_0,A,0.311,0.144,0.144,0.311,4que
  18,1ghb_P_E-F-G-P_0,F,0.303,0.229,0.229,0.303,1ghb
  19,1ghb_P_E-F-G-P_0,G,0.254,0.235,0.235,0.254,1ghb
  20,1ghb_P_E-F-G-P_0,C,0.254,0.235,0.235,0.254,1ghb
  21,1ghb_P_E-F-G-P_0,B,0.303,0.229,0.229,0.303,1ghb
  22,5ovc_B_A-B_0,A,0.296,0.270,0.270,0.296,5ovc
  23,1se0_B_A-B_0,A,0.260,0.239,0.239,0.260,1se0
  24,3t70_F_A-B-C-F_0,A,0.350,0.246,0.246,0.350,3t70
  25,3t70_F_A-B-C-F_0,B,0.349,0.259,0.259,0.349,3t70
  26,4q6f_H_C-H_2,C,0.292,0.383,0.292,0.383,4q6f
  27,5t6p_E_C-D-E_1,D,0.293,0.162,0.162,0.293,5t6p
  28,5t6p_E_C-D-E_1,C,0.381,0.186,0.186,0.381,5t6p
  29,3gq1_C_A-C_0,A,0.305,0.299,0.299,0.305,3gq1
  30,1b51_B_A-B_0,A,0.369,0.096,0.096,0.369,1b51
  31,1vwa_M_B-D-M-P_0,C,0.274,0.217,0.217,0.274,1vwa
  32,1vwa_M_B-D-M-P_0,B,0.256,0.205,0.205,0.256,1vwa
  33,5b74_D_A-B-D_0,B,0.310,0.235,0.235,0.310,5b74
  34,1d00_I_A-I_0,A,0.337,0.220,0.220,0.337,1d00
  35,3uf7_B_A-B-C_0,A,0.338,0.161,0.161,0.338,3uf7
  36,5iz2_Z_A-B-Z_0,B,0.366,0.277,0.277,0.366,5iz2
  37,1svz_C_A-B-C-D_0,A,0.376,0.174,0.174,0.376,1svz
  38,1b5i_B_A-B_0,A,0.343,0.094,0.094,0.343,1b5i
  39,3rc5_B_A-B_0,A,0.315,0.172,0.172,0.315,3rc5
  40,1b46_B_A-B_0,A,0.358,0.093,0.093,0.358,1b46
  41,4apo_D_B-D_1,B,0.286,0.183,0.183,0.286,4apo
  42,3ou3_C_A-B-C_0,A,0.267,0.240,0.240,0.267,3ou3
  43,3ou3_C_A-B-C_0,B,0.279,0.252,0.252,0.279,3ou3
  44,4bjt_E_B-E_2,B,0.351,0.228,0.228,0.351,4bjt
  45,4ikn_B_A-B_0,A,0.353,0.172,0.172,0.353,4ikn
  46,4xal_B_A-B_0,A,0.272,0.257,0.257,0.272,4xal
  47,2v1r_R_A-Q-R_0,A,0.258,0.290,0.258,0.290,2v1r
  48,3jrv_D_B-D_1,B,0.369,0.258,0.258,0.369,3jrv
  49,3lca_Q_A-Q_0,A,0.266,0.067,0.067,0.266,3lca
  50,4z0u_D_A-D_0,A,0.327,0.221,0.221,0.327,4z0u
  51,1b3l_B_A-B_0,A,0.355,0.095,0.095,0.355,1b3l
  52,1oby_Q_A-B-P-Q_0,A,0.283,0.298,0.283,0.298,1oby
