index,syst,chain,tm1,tm2,min,max,pdb
   0,5jiu_C_A-B-C-D_0,A,0.183,0.271,0.183,0.271,5jiu
   1,5e6o_E_B-E_1,B,0.151,0.336,0.151,0.336,5e6o
   2,5d9g_C_A-C_0,A,0.210,0.280,0.210,0.280,5d9g
   3,3cvl_B_A-B_0,A,0.212,0.246,0.212,0.246,3cvl
   4,2h2f_B_A-B_0,A,0.178,0.246,0.178,0.246,2h2f
   5,4jwd_C_B-C_1,B,0.200,0.284,0.200,0.284,4jwd
   6,1w9e_S_A-B-R-S-T_0,B,0.224,0.395,0.224,0.395,1w9e
   7,1b32_B_A-B_0,A,0.256,0.197,0.197,0.256,1b32
   8,1qka_B_A-B_0,A,0.243,0.188,0.188,0.243,1qka
   9,3nfk_D_A-B-C-D_2,B,0.147,0.433,0.147,0.433,3nfk
  10,4nnm_C_A-C_0,A,0.162,0.388,0.162,0.388,4nnm
  11,4j79_B_A-B_0,A,0.214,0.243,0.214,0.243,4j79
  12,5nqv_G_A-C-E-G_0,C,0.165,0.265,0.165,0.265,5nqv
  13,3lny_B_A-B_0,A,0.143,0.383,0.143,0.383,3lny
  14,1gyb_E_A-B-E-F_0,A,0.145,0.335,0.145,0.335,1gyb
  15,1gyb_E_A-B-E-F_0,B,0.148,0.339,0.148,0.339,1gyb
  16,3oqs_B_A-B_0,A,0.217,0.192,0.192,0.217,3oqs
  17,5v5p_A_A-B-C_0,C,0.217,0.193,0.193,0.217,5v5p
  18,1b05_B_A-B_0,A,0.262,0.201,0.201,0.262,1b05
  19,4j81_C_B-C_1,B,0.198,0.224,0.198,0.224,4j81
  20,3thk_C_A-C_0,A,0.098,0.411,0.098,0.411,3thk
  21,3ou3_C_A-B-C_0,A,0.117,0.305,0.117,0.305,3ou3
  22,3ou3_C_A-B-C_0,B,0.135,0.317,0.135,0.317,3ou3
  23,3hda_Z_P-Z_0,P,0.272,0.262,0.262,0.272,3hda
  24,5fpk_C_A-C_0,A,0.162,0.220,0.162,0.220,5fpk
  25,3hds_E_A-D-E_0,D,0.136,0.336,0.136,0.336,3hds
  26,3hds_E_A-D-E_0,A,0.140,0.323,0.140,0.323,3hds
  27,1mfl_B_A-B_0,A,0.152,0.395,0.152,0.395,1mfl
  28,4gne_B_A-B_0,A,0.134,0.331,0.134,0.331,4gne
  29,6cd9_B_A-B_0,A,0.167,0.288,0.167,0.288,6cd9
  30,3v43_Q_A-Q_0,A,0.124,0.293,0.124,0.293,3v43
  31,3cww_E_A-B-D-E_0,A,0.326,0.156,0.156,0.326,3cww
  32,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.127,0.319,0.127,0.319,1xb0
  33,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.116,0.285,0.116,0.285,1xb0
  34,1sem_C_A-B-C-D_0,A,0.096,0.397,0.096,0.397,1sem
  35,1elr_B_A-B_0,A,0.140,0.295,0.140,0.295,1elr
  36,6exj_B_A-B_0,A,0.143,0.412,0.143,0.412,6exj
  37,3l81_B_A-B_0,A,0.193,0.248,0.193,0.248,3l81
  38,4ouc_B_A-B_0,A,0.243,0.259,0.243,0.259,4ouc
  39,3nij_B_A-B_0,A,0.121,0.348,0.121,0.348,3nij
  40,4ikn_B_A-B_0,A,0.199,0.261,0.199,0.261,4ikn
  41,3wor_C_A-B-C-D_0,A,0.278,0.168,0.168,0.278,3wor
  42,4m38_E_A-B-E-F_0,A,0.234,0.246,0.234,0.246,4m38
  43,3sxu_C_A-B-C_0,A,0.169,0.327,0.169,0.327,3sxu
  44,4ba3_B_A-B_0,A,0.230,0.203,0.203,0.230,4ba3
  45,5wir_D_A-B-C-D_0,B,0.193,0.293,0.193,0.293,5wir
  46,3nin_E_B-E_1,B,0.126,0.351,0.126,0.351,3nin
  47,3gq1_C_A-C_0,A,0.129,0.378,0.129,0.378,3gq1
  48,4j86_C_A-C_0,A,0.217,0.247,0.217,0.247,4j86
  49,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.195,0.199,0.195,0.199,2ot0
  50,4ezy_B_A-B_2,A,0.207,0.290,0.207,0.290,4ezy
  51,1obz_P_A-B-P_0,A,0.224,0.385,0.224,0.385,1obz
  52,3q49_C_B-C_0,B,0.139,0.286,0.139,0.286,3q49
  53,4f74_C_A-B-C_0,A,0.118,0.298,0.118,0.298,4f74
  54,4f74_C_A-B-C_0,B,0.132,0.329,0.132,0.329,4f74
  55,1ddv_B_A-B_0,A,0.136,0.359,0.136,0.359,1ddv
  56,4wvh_C_A-C_0,A,0.286,0.217,0.217,0.286,4wvh
  57,4z88_V_J-V_1,J,0.105,0.339,0.105,0.339,4z88
  58,4j45_B_A-B_0,A,0.116,0.334,0.116,0.334,4j45
  59,3fp4_Q_A-Q_0,A,0.202,0.166,0.166,0.202,3fp4
  60,4jok_D_B-D_1,B,0.141,0.406,0.141,0.406,4jok
  61,1yti_I_A-I_0,A,0.135,0.338,0.135,0.338,1yti
  62,1yti_I_A-I_0,B,0.135,0.338,0.135,0.338,1yti
  63,5iz2_Z_A-B-Z_0,B,0.176,0.404,0.176,0.404,5iz2
  64,4k76_G_C-G_2,C,0.143,0.422,0.143,0.422,4k76
  65,4j47_B_A-B_0,A,0.119,0.339,0.119,0.339,4j47
  66,3q47_C_B-C_0,B,0.140,0.288,0.140,0.288,3q47
  67,4o4y_A_A-H-L_0,L,0.226,0.328,0.226,0.328,4o4y
  68,4o4y_A_A-H-L_0,H,0.200,0.288,0.200,0.288,4o4y
  69,4ezz_B_A-B_1,A,0.207,0.298,0.207,0.298,4ezz
  70,2v3s_C_B-C_1,B,0.125,0.353,0.125,0.353,2v3s
  71,1oxn_F_E-F_7,E,0.132,0.351,0.132,0.351,1oxn
  72,4o51_N_A-B-N_1,A,0.194,0.276,0.194,0.276,4o51
  73,4o51_N_A-B-N_1,B,0.190,0.273,0.190,0.273,4o51
  74,4k3q_E_A-B-E_0,A,0.993,0.999,0.993,0.999,4k3q
  75,4v3i_B_A-B_0,A,0.141,0.274,0.141,0.274,4v3i
  76,1sts_P_B-D-M-P_0,D,0.143,0.345,0.143,0.345,1sts
  77,1sts_P_B-D-M-P_0,A,0.146,0.347,0.146,0.347,1sts
  78,6fqc_E_A-B-D-E_0,A,0.207,0.219,0.207,0.219,6fqc
  79,6ew9_P_A-B-C-P-Q-R_0,A,0.265,0.297,0.265,0.297,6ew9
  80,3qhw_L_A-B-J-L_0,B,0.236,0.297,0.236,0.297,3qhw
  81,1b3g_B_A-B_0,A,0.244,0.190,0.190,0.244,1b3g
  82,3t70_F_A-B-C-F_0,A,0.140,0.274,0.140,0.274,3t70
  83,3t70_F_A-B-C-F_0,B,0.125,0.258,0.125,0.258,3t70
  84,3njj_B_A-B_0,A,0.117,0.285,0.117,0.285,3njj
  85,1fch_C_A-B-C-D_2,F,0.185,0.211,0.185,0.211,1fch
  86,1fch_C_A-B-C-D_2,A,0.189,0.215,0.189,0.215,1fch
  87,1svz_C_A-B-C-D_0,A,0.199,0.272,0.199,0.272,1svz
  88,4ezn_C_A-B-C-D_0,A,0.198,0.287,0.198,0.287,4ezn
  89,4que_E_A-C-D-E-H-J_0,A,0.194,0.268,0.194,0.268,4que
  90,3lca_Q_A-Q_0,A,0.194,0.156,0.156,0.194,3lca
  91,5huw_B_A-B-C_0,C,0.220,0.197,0.197,0.220,5huw
  92,4ezw_E_A-E_0,A,0.199,0.284,0.199,0.284,4ezw
  93,4joh_D_A-D_0,A,0.141,0.407,0.141,0.407,4joh
  94,4j46_B_A-B_0,A,0.118,0.335,0.118,0.335,4j46
  95,2b6n_B_A-B_0,A,0.200,0.242,0.200,0.242,2b6n
  96,1b5i_B_A-B_0,A,0.244,0.188,0.188,0.244,1b5i
  97,4k75_B_A-B_0,A,0.142,0.418,0.142,0.418,4k75
  98,4b3b_C_A-C_0,A,0.174,0.244,0.174,0.244,4b3b
  99,1vwa_M_B-D-M-P_0,C,0.141,0.322,0.141,0.322,1vwa
 100,1vwa_M_B-D-M-P_0,B,0.140,0.325,0.140,0.325,1vwa
 101,3drj_B_A-B_0,A,0.276,0.200,0.200,0.276,3drj
 102,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.142,0.330,0.142,0.330,1kl3
 103,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.143,0.331,0.143,0.331,1kl3
 104,3s9c_B_A-B_0,A,0.224,0.303,0.224,0.303,3s9c
 105,4z8j_B_A-B_0,A,0.153,0.400,0.153,0.400,4z8j
 106,4bjt_E_B-E_2,B,0.171,0.310,0.171,0.310,4bjt
 107,3rt9_B_A-B_0,F,0.288,0.231,0.231,0.288,3rt9
 108,3rt9_B_A-B_0,A,0.288,0.231,0.231,0.288,3rt9
 109,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.134,0.371,0.134,0.371,2y1l
 110,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.151,0.281,0.151,0.281,2y1l
 111,5iag_D_A-B-D_0,A,0.192,0.260,0.192,0.260,5iag
 112,2v5w_G_B-G-L_1,B,0.245,0.242,0.242,0.245,2v5w
 113,4j78_B_A-B_0,A,0.215,0.244,0.215,0.244,4j78
 114,6cd8_C_A-C_0,A,0.150,0.286,0.150,0.286,6cd8
 115,6fkp_G_C-G_2,C,0.082,0.303,0.082,0.303,6fkp
 116,3fp2_Q_A-Q_0,A,0.207,0.165,0.165,0.207,3fp2
 117,5huy_B_A-B-C_0,C,0.219,0.196,0.196,0.219,5huy
 118,2zgh_B_A-B_0,A,0.229,0.319,0.229,0.319,2zgh
 119,4pz3_C_A-B-C_0,B,0.161,0.290,0.161,0.290,4pz3
 120,4g69_B_A-B_0,A,0.144,0.387,0.144,0.387,4g69
 121,1a30_C_A-B-C_0,A,0.123,0.319,0.123,0.319,1a30
 122,1a30_C_A-B-C_0,B,0.132,0.322,0.132,0.322,1a30
 123,3rte_B_A-B_0,G,0.288,0.231,0.231,0.288,3rte
 124,3rte_B_A-B_0,A,0.288,0.231,0.231,0.288,3rte
 125,1h27_E_A-B-E_0,B,0.208,0.264,0.208,0.264,1h27
 126,5fox_C_A-C_0,A,0.187,0.265,0.187,0.265,5fox
 127,3gv4_H_A-H_0,A,0.155,0.407,0.155,0.407,3gv4
 128,5m5r_D_A-C-D_0,A,0.256,0.256,0.256,0.256,5m5r
 129,4ojf_A_A-H-L_0,L,0.198,0.280,0.198,0.280,4ojf
 130,4ojf_A_A-H-L_0,H,0.185,0.262,0.185,0.262,4ojf
 131,1uoq_B_A-B_0,A,0.251,0.152,0.152,0.251,1uoq
 132,5oj5_B_A-B_0,A,0.217,0.241,0.217,0.241,5oj5
 133,4jor_D_B-D_1,B,0.142,0.417,0.142,0.417,4jor
 134,1yth_I_A-B-I_0,A,0.122,0.310,0.122,0.310,1yth
 135,1yth_I_A-B-I_0,B,0.130,0.344,0.130,0.344,1yth
 136,4fii_B_A-B_0,A,0.235,0.275,0.235,0.275,4fii
 137,5kzt_C_A-C_0,A,0.237,0.186,0.186,0.237,5kzt
 138,3rc4_B_A-B_0,A,0.186,0.274,0.186,0.274,3rc4
 139,2r9q_X_A-C-X_1,C,0.222,0.236,0.222,0.236,2r9q
 140,4quh_D_A-C-D-I-J_0,A,0.187,0.259,0.187,0.259,4quh
 141,5uw3_E_A-E_0,A,0.276,0.171,0.171,0.276,5uw3
 142,1ghb_P_E-F-G-P_0,F,0.162,0.340,0.162,0.340,1ghb
 143,1ghb_P_E-F-G-P_0,G,0.121,0.310,0.121,0.310,1ghb
 144,1ghb_P_E-F-G-P_0,C,0.121,0.310,0.121,0.310,1ghb
 145,1ghb_P_E-F-G-P_0,B,0.162,0.340,0.162,0.340,1ghb
 146,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.182,0.186,0.182,0.186,4tr9
 147,2v1r_R_A-Q-R_0,A,0.102,0.366,0.102,0.366,2v1r
 148,3zvy_D_B-D_0,B,0.090,0.308,0.090,0.308,3zvy
 149,2bgr_Y_A-B-Y-Z_0,A,0.280,0.166,0.166,0.280,2bgr
 150,1kyd_P_A-P_0,A,0.213,0.278,0.213,0.278,1kyd
 151,3woo_C_A-B-C-D_0,A,0.280,0.166,0.166,0.280,3woo
 152,1e4x_P_H-L-P_0,L,0.196,0.285,0.196,0.285,1e4x
 153,1e4x_P_H-L-P_0,H,0.203,0.294,0.203,0.294,1e4x
 154,1b46_B_A-B_0,A,0.249,0.192,0.192,0.249,1b46
 155,4ynl_C_A-B-C-D_0,A,0.113,0.342,0.113,0.342,4ynl
 156,4ynl_C_A-B-C-D_0,B,0.107,0.316,0.107,0.316,4ynl
 157,3jrv_D_B-D_1,B,0.160,0.299,0.160,0.299,3jrv
 158,3soq_Z_A-Z_0,A,0.248,0.278,0.248,0.278,3soq
 159,3g19_C_A-C_0,A,0.126,0.371,0.126,0.371,3g19
 160,4q6f_H_C-H_2,C,0.080,0.300,0.080,0.300,4q6f
 161,3zin_C_A-B-C_0,A,0.215,0.192,0.192,0.215,3zin
 162,3m5m_C_B-C_1,B,0.201,0.309,0.201,0.309,3m5m
 163,3vqg_B_A-B_0,A,0.146,0.461,0.146,0.461,3vqg
 164,1kyf_P_A-P_0,A,0.197,0.260,0.197,0.260,1kyf
 165,4j82_C_A-C_0,A,0.216,0.245,0.216,0.245,4j82
 166,4iim_E_A-B-C-D-E_0,B,0.096,0.408,0.096,0.408,4iim
 167,5sxm_D_B-D_1,B,0.219,0.248,0.219,0.248,5sxm
 168,2fib_B_A-B_0,A,0.221,0.291,0.221,0.291,2fib
 169,5tu5_B_A-B_0,A,0.268,0.310,0.268,0.310,5tu5
 170,3nfl_G_B-C-F-G_5,C,0.142,0.424,0.142,0.424,3nfl
 171,4ezq_B_A-B_1,A,0.198,0.282,0.198,0.282,4ezq
 172,4jmy_E_A-C-E_0,A,0.190,0.316,0.190,0.316,4jmy
 173,4k3m_E_A-B-E_0,A,0.993,0.999,0.993,0.999,4k3m
 174,2fop_B_A-B_0,A,0.141,0.275,0.141,0.275,2fop
 175,3nii_B_A-B_0,A,0.121,0.347,0.121,0.347,3nii
 176,3t64_F_A-B-C-F_0,A,0.139,0.264,0.139,0.264,3t64
 177,3t64_F_A-B-C-F_0,B,0.138,0.283,0.138,0.283,3t64
 178,5fch_C_A-B-C_0,A,0.298,0.277,0.277,0.298,5fch
 179,5fch_C_A-B-C_0,B,0.292,0.274,0.274,0.292,5fch
 180,3cbl_B_A-B_0,A,0.286,0.288,0.286,0.288,3cbl
 181,1lvm_C_A-C-E_0,A,0.211,0.288,0.211,0.288,1lvm
 182,4k3p_E_A-B-E_0,A,0.988,0.997,0.988,0.997,4k3p
 183,1oby_Q_A-B-P-Q_0,A,0.132,0.468,0.132,0.468,1oby
 184,1oby_Q_A-B-P-Q_0,B,0.132,0.469,0.132,0.469,1oby
 185,3o2b_D_C-D_1,C,0.131,0.338,0.131,0.338,3o2b
 186,1hsb_C_A-B-C_0,A,0.211,0.255,0.211,0.255,1hsb
 187,3ziq_B_A-B-C_0,A,0.223,0.198,0.198,0.223,3ziq
 188,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.142,0.330,0.142,0.330,1kl5
 189,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.142,0.330,0.142,0.330,1kl5
 190,3f6k_N_A-N_0,A,0.312,0.200,0.200,0.312,3f6k
 191,6cdc_C_A-C_0,A,0.162,0.298,0.162,0.298,6cdc
 192,5ovc_B_A-B_0,A,0.150,0.398,0.150,0.398,5ovc
 193,3ebb_F_A-B-E-F_0,B,0.200,0.250,0.200,0.250,3ebb
 194,3nik_X_D-X_2,D,0.115,0.327,0.115,0.327,3nik
 195,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.205,0.257,0.205,0.257,5fjz
 196,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.205,0.257,0.205,0.257,5fjz
 197,4jop_C_A-C_0,A,0.143,0.416,0.143,0.416,4jop
 198,5oav_B_A-B_0,A,0.091,0.393,0.091,0.393,5oav
 199,4z0u_D_A-D_0,A,0.151,0.299,0.151,0.299,4z0u
 200,4sga_P_E-P_0,E,0.177,0.291,0.177,0.291,4sga
 201,5xcr_F_D-E-F_1,D,0.159,0.277,0.159,0.277,5xcr
 202,5xcr_F_D-E-F_1,E,0.168,0.291,0.168,0.291,5xcr
 203,3upv_B_A-B_0,A,0.135,0.284,0.135,0.284,3upv
 204,4j8b_B_A-B_0,A,0.215,0.245,0.215,0.245,4j8b
 205,5elq_P_A-P_0,A,0.149,0.394,0.149,0.394,5elq
 206,4xi7_C_A-C_0,A,0.240,0.239,0.239,0.240,4xi7
 207,4j09_B_A-B_0,A,0.249,0.311,0.249,0.311,4j09
 208,4j09_B_A-B_0,C,0.249,0.311,0.249,0.311,4j09
 209,4j84_D_B-D_1,B,0.214,0.247,0.214,0.247,4j84
 210,1b4z_B_A-B_0,A,0.250,0.193,0.193,0.250,1b4z
 211,1awr_J_D-J_5,D,0.167,0.296,0.167,0.296,1awr
 212,1b51_B_A-B_0,A,0.242,0.186,0.186,0.242,1b51
 213,4pyw_B_A-B-C_0,A,0.214,0.214,0.214,0.214,4pyw
 214,3ny3_B_A-B_0,A,0.096,0.347,0.096,0.347,3ny3
 215,1d0a_G_A-B-C-G-H-I_0,A,0.145,0.249,0.145,0.249,1d0a
 216,1b58_B_A-B_0,A,0.248,0.192,0.192,0.248,1b58
 217,1sdz_B_A-B_0,A,0.129,0.320,0.129,0.320,1sdz
 218,3m5o_C_A-C_0,A,0.189,0.283,0.189,0.283,3m5o
 219,4k3o_E_A-B-E_0,A,1.000,1.000,1.000,1.000,4k3o
 220,1ok7_C_A-B-C_0,B,0.988,0.972,0.972,0.988,1ok7
 221,3m5n_F_B-F_1,B,0.187,0.279,0.187,0.279,3m5n
 222,1b5j_B_A-B_0,A,0.247,0.191,0.191,0.247,1b5j
 223,1wcy_C_A-B-C-D_0,A,0.298,0.174,0.174,0.298,1wcy
 224,3mqr_B_A-B_0,A,0.140,0.274,0.140,0.274,3mqr
 225,4j44_B_A-B_0,A,0.118,0.337,0.118,0.337,4j44
 226,1b9j_B_A-B_0,A,0.258,0.198,0.198,0.258,1b9j
 227,4dgb_B_A-B_0,A,0.170,0.303,0.170,0.303,4dgb
