index,syst,chain,tm1,tm2,min,max,pdb
   0,2wa8_D_C-D_1,C,0.400,0.284,0.284,0.400,2wa8
   1,5wun_C_A-B-C_0,A,0.332,0.073,0.073,0.332,5wun
   2,3uf7_B_A-B-C_0,A,0.292,0.113,0.113,0.292,3uf7
   3,3m5n_F_B-F_1,B,0.369,0.148,0.148,0.369,3m5n
   4,2hpl_B_A-B_0,A,0.270,0.209,0.209,0.270,2hpl
   5,5uw3_E_A-E_0,A,0.362,0.050,0.050,0.362,5uw3
   6,6cdg_B_A-B_0,A,0.423,0.192,0.192,0.423,6cdg
   7,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.306,0.240,0.240,0.306,1xb0
   8,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.306,0.240,0.240,0.306,1xb0
   9,1h27_E_A-B-E_0,B,0.301,0.114,0.114,0.301,1h27
  10,3dri_B_A-B_0,A,0.376,0.073,0.073,0.376,3dri
  11,3nin_E_B-E_1,B,0.312,0.258,0.258,0.312,3nin
  12,2i3h_C_A-C_0,A,0.317,0.245,0.245,0.317,2i3h
  13,1ok7_C_A-B-C_0,B,0.377,0.091,0.091,0.377,1ok7
  14,2zjd_D_C-D_5,C,0.333,0.210,0.210,0.333,2zjd
  15,4ouc_B_A-B_0,A,0.412,0.109,0.109,0.412,4ouc
  16,5grg_D_A-B-C-D_0,A,0.313,0.109,0.109,0.313,5grg
  17,5xcr_F_D-E-F_1,D,0.305,0.164,0.164,0.305,5xcr
  18,5xcr_F_D-E-F_1,E,0.397,0.170,0.170,0.397,5xcr
  19,1gyb_E_A-B-E-F_0,A,0.313,0.202,0.202,0.313,1gyb
  20,1gyb_E_A-B-E-F_0,B,0.286,0.198,0.198,0.286,1gyb
  21,1awr_J_D-J_5,D,0.371,0.196,0.196,0.371,1awr
  22,4mvk_B_A-B_0,A,0.398,0.182,0.182,0.398,4mvk
  23,4k3p_E_A-B-E_0,A,0.378,0.097,0.097,0.378,4k3p
  24,4jjq_B_A-B_0,A,0.297,0.175,0.175,0.297,4jjq
  25,4m38_E_A-B-E-F_0,A,0.299,0.087,0.087,0.299,4m38
  26,2v17_A_A-H-L_0,L,0.332,0.129,0.129,0.332,2v17
  27,2v17_A_A-H-L_0,H,0.323,0.126,0.126,0.323,2v17
  28,5ovv_B_A-B_0,A,0.369,0.261,0.261,0.369,5ovv
  29,3fp2_Q_A-Q_0,A,0.314,0.069,0.069,0.314,3fp2
  30,3srj_D_A-C-D_0,A,0.423,0.128,0.128,0.423,3srj
  31,2r9q_X_A-C-X_1,C,0.325,0.081,0.081,0.325,2r9q
  32,4j82_C_A-C_0,A,0.409,0.117,0.117,0.409,4j82
  33,2x6m_B_A-B_0,A,0.302,0.198,0.198,0.302,2x6m
  34,1rzx_B_A-B_0,A,0.356,0.248,0.248,0.356,1rzx
  35,1b51_B_A-B_0,A,0.369,0.068,0.068,0.369,1b51
  36,1b4z_B_A-B_0,A,0.374,0.068,0.068,0.374,1b4z
  37,3rc5_B_A-B_0,A,0.403,0.154,0.154,0.403,3rc5
  38,4ezw_E_A-E_0,A,0.371,0.149,0.149,0.371,4ezw
  39,4k3q_E_A-B-E_0,A,0.411,0.098,0.098,0.411,4k3q
  40,4z0u_D_A-D_0,A,0.253,0.153,0.153,0.253,4z0u
  41,2h2f_B_A-B_0,A,0.301,0.118,0.118,0.301,2h2f
  42,1uoq_B_A-B_0,A,0.416,0.050,0.050,0.416,1uoq
  43,3upv_B_A-B_0,A,0.278,0.169,0.169,0.278,3upv
  44,5yba_B_A-B-C-D_0,A,0.341,0.176,0.176,0.341,5yba
  45,3t70_F_A-B-C-F_0,A,0.351,0.197,0.197,0.351,3t70
  46,3t70_F_A-B-C-F_0,B,0.341,0.190,0.190,0.341,3t70
  47,1u9l_C_B-C_1,B,0.292,0.267,0.267,0.292,1u9l
  48,1nvs_B_A-B_0,A,0.312,0.094,0.094,0.312,1nvs
  49,3l81_B_A-B_0,A,0.317,0.118,0.118,0.317,3l81
  50,1b46_B_A-B_0,A,0.400,0.071,0.071,0.400,1b46
  51,4joh_D_A-D_0,A,0.357,0.278,0.278,0.357,4joh
  52,3t64_F_A-B-C-F_0,A,0.340,0.174,0.174,0.340,3t64
  53,3t64_F_A-B-C-F_0,B,0.330,0.200,0.200,0.330,3t64
  54,5jiu_C_A-B-C-D_0,A,0.401,0.168,0.168,0.401,5jiu
  55,5fox_C_A-C_0,A,0.283,0.120,0.120,0.283,5fox
  56,4dgb_B_A-B_0,A,0.292,0.162,0.162,0.292,4dgb
  57,1kyd_P_A-P_0,A,0.379,0.134,0.134,0.379,1kyd
  58,3uoa_L_B-C-L-M_0,B,0.360,0.087,0.087,0.360,3uoa
  59,3ebb_F_A-B-E-F_0,B,0.334,0.120,0.120,0.334,3ebb
  60,3cbl_B_A-B_0,A,0.288,0.100,0.100,0.288,3cbl
  61,3soq_Z_A-Z_0,A,0.374,0.107,0.107,0.374,3soq
  62,4j78_B_A-B_0,A,0.416,0.114,0.114,0.416,4j78
  63,5huw_B_A-B-C_0,C,0.335,0.074,0.074,0.335,5huw
  64,6hpg_c_C-c_2,C,0.290,0.185,0.185,0.290,6hpg
  65,1sua_C_A-C_0,A,0.361,0.140,0.140,0.361,1sua
  66,2v1r_R_A-Q-R_0,A,0.861,0.757,0.757,0.861,2v1r
  67,1evh_B_A-B_0,A,0.441,0.286,0.286,0.441,1evh
  68,3mqr_B_A-B_0,A,0.297,0.175,0.175,0.297,3mqr
  69,1d00_I_A-I_0,A,0.302,0.170,0.170,0.302,1d00
  70,5y53_F_C-E-F_1,C,0.269,0.167,0.167,0.269,5y53
  71,5y53_F_C-E-F_1,E,0.272,0.163,0.163,0.272,5y53
  72,6ew9_P_A-B-C-P-Q-R_0,A,0.467,0.116,0.116,0.467,6ew9
  73,2d5w_C_A-C_0,A,0.315,0.058,0.058,0.315,2d5w
  74,2foj_B_A-B_0,A,0.302,0.176,0.176,0.302,2foj
  75,6eja_B_A-B_0,A,0.307,0.047,0.047,0.307,6eja
  76,4jor_D_B-D_1,B,0.360,0.282,0.282,0.360,4jor
  77,4o51_N_A-B-N_1,A,0.332,0.125,0.125,0.332,4o51
  78,4o51_N_A-B-N_1,B,0.285,0.125,0.125,0.285,4o51
  79,5iz2_Z_A-B-Z_0,B,0.311,0.199,0.199,0.311,5iz2
  80,4pz3_C_A-B-C_0,B,0.303,0.155,0.155,0.303,4pz3
  81,4cic_Q_A-B-Q_0,A,0.304,0.158,0.158,0.304,4cic
  82,4cic_Q_A-B-Q_0,B,0.305,0.163,0.163,0.305,4cic
  83,1b9j_B_A-B_0,A,0.399,0.071,0.071,0.399,1b9j
  84,2zgh_B_A-B_0,A,0.368,0.141,0.141,0.368,2zgh
  85,5m5t_E_A-E-G-I_0,A,0.424,0.093,0.093,0.424,5m5t
  86,2orz_B_A-B_0,A,0.320,0.092,0.092,0.320,2orz
  87,4j45_B_A-B_0,A,0.279,0.233,0.233,0.279,4j45
  88,4g69_B_A-B_0,A,0.360,0.263,0.263,0.360,4g69
  89,4q6f_H_C-H_2,C,0.264,0.277,0.264,0.277,4q6f
  90,3drj_B_A-B_0,A,0.429,0.076,0.076,0.429,3drj
  91,3o2b_D_C-D_1,C,0.414,0.285,0.285,0.414,3o2b
  92,4ezy_B_A-B_2,A,0.362,0.143,0.143,0.362,4ezy
  93,3q49_C_B-C_0,B,0.272,0.164,0.164,0.272,3q49
  94,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.335,0.124,0.124,0.335,5fjz
  95,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.314,0.130,0.130,0.314,5fjz
  96,1wcy_C_A-B-C-D_0,A,0.392,0.051,0.051,0.392,1wcy
