index,syst,chain,tm1,tm2,min,max,pdb
   0,4j45_B_A-B_0,A,0.095,0.418,0.095,0.418,4j45
   1,5m5v_G_A-E-G-I_0,A,0.208,0.301,0.208,0.301,5m5v
   2,5iag_D_A-B-D_0,A,0.184,0.385,0.184,0.385,5iag
   3,5eyz_E_A-E_0,A,0.094,0.369,0.094,0.369,5eyz
   4,3m5o_C_A-C_0,A,0.156,0.351,0.156,0.351,3m5o
   5,3wor_C_A-B-C-D_0,A,0.280,0.251,0.251,0.280,3wor
   6,3rte_B_A-B_0,G,0.238,0.278,0.238,0.278,3rte
   7,3rte_B_A-B_0,A,0.238,0.278,0.238,0.278,3rte
   8,3nil_X_D-X_2,D,0.076,0.355,0.076,0.355,3nil
   9,5yba_B_A-B-C-D_0,A,0.136,0.366,0.136,0.366,5yba
  10,3nii_B_A-B_0,A,0.070,0.298,0.070,0.298,3nii
  11,3hds_E_A-D-E_0,D,0.110,0.438,0.110,0.438,3hds
  12,3hds_E_A-D-E_0,A,0.110,0.413,0.110,0.413,3hds
  13,4ezq_B_A-B_1,A,0.163,0.361,0.163,0.361,4ezq
  14,4jor_D_B-D_1,B,0.084,0.361,0.084,0.361,4jor
  15,3woq_C_A-B-C-D_0,A,0.277,0.248,0.248,0.277,3woq
  16,3sjk_B_A-B_0,A,0.128,0.312,0.128,0.312,3sjk
  17,1gyb_E_A-B-E-F_0,A,0.106,0.341,0.106,0.341,1gyb
  18,1gyb_E_A-B-E-F_0,B,0.103,0.339,0.103,0.339,1gyb
  19,3rc5_B_A-B_0,A,0.156,0.348,0.156,0.348,3rc5
  20,3f6k_N_A-N_0,A,0.250,0.234,0.234,0.250,3f6k
  21,1ddv_B_A-B_0,A,0.097,0.365,0.097,0.365,1ddv
  22,4ouc_B_A-B_0,A,0.213,0.333,0.213,0.333,4ouc
  23,1v1t_S_A-B-S-T_0,B,0.122,0.338,0.122,0.338,1v1t
  24,2zjd_D_C-D_5,C,0.105,0.339,0.105,0.339,2zjd
  25,5nqv_G_A-C-E-G_0,C,0.151,0.355,0.151,0.355,5nqv
  26,1kyf_P_A-P_0,A,0.183,0.354,0.183,0.354,1kyf
  27,3agy_C_A-B-C-D-F_0,A,0.128,0.326,0.128,0.326,3agy
  28,3m5m_C_B-C_1,B,0.155,0.345,0.155,0.345,3m5m
  29,3f7o_X_A-X_0,A,0.189,0.325,0.189,0.325,3f7o
  30,4q6f_H_C-H_2,C,0.056,0.298,0.056,0.298,4q6f
  31,3t70_F_A-B-C-F_0,A,0.123,0.356,0.123,0.356,3t70
  32,3t70_F_A-B-C-F_0,B,0.135,0.413,0.135,0.413,3t70
  33,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.212,0.313,0.212,0.313,4tr9
  34,4k72_C_A-C_0,A,0.086,0.365,0.086,0.365,4k72
  35,1fch_C_A-B-C-D_2,F,0.205,0.352,0.205,0.352,1fch
  36,1fch_C_A-B-C-D_2,A,0.205,0.346,0.205,0.346,1fch
  37,5fou_C_A-C_0,A,0.154,0.321,0.154,0.321,5fou
  38,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.184,0.313,0.184,0.313,2z9i
  39,1elr_B_A-B_0,A,0.115,0.365,0.115,0.365,1elr
  40,4dgb_B_A-B_0,A,0.124,0.347,0.124,0.347,4dgb
  41,2x6m_B_A-B_0,A,0.137,0.494,0.137,0.494,2x6m
  42,6fkp_G_C-G_2,C,0.051,0.341,0.051,0.341,6fkp
  43,6cdg_B_A-B_0,A,0.156,0.432,0.156,0.432,6cdg
  44,4v3i_B_A-B_0,A,0.127,0.382,0.127,0.382,4v3i
  45,5gu4_C_A-C_0,A,0.166,0.312,0.166,0.312,5gu4
  46,4ezn_C_A-B-C-D_0,A,0.167,0.355,0.167,0.355,4ezn
  47,2bgr_Y_A-B-Y-Z_0,A,0.336,0.292,0.292,0.336,2bgr
  48,6eja_B_A-B_0,A,0.288,0.259,0.259,0.288,6eja
  49,1b05_B_A-B_0,A,0.747,0.863,0.747,0.863,1b05
  50,5e6o_E_B-E_1,B,0.113,0.350,0.113,0.350,5e6o
  51,4sga_P_E-P_0,E,0.130,0.328,0.130,0.328,4sga
  52,4odk_C_A-B-C_0,A,0.117,0.324,0.117,0.324,4odk
  53,4j78_B_A-B_0,A,0.201,0.334,0.201,0.334,4j78
  54,5t6p_E_C-D-E_1,D,0.124,0.279,0.124,0.279,5t6p
  55,5t6p_E_C-D-E_1,C,0.155,0.335,0.155,0.335,5t6p
  56,2h59_D_A-B-D-E_0,A,0.170,0.331,0.170,0.331,2h59
  57,2h59_D_A-B-D-E_0,B,0.172,0.337,0.172,0.337,2h59
  58,1b51_B_A-B_0,A,0.747,0.863,0.747,0.863,1b51
  59,5v5p_A_A-B-C_0,C,0.188,0.243,0.188,0.243,5v5p
  60,4jmy_E_A-C-E_0,A,0.132,0.319,0.132,0.319,4jmy
  61,2v3s_C_B-C_1,B,0.100,0.410,0.100,0.410,2v3s
  62,5ovv_B_A-B_0,A,0.086,0.372,0.086,0.372,5ovv
  63,3uoa_L_B-C-L-M_0,B,0.238,0.339,0.238,0.339,3uoa
  64,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.102,0.355,0.102,0.355,1kl3
  65,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.104,0.344,0.104,0.344,1kl3
  66,4jwd_C_B-C_1,B,0.148,0.309,0.148,0.309,4jwd
  67,4f74_C_A-B-C_0,A,0.096,0.381,0.096,0.381,4f74
  68,4f74_C_A-B-C_0,B,0.095,0.379,0.095,0.379,4f74
  69,3l81_B_A-B_0,A,0.178,0.345,0.178,0.345,3l81
  70,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.100,0.424,0.100,0.424,2y1l
  71,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.136,0.404,0.136,0.404,2y1l
  72,2r9q_X_A-C-X_1,C,0.230,0.365,0.230,0.365,2r9q
  73,4iim_E_A-B-C-D-E_0,B,0.060,0.327,0.060,0.327,4iim
  74,4j46_B_A-B_0,A,0.096,0.420,0.096,0.420,4j46
  75,2orz_B_A-B_0,A,0.178,0.290,0.178,0.290,2orz
  76,2h9m_D_C-D_1,C,0.187,0.312,0.187,0.312,2h9m
  77,1b5j_B_A-B_0,A,0.747,0.864,0.747,0.864,1b5j
  78,3mmg_C_A-C_0,A,0.147,0.299,0.147,0.299,3mmg
  79,1olc_B_A-B_0,A,0.747,0.863,0.747,0.863,1olc
  80,3ebb_F_A-B-E-F_0,B,0.186,0.346,0.186,0.346,3ebb
  81,4xi7_C_A-C_0,A,0.177,0.250,0.177,0.250,4xi7
  82,5fov_E_A-E_0,A,0.147,0.310,0.147,0.310,5fov
  83,4z8j_B_A-B_0,A,0.079,0.321,0.079,0.321,4z8j
  84,4j77_D_B-D_1,B,0.190,0.317,0.190,0.317,4j77
  85,1wcy_C_A-B-C-D_0,A,0.334,0.290,0.290,0.334,1wcy
  86,4z88_V_J-V_1,J,0.070,0.361,0.070,0.361,4z88
  87,5jiu_C_A-B-C-D_0,A,0.145,0.307,0.145,0.307,5jiu
  88,6cdc_C_A-C_0,A,0.159,0.436,0.159,0.436,6cdc
  89,3drj_B_A-B_0,A,0.612,0.650,0.612,0.650,3drj
  90,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.196,0.369,0.196,0.369,5fjz
  91,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.182,0.347,0.182,0.347,5fjz
  92,4xal_B_A-B_0,A,0.083,0.336,0.083,0.336,4xal
  93,5huw_B_A-B-C_0,C,0.203,0.263,0.203,0.263,5huw
  94,2h2f_B_A-B_0,A,0.166,0.344,0.166,0.344,2h2f
  95,4o4y_A_A-H-L_0,L,0.162,0.353,0.162,0.353,4o4y
  96,4o4y_A_A-H-L_0,H,0.174,0.374,0.174,0.374,4o4y
  97,4hxj_C_A-C_0,A,0.053,0.298,0.053,0.298,4hxj
  98,3ifo_P_H-L-P_0,L,0.161,0.335,0.161,0.335,3ifo
  99,3ifo_P_H-L-P_0,H,0.159,0.349,0.159,0.349,3ifo
 100,1sua_C_A-C_0,A,0.194,0.362,0.194,0.362,1sua
 101,5wun_C_A-B-C_0,A,0.202,0.259,0.202,0.259,5wun
 102,3upv_B_A-B_0,A,0.110,0.371,0.110,0.371,3upv
 103,3rt9_B_A-B_0,F,0.244,0.283,0.244,0.283,3rt9
 104,3rt9_B_A-B_0,A,0.244,0.283,0.244,0.283,3rt9
 105,6cd9_B_A-B_0,A,0.157,0.432,0.157,0.432,6cd9
 106,4k3r_E_A-B-E_0,A,0.193,0.286,0.193,0.286,4k3r
 107,3zin_C_A-B-C_0,A,0.189,0.247,0.189,0.247,3zin
 108,4f75_C_A-B-C-D_0,A,0.097,0.379,0.097,0.379,4f75
 109,4f75_C_A-B-C-D_0,B,0.097,0.379,0.097,0.379,4f75
 110,5huy_B_A-B-C_0,C,0.175,0.226,0.175,0.226,5huy
 111,3nik_X_D-X_2,D,0.076,0.357,0.076,0.357,3nik
 112,4bjt_E_B-E_2,B,0.131,0.368,0.131,0.368,4bjt
 113,4ikn_B_A-B_0,A,0.169,0.338,0.169,0.338,4ikn
 114,3o2b_D_C-D_1,C,0.106,0.412,0.106,0.412,3o2b
 115,5iz2_Z_A-B-Z_0,B,0.118,0.387,0.118,0.387,5iz2
 116,5oav_B_A-B_0,A,0.055,0.338,0.055,0.338,5oav
 117,3tcg_I_A-I_0,A,0.746,0.863,0.746,0.863,3tcg
 118,1czy_D_A-B-C-D-E_0,A,0.128,0.327,0.128,0.327,1czy
 119,6cd8_C_A-C_0,A,0.160,0.431,0.160,0.431,6cd8
 120,3ivq_D_B-D_1,B,0.121,0.367,0.121,0.367,3ivq
 121,4k75_B_A-B_0,A,0.085,0.366,0.085,0.366,4k75
 122,6fqc_E_A-B-D-E_0,A,0.190,0.290,0.190,0.290,6fqc
 123,2f5b_P_H-L-P_0,L,0.166,0.361,0.166,0.361,2f5b
 124,2f5b_P_H-L-P_0,H,0.163,0.335,0.163,0.335,2f5b
 125,3soq_Z_A-Z_0,A,0.202,0.330,0.202,0.330,3soq
 126,1ghb_P_E-F-G-P_0,F,0.110,0.353,0.110,0.353,1ghb
 127,1ghb_P_E-F-G-P_0,G,0.089,0.343,0.089,0.343,1ghb
 128,1ghb_P_E-F-G-P_0,C,0.089,0.343,0.089,0.343,1ghb
 129,1ghb_P_E-F-G-P_0,B,0.110,0.353,0.110,0.353,1ghb
 130,1jwg_D_B-D_1,B,0.110,0.343,0.110,0.343,1jwg
 131,3psl_D_B-D_1,B,0.188,0.315,0.188,0.315,3psl
 132,4k3m_E_A-B-E_0,A,0.178,0.259,0.178,0.259,4k3m
 133,2fop_B_A-B_0,A,0.118,0.366,0.118,0.366,2fop
 134,1awr_J_D-J_5,D,0.129,0.353,0.129,0.353,1awr
 135,5xcr_F_D-E-F_1,D,0.131,0.389,0.131,0.389,5xcr
 136,5xcr_F_D-E-F_1,E,0.153,0.439,0.153,0.439,5xcr
 137,3jrv_D_B-D_1,B,0.111,0.330,0.111,0.330,3jrv
 138,4jop_C_A-C_0,A,0.085,0.364,0.085,0.364,4jop
 139,5fgb_G_B-E-G_1,E,0.148,0.345,0.148,0.345,5fgb
 140,5fgb_G_B-E-G_1,B,0.146,0.304,0.146,0.304,5fgb
 141,2ql9_G_A-B-C-D-E-F-G_0,D,0.095,0.405,0.095,0.405,2ql9
 142,2ql9_G_A-B-C-D-E-F-G_0,A,0.138,0.443,0.138,0.443,2ql9
 143,2ql9_G_A-B-C-D-E-F-G_0,C,0.137,0.442,0.137,0.442,2ql9
 144,2ql9_G_A-B-C-D-E-F-G_0,B,0.094,0.411,0.094,0.411,2ql9
 145,4wvh_C_A-C_0,A,0.295,0.334,0.295,0.334,4wvh
 146,3ufm_B_A-B_0,A,0.175,0.369,0.175,0.369,3ufm
 147,4joh_D_A-D_0,A,0.085,0.360,0.085,0.360,4joh
 148,5fpk_C_A-C_0,A,0.147,0.308,0.147,0.308,5fpk
 149,2zgh_B_A-B_0,A,0.174,0.367,0.174,0.367,2zgh
 150,5lb7_C_A-B-C_0,A,0.146,0.412,0.146,0.412,5lb7
 151,5lb7_C_A-B-C_0,B,0.080,0.401,0.080,0.401,5lb7
 152,1uop_B_A-B_0,A,0.339,0.299,0.299,0.339,1uop
 153,3drk_B_A-B_0,A,0.627,0.667,0.627,0.667,3drk
 154,1obz_P_A-B-P_0,A,0.119,0.341,0.119,0.341,1obz
 155,2v1r_R_A-Q-R_0,A,0.073,0.406,0.073,0.406,2v1r
 156,4k3o_E_A-B-E_0,A,0.181,0.259,0.181,0.259,4k3o
 157,2v5f_X_A-X_0,A,0.085,0.339,0.085,0.339,2v5f
 158,3rc4_B_A-B_0,A,0.156,0.345,0.156,0.345,3rc4
 159,1b32_B_A-B_0,A,0.747,0.863,0.747,0.863,1b32
 160,5wir_D_A-B-C-D_0,B,0.160,0.348,0.160,0.348,5wir
 161,1vwa_M_B-D-M-P_0,C,0.106,0.374,0.106,0.374,1vwa
 162,1vwa_M_B-D-M-P_0,B,0.107,0.368,0.107,0.368,1vwa
 163,1oby_Q_A-B-P-Q_0,A,0.077,0.335,0.077,0.335,1oby
 164,1oby_Q_A-B-P-Q_0,B,0.070,0.363,0.070,0.363,1oby
 165,2y7l_B_A-B_0,A,0.192,0.308,0.192,0.308,2y7l
 166,4b3b_C_A-C_0,A,0.166,0.341,0.166,0.341,4b3b
 167,5sxm_D_B-D_1,B,0.185,0.303,0.185,0.303,5sxm
 168,3lca_Q_A-Q_0,A,0.253,0.299,0.253,0.299,3lca
 169,3nim_X_F-X_3,F,0.070,0.315,0.070,0.315,3nim
 170,4jjq_B_A-B_0,A,0.118,0.368,0.118,0.368,4jjq
 171,3q47_C_B-C_0,B,0.115,0.352,0.115,0.352,3q47
 172,3gq1_C_A-C_0,A,0.098,0.469,0.098,0.469,3gq1
 173,1b9j_B_A-B_0,A,0.747,0.864,0.747,0.864,1b9j
 174,5jjm_G_A-G-M_0,A,0.170,0.314,0.170,0.314,5jjm
 175,2v5w_G_B-G-L_1,B,0.221,0.320,0.221,0.320,2v5w
 176,3dri_B_A-B_0,A,0.626,0.666,0.626,0.666,3dri
 177,3fp2_Q_A-Q_0,A,0.258,0.305,0.258,0.305,3fp2
 178,3v43_Q_A-Q_0,A,0.097,0.335,0.097,0.335,3v43
 179,1b3l_B_A-B_0,A,0.747,0.864,0.747,0.864,1b3l
 180,1yti_I_A-I_0,A,0.101,0.386,0.101,0.386,1yti
 181,1yti_I_A-I_0,B,0.101,0.386,0.101,0.386,1yti
 182,1a7c_B_A-B-C_0,A,0.213,0.312,0.213,0.312,1a7c
 183,4jok_D_B-D_1,B,0.086,0.364,0.086,0.364,4jok
 184,2v17_A_A-H-L_0,L,0.162,0.351,0.162,0.351,2v17
 185,2v17_A_A-H-L_0,H,0.145,0.329,0.145,0.329,2v17
 186,1evh_B_A-B_0,A,0.100,0.343,0.100,0.343,1evh
 187,5oj5_B_A-B_0,A,0.194,0.310,0.194,0.310,5oj5
 188,2wa8_D_C-D_1,C,0.077,0.361,0.077,0.361,2wa8
 189,1u9l_C_B-C_1,B,0.072,0.374,0.072,0.374,1u9l
 190,4ojf_A_A-H-L_0,L,0.154,0.330,0.154,0.330,4ojf
 191,4ojf_A_A-H-L_0,H,0.179,0.384,0.179,0.384,4ojf
 192,1uoq_B_A-B_0,A,0.323,0.285,0.285,0.323,1uoq
 193,5xup_D_A-B-C-D_0,B,0.153,0.341,0.153,0.341,5xup
 194,2foo_B_A-B_0,A,0.119,0.366,0.119,0.366,2foo
 195,2foj_B_A-B_0,A,0.118,0.366,0.118,0.366,2foj
 196,4j79_B_A-B_0,A,0.187,0.307,0.187,0.307,4j79
 197,1hsb_C_A-B-C_0,A,0.187,0.350,0.187,0.350,1hsb
 198,3shb_B_A-B_0,A,0.075,0.391,0.075,0.391,3shb
 199,4ezw_E_A-E_0,A,0.160,0.339,0.160,0.339,4ezw
 200,4es0_C_A-C_0,A,0.192,0.318,0.192,0.318,4es0
 201,3njj_B_A-B_0,A,0.117,0.444,0.117,0.444,3njj
 202,4x2h_C_A-B-C_0,A,0.157,0.376,0.157,0.376,4x2h
 203,1a30_C_A-B-C_0,A,0.097,0.373,0.097,0.373,1a30
 204,1a30_C_A-B-C_0,B,0.096,0.374,0.096,0.374,1a30
 205,4kg9_B_A-B_0,A,0.119,0.369,0.119,0.369,4kg9
 206,5azf_C_A-C_0,A,0.112,0.345,0.112,0.345,5azf
 207,5k4f_C_A-C_0,A,0.085,0.364,0.085,0.364,5k4f
 208,4c2c_B_A-B-C_0,A,0.224,0.285,0.224,0.285,4c2c
 209,2dze_X_A-B-X_0,A,0.138,0.386,0.138,0.386,2dze
 210,2dze_X_A-B-X_0,B,0.140,0.382,0.140,0.382,2dze
 211,1sts_P_B-D-M-P_0,D,0.106,0.374,0.106,0.374,1sts
 212,1sts_P_B-D-M-P_0,A,0.108,0.371,0.108,0.371,1sts
 213,3qhw_L_A-B-J-L_0,B,0.190,0.349,0.190,0.349,3qhw
 214,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.077,0.351,0.077,0.351,1xb0
 215,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.076,0.351,0.076,0.351,1xb0
 216,3zvy_D_B-D_0,B,0.074,0.393,0.074,0.393,3zvy
 217,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.222,0.327,0.222,0.327,2ot0
 218,3hda_Z_P-Z_0,P,0.162,0.224,0.162,0.224,3hda
 219,1s2k_B_A-B_0,A,0.150,0.328,0.150,0.328,1s2k
 220,1e4x_P_H-L-P_0,L,0.174,0.377,0.174,0.377,1e4x
 221,1e4x_P_H-L-P_0,H,0.151,0.325,0.151,0.325,1e4x
 222,1b58_B_A-B_0,A,0.748,0.864,0.748,0.864,1b58
 223,4k76_G_C-G_2,C,0.089,0.377,0.089,0.377,4k76
 224,3cbl_B_A-B_0,A,0.201,0.298,0.201,0.298,3cbl
 225,4rxh_A_A-B-C_0,B,0.182,0.238,0.182,0.238,4rxh
 226,5d9g_C_A-C_0,A,0.171,0.334,0.171,0.334,5d9g
 227,4j86_C_A-C_0,A,0.190,0.308,0.190,0.308,4j86
 228,3nin_E_B-E_1,B,0.068,0.291,0.068,0.291,3nin
 229,4k3p_E_A-B-E_0,A,0.193,0.286,0.193,0.286,4k3p
 230,3vqg_B_A-B_0,A,0.085,0.381,0.085,0.381,3vqg
 231,4j84_D_B-D_1,B,0.183,0.304,0.183,0.304,4j84
 232,2i3h_C_A-C_0,A,0.078,0.363,0.078,0.363,2i3h
 233,2b6n_B_A-B_0,A,0.197,0.359,0.197,0.359,2b6n
 234,4mz6_A_A-C-E_0,E,0.202,0.262,0.202,0.262,4mz6
 235,1b4z_B_A-B_0,A,0.747,0.863,0.747,0.863,1b4z
 236,1d00_I_A-I_0,A,0.129,0.327,0.129,0.327,1d00
 237,1d0a_G_A-B-C-G-H-I_0,A,0.129,0.327,0.129,0.327,1d0a
 238,3mqr_B_A-B_0,A,0.118,0.367,0.118,0.367,3mqr
 239,4pyw_B_A-B-C_0,A,0.208,0.300,0.208,0.300,4pyw
 240,1sem_C_A-B-C-D_0,A,0.062,0.339,0.062,0.339,1sem
 241,3zs6_B_A-B_0,A,0.743,0.876,0.743,0.876,3zs6
 242,4g69_B_A-B_0,A,0.075,0.343,0.075,0.343,4g69
 243,4c2g_B_A-B-C_0,A,0.226,0.287,0.226,0.287,4c2g
 244,5grg_D_A-B-C-D_0,A,0.197,0.349,0.197,0.349,5grg
 245,6exj_B_A-B_0,A,0.087,0.389,0.087,0.389,6exj
 246,5b74_D_A-B-D_0,B,0.127,0.415,0.127,0.415,5b74
 247,3nih_B_A-B_0,A,0.071,0.299,0.071,0.299,3nih
 248,5kzt_C_A-C_0,A,0.731,0.856,0.731,0.856,5kzt
 249,6ew9_P_A-B-C-P-Q-R_0,A,0.194,0.319,0.194,0.319,6ew9
 250,1b3g_B_A-B_0,A,0.747,0.864,0.747,0.864,1b3g
 251,4pxm_D_A-B-C-D_0,B,0.162,0.332,0.162,0.332,4pxm
 252,5elq_P_A-P_0,A,0.092,0.367,0.092,0.367,5elq
 253,2ipu_P_G-K-P_1,G,0.157,0.341,0.157,0.341,2ipu
 254,2ipu_P_G-K-P_1,K,0.159,0.351,0.159,0.351,2ipu
 255,5ovc_B_A-B_0,A,0.088,0.370,0.088,0.370,5ovc
 256,2fib_B_A-B_0,A,0.184,0.347,0.184,0.347,2fib
 257,1b5i_B_A-B_0,A,0.747,0.863,0.747,0.863,1b5i
