index,syst,chain,tm1,tm2,min,max,pdb
   0,1s2k_B_A-B_0,A,0.245,0.146,0.146,0.245,1s2k
   1,5fpk_C_A-C_0,A,0.407,0.197,0.197,0.407,5fpk
   2,5sxm_D_B-D_1,B,0.327,0.133,0.133,0.327,5sxm
   3,5v5p_A_A-B-C_0,C,0.333,0.084,0.084,0.333,5v5p
   4,5wun_C_A-B-C_0,A,0.324,0.083,0.083,0.324,5wun
   5,4v3i_B_A-B_0,A,0.388,0.235,0.235,0.388,4v3i
   6,3ebb_F_A-B-E-F_0,B,0.328,0.136,0.136,0.328,3ebb
   7,1b3l_B_A-B_0,A,0.426,0.099,0.099,0.426,1b3l
   8,3v43_Q_A-Q_0,A,0.341,0.291,0.291,0.341,3v43
   9,3ivq_D_B-D_1,B,0.265,0.185,0.185,0.265,3ivq
  10,4wvh_C_A-C_0,A,0.394,0.098,0.098,0.394,4wvh
  11,3ifo_P_H-L-P_0,L,0.324,0.169,0.169,0.324,3ifo
  12,3ifo_P_H-L-P_0,H,0.236,0.125,0.125,0.236,3ifo
  13,1ddv_B_A-B_0,A,0.298,0.246,0.246,0.298,1ddv
  14,2wa8_D_C-D_1,C,0.326,0.275,0.275,0.326,2wa8
  15,4jop_C_A-C_0,A,0.247,0.239,0.239,0.247,4jop
  16,1obz_P_A-B-P_0,A,0.335,0.218,0.218,0.335,1obz
  17,3mmg_C_A-C_0,A,0.307,0.162,0.162,0.307,3mmg
  18,4k3o_E_A-B-E_0,A,0.332,0.117,0.117,0.332,4k3o
  19,4jmy_E_A-C-E_0,A,0.317,0.184,0.184,0.317,4jmy
  20,2i3h_C_A-C_0,A,0.277,0.262,0.262,0.277,2i3h
  21,4r5i_B_A-B_0,A,0.444,0.203,0.203,0.444,4r5i
  22,5xup_D_A-B-C-D_0,B,0.432,0.201,0.201,0.432,5xup
  23,3woo_C_A-B-C-D_0,A,0.391,0.065,0.065,0.391,3woo
  24,1sem_C_A-B-C-D_0,A,0.187,0.230,0.187,0.230,1sem
  25,4es0_C_A-C_0,A,0.334,0.135,0.135,0.334,4es0
  26,4k3q_E_A-B-E_0,A,0.368,0.130,0.130,0.368,4k3q
  27,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.403,0.143,0.143,0.403,2ot0
  28,3nih_B_A-B_0,A,0.223,0.231,0.223,0.231,3nih
  29,1a7c_B_A-B-C_0,A,0.430,0.134,0.134,0.430,1a7c
  30,1b5i_B_A-B_0,A,0.423,0.099,0.099,0.423,1b5i
  31,1b5j_B_A-B_0,A,0.424,0.099,0.099,0.424,1b5j
  32,4b3b_C_A-C_0,A,0.399,0.196,0.196,0.399,4b3b
  33,6ew9_P_A-B-C-P-Q-R_0,A,0.380,0.159,0.159,0.380,6ew9
  34,1fch_C_A-B-C-D_2,F,0.392,0.154,0.154,0.392,1fch
  35,1fch_C_A-B-C-D_2,A,0.407,0.166,0.166,0.407,1fch
  36,3oqs_B_A-B_0,A,0.340,0.084,0.084,0.340,3oqs
  37,3dri_B_A-B_0,A,0.391,0.086,0.086,0.391,3dri
  38,2dze_X_A-B-X_0,A,0.279,0.195,0.195,0.279,2dze
  39,2dze_X_A-B-X_0,B,0.295,0.190,0.190,0.295,2dze
  40,3nii_B_A-B_0,A,0.220,0.228,0.220,0.228,3nii
  41,1hsb_C_A-B-C_0,A,0.505,0.194,0.194,0.505,1hsb
  42,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.301,0.284,0.284,0.301,1xb0
  43,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.300,0.283,0.283,0.300,1xb0
  44,4j77_D_B-D_1,B,0.333,0.131,0.131,0.333,4j77
  45,5ovc_B_A-B_0,A,0.258,0.232,0.232,0.258,5ovc
  46,3cww_E_A-B-D-E_0,A,0.410,0.057,0.057,0.410,3cww
  47,5m5v_G_A-E-G-I_0,A,0.319,0.117,0.117,0.319,5m5v
  48,3uf7_B_A-B-C_0,A,0.384,0.193,0.193,0.384,3uf7
  49,5huy_B_A-B-C_0,C,0.329,0.084,0.084,0.329,5huy
  50,4kg9_B_A-B_0,A,0.262,0.189,0.189,0.262,4kg9
  51,1e4x_P_H-L-P_0,L,0.303,0.160,0.160,0.303,1e4x
  52,1e4x_P_H-L-P_0,H,0.262,0.133,0.133,0.262,1e4x
  53,4j81_C_B-C_1,B,0.339,0.134,0.134,0.339,4j81
  54,4k72_C_A-C_0,A,0.247,0.239,0.239,0.247,4k72
  55,2r9q_X_A-C-X_1,C,0.345,0.132,0.132,0.345,2r9q
  56,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.413,0.137,0.137,0.413,4tr9
  57,5yba_B_A-B-C-D_0,A,0.304,0.174,0.174,0.304,5yba
  58,3emh_B_A-B_0,A,0.342,0.137,0.137,0.342,3emh
  59,5fou_C_A-C_0,A,0.397,0.194,0.194,0.397,5fou
  60,2d5w_C_A-C_0,A,0.348,0.080,0.080,0.348,2d5w
  61,5fgb_G_B-E-G_1,E,0.303,0.161,0.161,0.303,5fgb
  62,5fgb_G_B-E-G_1,B,0.277,0.153,0.153,0.277,5fgb
  63,3ziq_B_A-B-C_0,A,0.295,0.090,0.090,0.295,3ziq
  64,1sua_C_A-C_0,A,0.471,0.188,0.188,0.471,1sua
  65,2v5w_G_B-G-L_1,B,0.477,0.136,0.136,0.477,2v5w
  66,4o51_N_A-B-N_1,A,0.234,0.129,0.129,0.234,4o51
  67,4o51_N_A-B-N_1,B,0.308,0.160,0.160,0.308,4o51
  68,4ztd_F_A-B-C-D-E-F_0,C,0.324,0.159,0.159,0.324,4ztd
  69,4pxm_D_A-B-C-D_0,B,0.427,0.189,0.189,0.427,4pxm
  70,2fop_B_A-B_0,A,0.252,0.183,0.183,0.252,2fop
  71,1nvs_B_A-B_0,A,0.387,0.164,0.164,0.387,1nvs
  72,3zvy_D_B-D_0,B,0.246,0.280,0.246,0.280,3zvy
  73,5fch_C_A-B-C_0,A,0.428,0.118,0.118,0.428,5fch
  74,5fch_C_A-B-C_0,B,0.429,0.120,0.120,0.429,5fch
  75,5ovv_B_A-B_0,A,0.259,0.229,0.229,0.259,5ovv
  76,1czy_D_A-B-C-D-E_0,A,0.279,0.172,0.172,0.279,1czy
  77,5nqv_G_A-C-E-G_0,C,0.358,0.183,0.183,0.358,5nqv
  78,3nim_X_F-X_3,F,0.200,0.203,0.200,0.203,3nim
  79,5iza_B_A-B_0,A,0.327,0.092,0.092,0.327,5iza
  80,4bjt_E_B-E_2,B,0.333,0.215,0.215,0.333,4bjt
  81,3fp2_Q_A-Q_0,A,0.380,0.091,0.091,0.380,3fp2
  82,4f74_C_A-B-C_0,A,0.263,0.234,0.234,0.263,4f74
  83,4f74_C_A-B-C_0,B,0.242,0.219,0.219,0.242,4f74
  84,3rt9_B_A-B_0,F,0.403,0.094,0.094,0.403,3rt9
  85,3rt9_B_A-B_0,A,0.403,0.094,0.094,0.403,3rt9
  86,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.237,0.191,0.191,0.237,1kl5
  87,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.278,0.226,0.226,0.278,1kl5
  88,5wir_D_A-B-C-D_0,B,0.461,0.210,0.210,0.461,5wir
  89,6cwp_F_A-B-F_0,A,0.429,0.154,0.154,0.429,6cwp
  90,6cwp_F_A-B-F_0,B,0.494,0.163,0.163,0.494,6cwp
  91,4ezy_B_A-B_2,A,0.461,0.211,0.211,0.461,4ezy
  92,5lyn_C_A-B-C-D_0,A,0.294,0.220,0.220,0.294,5lyn
  93,5lyn_C_A-B-C-D_0,B,0.313,0.209,0.209,0.313,5lyn
  94,3nij_B_A-B_0,A,0.223,0.231,0.223,0.231,3nij
  95,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.339,0.140,0.140,0.339,2z9i
  96,4fii_B_A-B_0,A,0.405,0.150,0.150,0.405,4fii
  97,2foo_B_A-B_0,A,0.242,0.182,0.182,0.242,2foo
  98,5m5r_D_A-C-D_0,A,0.311,0.112,0.112,0.311,5m5r
  99,4k76_G_C-G_2,C,0.268,0.260,0.260,0.268,4k76
 100,4odk_C_A-B-C_0,A,0.280,0.196,0.196,0.280,4odk
 101,4j45_B_A-B_0,A,0.274,0.274,0.274,0.274,4j45
 102,3m5n_F_B-F_1,B,0.274,0.162,0.162,0.274,3m5n
 103,2orz_B_A-B_0,A,0.358,0.148,0.148,0.358,2orz
 104,1elr_B_A-B_0,A,0.309,0.221,0.221,0.309,1elr
 105,3shb_B_A-B_0,A,0.225,0.248,0.225,0.248,3shb
 106,3rc5_B_A-B_0,A,0.307,0.169,0.169,0.307,3rc5
 107,4x2h_C_A-B-C_0,A,0.300,0.165,0.165,0.300,4x2h
 108,4faf_D_A-B-D_0,A,0.259,0.232,0.232,0.259,4faf
 109,4faf_D_A-B-D_0,B,0.227,0.204,0.204,0.227,4faf
 110,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.272,0.216,0.216,0.272,1kl3
