index,syst,chain,tm1,tm2,min,max,pdb
   0,3uf7_B_A-B-C_0,A,0.230,0.336,0.230,0.336,3uf7
   1,4mvk_B_A-B_0,A,0.194,0.334,0.194,0.334,4mvk
   2,1obz_P_A-B-P_0,A,0.203,0.360,0.203,0.360,1obz
   3,6fkp_G_C-G_2,C,0.081,0.294,0.081,0.294,6fkp
   4,3rt9_B_A-B_0,F,0.261,0.210,0.210,0.261,3rt9
   5,3rt9_B_A-B_0,A,0.261,0.210,0.210,0.261,3rt9
   6,4ojf_A_A-H-L_0,L,0.220,0.313,0.220,0.313,4ojf
   7,4ojf_A_A-H-L_0,H,0.214,0.303,0.214,0.303,4ojf
   8,4j09_B_A-B_0,A,0.183,0.231,0.183,0.231,4j09
   9,4j09_B_A-B_0,C,0.183,0.231,0.183,0.231,4j09
  10,1tw6_C_A-B-C-D_2,F,0.130,0.352,0.130,0.352,1tw6
  11,1tw6_C_A-B-C-D_2,A,0.124,0.346,0.124,0.346,1tw6
  12,3tcg_I_A-I_0,A,0.301,0.234,0.234,0.301,3tcg
  13,3ou3_C_A-B-C_0,A,0.149,0.385,0.149,0.385,3ou3
  14,3ou3_C_A-B-C_0,B,0.149,0.384,0.149,0.384,3ou3
  15,4j46_B_A-B_0,A,0.122,0.357,0.122,0.357,4j46
  16,3nfk_D_A-B-C-D_2,B,0.131,0.357,0.131,0.357,3nfk
  17,1b5i_B_A-B_0,A,0.264,0.204,0.204,0.264,1b5i
  18,2ql9_G_A-B-C-D-E-F-G_0,D,0.143,0.419,0.143,0.419,2ql9
  19,2ql9_G_A-B-C-D-E-F-G_0,A,0.180,0.389,0.180,0.389,2ql9
  20,2ql9_G_A-B-C-D-E-F-G_0,C,0.179,0.377,0.179,0.377,2ql9
  21,2ql9_G_A-B-C-D-E-F-G_0,B,0.143,0.418,0.143,0.418,2ql9
  22,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.144,0.416,0.144,0.416,2y1l
  23,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.183,0.369,0.183,0.369,2y1l
  24,3f7o_X_A-X_0,A,0.252,0.297,0.252,0.297,3f7o
  25,4quh_D_A-C-D-I-J_0,A,0.237,0.333,0.237,0.333,4quh
  26,4jok_D_B-D_1,B,0.130,0.354,0.130,0.354,4jok
  27,4pxm_D_A-B-C-D_0,B,0.257,0.370,0.257,0.370,4pxm
  28,4z88_V_J-V_1,J,0.101,0.335,0.101,0.335,4z88
  29,3cww_E_A-B-D-E_0,A,0.306,0.149,0.149,0.306,3cww
  30,3ny3_B_A-B_0,A,0.109,0.368,0.109,0.368,3ny3
  31,4k3q_E_A-B-E_0,A,0.234,0.237,0.234,0.237,4k3q
  32,1b32_B_A-B_0,A,0.273,0.210,0.210,0.273,1b32
  33,1b51_B_A-B_0,A,0.286,0.220,0.220,0.286,1b51
  34,4j84_D_B-D_1,B,0.231,0.267,0.231,0.267,4j84
  35,4ynl_C_A-B-C-D_0,A,0.120,0.354,0.120,0.354,4ynl
  36,4ynl_C_A-B-C-D_0,B,0.129,0.444,0.129,0.444,4ynl
  37,3nik_X_D-X_2,D,0.117,0.339,0.117,0.339,3nik
  38,2fib_B_A-B_0,A,0.213,0.280,0.213,0.280,2fib
  39,5e6o_E_B-E_1,B,0.157,0.367,0.157,0.367,5e6o
  40,3njj_B_A-B_0,A,0.149,0.348,0.149,0.348,3njj
  41,5kzt_C_A-C_0,A,0.278,0.220,0.220,0.278,5kzt
  42,4z0u_D_A-D_0,A,0.169,0.317,0.169,0.317,4z0u
  43,4k3m_E_A-B-E_0,A,0.231,0.234,0.231,0.234,4k3m
  44,4c2c_B_A-B-C_0,A,0.234,0.207,0.207,0.234,4c2c
  45,3o2b_D_C-D_1,C,0.126,0.315,0.126,0.315,3o2b
  46,3nin_E_B-E_1,B,0.112,0.320,0.112,0.320,3nin
  47,1e4x_P_H-L-P_0,L,0.231,0.335,0.231,0.335,1e4x
  48,1e4x_P_H-L-P_0,H,0.235,0.340,0.235,0.340,1e4x
  49,1s2k_B_A-B_0,A,0.192,0.286,0.192,0.286,1s2k
  50,2b6n_B_A-B_0,A,0.236,0.285,0.236,0.285,2b6n
  51,1yti_I_A-I_0,A,0.151,0.384,0.151,0.384,1yti
  52,1yti_I_A-I_0,B,0.151,0.384,0.151,0.384,1yti
  53,3f6k_N_A-N_0,A,0.298,0.195,0.195,0.298,3f6k
  54,4o51_N_A-B-N_1,A,0.221,0.331,0.221,0.331,4o51
  55,4o51_N_A-B-N_1,B,0.221,0.319,0.221,0.319,4o51
  56,5m5u_G_A-E-G_0,A,0.273,0.275,0.273,0.275,5m5u
  57,1b58_B_A-B_0,A,0.261,0.202,0.202,0.261,1b58
  58,5elq_P_A-P_0,A,0.144,0.393,0.144,0.393,5elq
  59,3l81_B_A-B_0,A,0.261,0.342,0.261,0.342,3l81
  60,1qka_B_A-B_0,A,0.271,0.209,0.209,0.271,1qka
  61,4xi7_C_A-C_0,A,0.264,0.265,0.264,0.265,4xi7
  62,4gyo_C_A-B-C-D_0,B,0.265,0.268,0.265,0.268,4gyo
  63,4k76_G_C-G_2,C,0.126,0.353,0.126,0.353,4k76
  64,3wor_C_A-B-C-D_0,A,0.325,0.197,0.197,0.325,3wor
  65,4ztd_F_A-B-C-D-E-F_0,C,0.248,0.330,0.248,0.330,4ztd
  66,6cwp_F_A-B-F_0,A,0.254,0.291,0.254,0.291,6cwp
  67,6cwp_F_A-B-F_0,B,0.266,0.300,0.266,0.300,6cwp
  68,4j82_C_A-C_0,A,0.238,0.272,0.238,0.272,4j82
  69,5jiu_C_A-B-C-D_0,A,0.190,0.284,0.190,0.284,5jiu
  70,5lb7_C_A-B-C_0,A,0.183,0.330,0.183,0.330,5lb7
  71,5lb7_C_A-B-C_0,B,0.126,0.475,0.126,0.475,5lb7
  72,5gu4_C_A-C_0,A,0.240,0.307,0.240,0.307,5gu4
  73,3fp4_Q_A-Q_0,A,0.246,0.200,0.200,0.246,3fp4
  74,4cic_Q_A-B-Q_0,A,0.190,0.378,0.190,0.378,4cic
  75,4cic_Q_A-B-Q_0,B,0.181,0.367,0.181,0.367,4cic
  76,4pz3_C_A-B-C_0,B,0.181,0.351,0.181,0.351,4pz3
  77,5fgb_G_B-E-G_1,E,0.216,0.310,0.216,0.310,5fgb
  78,5fgb_G_B-E-G_1,B,0.218,0.328,0.218,0.328,5fgb
  79,4j86_C_A-C_0,A,0.232,0.265,0.232,0.265,4j86
  80,3nim_X_F-X_3,F,0.118,0.343,0.118,0.343,3nim
  81,1oby_Q_A-B-P-Q_0,A,0.130,0.386,0.130,0.386,1oby
  82,1oby_Q_A-B-P-Q_0,B,0.125,0.376,0.125,0.376,1oby
  83,6ew9_P_A-B-C-P-Q-R_0,A,0.219,0.247,0.219,0.247,6ew9
  84,5tu5_B_A-B_0,A,0.244,0.283,0.244,0.283,5tu5
  85,4dgb_B_A-B_0,A,0.172,0.302,0.172,0.302,4dgb
  86,4m38_E_A-B-E-F_0,A,0.308,0.327,0.308,0.327,4m38
  87,3m5n_F_B-F_1,B,0.178,0.267,0.178,0.267,3m5n
  88,5t6p_E_C-D-E_1,D,0.192,0.287,0.192,0.287,5t6p
  89,5t6p_E_C-D-E_1,C,0.221,0.324,0.221,0.324,5t6p
  90,3ifo_P_H-L-P_0,L,0.224,0.321,0.224,0.321,3ifo
  91,3ifo_P_H-L-P_0,H,0.232,0.336,0.232,0.336,3ifo
  92,3rte_B_A-B_0,G,0.265,0.213,0.213,0.265,3rte
  93,3rte_B_A-B_0,A,0.265,0.213,0.213,0.265,3rte
  94,5wun_C_A-B-C_0,A,0.196,0.176,0.176,0.196,5wun
  95,4odk_C_A-B-C_0,A,0.167,0.294,0.167,0.294,4odk
  96,4j77_D_B-D_1,B,0.234,0.268,0.234,0.268,4j77
  97,3soq_Z_A-Z_0,A,0.241,0.273,0.241,0.273,3soq
  98,4sga_P_E-P_0,E,0.200,0.332,0.200,0.332,4sga
  99,5oav_B_A-B_0,A,0.091,0.352,0.091,0.352,5oav
 100,2i3h_C_A-C_0,A,0.125,0.346,0.125,0.346,2i3h
 101,3q49_C_B-C_0,B,0.192,0.401,0.192,0.401,3q49
 102,1b4z_B_A-B_0,A,0.263,0.203,0.203,0.263,1b4z
 103,4jop_C_A-C_0,A,0.126,0.353,0.126,0.353,4jop
 104,2zgh_B_A-B_0,A,0.229,0.311,0.229,0.311,2zgh
 105,2ce9_X_A-B-X_0,A,0.233,0.246,0.233,0.246,2ce9
 106,2fop_B_A-B_0,A,0.153,0.335,0.153,0.335,2fop
 107,4q6f_H_C-H_2,C,0.089,0.343,0.089,0.343,4q6f
 108,3oqs_B_A-B_0,A,0.196,0.176,0.176,0.196,3oqs
 109,4kg9_B_A-B_0,A,0.152,0.333,0.152,0.333,4kg9
 110,4joh_D_A-D_0,A,0.127,0.350,0.127,0.350,4joh
 111,2v5w_G_B-G-L_1,B,0.268,0.267,0.267,0.268,2v5w
 112,5fow_E_A-E_0,A,0.226,0.324,0.226,0.324,5fow
 113,3lca_Q_A-Q_0,A,0.246,0.200,0.200,0.246,3lca
 114,4pyw_B_A-B-C_0,A,0.892,0.897,0.892,0.897,4pyw
 115,4ezy_B_A-B_2,A,0.195,0.275,0.195,0.275,4ezy
 116,1d00_I_A-I_0,A,0.203,0.350,0.203,0.350,1d00
 117,5m5r_D_A-C-D_0,A,0.236,0.238,0.236,0.238,5m5r
 118,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.153,0.359,0.153,0.359,1kl3
 119,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.154,0.360,0.154,0.360,1kl3
 120,5y53_F_C-E-F_1,C,0.174,0.376,0.174,0.376,5y53
 121,5y53_F_C-E-F_1,E,0.173,0.382,0.173,0.382,5y53
 122,5fou_C_A-C_0,A,0.232,0.336,0.232,0.336,5fou
 123,6exj_B_A-B_0,A,0.136,0.355,0.136,0.355,6exj
 124,1wcy_C_A-B-C-D_0,A,0.292,0.176,0.176,0.292,1wcy
 125,4que_E_A-C-D-E-H-J_0,A,0.235,0.331,0.235,0.331,4que
 126,3mqr_B_A-B_0,A,0.152,0.335,0.152,0.335,3mqr
 127,4z8j_B_A-B_0,A,0.142,0.372,0.142,0.372,4z8j
 128,2g30_S_A-P-S_0,A,0.233,0.322,0.233,0.322,2g30
 129,5fox_C_A-C_0,A,0.229,0.327,0.229,0.327,5fox
 130,2dze_X_A-B-X_0,A,0.148,0.282,0.148,0.282,2dze
 131,2dze_X_A-B-X_0,B,0.148,0.282,0.148,0.282,2dze
 132,3drh_B_A-B_0,A,0.275,0.198,0.198,0.275,3drh
 133,3gv4_H_A-H_0,A,0.137,0.338,0.137,0.338,3gv4
 134,4iim_E_A-B-C-D-E_0,B,0.086,0.321,0.086,0.321,4iim
 135,4hxj_C_A-C_0,A,0.097,0.367,0.097,0.367,4hxj
 136,6eja_B_A-B_0,A,0.287,0.180,0.180,0.287,6eja
 137,4c2g_B_A-B-C_0,A,0.234,0.207,0.207,0.234,4c2g
 138,3fp2_Q_A-Q_0,A,0.259,0.209,0.209,0.259,3fp2
 139,3srj_D_A-C-D_0,A,0.253,0.291,0.253,0.291,3srj
 140,3d9t_D_B-D_1,B,0.130,0.346,0.130,0.346,3d9t
 141,4es0_C_A-C_0,A,0.237,0.268,0.237,0.268,4es0
 142,4j79_B_A-B_0,A,0.237,0.272,0.237,0.272,4j79
 143,5eyz_E_A-E_0,A,0.133,0.355,0.133,0.355,5eyz
 144,3lny_B_A-B_0,A,0.121,0.336,0.121,0.336,3lny
 145,4jjq_B_A-B_0,A,0.152,0.334,0.152,0.334,4jjq
 146,5xup_D_A-B-C-D_0,B,0.224,0.347,0.224,0.347,5xup
 147,2h9m_D_C-D_1,C,0.238,0.268,0.238,0.268,2h9m
 148,3zvy_D_B-D_0,B,0.096,0.304,0.096,0.304,3zvy
 149,3agy_C_A-B-C-D-F_0,A,0.151,0.250,0.151,0.250,3agy
 150,4wvh_C_A-C_0,A,0.265,0.204,0.204,0.265,4wvh
 151,3ufm_B_A-B_0,A,0.234,0.330,0.234,0.330,3ufm
 152,2foj_B_A-B_0,A,0.153,0.335,0.153,0.335,2foj
 153,3t64_F_A-B-C-F_0,A,0.167,0.300,0.167,0.300,3t64
 154,3t64_F_A-B-C-F_0,B,0.165,0.326,0.165,0.326,3t64
 155,2v3s_C_B-C_1,B,0.157,0.433,0.157,0.433,2v3s
