index,syst,chain,tm1,tm2,min,max,pdb
   0,3ivq_D_B-D_1,B,0.256,0.270,0.256,0.270,3ivq
   1,4faf_D_A-B-D_0,A,0.218,0.284,0.218,0.284,4faf
   2,4faf_D_A-B-D_0,B,0.219,0.284,0.219,0.284,4faf
   3,5eyz_E_A-E_0,A,0.255,0.350,0.255,0.350,5eyz
   4,5fou_C_A-C_0,A,0.303,0.227,0.227,0.303,5fou
   5,3nij_B_A-B_0,A,0.209,0.306,0.209,0.306,3nij
   6,5m5u_G_A-E-G_0,A,0.283,0.155,0.155,0.283,5m5u
   7,1ok7_C_A-B-C_0,B,0.286,0.151,0.151,0.286,1ok7
   8,4qbr_P_A-P_0,A,0.249,0.265,0.249,0.265,4qbr
   9,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.231,0.311,0.231,0.311,1xb0
  10,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.228,0.309,0.228,0.309,1xb0
  11,1h27_E_A-B-E_0,B,0.288,0.201,0.201,0.288,1h27
  12,3sjk_B_A-B_0,A,0.340,0.302,0.302,0.340,3sjk
  13,1rzx_B_A-B_0,A,0.230,0.301,0.230,0.301,1rzx
  14,4ba3_B_A-B_0,A,0.322,0.147,0.147,0.322,4ba3
  15,3srj_D_A-C-D_0,A,0.335,0.206,0.206,0.335,3srj
  16,3lca_Q_A-Q_0,A,0.289,0.125,0.125,0.289,3lca
  17,5m5v_G_A-E-G-I_0,A,0.309,0.165,0.165,0.309,5m5v
  18,2v17_A_A-H-L_0,L,0.314,0.244,0.244,0.314,2v17
  19,2v17_A_A-H-L_0,H,0.341,0.258,0.258,0.341,2v17
  20,1fch_C_A-B-C-D_2,F,0.313,0.188,0.188,0.313,1fch
  21,1fch_C_A-B-C-D_2,A,0.316,0.188,0.188,0.316,1fch
  22,1obz_P_A-B-P_0,A,0.283,0.268,0.268,0.283,1obz
  23,4z8j_B_A-B_0,A,0.236,0.319,0.236,0.319,4z8j
  24,4apo_D_B-D_1,B,0.261,0.258,0.258,0.261,4apo
  25,5m5t_E_A-E-G-I_0,A,0.273,0.148,0.148,0.273,5m5t
  26,3lny_B_A-B_0,A,0.242,0.336,0.242,0.336,3lny
  27,1a30_C_A-B-C_0,A,0.223,0.290,0.223,0.290,1a30
  28,1a30_C_A-B-C_0,B,0.222,0.287,0.222,0.287,1a30
  29,3nik_X_D-X_2,D,0.193,0.289,0.193,0.289,3nik
  30,3drk_B_A-B_0,A,0.433,0.164,0.164,0.433,3drk
  31,4ojf_A_A-H-L_0,L,0.287,0.225,0.225,0.287,4ojf
  32,4ojf_A_A-H-L_0,H,0.303,0.240,0.240,0.303,4ojf
  33,3thk_C_A-C_0,A,0.155,0.303,0.155,0.303,3thk
  34,1d00_I_A-I_0,A,0.263,0.244,0.244,0.263,1d00
