index,syst,chain,tm1,tm2,min,max,pdb
   0,2d5w_C_A-C_0,A,0.349,0.123,0.123,0.349,2d5w
   1,1a7c_B_A-B-C_0,A,0.335,0.174,0.174,0.335,1a7c
   2,1rzx_B_A-B_0,A,0.175,0.243,0.175,0.243,1rzx
   3,2b6n_B_A-B_0,A,0.363,0.240,0.240,0.363,2b6n
   4,2zjd_D_C-D_5,C,0.248,0.286,0.248,0.286,2zjd
   5,2foj_B_A-B_0,A,0.233,0.251,0.233,0.251,2foj
   6,2g30_S_A-P-S_0,A,0.280,0.211,0.211,0.280,2g30
   7,3uf7_B_A-B-C_0,A,0.347,0.269,0.269,0.347,3uf7
   8,4j79_B_A-B_0,A,0.286,0.182,0.182,0.286,4j79
   9,4joh_D_A-D_0,A,0.171,0.236,0.171,0.236,4joh
  10,2ql9_G_A-B-C-D-E-F-G_0,D,0.224,0.331,0.224,0.331,2ql9
  11,2ql9_G_A-B-C-D-E-F-G_0,A,0.281,0.299,0.281,0.299,2ql9
  12,2ql9_G_A-B-C-D-E-F-G_0,C,0.294,0.314,0.294,0.314,2ql9
  13,2ql9_G_A-B-C-D-E-F-G_0,B,0.225,0.332,0.225,0.332,2ql9
  14,2ce9_X_A-B-X_0,A,0.283,0.163,0.163,0.283,2ce9
  15,5fox_C_A-C_0,A,0.339,0.260,0.260,0.339,5fox
  16,4r5i_B_A-B_0,A,0.287,0.225,0.225,0.287,4r5i
  17,3fp2_Q_A-Q_0,A,0.675,0.245,0.245,0.675,3fp2
  18,4c2g_B_A-B-C_0,A,0.322,0.155,0.155,0.322,4c2g
  19,5uw3_E_A-E_0,A,0.379,0.124,0.124,0.379,5uw3
  20,4fii_B_A-B_0,A,0.333,0.204,0.204,0.333,4fii
  21,1awr_J_D-J_5,D,0.290,0.278,0.278,0.290,1awr
  22,5fpk_C_A-C_0,A,0.336,0.262,0.262,0.336,5fpk
  23,3sxu_C_A-B-C_0,A,0.325,0.338,0.325,0.338,3sxu
  24,1b32_B_A-B_0,A,0.311,0.132,0.132,0.311,1b32
  25,3fwv_C_A-C_0,A,0.613,0.711,0.613,0.711,3fwv
  26,5fov_E_A-E_0,A,0.333,0.260,0.260,0.333,5fov
  27,5eyz_E_A-E_0,A,0.175,0.238,0.175,0.238,5eyz
  28,2v5f_X_A-X_0,A,0.537,0.814,0.537,0.814,2v5f
  29,1czy_D_A-B-C-D-E_0,A,0.297,0.280,0.280,0.297,1czy
  30,3m5o_C_A-C_0,A,0.325,0.273,0.273,0.325,3m5o
  31,4gyo_C_A-B-C-D_0,B,0.680,0.323,0.323,0.680,4gyo
  32,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.209,0.245,0.209,0.245,1kl3
  33,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.210,0.244,0.210,0.244,1kl3
  34,1kyd_P_A-P_0,A,0.269,0.196,0.196,0.269,1kyd
  35,4j86_C_A-C_0,A,0.291,0.183,0.183,0.291,4j86
  36,4jop_C_A-C_0,A,0.174,0.258,0.174,0.258,4jop
  37,5huw_B_A-B-C_0,C,0.544,0.249,0.249,0.544,5huw
  38,3cww_E_A-B-D-E_0,A,0.349,0.088,0.088,0.349,3cww
  39,3f6k_N_A-N_0,A,0.367,0.121,0.121,0.367,3f6k
  40,3nin_E_B-E_1,B,0.166,0.256,0.166,0.256,3nin
  41,3q49_C_B-C_0,B,0.750,0.862,0.750,0.862,3q49
  42,3emh_B_A-B_0,A,0.293,0.184,0.184,0.293,3emh
  43,1hsb_C_A-B-C_0,A,0.271,0.177,0.177,0.271,1hsb
  44,3uoa_L_B-C-L-M_0,B,0.326,0.169,0.169,0.326,3uoa
  45,3dri_B_A-B_0,A,0.292,0.116,0.116,0.292,3dri
  46,1tw6_C_A-B-C-D_2,F,0.256,0.353,0.256,0.353,1tw6
  47,1tw6_C_A-B-C-D_2,A,0.226,0.332,0.226,0.332,1tw6
  48,4ezq_B_A-B_1,A,0.297,0.229,0.229,0.297,4ezq
  49,1sua_C_A-C_0,A,0.314,0.212,0.212,0.314,1sua
  50,4o51_N_A-B-N_1,A,0.295,0.232,0.232,0.295,4o51
  51,4o51_N_A-B-N_1,B,0.272,0.218,0.218,0.272,4o51
  52,4odk_C_A-B-C_0,A,0.223,0.224,0.223,0.224,4odk
  53,5gu4_C_A-C_0,A,0.396,0.270,0.270,0.396,5gu4
  54,4f74_C_A-B-C_0,A,0.192,0.259,0.192,0.259,4f74
  55,4f74_C_A-B-C_0,B,0.217,0.287,0.217,0.287,4f74
  56,1b46_B_A-B_0,A,0.302,0.122,0.122,0.302,1b46
  57,2ipu_P_G-K-P_1,G,0.307,0.237,0.237,0.307,2ipu
  58,2ipu_P_G-K-P_1,K,0.298,0.233,0.233,0.298,2ipu
  59,4que_E_A-C-D-E-H-J_0,A,0.340,0.254,0.254,0.340,4que
  60,3gq1_C_A-C_0,A,0.214,0.345,0.214,0.345,3gq1
  61,2f5b_P_H-L-P_0,L,0.287,0.229,0.229,0.287,2f5b
  62,2f5b_P_H-L-P_0,H,0.310,0.232,0.232,0.310,2f5b
  63,4bjt_E_B-E_2,B,0.298,0.300,0.298,0.300,4bjt
  64,3rta_B_A-B_0,F,0.392,0.165,0.165,0.392,3rta
  65,3rta_B_A-B_0,A,0.392,0.165,0.165,0.392,3rta
  66,3m5n_F_B-F_1,B,0.309,0.258,0.258,0.309,3m5n
  67,1h27_E_A-B-E_0,B,0.343,0.235,0.235,0.343,1h27
  68,5oj5_B_A-B_0,A,0.302,0.185,0.185,0.302,5oj5
  69,5ovc_B_A-B_0,A,0.183,0.247,0.183,0.247,5ovc
  70,5lb7_C_A-B-C_0,A,0.415,0.393,0.393,0.415,5lb7
  71,5lb7_C_A-B-C_0,B,0.425,0.780,0.425,0.780,5lb7
  72,4qbr_P_A-P_0,A,0.243,0.265,0.243,0.265,4qbr
  73,1kyf_P_A-P_0,A,0.285,0.208,0.208,0.285,1kyf
  74,5oav_B_A-B_0,A,0.156,0.324,0.156,0.324,5oav
  75,2wa8_D_C-D_1,C,0.230,0.321,0.230,0.321,2wa8
  76,5b74_D_A-B-D_0,B,0.283,0.317,0.283,0.317,5b74
  77,5grg_D_A-B-C-D_0,A,0.271,0.177,0.177,0.271,5grg
  78,3qhw_L_A-B-J-L_0,B,0.352,0.239,0.239,0.352,3qhw
  79,3fp4_Q_A-Q_0,A,0.670,0.243,0.243,0.670,3fp4
  80,1b40_B_A-B_0,A,0.321,0.132,0.132,0.321,1b40
  81,5xup_D_A-B-C-D_0,B,0.532,0.443,0.443,0.532,5xup
  82,2v3s_C_B-C_1,B,0.206,0.275,0.206,0.275,2v3s
  83,5k4f_C_A-C_0,A,0.147,0.214,0.147,0.214,5k4f
  84,3wor_C_A-B-C-D_0,A,0.384,0.104,0.104,0.384,3wor
  85,2v1r_R_A-Q-R_0,A,0.155,0.268,0.155,0.268,2v1r
  86,4wnn_T_C-D-T_3,D,0.249,0.344,0.249,0.344,4wnn
  87,4wnn_T_C-D-T_3,C,0.209,0.354,0.209,0.354,4wnn
  88,1ghb_P_E-F-G-P_0,F,0.238,0.265,0.238,0.265,1ghb
  89,1ghb_P_E-F-G-P_0,G,0.207,0.281,0.207,0.281,1ghb
  90,1ghb_P_E-F-G-P_0,C,0.207,0.281,0.207,0.281,1ghb
  91,1ghb_P_E-F-G-P_0,B,0.238,0.265,0.238,0.265,1ghb
  92,4j46_B_A-B_0,A,0.213,0.331,0.213,0.331,4j46
  93,4mvk_B_A-B_0,A,0.302,0.280,0.280,0.302,4mvk
  94,5t6p_E_C-D-E_1,D,0.293,0.241,0.241,0.293,5t6p
