index,syst,chain,tm1,tm2,min,max,pdb
   0,4b3b_C_A-C_0,A,0.251,0.247,0.247,0.251,4b3b
   1,1gyb_E_A-B-E-F_0,A,0.214,0.316,0.214,0.316,1gyb
   2,1gyb_E_A-B-E-F_0,B,0.212,0.311,0.212,0.311,1gyb
   3,1oxn_F_E-F_7,E,0.178,0.326,0.178,0.326,1oxn
   4,4cic_Q_A-B-Q_0,A,0.220,0.304,0.220,0.304,4cic
   5,4cic_Q_A-B-Q_0,B,0.207,0.282,0.207,0.282,4cic
   6,1se0_B_A-B_0,A,0.192,0.326,0.192,0.326,1se0
   7,5kzt_C_A-C_0,A,0.350,0.185,0.185,0.350,5kzt
   8,3ufm_B_A-B_0,A,0.280,0.270,0.270,0.280,3ufm
   9,4ezn_C_A-B-C-D_0,A,0.276,0.283,0.276,0.283,4ezn
  10,2ce9_X_A-B-X_0,A,0.270,0.196,0.196,0.270,2ce9
  11,3rc5_B_A-B_0,A,0.233,0.248,0.233,0.248,3rc5
  12,3soq_Z_A-Z_0,A,0.254,0.201,0.201,0.254,3soq
  13,1awr_J_D-J_5,D,0.217,0.266,0.217,0.266,1awr
  14,3qhw_L_A-B-J-L_0,B,0.250,0.223,0.223,0.250,3qhw
  15,2v5w_G_B-G-L_1,B,0.292,0.199,0.199,0.292,2v5w
  16,4m38_E_A-B-E-F_0,A,0.320,0.238,0.238,0.320,4m38
  17,5e6o_E_B-E_1,B,0.180,0.275,0.180,0.275,5e6o
  18,4hxj_C_A-C_0,A,0.125,0.279,0.125,0.279,4hxj
  19,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.181,0.316,0.181,0.316,2y1l
  20,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.214,0.275,0.214,0.275,2y1l
  21,2v3s_C_B-C_1,B,0.216,0.378,0.216,0.378,2v3s
  22,4q6f_H_C-H_2,C,0.116,0.320,0.116,0.320,4q6f
  23,1sts_P_B-D-M-P_0,D,0.268,0.400,0.268,0.400,1sts
  24,1sts_P_B-D-M-P_0,A,0.254,0.373,0.254,0.373,1sts
  25,5huw_B_A-B-C_0,C,0.247,0.156,0.156,0.247,5huw
  26,3drj_B_A-B_0,A,0.386,0.185,0.185,0.386,3drj
  27,4o51_N_A-B-N_1,A,0.722,0.733,0.722,0.733,4o51
  28,4o51_N_A-B-N_1,B,0.716,0.729,0.716,0.729,4o51
  29,1d0a_G_A-B-C-G-H-I_0,A,0.299,0.368,0.299,0.368,1d0a
  30,6exj_B_A-B_0,A,0.167,0.307,0.167,0.307,6exj
  31,3hds_E_A-D-E_0,D,0.246,0.408,0.246,0.408,3hds
  32,3hds_E_A-D-E_0,A,0.237,0.384,0.237,0.384,3hds
  33,1b5j_B_A-B_0,A,0.382,0.198,0.198,0.382,1b5j
  34,5iag_D_A-B-D_0,A,0.247,0.233,0.233,0.247,5iag
  35,3q49_C_B-C_0,B,0.204,0.292,0.204,0.292,3q49
  36,2x6m_B_A-B_0,A,0.498,0.836,0.498,0.836,2x6m
  37,4mz6_A_A-C-E_0,E,0.249,0.156,0.156,0.249,4mz6
  38,1w9e_S_A-B-R-S-T_0,B,0.228,0.276,0.228,0.276,1w9e
  39,3sxu_C_A-B-C_0,A,0.231,0.306,0.231,0.306,3sxu
  40,4r5i_B_A-B_0,A,0.248,0.246,0.246,0.248,4r5i
  41,1b4z_B_A-B_0,A,0.328,0.170,0.170,0.328,1b4z
  42,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.259,0.189,0.189,0.259,4tr9
  43,4jok_D_B-D_1,B,0.182,0.348,0.182,0.348,4jok
  44,3fp2_Q_A-Q_0,A,0.282,0.157,0.157,0.282,3fp2
  45,5oj5_B_A-B_0,A,0.288,0.220,0.220,0.288,5oj5
