index,syst,chain,tm1,tm2,min,max,pdb
   0,4bjt_E_B-E_2,B,0.387,0.267,0.267,0.387,4bjt
   1,5wir_D_A-B-C-D_0,B,0.365,0.192,0.192,0.365,5wir
   2,3nij_B_A-B_0,A,0.296,0.309,0.296,0.309,3nij
   3,6exj_B_A-B_0,A,0.771,0.742,0.742,0.771,6exj
   4,4j44_B_A-B_0,A,0.270,0.273,0.270,0.273,4j44
   5,2d5w_C_A-C_0,A,0.381,0.085,0.085,0.381,2d5w
   6,4ezw_E_A-E_0,A,0.324,0.175,0.175,0.324,4ezw
   7,3cbl_B_A-B_0,A,0.357,0.131,0.131,0.357,3cbl
   8,5wun_C_A-B-C_0,A,0.249,0.081,0.081,0.249,5wun
   9,3sxu_C_A-B-C_0,A,0.291,0.209,0.209,0.291,3sxu
  10,5iza_B_A-B_0,A,0.274,0.102,0.102,0.274,5iza
  11,1b3l_B_A-B_0,A,0.378,0.103,0.103,0.378,1b3l
  12,4k76_G_C-G_2,C,0.819,0.802,0.802,0.819,4k76
  13,6eja_B_A-B_0,A,0.385,0.073,0.073,0.385,6eja
  14,1mfl_B_A-B_0,A,0.805,0.731,0.731,0.805,1mfl
  15,1obz_P_A-B-P_0,A,0.806,0.453,0.453,0.806,1obz
  16,4f75_C_A-B-C-D_0,A,0.313,0.286,0.286,0.313,4f75
  17,4f75_C_A-B-C-D_0,B,0.316,0.289,0.289,0.316,4f75
  18,4k3p_E_A-B-E_0,A,0.460,0.144,0.144,0.460,4k3p
  19,3hda_Z_P-Z_0,P,0.347,0.109,0.109,0.347,3hda
  20,1kyd_P_A-P_0,A,0.348,0.166,0.166,0.348,1kyd
  21,2i3h_C_A-C_0,A,0.286,0.277,0.277,0.286,2i3h
  22,3t64_F_A-B-C-F_0,A,0.383,0.255,0.255,0.383,3t64
  23,3t64_F_A-B-C-F_0,B,0.310,0.229,0.229,0.310,3t64
  24,1olc_B_A-B_0,A,0.418,0.101,0.101,0.418,1olc
  25,5fch_C_A-B-C_0,A,0.384,0.130,0.130,0.384,5fch
  26,5fch_C_A-B-C_0,B,0.383,0.131,0.131,0.383,5fch
  27,5t6p_E_C-D-E_1,D,0.331,0.167,0.167,0.331,5t6p
  28,5t6p_E_C-D-E_1,C,0.359,0.187,0.187,0.359,5t6p
  29,6fkp_G_C-G_2,C,0.216,0.269,0.216,0.269,6fkp
  30,5jiu_C_A-B-C-D_0,A,0.344,0.191,0.191,0.344,5jiu
  31,4v3i_B_A-B_0,A,0.280,0.188,0.188,0.280,4v3i
  32,5yba_B_A-B-C-D_0,A,0.402,0.252,0.252,0.402,5yba
  33,1h27_E_A-B-E_0,B,0.314,0.149,0.149,0.314,1h27
  34,3ou3_C_A-B-C_0,A,0.312,0.285,0.285,0.312,3ou3
  35,3ou3_C_A-B-C_0,B,0.312,0.285,0.285,0.312,3ou3
  36,4jor_D_B-D_1,B,0.827,0.811,0.811,0.827,4jor
  37,5iz2_Z_A-B-Z_0,B,0.305,0.241,0.241,0.305,5iz2
  38,5fox_C_A-C_0,A,0.332,0.157,0.157,0.332,5fox
  39,5gu4_C_A-C_0,A,0.347,0.161,0.161,0.347,5gu4
  40,1se0_B_A-B_0,A,0.285,0.265,0.265,0.285,1se0
  41,3oqs_B_A-B_0,A,0.273,0.088,0.088,0.273,3oqs
  42,2nph_S_A-B-S-T_0,A,0.322,0.294,0.294,0.322,2nph
  43,2nph_S_A-B-S-T_0,B,0.322,0.294,0.294,0.322,2nph
  44,3l81_B_A-B_0,A,0.350,0.161,0.161,0.350,3l81
  45,3rte_B_A-B_0,G,0.385,0.108,0.108,0.385,3rte
  46,3rte_B_A-B_0,A,0.385,0.108,0.108,0.385,3rte
  47,4o51_N_A-B-N_1,A,0.325,0.174,0.174,0.325,4o51
  48,4o51_N_A-B-N_1,B,0.334,0.178,0.178,0.334,4o51
  49,5huw_B_A-B-C_0,C,0.277,0.080,0.080,0.277,5huw
  50,2h9m_D_C-D_1,C,0.332,0.139,0.139,0.332,2h9m
  51,2h59_D_A-B-D-E_0,A,0.351,0.167,0.167,0.351,2h59
  52,2h59_D_A-B-D-E_0,B,0.365,0.167,0.167,0.365,2h59
  53,2dze_X_A-B-X_0,A,0.352,0.236,0.236,0.352,2dze
  54,2dze_X_A-B-X_0,B,0.311,0.212,0.212,0.311,2dze
  55,1b5i_B_A-B_0,A,0.377,0.103,0.103,0.377,1b5i
  56,2wa8_D_C-D_1,C,0.301,0.269,0.269,0.301,2wa8
  57,3t70_F_A-B-C-F_0,A,0.350,0.248,0.248,0.350,3t70
  58,3t70_F_A-B-C-F_0,B,0.385,0.278,0.278,0.385,3t70
  59,4apo_D_B-D_1,B,0.253,0.172,0.172,0.253,4apo
  60,1evh_B_A-B_0,A,0.344,0.287,0.287,0.344,1evh
  61,3ebb_F_A-B-E-F_0,B,0.286,0.129,0.129,0.286,3ebb
  62,3srj_D_A-C-D_0,A,0.396,0.169,0.169,0.396,3srj
  63,1b4z_B_A-B_0,A,0.415,0.102,0.102,0.415,1b4z
  64,4k3o_E_A-B-E_0,A,0.461,0.146,0.146,0.461,4k3o
  65,3rc4_B_A-B_0,A,0.357,0.205,0.205,0.357,3rc4
  66,4z0u_D_A-D_0,A,0.335,0.224,0.224,0.335,4z0u
  67,1str_M_B-D-M-P_0,C,0.327,0.263,0.263,0.327,1str
  68,1str_M_B-D-M-P_0,B,0.341,0.265,0.265,0.341,1str
  69,1u9l_C_B-C_1,B,0.281,0.319,0.281,0.319,1u9l
  70,3vqg_B_A-B_0,A,1.000,1.000,1.000,1.000,3vqg
  71,3agy_C_A-B-C-D-F_0,A,0.279,0.173,0.173,0.279,3agy
  72,1sua_C_A-C_0,A,0.417,0.181,0.181,0.417,1sua
  73,4wvh_C_A-C_0,A,0.347,0.093,0.093,0.347,4wvh
  74,3nin_E_B-E_1,B,0.264,0.274,0.264,0.274,3nin
  75,5m5t_E_A-E-G-I_0,A,0.384,0.128,0.128,0.384,5m5t
  76,4od7_E_C-E_2,C,0.311,0.182,0.182,0.311,4od7
  77,5lyn_C_A-B-C-D_0,A,0.280,0.205,0.205,0.280,5lyn
  78,5lyn_C_A-B-C-D_0,B,0.270,0.200,0.200,0.270,5lyn
  79,1w9e_S_A-B-R-S-T_0,B,0.802,0.449,0.449,0.802,1w9e
  80,2v5w_G_B-G-L_1,B,0.334,0.122,0.122,0.334,2v5w
  81,3ufm_B_A-B_0,A,0.372,0.192,0.192,0.372,3ufm
  82,3q47_C_B-C_0,B,0.248,0.189,0.189,0.248,3q47
  83,3qhw_L_A-B-J-L_0,B,0.321,0.155,0.155,0.321,3qhw
  84,2f5b_P_H-L-P_0,L,0.355,0.183,0.183,0.355,2f5b
  85,2f5b_P_H-L-P_0,H,0.336,0.176,0.176,0.336,2f5b
  86,2y7l_B_A-B_0,A,0.340,0.131,0.131,0.340,2y7l
  87,1sts_P_B-D-M-P_0,D,0.340,0.269,0.269,0.340,1sts
  88,1sts_P_B-D-M-P_0,A,0.342,0.266,0.266,0.342,1sts
  89,4z8j_B_A-B_0,A,0.785,0.708,0.708,0.785,4z8j
  90,1svz_C_A-B-C-D_0,A,0.354,0.174,0.174,0.354,1svz
  91,5zw6_C_A-B-C-D_0,A,0.312,0.095,0.095,0.312,5zw6
  92,4ezz_B_A-B_1,A,0.338,0.173,0.173,0.338,4ezz
  93,4es0_C_A-C_0,A,0.378,0.158,0.158,0.378,4es0
  94,3emh_B_A-B_0,A,0.365,0.154,0.154,0.365,3emh
  95,4k3m_E_A-B-E_0,A,0.460,0.144,0.144,0.460,4k3m
  96,3drj_B_A-B_0,A,0.375,0.091,0.091,0.375,3drj
  97,5fou_C_A-C_0,A,0.343,0.161,0.161,0.343,5fou
  98,3mqr_B_A-B_0,A,0.440,0.315,0.315,0.440,3mqr
  99,4fii_B_A-B_0,A,0.342,0.149,0.149,0.342,4fii
 100,1nvs_B_A-B_0,A,0.356,0.163,0.163,0.356,1nvs
 101,4j45_B_A-B_0,A,0.270,0.273,0.270,0.273,4j45
 102,4k75_B_A-B_0,A,0.832,0.815,0.815,0.832,4k75
 103,4iim_E_A-B-C-D-E_0,B,0.270,0.356,0.270,0.356,4iim
 104,5fgb_G_B-E-G_1,E,0.337,0.180,0.180,0.337,5fgb
 105,5fgb_G_B-E-G_1,B,0.356,0.189,0.189,0.356,5fgb
 106,4jok_D_B-D_1,B,0.836,0.820,0.820,0.836,4jok
 107,2ipu_P_G-K-P_1,G,0.345,0.184,0.184,0.345,2ipu
 108,2ipu_P_G-K-P_1,K,0.337,0.184,0.184,0.337,2ipu
 109,1v1t_S_A-B-S-T_0,B,0.809,0.456,0.456,0.809,1v1t
 110,3ny3_B_A-B_0,A,0.280,0.310,0.280,0.310,3ny3
 111,6ew9_P_A-B-C-P-Q-R_0,A,0.693,0.220,0.220,0.693,6ew9
 112,1gyb_E_A-B-E-F_0,A,0.362,0.279,0.279,0.362,1gyb
 113,1gyb_E_A-B-E-F_0,B,0.356,0.276,0.276,0.356,1gyb
 114,2fib_B_A-B_0,A,0.350,0.172,0.172,0.350,2fib
 115,4qbr_P_A-P_0,A,0.311,0.228,0.228,0.311,4qbr
 116,4k3r_E_A-B-E_0,A,0.462,0.145,0.145,0.462,4k3r
 117,5xcr_F_D-E-F_1,D,0.370,0.235,0.235,0.370,5xcr
 118,5xcr_F_D-E-F_1,E,0.318,0.206,0.206,0.318,5xcr
 119,5eyz_E_A-E_0,A,0.799,0.740,0.740,0.799,5eyz
 120,3woq_C_A-B-C-D_0,A,0.341,0.072,0.072,0.341,3woq
 121,3zvy_D_B-D_0,B,0.227,0.260,0.227,0.260,3zvy
 122,5huy_B_A-B-C_0,C,0.279,0.077,0.077,0.279,5huy
 123,1oxn_F_E-F_7,E,0.269,0.255,0.255,0.269,1oxn
 124,1b40_B_A-B_0,A,0.419,0.103,0.103,0.419,1b40
 125,3fp2_Q_A-Q_0,A,0.315,0.083,0.083,0.315,3fp2
 126,3zin_C_A-B-C_0,A,0.248,0.080,0.080,0.248,3zin
 127,1a7c_B_A-B-C_0,A,0.379,0.135,0.135,0.379,1a7c
 128,4nnm_C_A-C_0,A,0.834,0.661,0.661,0.834,4nnm
 129,4j81_C_B-C_1,B,0.328,0.130,0.130,0.328,4j81
 130,3nfl_G_B-C-F-G_5,C,0.772,0.743,0.743,0.772,3nfl
 131,5fov_E_A-E_0,A,0.344,0.161,0.161,0.344,5fov
 132,4cic_Q_A-B-Q_0,A,0.338,0.252,0.252,0.338,4cic
 133,4cic_Q_A-B-Q_0,B,0.342,0.252,0.252,0.342,4cic
 134,4j8b_B_A-B_0,A,0.333,0.142,0.142,0.333,4j8b
 135,4j82_C_A-C_0,A,0.353,0.132,0.132,0.353,4j82
 136,6cdg_B_A-B_0,A,0.343,0.234,0.234,0.343,6cdg
 137,3mmg_C_A-C_0,A,0.331,0.182,0.182,0.331,3mmg
