index,syst,chain,tm1,tm2,min,max,pdb
   0,3ifo_P_H-L-P_0,L,0.386,0.255,0.255,0.386,3ifo
   1,3ifo_P_H-L-P_0,H,0.386,0.264,0.264,0.386,3ifo
   2,4j81_C_B-C_1,B,0.371,0.190,0.190,0.371,4j81
   3,3f6k_N_A-N_0,A,0.410,0.107,0.107,0.410,3f6k
   4,4ynl_C_A-B-C-D_0,A,0.224,0.292,0.224,0.292,4ynl
   5,4ynl_C_A-B-C-D_0,B,0.217,0.282,0.217,0.282,4ynl
   6,5t6p_E_C-D-E_1,D,0.415,0.288,0.288,0.415,5t6p
   7,5t6p_E_C-D-E_1,C,0.392,0.261,0.261,0.392,5t6p
   8,3v43_Q_A-Q_0,A,0.282,0.295,0.282,0.295,3v43
   9,2bgr_Y_A-B-Y-Z_0,A,0.421,0.092,0.092,0.421,2bgr
  10,3nij_B_A-B_0,A,0.213,0.277,0.213,0.277,3nij
  11,3fwv_C_A-C_0,A,0.262,0.251,0.251,0.262,3fwv
  12,6cdg_B_A-B_0,A,0.658,0.507,0.507,0.658,6cdg
  13,3rta_B_A-B_0,F,0.317,0.114,0.114,0.317,3rta
  14,3rta_B_A-B_0,A,0.317,0.114,0.114,0.317,3rta
  15,3s9c_B_A-B_0,A,0.355,0.219,0.219,0.355,3s9c
  16,6fkp_G_C-G_2,C,0.199,0.342,0.199,0.342,6fkp
  17,2g30_S_A-P-S_0,A,0.386,0.230,0.230,0.386,2g30
  18,3drj_B_A-B_0,A,0.331,0.109,0.109,0.331,3drj
  19,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.380,0.180,0.180,0.380,4tr9
  20,3mmg_C_A-C_0,A,0.314,0.208,0.208,0.314,3mmg
  21,2foj_B_A-B_0,A,0.344,0.314,0.314,0.344,2foj
  22,1fch_C_A-B-C-D_2,F,0.321,0.168,0.168,0.321,1fch
  23,1fch_C_A-B-C-D_2,A,0.264,0.139,0.139,0.264,1fch
  24,5fov_E_A-E_0,A,0.317,0.212,0.212,0.317,5fov
  25,1uoq_B_A-B_0,A,0.372,0.083,0.083,0.372,1uoq
  26,2fib_B_A-B_0,A,0.402,0.233,0.233,0.402,2fib
  27,3m5o_C_A-C_0,A,0.304,0.214,0.214,0.304,3m5o
  28,4ezy_B_A-B_2,A,0.374,0.241,0.241,0.374,4ezy
  29,5iag_D_A-B-D_0,A,0.351,0.220,0.220,0.351,5iag
  30,1kyd_P_A-P_0,A,0.378,0.219,0.219,0.378,1kyd
  31,6cd8_C_A-C_0,A,0.667,0.505,0.505,0.667,6cd8
  32,1mfl_B_A-B_0,A,0.276,0.320,0.276,0.320,1mfl
  33,4wnn_T_C-D-T_3,D,0.237,0.269,0.237,0.269,4wnn
  34,4wnn_T_C-D-T_3,C,0.226,0.278,0.226,0.278,4wnn
  35,4c2c_B_A-B-C_0,A,0.311,0.116,0.116,0.311,4c2c
  36,1b51_B_A-B_0,A,0.365,0.123,0.123,0.365,1b51
  37,1b5i_B_A-B_0,A,0.363,0.121,0.121,0.363,1b5i
  38,4j84_D_B-D_1,B,0.376,0.194,0.194,0.376,4j84
  39,1b3g_B_A-B_0,A,0.365,0.122,0.122,0.365,1b3g
  40,2d5w_C_A-C_0,A,0.354,0.105,0.105,0.354,2d5w
  41,3zs6_B_A-B_0,A,0.382,0.128,0.128,0.382,3zs6
  42,2y7l_B_A-B_0,A,0.389,0.194,0.194,0.389,2y7l
  43,4j79_B_A-B_0,A,0.380,0.191,0.191,0.380,4j79
  44,2wa8_D_C-D_1,C,0.236,0.260,0.236,0.260,2wa8
  45,4dgb_B_A-B_0,A,0.361,0.293,0.293,0.361,4dgb
  46,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.360,0.208,0.208,0.360,5fjz
  47,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.363,0.206,0.206,0.363,5fjz
  48,5huy_B_A-B-C_0,C,0.292,0.117,0.117,0.292,5huy
  49,2h59_D_A-B-D-E_0,A,0.295,0.174,0.174,0.295,2h59
  50,2h59_D_A-B-D-E_0,B,0.291,0.177,0.177,0.291,2h59
  51,1a30_C_A-B-C_0,A,0.266,0.303,0.266,0.303,1a30
  52,1a30_C_A-B-C_0,B,0.257,0.291,0.257,0.291,1a30
  53,3m5m_C_B-C_1,B,0.295,0.212,0.212,0.295,3m5m
  54,4k3m_E_A-B-E_0,A,0.327,0.142,0.142,0.327,4k3m
  55,4jok_D_B-D_1,B,0.269,0.327,0.269,0.327,4jok
  56,4sga_P_E-P_0,E,0.329,0.245,0.245,0.329,4sga
  57,5gu4_C_A-C_0,A,0.375,0.218,0.218,0.375,5gu4
  58,4r5i_B_A-B_0,A,0.394,0.248,0.248,0.394,4r5i
  59,3cbl_B_A-B_0,A,0.341,0.159,0.159,0.341,3cbl
  60,3fp4_Q_A-Q_0,A,0.299,0.108,0.108,0.299,3fp4
  61,4mvk_B_A-B_0,A,0.583,0.435,0.435,0.583,4mvk
  62,4k3p_E_A-B-E_0,A,0.329,0.142,0.142,0.329,4k3p
  63,5m5v_G_A-E-G-I_0,A,0.371,0.167,0.167,0.371,5m5v
  64,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.993,0.993,0.993,0.993,1kl5
  65,1kl5_F_A-B-C-D-E-F-G-H_0,B,1.000,1.000,1.000,1.000,1kl5
  66,3rc5_B_A-B_0,A,0.297,0.209,0.209,0.297,3rc5
  67,3ebb_F_A-B-E-F_0,B,0.271,0.161,0.161,0.271,3ebb
  68,4rxh_A_A-B-C_0,B,0.260,0.114,0.114,0.260,4rxh
  69,3ufm_B_A-B_0,A,0.295,0.194,0.194,0.295,3ufm
  70,4f75_C_A-B-C-D_0,A,0.261,0.295,0.261,0.295,4f75
  71,4f75_C_A-B-C-D_0,B,0.266,0.305,0.266,0.305,4f75
  72,4fys_C_A-C_0,A,0.370,0.080,0.080,0.370,4fys
  73,5fgb_G_B-E-G_1,E,0.414,0.281,0.281,0.414,5fgb
  74,5fgb_G_B-E-G_1,B,0.378,0.257,0.257,0.378,5fgb
  75,3lca_Q_A-Q_0,A,0.280,0.100,0.100,0.280,3lca
  76,4kg9_B_A-B_0,A,0.337,0.307,0.307,0.337,4kg9
  77,4jmy_E_A-C-E_0,A,0.293,0.223,0.223,0.293,4jmy
  78,3agy_C_A-B-C-D-F_0,A,0.290,0.225,0.225,0.290,3agy
  79,4joh_D_A-D_0,A,0.259,0.318,0.259,0.318,4joh
  80,1uop_B_A-B_0,A,0.346,0.094,0.094,0.346,1uop
  81,4iim_E_A-B-C-D-E_0,B,0.219,0.353,0.219,0.353,4iim
  82,2b6n_B_A-B_0,A,0.315,0.181,0.181,0.315,2b6n
