index,syst,chain,tm1,tm2,min,max,pdb
   0,5lb7_C_A-B-C_0,A,0.248,0.201,0.201,0.248,5lb7
   1,5lb7_C_A-B-C_0,B,0.189,0.239,0.189,0.239,5lb7
   2,5v5p_A_A-B-C_0,C,0.261,0.104,0.104,0.261,5v5p
   3,4ezw_E_A-E_0,A,0.409,0.265,0.265,0.409,4ezw
   4,2foo_B_A-B_0,A,0.378,0.347,0.347,0.378,2foo
   5,1a7c_B_A-B-C_0,A,0.341,0.137,0.137,0.341,1a7c
   6,1czy_D_A-B-C-D-E_0,A,0.424,0.335,0.335,0.424,1czy
   7,4que_E_A-C-D-E-H-J_0,A,0.338,0.212,0.212,0.338,4que
   8,1sua_C_A-C_0,A,0.354,0.214,0.214,0.354,1sua
   9,4x2h_C_A-B-C_0,A,0.447,0.311,0.311,0.447,4x2h
  10,1sem_C_A-B-C-D_0,A,0.205,0.302,0.205,0.302,1sem
  11,5gu4_C_A-C_0,A,0.361,0.206,0.206,0.361,5gu4
  12,3fp2_Q_A-Q_0,A,0.292,0.108,0.108,0.292,3fp2
  13,1kyf_P_A-P_0,A,0.376,0.218,0.218,0.376,1kyf
  14,3nii_B_A-B_0,A,0.217,0.283,0.217,0.283,3nii
  15,4ezn_C_A-B-C-D_0,A,0.410,0.269,0.269,0.410,4ezn
  16,5fou_C_A-C_0,A,0.305,0.205,0.205,0.305,5fou
  17,1b05_B_A-B_0,A,0.370,0.124,0.124,0.370,1b05
  18,5grg_D_A-B-C-D_0,A,0.358,0.198,0.198,0.358,5grg
  19,4j82_C_A-C_0,A,0.366,0.190,0.190,0.366,4j82
  20,5azf_C_A-C_0,A,0.291,0.294,0.291,0.294,5azf
  21,2h59_D_A-B-D-E_0,A,0.291,0.178,0.178,0.291,2h59
  22,2h59_D_A-B-D-E_0,B,0.291,0.178,0.178,0.291,2h59
  23,3m5n_F_B-F_1,B,0.311,0.213,0.213,0.311,3m5n
  24,3ny3_B_A-B_0,A,0.203,0.280,0.203,0.280,3ny3
  25,4xal_B_A-B_0,A,0.253,0.307,0.253,0.307,4xal
  26,4wvh_C_A-C_0,A,0.299,0.103,0.103,0.299,4wvh
  27,5lyn_C_A-B-C-D_0,A,0.273,0.257,0.257,0.273,5lyn
  28,5lyn_C_A-B-C-D_0,B,0.272,0.257,0.257,0.272,5lyn
  29,2ql9_G_A-B-C-D-E-F-G_0,D,0.273,0.322,0.273,0.322,2ql9
  30,2ql9_G_A-B-C-D-E-F-G_0,A,0.282,0.260,0.260,0.282,2ql9
  31,2ql9_G_A-B-C-D-E-F-G_0,C,0.284,0.261,0.261,0.284,2ql9
  32,2ql9_G_A-B-C-D-E-F-G_0,B,0.278,0.328,0.278,0.328,2ql9
  33,4es0_C_A-C_0,A,0.341,0.180,0.180,0.341,4es0
  34,5wir_D_A-B-C-D_0,B,0.252,0.177,0.177,0.252,5wir
  35,4f75_C_A-B-C-D_0,A,0.295,0.335,0.295,0.335,4f75
  36,4f75_C_A-B-C-D_0,B,0.291,0.329,0.291,0.329,4f75
  37,1ok7_C_A-B-C_0,B,0.323,0.143,0.143,0.323,1ok7
  38,5tu5_B_A-B_0,A,0.455,0.228,0.228,0.455,5tu5
  39,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.360,0.206,0.206,0.360,5fjz
  40,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.362,0.210,0.210,0.362,5fjz
  41,5ovc_B_A-B_0,A,0.290,0.336,0.290,0.336,5ovc
  42,3rc5_B_A-B_0,A,0.307,0.216,0.216,0.307,3rc5
  43,5m5u_G_A-E-G_0,A,0.405,0.182,0.182,0.405,5m5u
  44,3rc4_B_A-B_0,A,0.277,0.198,0.198,0.277,3rc4
