index,syst,chain,tm1,tm2,min,max,pdb
   0,5eyz_E_A-E_0,A,0.085,0.264,0.085,0.264,5eyz
   1,3thk_C_A-C_0,A,0.074,0.335,0.074,0.335,3thk
   2,4r5i_B_A-B_0,A,0.148,0.247,0.148,0.247,4r5i
   3,1wcy_C_A-B-C-D_0,A,0.321,0.211,0.211,0.321,1wcy
   4,4x2h_C_A-B-C_0,A,0.133,0.253,0.133,0.253,4x2h
   5,3gv4_H_A-H_0,A,0.103,0.348,0.103,0.348,3gv4
   6,1ok7_C_A-B-C_0,B,0.204,0.225,0.204,0.225,1ok7
   7,2h59_D_A-B-D-E_0,A,0.156,0.233,0.156,0.233,2h59
   8,2h59_D_A-B-D-E_0,B,0.159,0.236,0.159,0.236,2h59
   9,5huy_B_A-B-C_0,C,0.998,0.998,0.998,0.998,5huy
  10,4ezw_E_A-E_0,A,0.151,0.258,0.151,0.258,4ezw
  11,2fib_B_A-B_0,A,0.214,0.313,0.214,0.313,2fib
  12,5oj5_B_A-B_0,A,0.203,0.256,0.203,0.256,5oj5
  13,1rzx_B_A-B_0,A,0.090,0.270,0.090,0.270,1rzx
  14,3ifo_P_H-L-P_0,L,0.150,0.238,0.150,0.238,3ifo
  15,3ifo_P_H-L-P_0,H,0.149,0.240,0.149,0.240,3ifo
  16,3oqs_B_A-B_0,A,0.995,0.990,0.990,0.995,3oqs
  17,4j79_B_A-B_0,A,0.209,0.270,0.209,0.270,4j79
  18,2wa8_D_C-D_1,C,0.094,0.283,0.094,0.283,2wa8
  19,3gq1_C_A-C_0,A,0.097,0.370,0.097,0.370,3gq1
  20,4j78_B_A-B_0,A,0.211,0.273,0.211,0.273,4j78
  21,1elr_B_A-B_0,A,0.238,0.608,0.238,0.608,1elr
  22,1kyf_P_A-P_0,A,0.175,0.259,0.175,0.259,1kyf
  23,3s9c_B_A-B_0,A,0.158,0.244,0.158,0.244,3s9c
  24,5iz2_Z_A-B-Z_0,B,0.133,0.341,0.133,0.341,5iz2
  25,3m5o_C_A-C_0,A,0.176,0.296,0.176,0.296,3m5o
  26,5lyn_C_A-B-C-D_0,A,0.240,0.590,0.240,0.590,5lyn
  27,5lyn_C_A-B-C-D_0,B,0.251,0.622,0.251,0.622,5lyn
  28,6cdc_C_A-C_0,A,0.121,0.242,0.121,0.242,6cdc
  29,3m5m_C_B-C_1,B,0.164,0.290,0.164,0.290,3m5m
  30,4kg9_B_A-B_0,A,0.124,0.292,0.124,0.292,4kg9
  31,1b4z_B_A-B_0,A,0.258,0.222,0.222,0.258,1b4z
  32,4wnn_T_C-D-T_3,D,0.115,0.381,0.115,0.381,4wnn
